"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","23","102808","0.0-5.0-1.0-2.2","","","","","1043","2","","","","","","","","","","","","","","","","","","true","star","2"
"","canvas-keyboard-response","24","103841","0.0-5.0-1.0-0.3","","","","","null","null","","","","","","","","","recall","","[""5"",""6"",""2"",""2"",""6"",""6"",""2"",""8"",""4"",""2"",""5"",""4"",""5"",""6"",""6"",""4"",""2"",""4"",""4"",""8"",""8"",""8"",""5"",""8"",""5"",""2"",""8"",""2"",""2"",""8"",""4"",""4"",""5"",""8"",""5"",""5"",""4"",""6"",""8"",""4"",""6"",""6"",""6"",""4"",""5"",""2"",""8"",""2"",""5"",""6""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","25","105849","0.0-5.0-1.0-1.3","","","","","null","null","","","[""star"",""circle"",""hexagram"",""triangle""]","","","","","","","","","","","","[{""x"":644,""y"":597,""t"":1},{""x"":694,""y"":625,""t"":67},{""x"":736,""y"":647,""t"":75},{""x"":701,""y"":638,""t"":168},{""x"":722,""y"":683,""t"":176},{""x"":748,""y"":682,""t"":229},{""x"":758,""y"":671,""t"":240},{""x"":714,""y"":607,""t"":287},{""x"":779,""y"":603,""t"":310},{""x"":792,""y"":574,""t"":345},{""x"":808,""y"":573,""t"":377},{""x"":724,""y"":583,""t"":415},{""x"":631,""y"":558,""t"":454},{""x"":573,""y"":526,""t"":479},{""x"":567,""y"":563,""t"":520},{""x"":638,""y"":590,""t"":547},{""x"":644,""y"":585,""t"":583},{""x"":653,""y"":613,""t"":625},{""x"":661,""y"":637,""t"":650},{""x"":610,""y"":640,""t"":691},{""x"":597,""y"":675,""t"":722},{""x"":600,""y"":671,""t"":754},{""x"":586,""y"":693,""t"":791},{""x"":569,""y"":622,""t"":819},{""x"":560,""y"":591,""t"":855},{""x"":552,""y"":529,""t"":892},{""x"":594,""y"":492,""t"":929},{""x"":624,""y"":475,""t"":955},{""x"":650,""y"":432,""t"":992},{""x"":722,""y"":368,""t"":1024},{""x"":825,""y"":326,""t"":1059},{""x"":911,""y"":295,""t"":1092},{""x"":938,""y"":265,""t"":1129},{""x"":966,""y"":261,""t"":1164},{""x"":936,""y"":278,""t"":1198},{""x"":927,""y"":302,""t"":1237},{""x"":885,""y"":309,""t"":1266},{""x"":866,""y"":291,""t"":1304},{""x"":807,""y"":303,""t"":1330},{""x"":912,""y"":324,""t"":1363},{""x"":980,""y"":324,""t"":1399},{""x"":1025,""y"":343,""t"":1432},{""x"":1083,""y"":377,""t"":1483},{""x"":1128,""y"":406,""t"":1500},{""x"":1170,""y"":392,""t"":1535},{""x"":1194,""y"":426,""t"":1571},{""x"":1210,""y"":470,""t"":1601},{""x"":1216,""y"":474,""t"":1639},{""x"":1216,""y"":499,""t"":1675},{""x"":1191,""y"":501,""t"":1708},{""x"":1147,""y"":482,""t"":1745},{""x"":1095,""y"":465,""t"":1774},{""x"":1111,""y"":464,""t"":1806},{""x"":1145,""y"":498,""t"":1838},{""x"":1115,""y"":517,""t"":1874},{""x"":1101,""y"":496,""t"":1910},{""x"":1093,""y"":490,""t"":1944}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":896.18802153517,""bottom"":465,""left"":803.81197846483},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]","","",""
"","canvas-keyboard-response","26","107366","0.0-5.0-1.0-2.3","","","","","985","2","","","","","","","","","","","","","","","","","","true","triangle","2"
"","canvas-keyboard-response","27","108407","0.0-5.0-1.0-0.4","","","","","null","null","","","","","","","","","recall","","[""5"",""6"",""2"",""2"",""6"",""6"",""2"",""8"",""4"",""2"",""5"",""4"",""5"",""6"",""6"",""4"",""2"",""4"",""4"",""8"",""8"",""8"",""5"",""8"",""5"",""2"",""8"",""2"",""2"",""8"",""4"",""4"",""5"",""8"",""5"",""5"",""4"",""6"",""8"",""4"",""6"",""6"",""6"",""4"",""5"",""2"",""8"",""2"",""5"",""6""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","28","110415","0.0-5.0-1.0-1.4","","","","","null","null","","","[""rect"",""circle"",""star"",""triangle""]","","","","","","","","","","","","[{""x"":994,""y"":523,""t"":1},{""x"":935,""y"":560,""t"":38},{""x"":894,""y"":633,""t"":87},{""x"":861,""y"":694,""t"":103},{""x"":778,""y"":672,""t"":160},{""x"":697,""y"":650,""t"":176},{""x"":663,""y"":665,""t"":238},{""x"":694,""y"":692,""t"":284},{""x"":682,""y"":706,""t"":311},{""x"":693,""y"":746,""t"":360},{""x"":701,""y"":749,""t"":376},{""x"":688,""y"":739,""t"":423},{""x"":693,""y"":777,""t"":444},{""x"":763,""y"":791,""t"":495},{""x"":762,""y"":789,""t"":511},{""x"":707,""y"":770,""t"":584},{""x"":658,""y"":725,""t"":616},{""x"":600,""y"":687,""t"":665},{""x"":552,""y"":654,""t"":686},{""x"":485,""y"":611,""t"":720},{""x"":464,""y"":570,""t"":750},{""x"":430,""y"":569,""t"":787},{""x"":426,""y"":540,""t"":823},{""x"":389,""y"":548,""t"":859},{""x"":438,""y"":571,""t"":896},{""x"":428,""y"":566,""t"":930},{""x"":403,""y"":540,""t"":961},{""x"":385,""y"":539,""t"":998},{""x"":380,""y"":547,""t"":1026},{""x"":355,""y"":545,""t"":1064},{""x"":392,""y"":522,""t"":1101},{""x"":417,""y"":511,""t"":1126},{""x"":494,""y"":478,""t"":1161},{""x"":548,""y"":417,""t"":1192},{""x"":620,""y"":371,""t"":1233},{""x"":664,""y"":315,""t"":1264},{""x"":729,""y"":292,""t"":1294},{""x"":758,""y"":281,""t"":1331},{""x"":783,""y"":256,""t"":1367},{""x"":819,""y"":258,""t"":1404},{""x"":825,""y"":264,""t"":1430},{""x"":843,""y"":259,""t"":1470},{""x"":889,""y"":265,""t"":1501},{""x"":895,""y"":226,""t"":1537},{""x"":890,""y"":238,""t"":1569},{""x"":883,""y"":244,""t"":1603},{""x"":862,""y"":231,""t"":1639},{""x"":842,""y"":221,""t"":1669},{""x"":835,""y"":215,""t"":1713},{""x"":900,""y"":269,""t"":1742},{""x"":974,""y"":298,""t"":1779},{""x"":1059,""y"":335,""t"":1808},{""x"":1073,""y"":342,""t"":1845},{""x"":1112,""y"":351,""t"":1873},{""x"":1165,""y"":419,""t"":1914},{""x"":1162,""y"":437,""t"":1939}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":100,""height"":100,""top"":375,""right"":900,""bottom"":475,""left"":800},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]","","",""
"","canvas-keyboard-response","29","111754","0.0-5.0-1.0-2.4","","","","","820","6","","","","","","","","","","","","","","","","","","true","star","6"
"","canvas-keyboard-response","30","112792","0.0-5.0-1.0-0.5","","","","","null","null","","","","","","","","","recall","","[""5"",""6"",""2"",""2"",""6"",""6"",""2"",""8"",""4"",""2"",""5"",""4"",""5"",""6"",""6"",""4"",""2"",""4"",""4"",""8"",""8"",""8"",""5"",""8"",""5"",""2"",""8"",""2"",""2"",""8"",""4"",""4"",""5"",""8"",""5"",""5"",""4"",""6"",""8"",""4"",""6"",""6"",""6"",""4"",""5"",""2"",""8"",""2"",""5"",""6""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","31","114808","0.0-5.0-1.0-1.5","","","","","null","null","","","[""hexagram"",""star"",""rect"",""triangle""]","","","","","","","","","","","","[{""x"":1098,""y"":523,""t"":2},{""x"":1005,""y"":587,""t"":50},{""x"":945,""y"":654,""t"":70},{""x"":929,""y"":689,""t"":111},{""x"":813,""y"":714,""t"":143},{""x"":834,""y"":772,""t"":173},{""x"":822,""y"":804,""t"":210},{""x"":793,""y"":872,""t"":248},{""x"":768,""y"":934,""t"":282},{""x"":751,""y"":929,""t"":312},{""x"":749,""y"":919,""t"":350},{""x"":749,""y"":878,""t"":379},{""x"":752,""y"":837,""t"":413},{""x"":712,""y"":814,""t"":452},{""x"":643,""y"":810,""t"":488},{""x"":602,""y"":786,""t"":512},{""x"":530,""y"":758,""t"":582},{""x"":510,""y"":676,""t"":618},{""x"":497,""y"":607,""t"":650},{""x"":465,""y"":587,""t"":696},{""x"":444,""y"":582,""t"":718},{""x"":451,""y"":528,""t"":764},{""x"":467,""y"":484,""t"":785},{""x"":539,""y"":445,""t"":844},{""x"":629,""y"":407,""t"":856},{""x"":673,""y"":378,""t"":928},{""x"":709,""y"":357,""t"":954},{""x"":743,""y"":354,""t"":1003},{""x"":769,""y"":354,""t"":1025},{""x"":826,""y"":310,""t"":1083},{""x"":871,""y"":276,""t"":1094},{""x"":858,""y"":272,""t"":1156},{""x"":872,""y"":250,""t"":1162},{""x"":905,""y"":228,""t"":1262},{""x"":916,""y"":245,""t"":1295},{""x"":951,""y"":256,""t"":1333},{""x"":1011,""y"":323,""t"":1366},{""x"":1081,""y"":360,""t"":1396},{""x"":1146,""y"":391,""t"":1438},{""x"":1189,""y"":422,""t"":1470},{""x"":1209,""y"":437,""t"":1505},{""x"":1234,""y"":437,""t"":1533},{""x"":1243,""y"":420,""t"":1572},{""x"":1262,""y"":426,""t"":1609},{""x"":1274,""y"":423,""t"":1644},{""x"":1255,""y"":471,""t"":1676},{""x"":1219,""y"":496,""t"":1702},{""x"":1210,""y"":465,""t"":1736},{""x"":1217,""y"":467,""t"":1772},{""x"":1172,""y"":452,""t"":1809},{""x"":1167,""y"":458,""t"":1838},{""x"":1164,""y"":460,""t"":1881},{""x"":1145,""y"":467,""t"":1918},{""x"":1149,""y"":469,""t"":1939},{""x"":1161,""y"":479,""t"":1973}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":296.18802153517004,""bottom"":465,""left"":203.81197846482993},{""x"":550,""y"":125,""width"":100,""height"":100,""top"":75,""right"":600,""bottom"":175,""left"":500},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]","","",""
"","canvas-keyboard-response","32","116427","0.0-5.0-1.0-2.5","","","","","1104","6","","","","","","","","","","","","","","","","","","true","rect","6"
