"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","141","236787","0.0-6.0-2.0-0.40","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","142","236895","0.0-6.0-2.0-1.40","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","143","238578","0.0-6.0-2.0-2.40","","","","","676","3","","[""star"",""rect"",""triangle"",""diamond"",""hexagram_1"",""circle""]","","","","","","","","","","","","","[{""x"":1144,""y"":466,""t"":4},{""x"":1168,""y"":472,""t"":43},{""x"":1170,""y"":476,""t"":72},{""x"":1143,""y"":504,""t"":106},{""x"":1165,""y"":484,""t"":140},{""x"":1154,""y"":466,""t"":174},{""x"":1144,""y"":477,""t"":208},{""x"":1103,""y"":449,""t"":241},{""x"":1090,""y"":452,""t"":275},{""x"":1089,""y"":523,""t"":310},{""x"":1049,""y"":522,""t"":344},{""x"":987,""y"":494,""t"":377},{""x"":865,""y"":559,""t"":412},{""x"":794,""y"":603,""t"":444},{""x"":759,""y"":611,""t"":480},{""x"":731,""y"":600,""t"":513},{""x"":693,""y"":594,""t"":548},{""x"":761,""y"":630,""t"":582},{""x"":809,""y"":635,""t"":616},{""x"":830,""y"":664,""t"":651}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram_1","3","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":746.18802153517,""bottom"":799.8076211353316,""left"":653.81197846483},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","144","239586","0.0-6.0-2.0-0.41","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","145","239693","0.0-6.0-2.0-1.41","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","146","241208","0.0-6.0-2.0-2.41","","","","","505","6","","[""diamond"",""rect"",""circle"",""hexagram_1"",""star"",""triangle""]","","","","","","","","","","","","","[{""x"":900,""y"":613,""t"":4},{""x"":942,""y"":592,""t"":42},{""x"":1006,""y"":595,""t"":73},{""x"":1004,""y"":579,""t"":106},{""x"":1028,""y"":607,""t"":140},{""x"":1042,""y"":607,""t"":174},{""x"":1082,""y"":566,""t"":208},{""x"":1069,""y"":531,""t"":242},{""x"":1096,""y"":535,""t"":276},{""x"":1093,""y"":556,""t"":310},{""x"":1142,""y"":563,""t"":344},{""x"":1139,""y"":557,""t"":378},{""x"":1164,""y"":587,""t"":413},{""x"":1182,""y"":612,""t"":444},{""x"":1197,""y"":627,""t"":480}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram_1","6","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]"
"","canvas-keyboard-response","147","242217","0.0-6.0-2.0-0.42","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","148","242324","0.0-6.0-2.0-1.42","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","149","243826","0.0-6.0-2.0-2.42","","","","","486","4","","[""rect_1"",""diamond"",""hexagram"",""triangle"",""star"",""circle""]","","","","","","","","","","","","","[{""x"":1165,""y"":640,""t"":4},{""x"":1182,""y"":598,""t"":40},{""x"":1149,""y"":548,""t"":72},{""x"":1080,""y"":530,""t"":106},{""x"":1068,""y"":475,""t"":140},{""x"":1052,""y"":457,""t"":172},{""x"":1055,""y"":427,""t"":209},{""x"":1033,""y"":414,""t"":242},{""x"":991,""y"":383,""t"":276},{""x"":1049,""y"":363,""t"":310},{""x"":1036,""y"":348,""t"":344},{""x"":1040,""y"":356,""t"":378},{""x"":956,""y"":357,""t"":412},{""x"":904,""y"":396,""t"":446}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect_1","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","150","244834","0.0-6.0-2.0-0.43","","","","","null","null","","","","","","","","","recognition","","[""3"",""4"",""9"",""9"",""1"",""6"",""6"",""3"",""7"",""1"",""4"",""1"",""9"",""6"",""9"",""4"",""6"",""9"",""1"",""7"",""6"",""9"",""9"",""9"",""1"",""3"",""4"",""6"",""4"",""4"",""9"",""7"",""3"",""9"",""3"",""1"",""1"",""1"",""7"",""7"",""3"",""6"",""4"",""1"",""7"",""3"",""3"",""9"",""4"",""6"",""6"",""7"",""6"",""3"",""3"",""1"",""1"",""4"",""7"",""6"",""7"",""1"",""6"",""4"",""4"",""7"",""3"",""7"",""7"",""4"",""9"",""3""]","1000","6","shape","","","","","",""
