"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","80","196133","0.0-6.0-2.0-1.18","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","81","198042","0.0-6.0-2.0-2.18","","","","","401","6","","[""ring_1"",""rect""]","","","","","","","","","","","","","[{""x"":911,""y"":719,""t"":2},{""x"":904,""y"":676,""t"":41},{""x"":948,""y"":699,""t"":77},{""x"":1020,""y"":718,""t"":110},{""x"":928,""y"":759,""t"":139},{""x"":972,""y"":810,""t"":172},{""x"":935,""y"":805,""t"":214},{""x"":963,""y"":767,""t"":245},{""x"":942,""y"":786,""t"":277},{""x"":904,""y"":787,""t"":310},{""x"":995,""y"":728,""t"":349}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","rect","6","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","82","199060","0.0-6.0-2.0-0.19","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","83","199165","0.0-6.0-2.0-1.19","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","84","201107","0.0-6.0-2.0-2.19","","","","","433","6","","[""rect_1"",""triangle""]","","","","","","","","","","","","","[{""x"":918,""y"":690,""t"":2},{""x"":894,""y"":615,""t"":37},{""x"":920,""y"":621,""t"":74},{""x"":943,""y"":628,""t"":104},{""x"":921,""y"":666,""t"":138},{""x"":861,""y"":676,""t"":179},{""x"":940,""y"":730,""t"":211},{""x"":867,""y"":717,""t"":241},{""x"":927,""y"":720,""t"":274},{""x"":1036,""y"":681,""t"":314},{""x"":1071,""y"":707,""t"":347},{""x"":1135,""y"":756,""t"":378}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","triangle","6","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":92,""height"":92,""top"":379,""right"":896,""bottom"":471,""left"":804}]"
"","canvas-keyboard-response","85","202124","0.0-6.0-2.0-0.20","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","86","202236","0.0-6.0-2.0-1.20","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","87","204149","0.0-6.0-2.0-2.20","","","","","406","4","","[""triangle_1"",""circle""]","","","","","","","","","","","","","[{""x"":1204,""y"":707,""t"":2},{""x"":1155,""y"":731,""t"":39},{""x"":1176,""y"":723,""t"":77},{""x"":1126,""y"":682,""t"":109},{""x"":1121,""y"":634,""t"":138},{""x"":1008,""y"":626,""t"":175},{""x"":1007,""y"":602,""t"":214},{""x"":1023,""y"":605,""t"":240},{""x"":1022,""y"":608,""t"":278},{""x"":969,""y"":654,""t"":309},{""x"":937,""y"":629,""t"":349},{""x"":909,""y"":591,""t"":378}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","triangle_1","4","true","[{""x"":250,""y"":425,""width"":92,""height"":92,""top"":379,""right"":296,""bottom"":471,""left"":204},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","88","205166","0.0-6.0-2.0-0.21","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
"","canvas-keyboard-response","89","205276","0.0-6.0-2.0-1.21","","","","","null","null","","","","","","","","","recognition","","[""5"",""5"",""4"",""4"",""5"",""4"",""6"",""6"",""4"",""5"",""6"",""6"",""4"",""6"",""5"",""5"",""4"",""6"",""6"",""6"",""4"",""5"",""5"",""6"",""4"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""5"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""5"",""4"",""5"",""6"",""5"",""6"",""6"",""6"",""5"",""5"",""5"",""5"",""6"",""6"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""5"",""4"",""4"",""4"",""4""]","1500","shape","2","","","","","",""
