997,744,1
1036,731,51
1068,719,85
1073,709,144
1078,718,196
1110,680,294
1061,646,333
1061,635,366
1061,626,378
1046,616,423
1014,625,451
977,628,479
959,680,526
957,661,554
852,681,593
769,681,616
708,688,661
638,682,687
633,603,722
587,540,753
563,452,786
569,398,826
564,310,864
564,256,938
600,194,964
630,171,992
658,147,1026
689,165,1062
691,176,1095
632,208,1129
586,250,1171
590,317,1197
547,371,1233
561,419,1262
505,450,1311
506,519,1334
430,554,1363
447,588,1407
461,610,1437
670,586,1472
848,561,1498
1010,524,1549
1121,451,1573
1242,435,1605
1301,416,1647
1389,392,1671
1484,392,1711
1531,386,1738
1568,366,1775
1576,330,1808
1512,390,1839
1384,431,1874
1272,443,1913
1175,453,1943
1074,499,1976
1005,540,2011
950,588,2047
910,626,2080
843,628,2111
740,631,2152
676,654,2194
626,616,2219
589,576,2248
585,601,2281
546,595,2328
560,622,2352
613,684,2383
647,657,2444
678,633,2458
788,663,2497
841,701,2521
917,733,2557
940,786,2592
949,765,2628
924,795,2658
901,813,2696
904,845,2728
907,953,2760
870,975,2797
888,1005,2838
903,1021,2862
905,1001,2916
906,976,2929
876,974,2983
850,967,2995
850,983,3037
854,996,3071
858,1007,3096
853,1014,3147
869,1030,3169
872,1064,3200
843,1110,3247
812,1136,3270
832,1143,3305
797,1144,3343
768,1143,3368
738,1144,3407
770,1114,3439
773,1118,3472
767,1150,3521
763,1177,3539
730,1176,3584
730,1146,3607
725,1157,3647
748,1215,3680
810,1177,3712
867,1044,3744
915,1040,3778
893,995,3826
839,1044,3849
654,1045,3881
548,1022,3914
407,1056,3952
292,1085,3981
207,1104,4015
211,1117,4049
323,1127,4088
463,1166,4129
645,1180,4154
757,1290,4196
885,1411,4240
989,1421,4253
1093,1325,4291
1221,1294,4392
1281,1255,4429
1314,1239,4460
1299,1269,4495
1231,1318,4528
1241,1296,4562
1215,1335,4595
1169,1305,4630
1146,1309,4669
1082,1310,4713
1040,1285,4732
1014,1239,4780
993,1201,4799
982,1192,4832
1005,1257,4868
981,1258,4900
929,1237,4947
887,1219,4968
839,1265,5047
782,1313,5097
737,1354,5108
669,1242,5180
661,1152,5219
659,1076,5242
636,998,5278
574,951,5309
577,896,5343
592,831,5376
568,824,5412
580,730,5446
575,620,5485
573,478,5516
605,432,5552
652,403,5585
720,360,5618
800,296,5652
859,295,5685
892,304,5719
929,334,5751
987,371,5785
969,367,5819
966,343,5852
967,335,5885
911,323,5919
885,418,5969
865,435,5988
846,464,6033
794,478,6056
751,477,6097
728,419,6124
681,430,6161
588,439,6195
576,409,6230
577,429,6265
537,410,6300
560,370,6333
709,354,6365
785,367,6404
908,356,6448
1011,348,6463
1070,312,6512
1171,290,6534
1152,286,6568
1177,206,6600
1191,133,6634
1175,88,6671
