"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2081","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2085","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5200","0.0-2.0-0.0","","","","","3113","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6078","0.0-2.0-1.0","","","","","877","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6855","0.0-3.0","","","","","775"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","22986","0.0-4.0","","","","","","","","","4838","","","","","","","","","","","","","","","","",""
"","html-button-response","6","24203","0.0-5.0-0.0","","","","","1215","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","35883","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","36963","0.0-5.0-2.0","","","","","1080","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","56485","0.0-5.0-3.0","","","","","","","","","","[[{""x"":453,""y"":308,""dx"":15.166656494140625,""dy"":57,""t"":991},{""x"":453,""y"":322,""dx"":15.166656494140625,""dy"":71,""t"":1023},{""x"":460,""y"":325,""dx"":22.166656494140625,""dy"":74,""t"":1057},{""x"":446,""y"":333,""dx"":8.166656494140625,""dy"":82,""t"":1088},{""x"":437,""y"":316,""dx"":-0.833343505859375,""dy"":65,""t"":1125},{""x"":445,""y"":316,""dx"":7.166656494140625,""dy"":65,""t"":1161},{""x"":428,""y"":332,""dx"":-9.833343505859375,""dy"":81,""t"":1191},{""x"":408,""y"":342,""dx"":-29.833343505859375,""dy"":91,""t"":1228},{""x"":384,""y"":347,""dx"":-53.833343505859375,""dy"":96,""t"":1264},{""x"":394,""y"":346,""dx"":-43.833343505859375,""dy"":95,""t"":1295},{""x"":403,""y"":344,""dx"":-34.833343505859375,""dy"":93,""t"":1328},{""x"":389,""y"":340,""dx"":-48.833343505859375,""dy"":89,""t"":1362},{""x"":406,""y"":342,""dx"":-31.833343505859375,""dy"":91,""t"":1398},{""x"":403,""y"":342,""dx"":-34.833343505859375,""dy"":91,""t"":1432},{""x"":387,""y"":332,""dx"":-50.833343505859375,""dy"":81,""t"":1464},{""x"":403,""y"":335,""dx"":-34.833343505859375,""dy"":84,""t"":1501},{""x"":432,""y"":327,""dx"":-5.833343505859375,""dy"":76,""t"":1531},{""x"":417,""y"":317,""dx"":-20.833343505859375,""dy"":66,""t"":1568},{""x"":428,""y"":311,""dx"":-9.833343505859375,""dy"":60,""t"":1599},{""x"":447,""y"":290,""dx"":9.166656494140625,""dy"":39,""t"":1634},{""x"":438,""y"":295,""dx"":0.166656494140625,""dy"":44,""t"":1671},{""x"":463,""y"":293,""dx"":25.166656494140625,""dy"":42,""t"":1701},{""x"":440,""y"":304,""dx"":2.166656494140625,""dy"":53,""t"":1735},{""x"":429,""y"":312,""dx"":-8.833343505859375,""dy"":61,""t"":1775},{""x"":436,""y"":310,""dx"":-1.833343505859375,""dy"":59,""t"":1804},{""x"":436,""y"":304,""dx"":-1.833343505859375,""dy"":53,""t"":1839},{""x"":445,""y"":298,""dx"":7.166656494140625,""dy"":47,""t"":1872},{""x"":453,""y"":291,""dx"":15.166656494140625,""dy"":40,""t"":1907},{""x"":440,""y"":313,""dx"":2.166656494140625,""dy"":62,""t"":1944},{""x"":452,""y"":306,""dx"":14.166656494140625,""dy"":55,""t"":1982},{""x"":460,""y"":297,""dx"":22.166656494140625,""dy"":46,""t"":2007},{""x"":457,""y"":286,""dx"":19.166656494140625,""dy"":35,""t"":2046},{""x"":482,""y"":282,""dx"":44.166656494140625,""dy"":31,""t"":2077},{""x"":480,""y"":273,""dx"":42.166656494140625,""dy"":22,""t"":2111},{""x"":475,""y"":275,""dx"":37.166656494140625,""dy"":24,""t"":2143},{""x"":478,""y"":285,""dx"":40.166656494140625,""dy"":34,""t"":2180},{""x"":466,""y"":287,""dx"":28.166656494140625,""dy"":36,""t"":2215},{""x"":467,""y"":287,""dx"":29.166656494140625,""dy"":36,""t"":2246},{""x"":449,""y"":289,""dx"":11.166656494140625,""dy"":38,""t"":2280},{""x"":430,""y"":289,""dx"":-7.833343505859375,""dy"":38,""t"":2313},{""x"":420,""y"":283,""dx"":-17.833343505859375,""dy"":32,""t"":2349},{""x"":444,""y"":262,""dx"":6.166656494140625,""dy"":11,""t"":2383},{""x"":434,""y"":264,""dx"":-3.833343505859375,""dy"":13,""t"":2417},{""x"":431,""y"":268,""dx"":-6.833343505859375,""dy"":17,""t"":2452},{""x"":421,""y"":261,""dx"":-16.833343505859375,""dy"":10,""t"":2487},{""x"":414,""y"":271,""dx"":-23.833343505859375,""dy"":20,""t"":2520},{""x"":409,""y"":290,""dx"":-28.833343505859375,""dy"":39,""t"":2551},{""x"":404,""y"":294,""dx"":-33.833343505859375,""dy"":43,""t"":2586},{""x"":416,""y"":296,""dx"":-21.833343505859375,""dy"":45,""t"":2623},{""x"":445,""y"":287,""dx"":7.166656494140625,""dy"":36,""t"":2655},{""x"":442,""y"":287,""dx"":4.166656494140625,""dy"":36,""t"":2688},{""x"":452,""y"":274,""dx"":14.166656494140625,""dy"":23,""t"":2726},{""x"":447,""y"":276,""dx"":9.166656494140625,""dy"":25,""t"":2756},{""x"":463,""y"":258,""dx"":25.166656494140625,""dy"":7,""t"":2791},{""x"":481,""y"":261,""dx"":43.166656494140625,""dy"":10,""t"":2823},{""x"":460,""y"":253,""dx"":22.166656494140625,""dy"":2,""t"":2859},{""x"":438,""y"":282,""dx"":0.166656494140625,""dy"":31,""t"":2895},{""x"":435,""y"":290,""dx"":-2.833343505859375,""dy"":39,""t"":2925},{""x"":440,""y"":304,""dx"":2.166656494140625,""dy"":53,""t"":2960}],[{""x"":1332,""y"":164,""dx"":40.5,""dy"":-87,""t"":3980},{""x"":1341,""y"":157,""dx"":49.5,""dy"":-94,""t"":4015},{""x"":1315,""y"":174,""dx"":23.5,""dy"":-77,""t"":4047},{""x"":1293,""y"":189,""dx"":1.5,""dy"":-62,""t"":4082},{""x"":1277,""y"":186,""dx"":-14.5,""dy"":-65,""t"":4120},{""x"":1272,""y"":199,""dx"":-19.5,""dy"":-52,""t"":4149},{""x"":1207,""y"":189,""dx"":-84.5,""dy"":-62,""t"":4184},{""x"":1237,""y"":199,""dx"":-54.5,""dy"":-52,""t"":4223},{""x"":1264,""y"":200,""dx"":-27.5,""dy"":-51,""t"":4252},{""x"":1267,""y"":197,""dx"":-24.5,""dy"":-54,""t"":4287},{""x"":1268,""y"":183,""dx"":-23.5,""dy"":-68,""t"":4320},{""x"":1264,""y"":185,""dx"":-27.5,""dy"":-66,""t"":4355},{""x"":1222,""y"":173,""dx"":-69.5,""dy"":-78,""t"":4391},{""x"":1248,""y"":159,""dx"":-43.5,""dy"":-92,""t"":4423},{""x"":1270,""y"":142,""dx"":-21.5,""dy"":-109,""t"":4456},{""x"":1294,""y"":141,""dx"":2.5,""dy"":-110,""t"":4494},{""x"":1322,""y"":154,""dx"":30.5,""dy"":-97,""t"":4526},{""x"":1314,""y"":159,""dx"":22.5,""dy"":-92,""t"":4559},{""x"":1296,""y"":144,""dx"":4.5,""dy"":-107,""t"":4591},{""x"":1321,""y"":156,""dx"":29.5,""dy"":-95,""t"":4629},{""x"":1312,""y"":141,""dx"":20.5,""dy"":-110,""t"":4664},{""x"":1327,""y"":161,""dx"":35.5,""dy"":-90,""t"":4694},{""x"":1298,""y"":177,""dx"":6.5,""dy"":-74,""t"":4729},{""x"":1301,""y"":178,""dx"":9.5,""dy"":-73,""t"":4761},{""x"":1270,""y"":169,""dx"":-21.5,""dy"":-82,""t"":4797},{""x"":1241,""y"":166,""dx"":-50.5,""dy"":-85,""t"":4833},{""x"":1211,""y"":166,""dx"":-80.5,""dy"":-85,""t"":4864},{""x"":1243,""y"":154,""dx"":-48.5,""dy"":-97,""t"":4903},{""x"":1256,""y"":171,""dx"":-35.5,""dy"":-80,""t"":4932},{""x"":1210,""y"":168,""dx"":-81.5,""dy"":-83,""t"":4967},{""x"":1227,""y"":157,""dx"":-64.5,""dy"":-94,""t"":5000},{""x"":1221,""y"":155,""dx"":-70.5,""dy"":-96,""t"":5035},{""x"":1267,""y"":146,""dx"":-24.5,""dy"":-105,""t"":5070},{""x"":1231,""y"":166,""dx"":-60.5,""dy"":-85,""t"":5103},{""x"":1214,""y"":171,""dx"":-77.5,""dy"":-80,""t"":5137},{""x"":1220,""y"":177,""dx"":-71.5,""dy"":-74,""t"":5173},{""x"":1219,""y"":182,""dx"":-72.5,""dy"":-69,""t"":5203},{""x"":1232,""y"":175,""dx"":-59.5,""dy"":-76,""t"":5241},{""x"":1243,""y"":168,""dx"":-48.5,""dy"":-83,""t"":5271},{""x"":1264,""y"":185,""dx"":-27.5,""dy"":-66,""t"":5307},{""x"":1281,""y"":200,""dx"":-10.5,""dy"":-51,""t"":5342},{""x"":1292,""y"":207,""dx"":0.5,""dy"":-44,""t"":5373},{""x"":1291,""y"":217,""dx"":-0.5,""dy"":-34,""t"":5409},{""x"":1285,""y"":224,""dx"":-6.5,""dy"":-27,""t"":5446},{""x"":1230,""y"":213,""dx"":-61.5,""dy"":-38,""t"":5476},{""x"":1253,""y"":212,""dx"":-38.5,""dy"":-39,""t"":5512},{""x"":1262,""y"":194,""dx"":-29.5,""dy"":-57,""t"":5543},{""x"":1263,""y"":185,""dx"":-28.5,""dy"":-66,""t"":5579},{""x"":1263,""y"":172,""dx"":-28.5,""dy"":-79,""t"":5616},{""x"":1287,""y"":168,""dx"":-4.5,""dy"":-83,""t"":5645},{""x"":1312,""y"":164,""dx"":20.5,""dy"":-87,""t"":5680},{""x"":1303,""y"":156,""dx"":11.5,""dy"":-95,""t"":5719},{""x"":1304,""y"":162,""dx"":12.5,""dy"":-89,""t"":5748},{""x"":1292,""y"":179,""dx"":0.5,""dy"":-72,""t"":5784},{""x"":1287,""y"":180,""dx"":-4.5,""dy"":-71,""t"":5816},{""x"":1286,""y"":194,""dx"":-5.5,""dy"":-57,""t"":5852},{""x"":1262,""y"":187,""dx"":-29.5,""dy"":-64,""t"":5887},{""x"":1269,""y"":203,""dx"":-22.5,""dy"":-48,""t"":5920},{""x"":1282,""y"":184,""dx"":-9.5,""dy"":-67,""t"":5951}],[{""x"":711,""y"":276,""dx"":-153.66668701171875,""dy"":-215,""t"":7008},{""x"":749,""y"":282,""dx"":-115.66668701171875,""dy"":-209,""t"":7038},{""x"":714,""y"":288,""dx"":-150.66668701171875,""dy"":-203,""t"":7077},{""x"":772,""y"":284,""dx"":-92.66668701171875,""dy"":-207,""t"":7111},{""x"":737,""y"":292,""dx"":-127.66668701171875,""dy"":-199,""t"":7143},{""x"":686,""y"":304,""dx"":-178.66668701171875,""dy"":-187,""t"":7177},{""x"":672,""y"":306,""dx"":-192.66668701171875,""dy"":-185,""t"":7209},{""x"":680,""y"":296,""dx"":-184.66668701171875,""dy"":-195,""t"":7245},{""x"":664,""y"":291,""dx"":-200.66668701171875,""dy"":-200,""t"":7280},{""x"":641,""y"":270,""dx"":-223.66668701171875,""dy"":-221,""t"":7311},{""x"":669,""y"":279,""dx"":-195.66668701171875,""dy"":-212,""t"":7349},{""x"":729,""y"":294,""dx"":-135.66668701171875,""dy"":-197,""t"":7380},{""x"":748,""y"":281,""dx"":-116.66668701171875,""dy"":-210,""t"":7415},{""x"":792,""y"":263,""dx"":-72.66668701171875,""dy"":-228,""t"":7447},{""x"":764,""y"":259,""dx"":-100.66668701171875,""dy"":-232,""t"":7483},{""x"":769,""y"":261,""dx"":-95.66668701171875,""dy"":-230,""t"":7518},{""x"":757,""y"":245,""dx"":-107.66668701171875,""dy"":-246,""t"":7552},{""x"":758,""y"":240,""dx"":-106.66668701171875,""dy"":-251,""t"":7585},{""x"":749,""y"":253,""dx"":-115.66668701171875,""dy"":-238,""t"":7622},{""x"":747,""y"":265,""dx"":-117.66668701171875,""dy"":-226,""t"":7652},{""x"":730,""y"":255,""dx"":-134.66668701171875,""dy"":-236,""t"":7688},{""x"":745,""y"":256,""dx"":-119.66668701171875,""dy"":-235,""t"":7720},{""x"":704,""y"":252,""dx"":-160.66668701171875,""dy"":-239,""t"":7754},{""x"":732,""y"":236,""dx"":-132.66668701171875,""dy"":-255,""t"":7792},{""x"":702,""y"":234,""dx"":-162.66668701171875,""dy"":-257,""t"":7825},{""x"":760,""y"":238,""dx"":-104.66668701171875,""dy"":-253,""t"":7856},{""x"":715,""y"":231,""dx"":-149.66668701171875,""dy"":-260,""t"":7895},{""x"":735,""y"":232,""dx"":-129.66668701171875,""dy"":-259,""t"":7924},{""x"":709,""y"":236,""dx"":-155.66668701171875,""dy"":-255,""t"":7959},{""x"":686,""y"":243,""dx"":-178.66668701171875,""dy"":-248,""t"":7992},{""x"":653,""y"":239,""dx"":-211.66668701171875,""dy"":-252,""t"":8027},{""x"":720,""y"":237,""dx"":-144.66668701171875,""dy"":-254,""t"":8063},{""x"":732,""y"":226,""dx"":-132.66668701171875,""dy"":-265,""t"":8095},{""x"":736,""y"":234,""dx"":-128.66668701171875,""dy"":-257,""t"":8127},{""x"":791,""y"":233,""dx"":-73.66668701171875,""dy"":-258,""t"":8167},{""x"":730,""y"":252,""dx"":-134.66668701171875,""dy"":-239,""t"":8198},{""x"":728,""y"":246,""dx"":-136.66668701171875,""dy"":-245,""t"":8232},{""x"":704,""y"":239,""dx"":-160.66668701171875,""dy"":-252,""t"":8263},{""x"":739,""y"":243,""dx"":-125.66668701171875,""dy"":-248,""t"":8301},{""x"":764,""y"":236,""dx"":-100.66668701171875,""dy"":-255,""t"":8336},{""x"":745,""y"":226,""dx"":-119.66668701171875,""dy"":-265,""t"":8367},{""x"":744,""y"":232,""dx"":-120.66668701171875,""dy"":-259,""t"":8401},{""x"":746,""y"":247,""dx"":-118.66668701171875,""dy"":-244,""t"":8433},{""x"":747,""y"":234,""dx"":-117.66668701171875,""dy"":-257,""t"":8470},{""x"":736,""y"":229,""dx"":-128.66668701171875,""dy"":-262,""t"":8502},{""x"":734,""y"":237,""dx"":-130.66668701171875,""dy"":-254,""t"":8536},{""x"":740,""y"":237,""dx"":-124.66668701171875,""dy"":-254,""t"":8573},{""x"":784,""y"":240,""dx"":-80.66668701171875,""dy"":-251,""t"":8604},{""x"":789,""y"":231,""dx"":-75.66668701171875,""dy"":-260,""t"":8639},{""x"":796,""y"":237,""dx"":-68.66668701171875,""dy"":-254,""t"":8671},{""x"":813,""y"":232,""dx"":-51.66668701171875,""dy"":-259,""t"":8707},{""x"":802,""y"":236,""dx"":-62.66668701171875,""dy"":-255,""t"":8742},{""x"":801,""y"":242,""dx"":-63.66668701171875,""dy"":-249,""t"":8776},{""x"":787,""y"":252,""dx"":-77.66668701171875,""dy"":-239,""t"":8808},{""x"":762,""y"":261,""dx"":-102.66668701171875,""dy"":-230,""t"":8846},{""x"":758,""y"":260,""dx"":-106.66668701171875,""dy"":-231,""t"":8876},{""x"":746,""y"":260,""dx"":-118.66668701171875,""dy"":-231,""t"":8911},{""x"":767,""y"":271,""dx"":-97.66668701171875,""dy"":-220,""t"":8945},{""x"":774,""y"":277,""dx"":-90.66668701171875,""dy"":-214,""t"":8979}],[{""x"":495,""y"":444,""dx"":57.166656494140625,""dy"":-287,""t"":9997},{""x"":480,""y"":443,""dx"":42.166656494140625,""dy"":-288,""t"":10032},{""x"":468,""y"":462,""dx"":30.166656494140625,""dy"":-269,""t"":10070},{""x"":472,""y"":473,""dx"":34.166656494140625,""dy"":-258,""t"":10101},{""x"":480,""y"":482,""dx"":42.166656494140625,""dy"":-249,""t"":10136},{""x"":469,""y"":479,""dx"":31.166656494140625,""dy"":-252,""t"":10167},{""x"":459,""y"":484,""dx"":21.166656494140625,""dy"":-247,""t"":10204},{""x"":457,""y"":496,""dx"":19.166656494140625,""dy"":-235,""t"":10239},{""x"":476,""y"":498,""dx"":38.166656494140625,""dy"":-233,""t"":10269},{""x"":477,""y"":511,""dx"":39.166656494140625,""dy"":-220,""t"":10305},{""x"":496,""y"":512,""dx"":58.166656494140625,""dy"":-219,""t"":10342},{""x"":466,""y"":502,""dx"":28.166656494140625,""dy"":-229,""t"":10373},{""x"":458,""y"":511,""dx"":20.166656494140625,""dy"":-220,""t"":10409},{""x"":452,""y"":518,""dx"":14.166656494140625,""dy"":-213,""t"":10439},{""x"":439,""y"":520,""dx"":1.166656494140625,""dy"":-211,""t"":10481},{""x"":445,""y"":529,""dx"":7.166656494140625,""dy"":-202,""t"":10509},{""x"":466,""y"":519,""dx"":28.166656494140625,""dy"":-212,""t"":10543},{""x"":480,""y"":523,""dx"":42.166656494140625,""dy"":-208,""t"":10576},{""x"":486,""y"":527,""dx"":48.166656494140625,""dy"":-204,""t"":10609},{""x"":486,""y"":514,""dx"":48.166656494140625,""dy"":-217,""t"":10646},{""x"":494,""y"":505,""dx"":56.166656494140625,""dy"":-226,""t"":10679},{""x"":493,""y"":513,""dx"":55.166656494140625,""dy"":-218,""t"":10711},{""x"":510,""y"":497,""dx"":72.16665649414062,""dy"":-234,""t"":10748},{""x"":549,""y"":488,""dx"":111.16665649414062,""dy"":-243,""t"":10803},{""x"":574,""y"":487,""dx"":136.16665649414062,""dy"":-244,""t"":10815},{""x"":551,""y"":493,""dx"":113.16665649414062,""dy"":-238,""t"":10848},{""x"":537,""y"":487,""dx"":99.16665649414062,""dy"":-244,""t"":10882},{""x"":553,""y"":505,""dx"":115.16665649414062,""dy"":-226,""t"":10918},{""x"":565,""y"":513,""dx"":127.16665649414062,""dy"":-218,""t"":10952},{""x"":586,""y"":493,""dx"":148.16665649414062,""dy"":-238,""t"":10984},{""x"":592,""y"":500,""dx"":154.16665649414062,""dy"":-231,""t"":11021},{""x"":629,""y"":489,""dx"":191.16665649414062,""dy"":-242,""t"":11051},{""x"":621,""y"":478,""dx"":183.16665649414062,""dy"":-253,""t"":11089},{""x"":653,""y"":473,""dx"":215.16665649414062,""dy"":-258,""t"":11120},{""x"":648,""y"":491,""dx"":210.16665649414062,""dy"":-240,""t"":11154},{""x"":652,""y"":494,""dx"":214.16665649414062,""dy"":-237,""t"":11191},{""x"":639,""y"":513,""dx"":201.16665649414062,""dy"":-218,""t"":11221},{""x"":613,""y"":532,""dx"":175.16665649414062,""dy"":-199,""t"":11256},{""x"":611,""y"":521,""dx"":173.16665649414062,""dy"":-210,""t"":11295},{""x"":622,""y"":525,""dx"":184.16665649414062,""dy"":-206,""t"":11324},{""x"":625,""y"":497,""dx"":187.16665649414062,""dy"":-234,""t"":11359},{""x"":605,""y"":501,""dx"":167.16665649414062,""dy"":-230,""t"":11392},{""x"":583,""y"":503,""dx"":145.16665649414062,""dy"":-228,""t"":11427},{""x"":549,""y"":508,""dx"":111.16665649414062,""dy"":-223,""t"":11463},{""x"":550,""y"":514,""dx"":112.16665649414062,""dy"":-217,""t"":11494},{""x"":550,""y"":527,""dx"":112.16665649414062,""dy"":-204,""t"":11527},{""x"":530,""y"":536,""dx"":92.16665649414062,""dy"":-195,""t"":11566},{""x"":541,""y"":534,""dx"":103.16665649414062,""dy"":-197,""t"":11597},{""x"":522,""y"":526,""dx"":84.16665649414062,""dy"":-205,""t"":11631},{""x"":557,""y"":537,""dx"":119.16665649414062,""dy"":-194,""t"":11663},{""x"":588,""y"":546,""dx"":150.16665649414062,""dy"":-185,""t"":11699},{""x"":577,""y"":540,""dx"":139.16665649414062,""dy"":-191,""t"":11737},{""x"":572,""y"":522,""dx"":134.16665649414062,""dy"":-209,""t"":11766},{""x"":547,""y"":523,""dx"":109.16665649414062,""dy"":-208,""t"":11799},{""x"":596,""y"":508,""dx"":158.16665649414062,""dy"":-223,""t"":11833},{""x"":697,""y"":533,""dx"":259.1666564941406,""dy"":-198,""t"":11870},{""x"":838,""y"":530,""dx"":400.1666564941406,""dy"":-201,""t"":11903},{""x"":995,""y"":530,""dx"":557.1666564941406,""dy"":-201,""t"":11935},{""x"":1087,""y"":524,""dx"":649.1666564941406,""dy"":-207,""t"":11973}],[{""x"":1314,""y"":383,""dx"":22.5,""dy"":-348,""t"":13025},{""x"":1333,""y"":399,""dx"":41.5,""dy"":-332,""t"":13057},{""x"":1329,""y"":414,""dx"":37.5,""dy"":-317,""t"":13093},{""x"":1325,""y"":400,""dx"":33.5,""dy"":-331,""t"":13128},{""x"":1325,""y"":421,""dx"":33.5,""dy"":-310,""t"":13160},{""x"":1317,""y"":430,""dx"":25.5,""dy"":-301,""t"":13196},{""x"":1323,""y"":421,""dx"":31.5,""dy"":-310,""t"":13233},{""x"":1345,""y"":408,""dx"":53.5,""dy"":-323,""t"":13263},{""x"":1337,""y"":436,""dx"":45.5,""dy"":-295,""t"":13296},{""x"":1358,""y"":424,""dx"":66.5,""dy"":-307,""t"":13331},{""x"":1328,""y"":438,""dx"":36.5,""dy"":-293,""t"":13366},{""x"":1345,""y"":434,""dx"":53.5,""dy"":-297,""t"":13403},{""x"":1328,""y"":438,""dx"":36.5,""dy"":-293,""t"":13433},{""x"":1322,""y"":464,""dx"":30.5,""dy"":-267,""t"":13469},{""x"":1343,""y"":459,""dx"":51.5,""dy"":-272,""t"":13499},{""x"":1323,""y"":461,""dx"":31.5,""dy"":-270,""t"":13536},{""x"":1343,""y"":451,""dx"":51.5,""dy"":-280,""t"":13567},{""x"":1342,""y"":452,""dx"":50.5,""dy"":-279,""t"":13602},{""x"":1328,""y"":461,""dx"":36.5,""dy"":-270,""t"":13639},{""x"":1319,""y"":450,""dx"":27.5,""dy"":-281,""t"":13669},{""x"":1285,""y"":442,""dx"":-6.5,""dy"":-289,""t"":13704},{""x"":1298,""y"":444,""dx"":6.5,""dy"":-287,""t"":13742},{""x"":1305,""y"":470,""dx"":13.5,""dy"":-261,""t"":13772},{""x"":1307,""y"":481,""dx"":15.5,""dy"":-250,""t"":13808},{""x"":1287,""y"":466,""dx"":-4.5,""dy"":-265,""t"":13841},{""x"":1291,""y"":470,""dx"":-0.5,""dy"":-261,""t"":13875},{""x"":1282,""y"":475,""dx"":-9.5,""dy"":-256,""t"":13911},{""x"":1297,""y"":483,""dx"":5.5,""dy"":-248,""t"":13943},{""x"":1327,""y"":476,""dx"":35.5,""dy"":-255,""t"":13975},{""x"":1302,""y"":475,""dx"":10.5,""dy"":-256,""t"":14015},{""x"":1314,""y"":469,""dx"":22.5,""dy"":-262,""t"":14046},{""x"":1320,""y"":450,""dx"":28.5,""dy"":-281,""t"":14079},{""x"":1321,""y"":470,""dx"":29.5,""dy"":-261,""t"":14111},{""x"":1335,""y"":445,""dx"":43.5,""dy"":-286,""t"":14149},{""x"":1335,""y"":423,""dx"":43.5,""dy"":-308,""t"":14183},{""x"":1329,""y"":422,""dx"":37.5,""dy"":-309,""t"":14215},{""x"":1321,""y"":405,""dx"":29.5,""dy"":-326,""t"":14248},{""x"":1306,""y"":415,""dx"":14.5,""dy"":-316,""t"":14281},{""x"":1319,""y"":406,""dx"":27.5,""dy"":-325,""t"":14317},{""x"":1304,""y"":408,""dx"":12.5,""dy"":-323,""t"":14354},{""x"":1321,""y"":401,""dx"":29.5,""dy"":-330,""t"":14384},{""x"":1339,""y"":387,""dx"":47.5,""dy"":-344,""t"":14420},{""x"":1323,""y"":424,""dx"":31.5,""dy"":-307,""t"":14452},{""x"":1324,""y"":412,""dx"":32.5,""dy"":-319,""t"":14487},{""x"":1294,""y"":438,""dx"":2.5,""dy"":-293,""t"":14519},{""x"":1279,""y"":446,""dx"":-12.5,""dy"":-285,""t"":14555},{""x"":1272,""y"":458,""dx"":-19.5,""dy"":-273,""t"":14590},{""x"":1258,""y"":455,""dx"":-33.5,""dy"":-276,""t"":14624},{""x"":1292,""y"":461,""dx"":0.5,""dy"":-270,""t"":14655},{""x"":1331,""y"":436,""dx"":39.5,""dy"":-295,""t"":14694},{""x"":1331,""y"":419,""dx"":39.5,""dy"":-312,""t"":14730},{""x"":1330,""y"":404,""dx"":38.5,""dy"":-327,""t"":14759},{""x"":1338,""y"":416,""dx"":46.5,""dy"":-315,""t"":14791},{""x"":1356,""y"":411,""dx"":64.5,""dy"":-320,""t"":14827},{""x"":1362,""y"":419,""dx"":70.5,""dy"":-312,""t"":14863},{""x"":1379,""y"":425,""dx"":87.5,""dy"":-306,""t"":14893},{""x"":1350,""y"":406,""dx"":58.5,""dy"":-325,""t"":14929},{""x"":1376,""y"":414,""dx"":84.5,""dy"":-317,""t"":14966},{""x"":1331,""y"":397,""dx"":39.5,""dy"":-334,""t"":14996}]]","[100,100,0,0,0]","[{""x"":-0.6299536753509004,""y"":49.067796610169495,""r"":27.430254194218413},{""x"":-21.415254237288135,""y"":-75,""r"":36.691204259057656},{""x"":-125.78533107951536,""y"":-237.3050847457627,""r"":30.991885770720614},{""x"":125.01411412125927,""y"":-224.5084745762712,""r"":68.42596235380847},{""x"":30.5,""y"":-295.9491525423729,""r"":32.06485814465471}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
