"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","70","174776","0.0-6.0-2.0-2.17","","","","","432","6","","[""rect"",""ring_1""]","","","","","","","","","","","","","[{""x"":992,""y"":503,""t"":5},{""x"":998,""y"":466,""t"":38},{""x"":1004,""y"":442,""t"":80},{""x"":999,""y"":401,""t"":106},{""x"":983,""y"":411,""t"":144},{""x"":1002,""y"":396,""t"":174},{""x"":998,""y"":409,""t"":208},{""x"":1004,""y"":391,""t"":257},{""x"":997,""y"":421,""t"":281},{""x"":996,""y"":426,""t"":310},{""x"":992,""y"":437,""t"":354},{""x"":983,""y"":432,""t"":379},{""x"":976,""y"":427,""t"":413}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","ring_1","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","71","175799","0.0-6.0-2.0-0.18","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","72","175910","0.0-6.0-2.0-1.18","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","73","177487","0.0-6.0-2.0-2.18","","","","","563","5","","[""rect"",""triangle_1""]","","","","","","","","","","","","","[{""x"":962,""y"":398,""t"":5},{""x"":959,""y"":382,""t"":41},{""x"":959,""y"":347,""t"":72},{""x"":957,""y"":340,""t"":113},{""x"":952,""y"":318,""t"":140},{""x"":960,""y"":348,""t"":184},{""x"":960,""y"":405,""t"":212},{""x"":960,""y"":425,""t"":241},{""x"":963,""y"":454,""t"":286},{""x"":959,""y"":416,""t"":310},{""x"":961,""y"":430,""t"":349},{""x"":971,""y"":440,""t"":378},{""x"":952,""y"":425,""t"":416},{""x"":958,""y"":439,""t"":446},{""x"":946,""y"":440,""t"":489},{""x"":952,""y"":470,""t"":513}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","74","178503","0.0-6.0-2.0-0.19","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","75","178631","0.0-6.0-2.0-1.19","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","76","180207","0.0-6.0-2.0-2.19","","","","","562","5","","[""circle"",""triangle_1""]","","","","","","","","","","","","","[{""x"":952,""y"":459,""t"":5},{""x"":966,""y"":414,""t"":41},{""x"":968,""y"":393,""t"":74},{""x"":956,""y"":385,""t"":106},{""x"":956,""y"":380,""t"":157},{""x"":951,""y"":360,""t"":175},{""x"":962,""y"":337,""t"":221},{""x"":981,""y"":320,""t"":242},{""x"":987,""y"":276,""t"":276},{""x"":982,""y"":253,""t"":313},{""x"":965,""y"":283,""t"":344},{""x"":978,""y"":277,""t"":378},{""x"":993,""y"":254,""t"":428},{""x"":998,""y"":249,""t"":446},{""x"":1004,""y"":238,""t"":492},{""x"":1019,""y"":243,""t"":516}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","77","181207","0.0-6.0-2.0-0.20","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","78","181320","0.0-6.0-2.0-1.20","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","79","182832","0.0-6.0-2.0-2.20","","","","","496","6","","[""triangle_1"",""rect""]","","","","","","","","","","","","","[{""x"":980,""y"":307,""t"":5},{""x"":995,""y"":346,""t"":39},{""x"":1019,""y"":355,""t"":74},{""x"":1001,""y"":403,""t"":106},{""x"":978,""y"":442,""t"":155},{""x"":954,""y"":496,""t"":178},{""x"":961,""y"":513,""t"":208},{""x"":955,""y"":534,""t"":252},{""x"":950,""y"":564,""t"":276},{""x"":950,""y"":554,""t"":313},{""x"":950,""y"":542,""t"":342},{""x"":963,""y"":536,""t"":378},{""x"":1013,""y"":546,""t"":428},{""x"":1062,""y"":542,""t"":451}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","6","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","80","183847","0.0-6.0-2.0-0.21","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","81","183960","0.0-6.0-2.0-1.21","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","82","185491","0.0-6.0-2.0-2.21","","","","","517","6","","[""triangle_1"",""circle""]","","","","","","","","","","","","","[{""x"":1099,""y"":543,""t"":5},{""x"":1078,""y"":542,""t"":38},{""x"":1069,""y"":569,""t"":72},{""x"":1065,""y"":571,""t"":107},{""x"":1038,""y"":587,""t"":141},{""x"":1013,""y"":588,""t"":188},{""x"":1006,""y"":603,""t"":212},{""x"":983,""y"":604,""t"":242},{""x"":969,""y"":630,""t"":285},{""x"":954,""y"":641,""t"":312},{""x"":978,""y"":619,""t"":344},{""x"":996,""y"":601,""t"":387},{""x"":1028,""y"":570,""t"":414},{""x"":1041,""y"":561,""t"":447},{""x"":1061,""y"":570,""t"":493}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","6","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","83","186503","0.0-6.0-2.0-0.22","","","","","null","null","","","","","","","","","recognition","","[""6"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""5"",""6"",""4"",""5"",""4"",""4"",""6"",""6"",""4"",""5"",""5"",""5"",""5"",""6"",""4"",""4"",""6"",""6""]","1000","2","shape","","","","","",""
