"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","42","87934","0.0-6.0-2.0-0.10","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","43","88044","0.0-6.0-2.0-1.10","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","44","89539","0.0-6.0-2.0-2.10","","","","","487","4","","[""triangle"",""ring_1""]","","","","","","","","","","","","[{""x"":907,""y"":511,""t"":5},{""x"":900,""y"":500,""t"":40},{""x"":912,""y"":488,""t"":72},{""x"":902,""y"":487,""t"":107},{""x"":915,""y"":481,""t"":140},{""x"":930,""y"":485,""t"":174},{""x"":946,""y"":487,""t"":208},{""x"":960,""y"":490,""t"":242},{""x"":955,""y"":487,""t"":276},{""x"":997,""y"":492,""t"":310},{""x"":1044,""y"":495,""t"":343},{""x"":1083,""y"":496,""t"":378},{""x"":1112,""y"":503,""t"":412},{""x"":1149,""y"":508,""t"":446}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle","4","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","45","90550","0.0-6.0-2.0-0.11","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","46","90658","0.0-6.0-2.0-1.11","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","47","92149","0.0-6.0-2.0-2.11","","","","","475","5","","[""circle"",""triangle_1""]","","","","","","","","","","","","[{""x"":1146,""y"":520,""t"":4},{""x"":1115,""y"":512,""t"":39},{""x"":1104,""y"":524,""t"":72},{""x"":1105,""y"":517,""t"":106},{""x"":1087,""y"":509,""t"":141},{""x"":1072,""y"":516,""t"":175},{""x"":1059,""y"":522,""t"":206},{""x"":1052,""y"":513,""t"":241},{""x"":1036,""y"":492,""t"":276},{""x"":1015,""y"":487,""t"":309},{""x"":1024,""y"":510,""t"":344},{""x"":963,""y"":522,""t"":378},{""x"":918,""y"":518,""t"":411},{""x"":874,""y"":510,""t"":446}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","48","93158","0.0-6.0-2.0-0.12","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","49","93266","0.0-6.0-2.0-1.12","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","50","94717","0.0-6.0-2.0-2.12","","","","","439","4","","[""ring_1"",""rect""]","","","","","","","","","","","","[{""x"":909,""y"":496,""t"":3},{""x"":950,""y"":487,""t"":38},{""x"":977,""y"":490,""t"":72},{""x"":994,""y"":494,""t"":106},{""x"":1016,""y"":496,""t"":140},{""x"":1033,""y"":507,""t"":173},{""x"":1050,""y"":506,""t"":207},{""x"":1060,""y"":509,""t"":243},{""x"":1074,""y"":513,""t"":276},{""x"":1017,""y"":518,""t"":310},{""x"":944,""y"":521,""t"":344},{""x"":882,""y"":523,""t"":375},{""x"":837,""y"":514,""t"":412}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","ring_1","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","51","95727","0.0-6.0-2.0-0.13","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
