"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","32","80487","0.0-5.0-1.0-1.7","","","","","null","null","","","[""blue"",""cyan"",""purple"",""green"",""yellow"",""red""]","","","","","","","","","","","[{""x"":1175,""y"":738,""t"":1},{""x"":1114,""y"":726,""t"":35},{""x"":1062,""y"":713,""t"":71},{""x"":1017,""y"":691,""t"":103},{""x"":980,""y"":666,""t"":137},{""x"":943,""y"":643,""t"":174},{""x"":910,""y"":626,""t"":206},{""x"":877,""y"":607,""t"":239},{""x"":867,""y"":594,""t"":275},{""x"":840,""y"":577,""t"":307},{""x"":794,""y"":543,""t"":354},{""x"":751,""y"":537,""t"":378},{""x"":718,""y"":535,""t"":417},{""x"":683,""y"":538,""t"":443},{""x"":673,""y"":533,""t"":482},{""x"":667,""y"":528,""t"":512},{""x"":675,""y"":521,""t"":558},{""x"":678,""y"":523,""t"":581},{""x"":687,""y"":541,""t"":620},{""x"":692,""y"":547,""t"":648},{""x"":701,""y"":566,""t"":686},{""x"":702,""y"":578,""t"":716},{""x"":720,""y"":593,""t"":762},{""x"":739,""y"":584,""t"":785},{""x"":779,""y"":599,""t"":824},{""x"":801,""y"":627,""t"":851},{""x"":822,""y"":637,""t"":887},{""x"":849,""y"":683,""t"":933},{""x"":872,""y"":688,""t"":952},{""x"":889,""y"":711,""t"":995},{""x"":899,""y"":734,""t"":1021},{""x"":914,""y"":760,""t"":1060},{""x"":892,""y"":772,""t"":1090},{""x"":870,""y"":742,""t"":1135},{""x"":851,""y"":732,""t"":1157},{""x"":828,""y"":696,""t"":1198},{""x"":858,""y"":657,""t"":1226},{""x"":919,""y"":627,""t"":1261},{""x"":981,""y"":585,""t"":1310},{""x"":1025,""y"":552,""t"":1328},{""x"":1100,""y"":563,""t"":1370},{""x"":1169,""y"":613,""t"":1397},{""x"":1223,""y"":651,""t"":1433},{""x"":1265,""y"":684,""t"":1463},{""x"":1295,""y"":694,""t"":1511},{""x"":1308,""y"":699,""t"":1530},{""x"":1317,""y"":704,""t"":1568},{""x"":1316,""y"":709,""t"":1604},{""x"":1319,""y"":716,""t"":1634},{""x"":1300,""y"":722,""t"":1683},{""x"":1288,""y"":730,""t"":1702},{""x"":1282,""y"":728,""t"":1745},{""x"":1261,""y"":730,""t"":1771},{""x"":1210,""y"":698,""t"":1808},{""x"":1177,""y"":663,""t"":1836},{""x"":1145,""y"":613,""t"":1872},{""x"":1125,""y"":582,""t"":1921},{""x"":1094,""y"":559,""t"":1940},{""x"":1109,""y"":547,""t"":1981}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","",""
"","canvas-keyboard-response","33","82641","0.0-5.0-1.0-2.7","","","","","643","9","","","","","","","","","","","","","","","","","true","purple","9"
"","canvas-keyboard-response","34","83659","0.0-5.0-1.0-0.8","","","","","null","null","","","","","","","","","recall","[""4"",""7"",""9"",""3"",""7"",""6"",""1"",""9"",""1"",""4"",""6"",""7"",""6"",""6"",""6"",""1"",""9"",""4"",""3"",""7"",""3"",""1"",""7"",""6"",""9"",""9"",""7"",""4"",""3"",""4"",""1"",""9"",""1"",""3"",""4"",""3""]","1500","color","6","","","","","",""
"","canvas-keyboard-response","35","85668","0.0-5.0-1.0-1.8","","","","","null","null","","","[""yellow"",""green"",""blue"",""purple"",""red"",""cyan""]","","","","","","","","","","","[{""x"":1071,""y"":543,""t"":2},{""x"":1060,""y"":594,""t"":35},{""x"":1041,""y"":618,""t"":69},{""x"":1049,""y"":641,""t"":105},{""x"":1030,""y"":631,""t"":137},{""x"":1014,""y"":623,""t"":172},{""x"":999,""y"":615,""t"":207},{""x"":986,""y"":616,""t"":239},{""x"":980,""y"":623,""t"":273},{""x"":966,""y"":618,""t"":318},{""x"":955,""y"":617,""t"":341},{""x"":944,""y"":626,""t"":380},{""x"":936,""y"":630,""t"":411},{""x"":931,""y"":675,""t"":444},{""x"":944,""y"":679,""t"":490},{""x"":930,""y"":721,""t"":511},{""x"":1012,""y"":779,""t"":555},{""x"":1069,""y"":842,""t"":579},{""x"":1120,""y"":877,""t"":615},{""x"":1159,""y"":882,""t"":646},{""x"":1204,""y"":916,""t"":694},{""x"":1242,""y"":939,""t"":714},{""x"":1173,""y"":924,""t"":758},{""x"":1109,""y"":936,""t"":783},{""x"":1039,""y"":891,""t"":820},{""x"":990,""y"":860,""t"":851},{""x"":948,""y"":827,""t"":898},{""x"":943,""y"":823,""t"":920},{""x"":988,""y"":826,""t"":960},{""x"":1040,""y"":831,""t"":989},{""x"":1087,""y"":858,""t"":1023},{""x"":1111,""y"":859,""t"":1055},{""x"":1140,""y"":865,""t"":1102},{""x"":1148,""y"":855,""t"":1123},{""x"":1099,""y"":826,""t"":1162},{""x"":1044,""y"":783,""t"":1192},{""x"":996,""y"":753,""t"":1242},{""x"":950,""y"":728,""t"":1260},{""x"":918,""y"":689,""t"":1304},{""x"":886,""y"":637,""t"":1329},{""x"":870,""y"":601,""t"":1365},{""x"":863,""y"":558,""t"":1395},{""x"":852,""y"":531,""t"":1444},{""x"":860,""y"":513,""t"":1463},{""x"":925,""y"":526,""t"":1505},{""x"":996,""y"":562,""t"":1533},{""x"":1071,""y"":573,""t"":1566},{""x"":1125,""y"":582,""t"":1612},{""x"":1167,""y"":630,""t"":1635},{""x"":1213,""y"":626,""t"":1675},{""x"":1253,""y"":612,""t"":1702},{""x"":1253,""y"":600,""t"":1740},{""x"":1249,""y"":567,""t"":1769},{""x"":1248,""y"":563,""t"":1817},{""x"":1236,""y"":535,""t"":1837},{""x"":1230,""y"":526,""t"":1882},{""x"":1211,""y"":493,""t"":1905},{""x"":1110,""y"":478,""t"":1942},{""x"":1021,""y"":450,""t"":1975}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","",""
"","canvas-keyboard-response","36","88887","0.0-5.0-1.0-2.8","","","","","1700","6","","","","","","","","","","","","","","","","","false","cyan","1"
"","html-keyboard-response","37","89913","0.0-5.0-1.0-3.8-0.8-0.8","","","","","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","[""4"",""7"",""9"",""3"",""7"",""6"",""1"",""9"",""1"",""4"",""6"",""7"",""6"",""6"",""6"",""1"",""9"",""4"",""3"",""7"",""3"",""1"",""7"",""6"",""9"",""9"",""7"",""4"",""3"",""4"",""1"",""9"",""1"",""3"",""4"",""3""]","1500","color","6","","","","","",""
"","canvas-keyboard-response","38","90933","0.0-5.0-1.0-0.9","","","","","null","null","","","","","","","","","recall","[""4"",""7"",""9"",""3"",""7"",""6"",""1"",""9"",""1"",""4"",""6"",""7"",""6"",""6"",""6"",""1"",""9"",""4"",""3"",""7"",""3"",""1"",""7"",""6"",""9"",""9"",""7"",""4"",""3"",""4"",""1"",""9"",""1"",""3"",""4"",""3""]","1500","color","6","","","","","",""
"","canvas-keyboard-response","39","92947","0.0-5.0-1.0-1.9","","","","","null","null","","","[""blue"",""purple"",""red"",""cyan"",""green"",""yellow""]","","","","","","","","","","","[{""x"":1019,""y"":498,""t"":1},{""x"":1037,""y"":565,""t"":35},{""x"":1039,""y"":603,""t"":71},{""x"":1048,""y"":645,""t"":104},{""x"":1046,""y"":677,""t"":138},{""x"":1010,""y"":670,""t"":173},{""x"":985,""y"":676,""t"":205},{""x"":967,""y"":664,""t"":240},{""x"":954,""y"":652,""t"":273},{""x"":945,""y"":640,""t"":310},{""x"":913,""y"":642,""t"":343},{""x"":894,""y"":618,""t"":388},{""x"":864,""y"":613,""t"":410},{""x"":847,""y"":594,""t"":453},{""x"":817,""y"":586,""t"":478},{""x"":816,""y"":574,""t"":515},{""x"":807,""y"":570,""t"":547},{""x"":815,""y"":562,""t"":591},{""x"":797,""y"":575,""t"":613},{""x"":803,""y"":576,""t"":654},{""x"":818,""y"":575,""t"":681},{""x"":860,""y"":614,""t"":718},{""x"":907,""y"":646,""t"":761},{""x"":949,""y"":687,""t"":783},{""x"":1013,""y"":701,""t"":826},{""x"":1077,""y"":704,""t"":852},{""x"":1137,""y"":701,""t"":887},{""x"":1186,""y"":697,""t"":936},{""x"":1226,""y"":690,""t"":954},{""x"":1281,""y"":677,""t"":996},{""x"":1313,""y"":666,""t"":1024},{""x"":1304,""y"":654,""t"":1059},{""x"":1246,""y"":633,""t"":1090},{""x"":1158,""y"":616,""t"":1139},{""x"":1090,""y"":610,""t"":1158},{""x"":1015,""y"":602,""t"":1200},{""x"":946,""y"":605,""t"":1227},{""x"":875,""y"":581,""t"":1263},{""x"":816,""y"":563,""t"":1294},{""x"":824,""y"":591,""t"":1342},{""x"":802,""y"":614,""t"":1361},{""x"":787,""y"":608,""t"":1405},{""x"":806,""y"":625,""t"":1430},{""x"":839,""y"":633,""t"":1470},{""x"":865,""y"":644,""t"":1498},{""x"":862,""y"":641,""t"":1532},{""x"":890,""y"":684,""t"":1580},{""x"":909,""y"":716,""t"":1600},{""x"":932,""y"":718,""t"":1643},{""x"":931,""y"":733,""t"":1667},{""x"":922,""y"":704,""t"":1707},{""x"":913,""y"":677,""t"":1735},{""x"":907,""y"":624,""t"":1773},{""x"":894,""y"":582,""t"":1819},{""x"":886,""y"":545,""t"":1837},{""x"":891,""y"":528,""t"":1885},{""x"":893,""y"":520,""t"":1904},{""x"":941,""y"":536,""t"":1947},{""x"":998,""y"":563,""t"":1972}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","",""
"","canvas-keyboard-response","40","95201","0.0-5.0-1.0-2.9","","","","","744","4","","","","","","","","","","","","","","","","","true","blue","4"
"","canvas-keyboard-response","41","96220","0.0-5.0-1.0-0.10","","","","","null","null","","","","","","","","","recall","[""4"",""7"",""9"",""3"",""7"",""6"",""1"",""9"",""1"",""4"",""6"",""7"",""6"",""6"",""6"",""1"",""9"",""4"",""3"",""7"",""3"",""1"",""7"",""6"",""9"",""9"",""7"",""4"",""3"",""4"",""1"",""9"",""1"",""3"",""4"",""3""]","1500","color","6","","","","","",""
