"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","49","118039","0.0-6.0-2.0-1.12","","","","","null","null","","[""circle"",""triangle"",""hexagram_1"",""star""]","","","","","","","","","","4","","[{""x"":923,""y"":415,""t"":3},{""x"":938,""y"":475,""t"":37},{""x"":929,""y"":547,""t"":71},{""x"":930,""y"":610,""t"":107},{""x"":944,""y"":644,""t"":147},{""x"":946,""y"":680,""t"":175},{""x"":941,""y"":713,""t"":209},{""x"":929,""y"":748,""t"":243},{""x"":927,""y"":753,""t"":277},{""x"":918,""y"":764,""t"":311},{""x"":927,""y"":774,""t"":345},{""x"":924,""y"":742,""t"":377},{""x"":866,""y"":710,""t"":412},{""x"":795,""y"":678,""t"":446},{""x"":747,""y"":664,""t"":481},{""x"":745,""y"":633,""t"":514},{""x"":734,""y"":595,""t"":548},{""x"":723,""y"":582,""t"":582},{""x"":691,""y"":564,""t"":617},{""x"":665,""y"":551,""t"":649},{""x"":670,""y"":557,""t"":685},{""x"":683,""y"":562,""t"":718},{""x"":788,""y"":563,""t"":752},{""x"":858,""y"":575,""t"":786},{""x"":949,""y"":579,""t"":820},{""x"":1022,""y"":575,""t"":854},{""x"":1073,""y"":591,""t"":888},{""x"":1107,""y"":625,""t"":922},{""x"":1074,""y"":643,""t"":955},{""x"":1035,""y"":640,""t"":989},{""x"":978,""y"":637,""t"":1022},{""x"":949,""y"":626,""t"":1057},{""x"":926,""y"":592,""t"":1093},{""x"":917,""y"":590,""t"":1126},{""x"":915,""y"":552,""t"":1160},{""x"":905,""y"":562,""t"":1195},{""x"":893,""y"":569,""t"":1228},{""x"":879,""y"":567,""t"":1271},{""x"":890,""y"":549,""t"":1298},{""x"":907,""y"":520,""t"":1331},{""x"":895,""y"":513,""t"":1364},{""x"":925,""y"":523,""t"":1398},{""x"":920,""y"":482,""t"":1432},{""x"":913,""y"":481,""t"":1466},{""x"":929,""y"":448,""t"":1500},{""x"":949,""y"":406,""t"":1533},{""x"":952,""y"":407,""t"":1568},{""x"":876,""y"":429,""t"":1602},{""x"":804,""y"":448,""t"":1635},{""x"":749,""y"":476,""t"":1671},{""x"":719,""y"":485,""t"":1704},{""x"":685,""y"":510,""t"":1737},{""x"":658,""y"":539,""t"":1771},{""x"":677,""y"":558,""t"":1807},{""x"":713,""y"":549,""t"":1839},{""x"":717,""y"":533,""t"":1875},{""x"":747,""y"":517,""t"":1909},{""x"":760,""y"":514,""t"":1943},{""x"":771,""y"":516,""t"":1975}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","","",""
"","canvas-keyboard-response","50","120300","0.0-6.0-2.0-2.12","","","","","756","6","","","","","","","","","","","","","","","","","true","hexagram_1","6"
"","canvas-keyboard-response","51","121306","0.0-6.0-2.0-0.13","","","","","null","null","","","","","","","","","recall","[""6"",""4"",""6"",""6"",""4"",""5"",""2"",""5"",""2"",""2"",""5"",""4"",""6"",""8"",""8"",""4"",""4"",""5"",""5"",""8"",""2"",""5"",""6"",""8"",""8"",""5"",""4"",""8"",""4"",""6"",""8"",""4"",""2"",""2"",""2"",""5"",""2"",""5"",""8"",""6"",""2"",""6"",""4"",""8"",""2"",""5"",""8"",""6"",""4"",""6""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","52","123312","0.0-6.0-2.0-1.13","","","","","null","null","","[""hexagram"",""star_1"",""rect"",""triangle""]","","","","","","","","","","4","","[{""x"":776,""y"":565,""t"":3},{""x"":813,""y"":628,""t"":39},{""x"":820,""y"":653,""t"":72},{""x"":829,""y"":689,""t"":105},{""x"":846,""y"":731,""t"":140},{""x"":881,""y"":762,""t"":174},{""x"":875,""y"":760,""t"":207},{""x"":868,""y"":787,""t"":242},{""x"":859,""y"":807,""t"":276},{""x"":845,""y"":815,""t"":311},{""x"":868,""y"":794,""t"":345},{""x"":884,""y"":782,""t"":378},{""x"":824,""y"":759,""t"":412},{""x"":787,""y"":731,""t"":446},{""x"":729,""y"":702,""t"":480},{""x"":713,""y"":686,""t"":515},{""x"":695,""y"":668,""t"":545},{""x"":671,""y"":653,""t"":581},{""x"":651,""y"":640,""t"":615},{""x"":729,""y"":653,""t"":649},{""x"":831,""y"":682,""t"":685},{""x"":915,""y"":692,""t"":718},{""x"":957,""y"":702,""t"":752},{""x"":993,""y"":708,""t"":785},{""x"":1015,""y"":738,""t"":820},{""x"":1028,""y"":790,""t"":854},{""x"":1006,""y"":819,""t"":889},{""x"":976,""y"":843,""t"":919},{""x"":958,""y"":871,""t"":957},{""x"":947,""y"":904,""t"":990},{""x"":905,""y"":923,""t"":1025},{""x"":881,""y"":953,""t"":1058},{""x"":873,""y"":1120,""t"":1092},{""x"":843,""y"":1244,""t"":1125},{""x"":824,""y"":1362,""t"":1160},{""x"":819,""y"":1444,""t"":1194},{""x"":836,""y"":1509,""t"":1229},{""x"":863,""y"":1540,""t"":1261},{""x"":885,""y"":1513,""t"":1296},{""x"":926,""y"":1459,""t"":1331},{""x"":997,""y"":1342,""t"":1365},{""x"":1081,""y"":1219,""t"":1399},{""x"":1131,""y"":1064,""t"":1432},{""x"":1183,""y"":938,""t"":1466},{""x"":1232,""y"":846,""t"":1500},{""x"":1240,""y"":767,""t"":1534},{""x"":1162,""y"":690,""t"":1567},{""x"":1095,""y"":612,""t"":1603},{""x"":1040,""y"":561,""t"":1637},{""x"":986,""y"":516,""t"":1669},{""x"":938,""y"":477,""t"":1704},{""x"":908,""y"":452,""t"":1739},{""x"":870,""y"":453,""t"":1771},{""x"":858,""y"":447,""t"":1806},{""x"":850,""y"":433,""t"":1840},{""x"":841,""y"":431,""t"":1874},{""x"":821,""y"":437,""t"":1907},{""x"":794,""y"":445,""t"":1942},{""x"":782,""y"":464,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","","",""
"","canvas-keyboard-response","53","125524","0.0-6.0-2.0-2.13","","","","","708","8","","","","","","","","","","","","","","","","","true","star_1","8"
"","canvas-keyboard-response","54","126530","0.0-6.0-2.0-0.14","","","","","null","null","","","","","","","","","recall","[""6"",""4"",""6"",""6"",""4"",""5"",""2"",""5"",""2"",""2"",""5"",""4"",""6"",""8"",""8"",""4"",""4"",""5"",""5"",""8"",""2"",""5"",""6"",""8"",""8"",""5"",""4"",""8"",""4"",""6"",""8"",""4"",""2"",""2"",""2"",""5"",""2"",""5"",""8"",""6"",""2"",""6"",""4"",""8"",""2"",""5"",""8"",""6"",""4"",""6""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","55","128536","0.0-6.0-2.0-1.14","","","","","null","null","","[""hexagram_1"",""circle"",""star"",""rect""]","","","","","","","","","","4","","[{""x"":787,""y"":547,""t"":3},{""x"":781,""y"":573,""t"":39},{""x"":802,""y"":639,""t"":71},{""x"":812,""y"":677,""t"":105},{""x"":810,""y"":689,""t"":140},{""x"":838,""y"":716,""t"":174},{""x"":855,""y"":713,""t"":209},{""x"":871,""y"":721,""t"":243},{""x"":888,""y"":728,""t"":277},{""x"":906,""y"":723,""t"":311},{""x"":891,""y"":722,""t"":344},{""x"":893,""y"":729,""t"":379},{""x"":865,""y"":732,""t"":413},{""x"":832,""y"":725,""t"":447},{""x"":787,""y"":720,""t"":480},{""x"":735,""y"":680,""t"":513},{""x"":716,""y"":654,""t"":548},{""x"":713,""y"":641,""t"":581},{""x"":733,""y"":638,""t"":615},{""x"":765,""y"":645,""t"":650},{""x"":793,""y"":639,""t"":685},{""x"":820,""y"":655,""t"":719},{""x"":831,""y"":646,""t"":752},{""x"":869,""y"":657,""t"":786},{""x"":900,""y"":667,""t"":819},{""x"":895,""y"":663,""t"":853},{""x"":894,""y"":654,""t"":888},{""x"":915,""y"":660,""t"":921},{""x"":927,""y"":822,""t"":955},{""x"":911,""y"":1022,""t"":989},{""x"":884,""y"":1183,""t"":1024},{""x"":869,""y"":1347,""t"":1057},{""x"":860,""y"":1466,""t"":1092},{""x"":857,""y"":1533,""t"":1126},{""x"":856,""y"":1583,""t"":1160},{""x"":878,""y"":1608,""t"":1195},{""x"":886,""y"":1604,""t"":1227},{""x"":904,""y"":1556,""t"":1263},{""x"":936,""y"":1505,""t"":1296},{""x"":982,""y"":1433,""t"":1330},{""x"":1037,""y"":1301,""t"":1364},{""x"":1095,""y"":1168,""t"":1398},{""x"":1150,""y"":1051,""t"":1433},{""x"":1147,""y"":936,""t"":1467},{""x"":1076,""y"":824,""t"":1500},{""x"":972,""y"":758,""t"":1535},{""x"":886,""y"":688,""t"":1567},{""x"":829,""y"":623,""t"":1601},{""x"":763,""y"":584,""t"":1636},{""x"":714,""y"":571,""t"":1669},{""x"":665,""y"":525,""t"":1704},{""x"":635,""y"":485,""t"":1737},{""x"":622,""y"":478,""t"":1772},{""x"":688,""y"":505,""t"":1806},{""x"":777,""y"":529,""t"":1839},{""x"":846,""y"":534,""t"":1874},{""x"":904,""y"":545,""t"":1908},{""x"":972,""y"":566,""t"":1941},{""x"":1013,""y"":522,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","","",""
"","canvas-keyboard-response","56","130708","0.0-6.0-2.0-2.14","","","","","667","8","","","","","","","","","","","","","","","","","true","circle","8"
"","canvas-keyboard-response","57","131714","0.0-6.0-2.0-0.15","","","","","null","null","","","","","","","","","recall","[""6"",""4"",""6"",""6"",""4"",""5"",""2"",""5"",""2"",""2"",""5"",""4"",""6"",""8"",""8"",""4"",""4"",""5"",""5"",""8"",""2"",""5"",""6"",""8"",""8"",""5"",""4"",""8"",""4"",""6"",""8"",""4"",""2"",""2"",""2"",""5"",""2"",""5"",""8"",""6"",""2"",""6"",""4"",""8"",""2"",""5"",""8"",""6"",""4"",""6""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","58","133726","0.0-6.0-2.0-1.15","","","","","null","null","","[""hexagram_1"",""circle"",""star"",""triangle""]","","","","","","","","","","4","","[{""x"":999,""y"":583,""t"":3},{""x"":969,""y"":634,""t"":36},{""x"":938,""y"":663,""t"":72},{""x"":940,""y"":690,""t"":106},{""x"":945,""y"":717,""t"":139},{""x"":935,""y"":742,""t"":174},{""x"":919,""y"":718,""t"":207},{""x"":917,""y"":670,""t"":242},{""x"":897,""y"":683,""t"":276},{""x"":906,""y"":676,""t"":309},{""x"":897,""y"":687,""t"":344},{""x"":903,""y"":691,""t"":379},{""x"":892,""y"":684,""t"":412},{""x"":887,""y"":667,""t"":446},{""x"":894,""y"":699,""t"":479},{""x"":896,""y"":709,""t"":514},{""x"":912,""y"":712,""t"":548},{""x"":925,""y"":688,""t"":583},{""x"":923,""y"":666,""t"":616},{""x"":919,""y"":606,""t"":650},{""x"":901,""y"":598,""t"":684},{""x"":890,""y"":598,""t"":718},{""x"":879,""y"":597,""t"":752},{""x"":891,""y"":583,""t"":786},{""x"":880,""y"":577,""t"":819},{""x"":901,""y"":606,""t"":854},{""x"":891,""y"":604,""t"":889},{""x"":905,""y"":608,""t"":922},{""x"":923,""y"":621,""t"":955},{""x"":926,""y"":636,""t"":990},{""x"":925,""y"":647,""t"":1024},{""x"":936,""y"":670,""t"":1058},{""x"":927,""y"":699,""t"":1093},{""x"":930,""y"":773,""t"":1126},{""x"":903,""y"":994,""t"":1159},{""x"":878,""y"":1162,""t"":1194},{""x"":850,""y"":1291,""t"":1227},{""x"":817,""y"":1387,""t"":1263},{""x"":796,""y"":1465,""t"":1296},{""x"":783,""y"":1559,""t"":1329},{""x"":792,""y"":1604,""t"":1364},{""x"":794,""y"":1626,""t"":1398},{""x"":820,""y"":1615,""t"":1432},{""x"":847,""y"":1581,""t"":1465},{""x"":871,""y"":1447,""t"":1500},{""x"":885,""y"":1326,""t"":1534},{""x"":890,""y"":1183,""t"":1569},{""x"":893,""y"":1062,""t"":1599},{""x"":908,""y"":952,""t"":1637},{""x"":924,""y"":879,""t"":1670},{""x"":930,""y"":801,""t"":1704},{""x"":920,""y"":740,""t"":1737},{""x"":929,""y"":701,""t"":1771},{""x"":1015,""y"":645,""t"":1806},{""x"":1096,""y"":604,""t"":1841},{""x"":1145,""y"":615,""t"":1875},{""x"":1180,""y"":593,""t"":1909},{""x"":1228,""y"":625,""t"":1942},{""x"":1247,""y"":594,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","","",""
