"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","shapeorcolor","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","64","122275","0.0-5.0-1.0-0.18","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","65","122389","0.0-5.0-1.0-1.18","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","66","124396","0.0-5.0-1.0-2.18","","","","","496","4","","","[""circle"",""triangle"",""rect"",""hexagram""]","","","","","","","","","","","[{""x"":1152,""y"":767,""t"":2},{""x"":1160,""y"":749,""t"":45},{""x"":1170,""y"":751,""t"":79},{""x"":1153,""y"":741,""t"":114},{""x"":1149,""y"":726,""t"":149},{""x"":1095,""y"":724,""t"":183},{""x"":1103,""y"":706,""t"":216},{""x"":1097,""y"":710,""t"":248},{""x"":1094,""y"":690,""t"":281},{""x"":1106,""y"":645,""t"":313},{""x"":1096,""y"":642,""t"":343},{""x"":1131,""y"":610,""t"":377},{""x"":1111,""y"":565,""t"":419},{""x"":1107,""y"":598,""t"":454}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","circle","4","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92,""height"":92,""top"":79,""right"":596,""bottom"":171,""left"":504},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92.37604307034013,""height"":80,""top"":685,""right"":596.18802153517,""bottom"":765,""left"":503.81197846482996}]"
"","canvas-keyboard-response","67","125416","0.0-5.0-1.0-0.19","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","68","125528","0.0-5.0-1.0-1.19","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","69","127518","0.0-5.0-1.0-2.19","","","","","475","6","","","[""star"",""triangle"",""rect"",""hexagram""]","","","","","","","","","","","[{""x"":1065,""y"":621,""t"":2},{""x"":1053,""y"":650,""t"":47},{""x"":1050,""y"":666,""t"":80},{""x"":1031,""y"":698,""t"":116},{""x"":1016,""y"":725,""t"":139},{""x"":1005,""y"":736,""t"":174},{""x"":979,""y"":759,""t"":206},{""x"":996,""y"":759,""t"":240},{""x"":1010,""y"":773,""t"":274},{""x"":967,""y"":796,""t"":309},{""x"":966,""y"":794,""t"":344},{""x"":988,""y"":775,""t"":379},{""x"":991,""y"":772,""t"":415}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","rect","6","true","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":92,""height"":92,""top"":79,""right"":596,""bottom"":171,""left"":504},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92.37604307034013,""height"":80,""top"":685,""right"":596.18802153517,""bottom"":765,""left"":503.81197846482996}]"
"","canvas-keyboard-response","70","128542","0.0-5.0-1.0-0.20","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","71","128652","0.0-5.0-1.0-1.20","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","72","130846","0.0-5.0-1.0-2.20","","","","","670","2","","","[""triangle"",""hexagram"",""rect"",""star""]","","","","","","","","","","","[{""x"":1012,""y"":744,""t"":2},{""x"":1039,""y"":736,""t"":49},{""x"":1024,""y"":738,""t"":84},{""x"":1021,""y"":746,""t"":117},{""x"":1026,""y"":752,""t"":151},{""x"":1016,""y"":766,""t"":185},{""x"":1021,""y"":762,""t"":218},{""x"":1023,""y"":760,""t"":255},{""x"":1054,""y"":762,""t"":291},{""x"":1080,""y"":764,""t"":321},{""x"":1083,""y"":753,""t"":356},{""x"":1059,""y"":761,""t"":376},{""x"":1040,""y"":756,""t"":411},{""x"":1031,""y"":765,""t"":445},{""x"":990,""y"":771,""t"":482},{""x"":988,""y"":793,""t"":518},{""x"":998,""y"":793,""t"":552},{""x"":1001,""y"":800,""t"":586},{""x"":1018,""y"":787,""t"":619}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","star","2","true","[{""x"":250,""y"":425,""width"":92,""height"":92,""top"":379,""right"":296,""bottom"":471,""left"":204},{""x"":550,""y"":125,""width"":92.37604307034013,""height"":80,""top"":85,""right"":596.18802153517,""bottom"":165,""left"":503.81197846482996},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":100,""height"":100,""top"":675,""right"":600,""bottom"":775,""left"":500}]"
"","canvas-keyboard-response","73","131866","0.0-5.0-1.0-0.21","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
