"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","40","143014","0.0-6.0-2.0-2.6","","","","","537","9","","[""rect"",""hexagram"",""circle"",""diamond"",""star_1"",""triangle""]","","","","","","","","","","","","","[{""x"":859,""y"":650,""t"":4},{""x"":830,""y"":622,""t"":38},{""x"":859,""y"":554,""t"":74},{""x"":836,""y"":555,""t"":106},{""x"":790,""y"":514,""t"":154},{""x"":763,""y"":480,""t"":176},{""x"":772,""y"":430,""t"":208},{""x"":773,""y"":422,""t"":247},{""x"":803,""y"":422,""t"":276},{""x"":807,""y"":404,""t"":310},{""x"":865,""y"":393,""t"":344},{""x"":932,""y"":336,""t"":387},{""x"":1009,""y"":284,""t"":412},{""x"":1076,""y"":235,""t"":450},{""x"":1162,""y"":191,""t"":480}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","9","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]"
"","canvas-keyboard-response","41","144027","0.0-6.0-2.0-0.7","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","42","144134","0.0-6.0-2.0-1.7","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","43","145806","0.0-6.0-2.0-2.7","","","","","660","4","","[""triangle_1"",""star"",""rect"",""circle"",""diamond"",""hexagram""]","","","","","","","","","","","","","[{""x"":1100,""y"":195,""t"":4},{""x"":1104,""y"":241,""t"":44},{""x"":1087,""y"":266,""t"":73},{""x"":1050,""y"":297,""t"":108},{""x"":1018,""y"":324,""t"":137},{""x"":1008,""y"":354,""t"":181},{""x"":978,""y"":381,""t"":209},{""x"":939,""y"":379,""t"":244},{""x"":933,""y"":370,""t"":274},{""x"":915,""y"":404,""t"":316},{""x"":901,""y"":432,""t"":341},{""x"":897,""y"":447,""t"":380},{""x"":896,""y"":458,""t"":410},{""x"":878,""y"":459,""t"":445},{""x"":899,""y"":474,""t"":493},{""x"":882,""y"":482,""t"":520},{""x"":878,""y"":504,""t"":549},{""x"":868,""y"":492,""t"":582},{""x"":829,""y"":498,""t"":615}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","4","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]"
"","canvas-keyboard-response","44","146840","0.0-6.0-2.0-0.8","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","45","146947","0.0-6.0-2.0-1.8","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","46","148702","0.0-6.0-2.0-2.8","","","","","739","4","","[""hexagram_1"",""triangle"",""rect"",""star"",""diamond"",""circle""]","","","","","","","","","","","","","[{""x"":840,""y"":500,""t"":4},{""x"":883,""y"":497,""t"":47},{""x"":897,""y"":495,""t"":77},{""x"":958,""y"":494,""t"":108},{""x"":979,""y"":495,""t"":140},{""x"":980,""y"":488,""t"":187},{""x"":1011,""y"":480,""t"":211},{""x"":1032,""y"":503,""t"":241},{""x"":1032,""y"":507,""t"":282},{""x"":1035,""y"":519,""t"":310},{""x"":1027,""y"":509,""t"":344},{""x"":1072,""y"":536,""t"":390},{""x"":1118,""y"":540,""t"":417},{""x"":1164,""y"":536,""t"":446},{""x"":1161,""y"":515,""t"":484},{""x"":1126,""y"":539,""t"":514},{""x"":1054,""y"":535,""t"":555},{""x"":990,""y"":539,""t"":580},{""x"":951,""y"":540,""t"":624},{""x"":897,""y"":562,""t"":652},{""x"":873,""y"":557,""t"":684}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram_1","4","true","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","47","149710","0.0-6.0-2.0-0.9","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","48","149821","0.0-6.0-2.0-1.9","","","","","null","null","","","","","","","","","recognition","","[""9"",""3"",""6"",""6"",""7"",""1"",""9"",""4"",""4"",""1"",""9"",""3"",""9"",""9"",""4"",""7"",""4"",""3"",""7"",""3"",""6"",""9"",""4"",""9"",""6"",""6"",""6"",""7"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""6"",""7"",""1"",""6"",""7"",""4"",""4"",""9"",""3"",""6"",""9"",""7"",""1"",""7"",""4"",""1"",""4"",""7"",""9"",""6"",""7"",""4"",""9"",""4"",""1"",""4"",""3"",""7"",""3"",""3"",""6"",""3"",""7"",""6"",""3"",""9"",""1""]","1000","6","0","","","","","",""
"","canvas-keyboard-response","49","151838","0.0-6.0-2.0-2.9","","","","","997","1","","[""star"",""rect"",""hexagram"",""triangle"",""circle"",""diamond_1""]","","","","","","","","","","","","","[{""x"":861,""y"":553,""t"":5},{""x"":850,""y"":492,""t"":40},{""x"":838,""y"":441,""t"":75},{""x"":833,""y"":400,""t"":106},{""x"":849,""y"":372,""t"":151},{""x"":896,""y"":328,""t"":179},{""x"":896,""y"":318,""t"":208},{""x"":912,""y"":312,""t"":245},{""x"":919,""y"":329,""t"":276},{""x"":912,""y"":353,""t"":317},{""x"":947,""y"":343,""t"":344},{""x"":958,""y"":344,""t"":381},{""x"":985,""y"":332,""t"":409},{""x"":988,""y"":315,""t"":445},{""x"":1027,""y"":364,""t"":481},{""x"":1049,""y"":361,""t"":525},{""x"":1080,""y"":351,""t"":545},{""x"":1060,""y"":351,""t"":589},{""x"":1040,""y"":352,""t"":615},{""x"":1048,""y"":361,""t"":652},{""x"":1076,""y"":392,""t"":684},{""x"":1001,""y"":461,""t"":717},{""x"":999,""y"":529,""t"":762},{""x"":958,""y"":580,""t"":785},{""x"":921,""y"":613,""t"":823},{""x"":922,""y"":627,""t"":854},{""x"":933,""y"":638,""t"":889},{""x"":948,""y"":655,""t"":920},{""x"":923,""y"":665,""t"":957}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","diamond_1","1","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]"
