"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","53","133423","0.0-6.0-2.0-2.13","","","","","557","4","","","","","","","","","","","","","","","","","true","green","4"
"","canvas-keyboard-response","54","134443","0.0-6.0-2.0-0.14","","","","","null","null","","","","","","","","","recall","[""5"",""4"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""5"",""5"",""6"",""4"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""6"",""5"",""5"",""5"",""4"",""4"",""6"",""5""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","55","136458","0.0-6.0-2.0-1.14","","","","","null","null","","[""green"",""red""]","","","","","","","","","","","","[{""x"":915,""y"":430,""t"":4},{""x"":900,""y"":418,""t"":39},{""x"":950,""y"":484,""t"":86},{""x"":975,""y"":532,""t"":115},{""x"":1019,""y"":578,""t"":144},{""x"":981,""y"":557,""t"":174},{""x"":967,""y"":549,""t"":219},{""x"":928,""y"":521,""t"":244},{""x"":917,""y"":513,""t"":276},{""x"":912,""y"":555,""t"":320},{""x"":903,""y"":629,""t"":350},{""x"":900,""y"":706,""t"":378},{""x"":917,""y"":761,""t"":422},{""x"":926,""y"":810,""t"":451},{""x"":926,""y"":852,""t"":480},{""x"":908,""y"":836,""t"":524},{""x"":920,""y"":847,""t"":549},{""x"":921,""y"":823,""t"":581},{""x"":875,""y"":763,""t"":624},{""x"":840,""y"":702,""t"":650},{""x"":832,""y"":681,""t"":694},{""x"":810,""y"":653,""t"":722},{""x"":795,""y"":644,""t"":752},{""x"":795,""y"":626,""t"":791},{""x"":784,""y"":606,""t"":820},{""x"":778,""y"":610,""t"":860},{""x"":762,""y"":610,""t"":890},{""x"":757,""y"":597,""t"":921},{""x"":770,""y"":581,""t"":956},{""x"":766,""y"":594,""t"":1000},{""x"":787,""y"":598,""t"":1022},{""x"":799,""y"":590,""t"":1065},{""x"":822,""y"":584,""t"":1093},{""x"":904,""y"":563,""t"":1126},{""x"":995,""y"":546,""t"":1164},{""x"":1057,""y"":532,""t"":1194},{""x"":1113,""y"":540,""t"":1228},{""x"":1164,""y"":537,""t"":1278},{""x"":1195,""y"":514,""t"":1295},{""x"":1219,""y"":515,""t"":1341},{""x"":1227,""y"":499,""t"":1365},{""x"":1224,""y"":482,""t"":1399},{""x"":1218,""y"":463,""t"":1436},{""x"":1210,""y"":448,""t"":1465},{""x"":1194,""y"":470,""t"":1500},{""x"":1168,""y"":452,""t"":1550},{""x"":1121,""y"":432,""t"":1567},{""x"":1036,""y"":461,""t"":1618},{""x"":940,""y"":494,""t"":1637},{""x"":871,""y"":505,""t"":1678},{""x"":846,""y"":544,""t"":1705},{""x"":809,""y"":558,""t"":1738},{""x"":754,""y"":558,""t"":1783},{""x"":740,""y"":571,""t"":1810},{""x"":751,""y"":596,""t"":1840},{""x"":713,""y"":611,""t"":1886},{""x"":680,""y"":616,""t"":1914},{""x"":655,""y"":621,""t"":1941},{""x"":638,""y"":629,""t"":1984}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","56","138671","0.0-6.0-2.0-2.14","","","","","699","6","","","","","","","","","","","","","","","","","true","red_1","6"
"","canvas-keyboard-response","57","139692","0.0-6.0-2.0-0.15","","","","","null","null","","","","","","","","","recall","[""5"",""4"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""5"",""5"",""6"",""4"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""6"",""5"",""5"",""5"",""4"",""4"",""6"",""5""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","58","141701","0.0-6.0-2.0-1.15","","","","","null","null","","[""blue"",""red""]","","","","","","","","","","","","[{""x"":729,""y"":622,""t"":4},{""x"":802,""y"":612,""t"":44},{""x"":865,""y"":602,""t"":71},{""x"":874,""y"":590,""t"":106},{""x"":879,""y"":579,""t"":145},{""x"":903,""y"":573,""t"":174},{""x"":931,""y"":571,""t"":217},{""x"":929,""y"":560,""t"":244},{""x"":918,""y"":555,""t"":276},{""x"":904,""y"":539,""t"":314},{""x"":891,""y"":526,""t"":342},{""x"":880,""y"":535,""t"":378},{""x"":855,""y"":518,""t"":428},{""x"":834,""y"":505,""t"":446},{""x"":810,""y"":483,""t"":491},{""x"":791,""y"":465,""t"":514},{""x"":782,""y"":457,""t"":547},{""x"":772,""y"":464,""t"":586},{""x"":741,""y"":465,""t"":614},{""x"":731,""y"":467,""t"":650},{""x"":718,""y"":466,""t"":700},{""x"":698,""y"":459,""t"":719},{""x"":725,""y"":492,""t"":760},{""x"":702,""y"":488,""t"":788},{""x"":707,""y"":500,""t"":820},{""x"":739,""y"":553,""t"":861},{""x"":766,""y"":580,""t"":888},{""x"":788,""y"":601,""t"":919},{""x"":806,""y"":643,""t"":977},{""x"":793,""y"":640,""t"":991},{""x"":762,""y"":613,""t"":1035},{""x"":735,""y"":587,""t"":1063},{""x"":709,""y"":573,""t"":1093},{""x"":690,""y"":554,""t"":1137},{""x"":705,""y"":584,""t"":1161},{""x"":820,""y"":589,""t"":1194},{""x"":893,""y"":584,""t"":1238},{""x"":972,""y"":587,""t"":1263},{""x"":1053,""y"":599,""t"":1307},{""x"":1110,""y"":621,""t"":1331},{""x"":1159,""y"":637,""t"":1364},{""x"":1209,""y"":650,""t"":1405},{""x"":1241,""y"":670,""t"":1433},{""x"":1262,""y"":686,""t"":1465},{""x"":1278,""y"":689,""t"":1511},{""x"":1289,""y"":694,""t"":1540},{""x"":1289,""y"":647,""t"":1569},{""x"":1260,""y"":649,""t"":1610},{""x"":1217,""y"":657,""t"":1634},{""x"":1175,""y"":689,""t"":1673},{""x"":1117,""y"":775,""t"":1704},{""x"":1073,""y"":852,""t"":1747},{""x"":1048,""y"":880,""t"":1775},{""x"":1035,""y"":858,""t"":1806},{""x"":1011,""y"":795,""t"":1850},{""x"":976,""y"":742,""t"":1876},{""x"":922,""y"":683,""t"":1908},{""x"":866,""y"":610,""t"":1946},{""x"":815,""y"":571,""t"":1976}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","59","143783","0.0-6.0-2.0-2.15","","","","","566","4","","","","","","","","","","","","","","","","","true","blue","4"
"","canvas-keyboard-response","60","144810","0.0-6.0-2.0-0.16","","","","","null","null","","","","","","","","","recall","[""5"",""4"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""5"",""5"",""6"",""4"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""6"",""5"",""5"",""5"",""4"",""4"",""6"",""5""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","61","146819","0.0-6.0-2.0-1.16","","","","","null","null","","[""blue"",""green""]","","","","","","","","","","","","[{""x"":858,""y"":563,""t"":5},{""x"":819,""y"":499,""t"":39},{""x"":822,""y"":460,""t"":86},{""x"":810,""y"":422,""t"":106},{""x"":822,""y"":397,""t"":149},{""x"":835,""y"":381,""t"":180},{""x"":812,""y"":396,""t"":208},{""x"":808,""y"":373,""t"":251},{""x"":800,""y"":352,""t"":279},{""x"":788,""y"":387,""t"":310},{""x"":775,""y"":427,""t"":351},{""x"":782,""y"":423,""t"":378},{""x"":740,""y"":459,""t"":422},{""x"":715,""y"":462,""t"":450},{""x"":677,""y"":446,""t"":480},{""x"":653,""y"":490,""t"":524},{""x"":634,""y"":528,""t"":549},{""x"":603,""y"":522,""t"":583},{""x"":606,""y"":532,""t"":628},{""x"":601,""y"":547,""t"":656},{""x"":604,""y"":561,""t"":684},{""x"":647,""y"":628,""t"":727},{""x"":718,""y"":715,""t"":756},{""x"":764,""y"":805,""t"":787},{""x"":804,""y"":863,""t"":828},{""x"":847,""y"":888,""t"":853},{""x"":883,""y"":890,""t"":888},{""x"":878,""y"":869,""t"":924},{""x"":836,""y"":852,""t"":954},{""x"":800,""y"":813,""t"":993},{""x"":797,""y"":802,""t"":1024},{""x"":771,""y"":750,""t"":1068},{""x"":748,""y"":706,""t"":1093},{""x"":715,""y"":690,""t"":1126},{""x"":730,""y"":653,""t"":1163},{""x"":683,""y"":637,""t"":1194},{""x"":678,""y"":618,""t"":1227},{""x"":680,""y"":606,""t"":1277},{""x"":646,""y"":598,""t"":1296},{""x"":644,""y"":586,""t"":1342},{""x"":628,""y"":570,""t"":1368},{""x"":652,""y"":583,""t"":1399},{""x"":748,""y"":584,""t"":1435},{""x"":858,""y"":601,""t"":1463},{""x"":928,""y"":586,""t"":1500},{""x"":1024,""y"":583,""t"":1550},{""x"":1069,""y"":578,""t"":1568},{""x"":1114,""y"":559,""t"":1613},{""x"":1140,""y"":559,""t"":1643},{""x"":1162,""y"":567,""t"":1671},{""x"":1187,""y"":553,""t"":1704},{""x"":1175,""y"":549,""t"":1748},{""x"":1188,""y"":546,""t"":1776},{""x"":1184,""y"":543,""t"":1807},{""x"":1198,""y"":532,""t"":1854},{""x"":1192,""y"":527,""t"":1882},{""x"":1198,""y"":507,""t"":1910},{""x"":1139,""y"":498,""t"":1942}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","62","148895","0.0-6.0-2.0-2.16","","","","","556","6","","","","","","","","","","","","","","","","","true","green","6"
