"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","77","94060","0.0-6.0-2.0-1.21","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","78","95226","0.0-6.0-2.0-2.21","","","","","660","4","","[""hexagram_1"",""star"",""triangle"",""rect""]","","","","","","","","","","","","[{""x"":981,""y"":686,""t"":3},{""x"":995,""y"":716,""t"":35},{""x"":1006,""y"":759,""t"":69},{""x"":1012,""y"":806,""t"":105},{""x"":1036,""y"":807,""t"":137},{""x"":1026,""y"":803,""t"":171},{""x"":1055,""y"":803,""t"":204},{""x"":1045,""y"":846,""t"":241},{""x"":1045,""y"":867,""t"":273},{""x"":996,""y"":858,""t"":314},{""x"":1022,""y"":841,""t"":343},{""x"":985,""y"":830,""t"":376},{""x"":1009,""y"":824,""t"":409},{""x"":990,""y"":821,""t"":457},{""x"":1004,""y"":791,""t"":479},{""x"":944,""y"":776,""t"":521},{""x"":891,""y"":761,""t"":545},{""x"":862,""y"":775,""t"":586},{""x"":844,""y"":773,""t"":613},{""x"":828,""y"":781,""t"":648}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","hexagram_1","4","true","[{""x"":250,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":296.18802153517004,""bottom"":465,""left"":203.81197846482993},{""x"":550,""y"":125,""width"":100,""height"":100,""top"":75,""right"":600,""bottom"":175,""left"":500},{""x"":850,""y"":425,""width"":92,""height"":92,""top"":379,""right"":896,""bottom"":471,""left"":804},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","79","96253","0.0-6.0-2.0-0.22","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","80","96358","0.0-6.0-2.0-1.22","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","81","97364","0.0-6.0-2.0-2.22","","","","","499","6","","[""hexagram"",""circle"",""star_1"",""rect""]","","","","","","","","","","","","[{""x"":896,""y"":787,""t"":3},{""x"":883,""y"":758,""t"":35},{""x"":901,""y"":715,""t"":69},{""x"":862,""y"":715,""t"":105},{""x"":885,""y"":693,""t"":137},{""x"":849,""y"":694,""t"":171},{""x"":870,""y"":702,""t"":207},{""x"":871,""y"":731,""t"":239},{""x"":899,""y"":730,""t"":273},{""x"":924,""y"":703,""t"":316},{""x"":986,""y"":714,""t"":341},{""x"":1043,""y"":730,""t"":378},{""x"":1114,""y"":771,""t"":411},{""x"":1149,""y"":774,""t"":458},{""x"":1207,""y"":810,""t"":477}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","star_1","6","true","[{""x"":250,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":296.18802153517004,""bottom"":465,""left"":203.81197846482993},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":100,""height"":100,""top"":375,""right"":900,""bottom"":475,""left"":800},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","82","98377","0.0-6.0-2.0-0.23","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","83","98482","0.0-6.0-2.0-1.23","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","84","99408","0.0-6.0-2.0-2.23","","","","","418","6","","[""rect"",""triangle"",""circle"",""hexagram_1""]","","","","","","","","","","","","[{""x"":1104,""y"":807,""t"":3},{""x"":1111,""y"":825,""t"":35},{""x"":1115,""y"":827,""t"":69},{""x"":1115,""y"":792,""t"":105},{""x"":1125,""y"":792,""t"":137},{""x"":1152,""y"":803,""t"":170},{""x"":1144,""y"":794,""t"":205},{""x"":1137,""y"":786,""t"":238},{""x"":1126,""y"":780,""t"":275},{""x"":1122,""y"":774,""t"":316},{""x"":1118,""y"":768,""t"":340},{""x"":1138,""y"":762,""t"":380}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","circle","6","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92,""height"":92,""top"":79,""right"":596,""bottom"":171,""left"":504},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92.37604307034013,""height"":80,""top"":685,""right"":596.18802153517,""bottom"":765,""left"":503.81197846482996}]"
"","canvas-keyboard-response","85","100425","0.0-6.0-2.0-0.24","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","86","100530","0.0-6.0-2.0-1.24","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","87","101537","0.0-6.0-2.0-2.24","","","","","499","8","","[""hexagram_1"",""rect"",""circle"",""triangle""]","","","","","","","","","","","","[{""x"":1106,""y"":716,""t"":1},{""x"":1071,""y"":683,""t"":35},{""x"":1044,""y"":663,""t"":71},{""x"":1018,""y"":646,""t"":103},{""x"":995,""y"":632,""t"":137},{""x"":967,""y"":612,""t"":173},{""x"":947,""y"":600,""t"":205},{""x"":932,""y"":606,""t"":240},{""x"":890,""y"":636,""t"":275},{""x"":856,""y"":652,""t"":316},{""x"":855,""y"":651,""t"":341},{""x"":876,""y"":639,""t"":382},{""x"":927,""y"":626,""t"":409},{""x"":972,""y"":623,""t"":444}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","rect","8","true","[{""x"":250,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":296.18802153517004,""bottom"":465,""left"":203.81197846482993},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]"
"","canvas-keyboard-response","88","102551","0.0-6.0-2.0-0.25","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","89","102656","0.0-6.0-2.0-1.25","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
"","canvas-keyboard-response","90","103583","0.0-6.0-2.0-2.25","","","","","421","4","","[""triangle"",""star_1"",""circle"",""rect""]","","","","","","","","","","","","[{""x"":966,""y"":652,""t"":1},{""x"":966,""y"":690,""t"":36},{""x"":965,""y"":723,""t"":68},{""x"":958,""y"":737,""t"":105},{""x"":987,""y"":791,""t"":137},{""x"":983,""y"":802,""t"":172},{""x"":1011,""y"":817,""t"":208},{""x"":1029,""y"":823,""t"":239},{""x"":1048,""y"":826,""t"":273},{""x"":1057,""y"":827,""t"":316},{""x"":1044,""y"":842,""t"":341},{""x"":1002,""y"":869,""t"":378},{""x"":969,""y"":878,""t"":408}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","triangle","4","true","[{""x"":250,""y"":425,""width"":92,""height"":92,""top"":379,""right"":296,""bottom"":471,""left"":204},{""x"":550,""y"":125,""width"":100,""height"":100,""top"":75,""right"":600,""bottom"":175,""left"":500},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","91","104603","0.0-6.0-2.0-0.26","","","","","null","null","","","","","","","","","recognition","[""6"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""5"",""2"",""4"",""5"",""4"",""6"",""5"",""2"",""2"",""2"",""2"",""5"",""2"",""4"",""6"",""6"",""8"",""4"",""4"",""5"",""8"",""6"",""6"",""5"",""4"",""8"",""8"",""4"",""2"",""5"",""6"",""5"",""5"",""4"",""6"",""4"",""2"",""2"",""8"",""8"",""6"",""5""]","500","shape","4","","","","","",""
