"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2806","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2814","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5211","0.0-2.0-0.0","","","","","2395","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6451","0.0-2.0-1.0","","","","","1239","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7091","0.0-3.0","","","","","637"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15944","0.0-4.0","","","","","","","","","732","","","","","","","","","","","","","","","",""
"","html-button-response","6","16891","0.0-5.0-0.0","","","","","946","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25718","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27947","0.0-5.0-2.0","","","","","2228","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","44955","0.0-5.0-3.0","","","","","","","","","","[[{""x"":434,""y"":262,""dx"":-57,""dy"":-19,""t"":991},{""x"":431,""y"":250,""dx"":-60,""dy"":-31,""t"":1024},{""x"":482,""y"":248,""dx"":-9,""dy"":-33,""t"":1058},{""x"":464,""y"":247,""dx"":-27,""dy"":-34,""t"":1091},{""x"":460,""y"":240,""dx"":-31,""dy"":-41,""t"":1126},{""x"":519,""y"":237,""dx"":28,""dy"":-44,""t"":1160},{""x"":507,""y"":243,""dx"":16,""dy"":-38,""t"":1194},{""x"":492,""y"":248,""dx"":1,""dy"":-33,""t"":1228},{""x"":480,""y"":253,""dx"":-11,""dy"":-28,""t"":1262},{""x"":474,""y"":243,""dx"":-17,""dy"":-38,""t"":1296},{""x"":462,""y"":265,""dx"":-29,""dy"":-16,""t"":1331},{""x"":442,""y"":290,""dx"":-49,""dy"":9,""t"":1364},{""x"":433,""y"":301,""dx"":-58,""dy"":20,""t"":1397},{""x"":434,""y"":313,""dx"":-57,""dy"":32,""t"":1433},{""x"":436,""y"":318,""dx"":-55,""dy"":37,""t"":1466},{""x"":438,""y"":321,""dx"":-53,""dy"":40,""t"":1498},{""x"":446,""y"":317,""dx"":-45,""dy"":36,""t"":1534},{""x"":452,""y"":312,""dx"":-39,""dy"":31,""t"":1569},{""x"":461,""y"":312,""dx"":-30,""dy"":31,""t"":1602},{""x"":516,""y"":314,""dx"":25,""dy"":33,""t"":1635},{""x"":553,""y"":312,""dx"":62,""dy"":31,""t"":1670},{""x"":589,""y"":321,""dx"":98,""dy"":40,""t"":1704},{""x"":566,""y"":350,""dx"":75,""dy"":69,""t"":1738},{""x"":542,""y"":346,""dx"":51,""dy"":65,""t"":1772},{""x"":534,""y"":342,""dx"":43,""dy"":61,""t"":1806},{""x"":510,""y"":365,""dx"":19,""dy"":84,""t"":1840},{""x"":492,""y"":348,""dx"":1,""dy"":67,""t"":1874},{""x"":478,""y"":333,""dx"":-13,""dy"":52,""t"":1905},{""x"":469,""y"":341,""dx"":-22,""dy"":60,""t"":1941},{""x"":460,""y"":323,""dx"":-31,""dy"":42,""t"":1977},{""x"":463,""y"":328,""dx"":-28,""dy"":47,""t"":2010},{""x"":473,""y"":347,""dx"":-18,""dy"":66,""t"":2045},{""x"":501,""y"":332,""dx"":10,""dy"":51,""t"":2078},{""x"":492,""y"":319,""dx"":1,""dy"":38,""t"":2112},{""x"":482,""y"":307,""dx"":-9,""dy"":26,""t"":2146},{""x"":514,""y"":316,""dx"":23,""dy"":35,""t"":2180},{""x"":502,""y"":299,""dx"":11,""dy"":18,""t"":2214},{""x"":552,""y"":301,""dx"":61,""dy"":20,""t"":2248},{""x"":576,""y"":288,""dx"":85,""dy"":7,""t"":2282},{""x"":589,""y"":289,""dx"":98,""dy"":8,""t"":2316},{""x"":617,""y"":306,""dx"":126,""dy"":25,""t"":2350},{""x"":632,""y"":292,""dx"":141,""dy"":11,""t"":2384},{""x"":611,""y"":288,""dx"":120,""dy"":7,""t"":2418},{""x"":624,""y"":290,""dx"":133,""dy"":9,""t"":2451},{""x"":634,""y"":302,""dx"":143,""dy"":21,""t"":2486},{""x"":636,""y"":300,""dx"":145,""dy"":19,""t"":2520},{""x"":658,""y"":310,""dx"":167,""dy"":29,""t"":2553},{""x"":649,""y"":302,""dx"":158,""dy"":21,""t"":2588},{""x"":649,""y"":316,""dx"":158,""dy"":35,""t"":2622},{""x"":666,""y"":313,""dx"":175,""dy"":32,""t"":2656},{""x"":668,""y"":325,""dx"":177,""dy"":44,""t"":2718},{""x"":669,""y"":335,""dx"":178,""dy"":54,""t"":2725},{""x"":623,""y"":338,""dx"":132,""dy"":57,""t"":2759},{""x"":609,""y"":327,""dx"":118,""dy"":46,""t"":2793},{""x"":620,""y"":340,""dx"":129,""dy"":59,""t"":2826},{""x"":617,""y"":328,""dx"":126,""dy"":47,""t"":2860},{""x"":584,""y"":342,""dx"":93,""dy"":61,""t"":2894},{""x"":557,""y"":355,""dx"":66,""dy"":74,""t"":2927},{""x"":560,""y"":364,""dx"":69,""dy"":83,""t"":2962},{""x"":570,""y"":351,""dx"":79,""dy"":70,""t"":2995}],[{""x"":1557,""y"":364,""dx"":106,""dy"":83,""t"":4016},{""x"":1561,""y"":346,""dx"":110,""dy"":65,""t"":4050},{""x"":1563,""y"":339,""dx"":112,""dy"":58,""t"":4084},{""x"":1539,""y"":380,""dx"":88,""dy"":99,""t"":4118},{""x"":1517,""y"":381,""dx"":66,""dy"":100,""t"":4152},{""x"":1510,""y"":365,""dx"":59,""dy"":84,""t"":4186},{""x"":1492,""y"":353,""dx"":41,""dy"":72,""t"":4220},{""x"":1477,""y"":387,""dx"":26,""dy"":106,""t"":4254},{""x"":1470,""y"":355,""dx"":19,""dy"":74,""t"":4288},{""x"":1467,""y"":323,""dx"":16,""dy"":42,""t"":4322},{""x"":1475,""y"":326,""dx"":24,""dy"":45,""t"":4356},{""x"":1486,""y"":333,""dx"":35,""dy"":52,""t"":4390},{""x"":1490,""y"":315,""dx"":39,""dy"":34,""t"":4425},{""x"":1482,""y"":320,""dx"":31,""dy"":39,""t"":4457},{""x"":1497,""y"":311,""dx"":46,""dy"":30,""t"":4491},{""x"":1511,""y"":324,""dx"":60,""dy"":43,""t"":4527},{""x"":1519,""y"":339,""dx"":68,""dy"":58,""t"":4560},{""x"":1532,""y"":343,""dx"":81,""dy"":62,""t"":4594},{""x"":1524,""y"":342,""dx"":73,""dy"":61,""t"":4629},{""x"":1516,""y"":340,""dx"":65,""dy"":59,""t"":4659},{""x"":1505,""y"":335,""dx"":54,""dy"":54,""t"":4697},{""x"":1504,""y"":332,""dx"":53,""dy"":51,""t"":4730},{""x"":1498,""y"":317,""dx"":47,""dy"":36,""t"":4763},{""x"":1489,""y"":319,""dx"":38,""dy"":38,""t"":4798},{""x"":1478,""y"":314,""dx"":27,""dy"":33,""t"":4832},{""x"":1478,""y"":335,""dx"":27,""dy"":54,""t"":4867},{""x"":1470,""y"":329,""dx"":19,""dy"":48,""t"":4900},{""x"":1481,""y"":311,""dx"":30,""dy"":30,""t"":4934},{""x"":1480,""y"":297,""dx"":29,""dy"":16,""t"":4968},{""x"":1488,""y"":294,""dx"":37,""dy"":13,""t"":5002},{""x"":1483,""y"":292,""dx"":32,""dy"":11,""t"":5036},{""x"":1479,""y"":291,""dx"":28,""dy"":10,""t"":5068},{""x"":1471,""y"":308,""dx"":20,""dy"":27,""t"":5104},{""x"":1467,""y"":318,""dx"":16,""dy"":37,""t"":5138},{""x"":1467,""y"":311,""dx"":16,""dy"":30,""t"":5172},{""x"":1485,""y"":302,""dx"":34,""dy"":21,""t"":5206},{""x"":1485,""y"":314,""dx"":34,""dy"":33,""t"":5240},{""x"":1484,""y"":319,""dx"":33,""dy"":38,""t"":5274},{""x"":1481,""y"":315,""dx"":30,""dy"":34,""t"":5308},{""x"":1476,""y"":339,""dx"":25,""dy"":58,""t"":5343},{""x"":1483,""y"":328,""dx"":32,""dy"":47,""t"":5377},{""x"":1488,""y"":320,""dx"":37,""dy"":39,""t"":5411},{""x"":1486,""y"":311,""dx"":35,""dy"":30,""t"":5443},{""x"":1472,""y"":325,""dx"":21,""dy"":44,""t"":5478},{""x"":1471,""y"":334,""dx"":20,""dy"":53,""t"":5512},{""x"":1456,""y"":367,""dx"":5,""dy"":86,""t"":5546},{""x"":1459,""y"":362,""dx"":8,""dy"":81,""t"":5579},{""x"":1463,""y"":374,""dx"":12,""dy"":93,""t"":5614},{""x"":1480,""y"":352,""dx"":29,""dy"":71,""t"":5647},{""x"":1450,""y"":351,""dx"":-1,""dy"":70,""t"":5683},{""x"":1461,""y"":338,""dx"":10,""dy"":57,""t"":5715},{""x"":1470,""y"":357,""dx"":19,""dy"":76,""t"":5750},{""x"":1451,""y"":354,""dx"":0,""dy"":73,""t"":5784},{""x"":1448,""y"":353,""dx"":-3,""dy"":72,""t"":5819},{""x"":1458,""y"":361,""dx"":7,""dy"":80,""t"":5852},{""x"":1462,""y"":359,""dx"":11,""dy"":78,""t"":5886},{""x"":1466,""y"":375,""dx"":15,""dy"":94,""t"":5919},{""x"":1476,""y"":359,""dx"":25,""dy"":78,""t"":5955},{""x"":1477,""y"":364,""dx"":26,""dy"":83,""t"":5988}],[{""x"":894,""y"":616,""dx"":-77,""dy"":65,""t"":7007},{""x"":912,""y"":603,""dx"":-59,""dy"":52,""t"":7040},{""x"":918,""y"":588,""dx"":-53,""dy"":37,""t"":7076},{""x"":932,""y"":591,""dx"":-39,""dy"":40,""t"":7110},{""x"":940,""y"":603,""dx"":-31,""dy"":52,""t"":7144},{""x"":931,""y"":609,""dx"":-40,""dy"":58,""t"":7178},{""x"":913,""y"":607,""dx"":-58,""dy"":56,""t"":7213},{""x"":924,""y"":605,""dx"":-47,""dy"":54,""t"":7246},{""x"":911,""y"":588,""dx"":-60,""dy"":37,""t"":7280},{""x"":907,""y"":592,""dx"":-64,""dy"":41,""t"":7314},{""x"":905,""y"":590,""dx"":-66,""dy"":39,""t"":7347},{""x"":905,""y"":608,""dx"":-66,""dy"":57,""t"":7382},{""x"":897,""y"":607,""dx"":-74,""dy"":56,""t"":7416},{""x"":901,""y"":597,""dx"":-70,""dy"":46,""t"":7450},{""x"":917,""y"":588,""dx"":-54,""dy"":37,""t"":7483},{""x"":906,""y"":604,""dx"":-65,""dy"":53,""t"":7518},{""x"":906,""y"":600,""dx"":-65,""dy"":49,""t"":7552},{""x"":920,""y"":591,""dx"":-51,""dy"":40,""t"":7587},{""x"":941,""y"":555,""dx"":-30,""dy"":4,""t"":7619},{""x"":921,""y"":573,""dx"":-50,""dy"":22,""t"":7654},{""x"":914,""y"":596,""dx"":-57,""dy"":45,""t"":7688},{""x"":901,""y"":614,""dx"":-70,""dy"":63,""t"":7722},{""x"":886,""y"":637,""dx"":-85,""dy"":86,""t"":7756},{""x"":947,""y"":630,""dx"":-24,""dy"":79,""t"":7790},{""x"":942,""y"":641,""dx"":-29,""dy"":90,""t"":7824},{""x"":968,""y"":596,""dx"":-3,""dy"":45,""t"":7858},{""x"":954,""y"":603,""dx"":-17,""dy"":52,""t"":7892},{""x"":941,""y"":608,""dx"":-30,""dy"":57,""t"":7926},{""x"":927,""y"":616,""dx"":-44,""dy"":65,""t"":7960},{""x"":928,""y"":614,""dx"":-43,""dy"":63,""t"":7994},{""x"":912,""y"":619,""dx"":-59,""dy"":68,""t"":8027},{""x"":916,""y"":624,""dx"":-55,""dy"":73,""t"":8064},{""x"":925,""y"":585,""dx"":-46,""dy"":34,""t"":8097},{""x"":942,""y"":559,""dx"":-29,""dy"":8,""t"":8130},{""x"":930,""y"":557,""dx"":-41,""dy"":6,""t"":8163},{""x"":932,""y"":549,""dx"":-39,""dy"":-2,""t"":8199},{""x"":952,""y"":528,""dx"":-19,""dy"":-23,""t"":8232},{""x"":956,""y"":568,""dx"":-15,""dy"":17,""t"":8266},{""x"":937,""y"":572,""dx"":-34,""dy"":21,""t"":8301},{""x"":929,""y"":563,""dx"":-42,""dy"":12,""t"":8334},{""x"":924,""y"":566,""dx"":-47,""dy"":15,""t"":8368},{""x"":916,""y"":589,""dx"":-55,""dy"":38,""t"":8402},{""x"":919,""y"":610,""dx"":-52,""dy"":59,""t"":8435},{""x"":899,""y"":633,""dx"":-72,""dy"":82,""t"":8470},{""x"":898,""y"":610,""dx"":-73,""dy"":59,""t"":8504},{""x"":899,""y"":581,""dx"":-72,""dy"":30,""t"":8538},{""x"":893,""y"":583,""dx"":-78,""dy"":32,""t"":8573},{""x"":888,""y"":585,""dx"":-83,""dy"":34,""t"":8604},{""x"":879,""y"":607,""dx"":-92,""dy"":56,""t"":8640},{""x"":868,""y"":615,""dx"":-103,""dy"":64,""t"":8674},{""x"":885,""y"":624,""dx"":-86,""dy"":73,""t"":8707},{""x"":879,""y"":634,""dx"":-92,""dy"":83,""t"":8742},{""x"":873,""y"":628,""dx"":-98,""dy"":77,""t"":8776},{""x"":870,""y"":646,""dx"":-101,""dy"":95,""t"":8810},{""x"":869,""y"":640,""dx"":-102,""dy"":89,""t"":8843},{""x"":869,""y"":655,""dx"":-102,""dy"":104,""t"":8878},{""x"":890,""y"":603,""dx"":-81,""dy"":52,""t"":8912},{""x"":910,""y"":636,""dx"":-61,""dy"":85,""t"":8946},{""x"":941,""y"":590,""dx"":-30,""dy"":39,""t"":8980},{""x"":960,""y"":597,""dx"":-11,""dy"":46,""t"":9014}],[{""x"":513,""y"":798,""dx"":22,""dy"":-23,""t"":10034},{""x"":532,""y"":799,""dx"":41,""dy"":-22,""t"":10096},{""x"":552,""y"":802,""dx"":61,""dy"":-19,""t"":10110},{""x"":575,""y"":806,""dx"":84,""dy"":-15,""t"":10136},{""x"":597,""y"":803,""dx"":106,""dy"":-18,""t"":10171},{""x"":595,""y"":798,""dx"":104,""dy"":-23,""t"":10203},{""x"":625,""y"":751,""dx"":134,""dy"":-70,""t"":10238},{""x"":621,""y"":763,""dx"":130,""dy"":-58,""t"":10273},{""x"":646,""y"":723,""dx"":155,""dy"":-98,""t"":10306},{""x"":648,""y"":680,""dx"":157,""dy"":-141,""t"":10340},{""x"":646,""y"":708,""dx"":155,""dy"":-113,""t"":10374},{""x"":662,""y"":682,""dx"":171,""dy"":-139,""t"":10408},{""x"":635,""y"":732,""dx"":144,""dy"":-89,""t"":10443},{""x"":590,""y"":741,""dx"":99,""dy"":-80,""t"":10476},{""x"":592,""y"":762,""dx"":101,""dy"":-59,""t"":10510},{""x"":599,""y"":772,""dx"":108,""dy"":-49,""t"":10544},{""x"":591,""y"":780,""dx"":100,""dy"":-41,""t"":10578},{""x"":577,""y"":786,""dx"":86,""dy"":-35,""t"":10610},{""x"":544,""y"":776,""dx"":53,""dy"":-45,""t"":10647},{""x"":567,""y"":743,""dx"":76,""dy"":-78,""t"":10680},{""x"":548,""y"":752,""dx"":57,""dy"":-69,""t"":10714},{""x"":567,""y"":747,""dx"":76,""dy"":-74,""t"":10747},{""x"":573,""y"":752,""dx"":82,""dy"":-69,""t"":10783},{""x"":578,""y"":760,""dx"":87,""dy"":-61,""t"":10816},{""x"":577,""y"":805,""dx"":86,""dy"":-16,""t"":10850},{""x"":543,""y"":821,""dx"":52,""dy"":0,""t"":10884},{""x"":552,""y"":811,""dx"":61,""dy"":-10,""t"":10918},{""x"":542,""y"":800,""dx"":51,""dy"":-21,""t"":10952},{""x"":546,""y"":799,""dx"":55,""dy"":-22,""t"":10986},{""x"":537,""y"":730,""dx"":46,""dy"":-91,""t"":11021},{""x"":567,""y"":722,""dx"":76,""dy"":-99,""t"":11054},{""x"":526,""y"":769,""dx"":35,""dy"":-52,""t"":11088},{""x"":525,""y"":774,""dx"":34,""dy"":-47,""t"":11122},{""x"":535,""y"":764,""dx"":44,""dy"":-57,""t"":11156},{""x"":541,""y"":784,""dx"":50,""dy"":-37,""t"":11190},{""x"":529,""y"":747,""dx"":38,""dy"":-74,""t"":11224},{""x"":546,""y"":740,""dx"":55,""dy"":-81,""t"":11257},{""x"":570,""y"":735,""dx"":79,""dy"":-86,""t"":11292},{""x"":568,""y"":771,""dx"":77,""dy"":-50,""t"":11326},{""x"":566,""y"":801,""dx"":75,""dy"":-20,""t"":11360},{""x"":564,""y"":794,""dx"":73,""dy"":-27,""t"":11394},{""x"":548,""y"":816,""dx"":57,""dy"":-5,""t"":11428},{""x"":549,""y"":758,""dx"":58,""dy"":-63,""t"":11462},{""x"":549,""y"":799,""dx"":58,""dy"":-22,""t"":11496},{""x"":554,""y"":829,""dx"":63,""dy"":8,""t"":11531},{""x"":590,""y"":796,""dx"":99,""dy"":-25,""t"":11564},{""x"":618,""y"":763,""dx"":127,""dy"":-58,""t"":11598},{""x"":614,""y"":789,""dx"":123,""dy"":-32,""t"":11632},{""x"":614,""y"":764,""dx"":123,""dy"":-57,""t"":11666},{""x"":612,""y"":730,""dx"":121,""dy"":-91,""t"":11700},{""x"":555,""y"":750,""dx"":64,""dy"":-71,""t"":11734},{""x"":506,""y"":768,""dx"":15,""dy"":-53,""t"":11766},{""x"":528,""y"":763,""dx"":37,""dy"":-58,""t"":11802},{""x"":550,""y"":799,""dx"":59,""dy"":-22,""t"":11837},{""x"":575,""y"":804,""dx"":84,""dy"":-17,""t"":11870},{""x"":595,""y"":764,""dx"":104,""dy"":-57,""t"":11904},{""x"":608,""y"":735,""dx"":117,""dy"":-86,""t"":11938},{""x"":631,""y"":728,""dx"":140,""dy"":-93,""t"":11972},{""x"":646,""y"":863,""dx"":155,""dy"":42,""t"":12005}],[{""x"":1520,""y"":663,""dx"":69,""dy"":-158,""t"":13026},{""x"":1528,""y"":643,""dx"":77,""dy"":-178,""t"":13060},{""x"":1514,""y"":650,""dx"":63,""dy"":-171,""t"":13094},{""x"":1506,""y"":641,""dx"":55,""dy"":-180,""t"":13128},{""x"":1511,""y"":633,""dx"":60,""dy"":-188,""t"":13162},{""x"":1466,""y"":656,""dx"":15,""dy"":-165,""t"":13195},{""x"":1477,""y"":655,""dx"":26,""dy"":-166,""t"":13230},{""x"":1450,""y"":658,""dx"":-1,""dy"":-163,""t"":13264},{""x"":1463,""y"":658,""dx"":12,""dy"":-163,""t"":13298},{""x"":1442,""y"":688,""dx"":-9,""dy"":-133,""t"":13331},{""x"":1450,""y"":668,""dx"":-1,""dy"":-153,""t"":13367},{""x"":1451,""y"":676,""dx"":0,""dy"":-145,""t"":13400},{""x"":1420,""y"":675,""dx"":-31,""dy"":-146,""t"":13434},{""x"":1420,""y"":668,""dx"":-31,""dy"":-153,""t"":13469},{""x"":1419,""y"":671,""dx"":-32,""dy"":-150,""t"":13502},{""x"":1417,""y"":685,""dx"":-34,""dy"":-136,""t"":13536},{""x"":1416,""y"":697,""dx"":-35,""dy"":-124,""t"":13571},{""x"":1413,""y"":712,""dx"":-38,""dy"":-109,""t"":13605},{""x"":1410,""y"":711,""dx"":-41,""dy"":-110,""t"":13638},{""x"":1414,""y"":720,""dx"":-37,""dy"":-101,""t"":13672},{""x"":1395,""y"":689,""dx"":-56,""dy"":-132,""t"":13706},{""x"":1388,""y"":689,""dx"":-63,""dy"":-132,""t"":13739},{""x"":1383,""y"":689,""dx"":-68,""dy"":-132,""t"":13772},{""x"":1388,""y"":706,""dx"":-63,""dy"":-115,""t"":13808},{""x"":1375,""y"":713,""dx"":-76,""dy"":-108,""t"":13842},{""x"":1389,""y"":714,""dx"":-62,""dy"":-107,""t"":13876},{""x"":1401,""y"":710,""dx"":-50,""dy"":-111,""t"":13910},{""x"":1383,""y"":715,""dx"":-68,""dy"":-106,""t"":13945},{""x"":1343,""y"":726,""dx"":-108,""dy"":-95,""t"":13978},{""x"":1311,""y"":756,""dx"":-140,""dy"":-65,""t"":14012},{""x"":1299,""y"":753,""dx"":-152,""dy"":-68,""t"":14046},{""x"":1297,""y"":764,""dx"":-154,""dy"":-57,""t"":14079},{""x"":1323,""y"":750,""dx"":-128,""dy"":-71,""t"":14114},{""x"":1332,""y"":751,""dx"":-119,""dy"":-70,""t"":14149},{""x"":1301,""y"":777,""dx"":-150,""dy"":-44,""t"":14182},{""x"":1342,""y"":767,""dx"":-109,""dy"":-54,""t"":14216},{""x"":1337,""y"":781,""dx"":-114,""dy"":-40,""t"":14250},{""x"":1319,""y"":761,""dx"":-132,""dy"":-60,""t"":14284},{""x"":1298,""y"":755,""dx"":-153,""dy"":-66,""t"":14319},{""x"":1329,""y"":751,""dx"":-122,""dy"":-70,""t"":14352},{""x"":1334,""y"":724,""dx"":-117,""dy"":-97,""t"":14386},{""x"":1331,""y"":727,""dx"":-120,""dy"":-94,""t"":14419},{""x"":1344,""y"":732,""dx"":-107,""dy"":-89,""t"":14454},{""x"":1343,""y"":704,""dx"":-108,""dy"":-117,""t"":14488},{""x"":1353,""y"":726,""dx"":-98,""dy"":-95,""t"":14522},{""x"":1385,""y"":727,""dx"":-66,""dy"":-94,""t"":14557},{""x"":1402,""y"":753,""dx"":-49,""dy"":-68,""t"":14589},{""x"":1374,""y"":728,""dx"":-77,""dy"":-93,""t"":14624},{""x"":1373,""y"":745,""dx"":-78,""dy"":-76,""t"":14658},{""x"":1361,""y"":752,""dx"":-90,""dy"":-69,""t"":14691},{""x"":1376,""y"":770,""dx"":-75,""dy"":-51,""t"":14726},{""x"":1391,""y"":759,""dx"":-60,""dy"":-62,""t"":14760},{""x"":1362,""y"":769,""dx"":-89,""dy"":-52,""t"":14794},{""x"":1331,""y"":785,""dx"":-120,""dy"":-36,""t"":14828},{""x"":1331,""y"":765,""dx"":-120,""dy"":-56,""t"":14862},{""x"":1345,""y"":743,""dx"":-106,""dy"":-78,""t"":14897},{""x"":1344,""y"":752,""dx"":-107,""dy"":-69,""t"":14930},{""x"":1343,""y"":762,""dx"":-108,""dy"":-59,""t"":14964},{""x"":1364,""y"":757,""dx"":-87,""dy"":-64,""t"":14999},{""x"":1325,""y"":782,""dx"":-126,""dy"":-39,""t"":15032}]]","[100,100,100,96.61016949152543,100]","[{""x"":43.21666666666667,""y"":26.75,""r"":115.6625779541132},{""x"":35.6271186440678,""y"":54.96610169491525,""r"":27.03521595003628},{""x"":-56.516666666666666,""y"":49.43333333333333,""r"":39.514752512982014},{""x"":84.40677966101696,""y"":-51.49152542372882,""r"":40.780523963424},{""x"":-65.13333333333334,""y"":-102.55,""r"":83.47934704881038}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
