"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","71","141020","0.0-6.0-2.0-1.19","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","72","142622","0.0-6.0-2.0-2.19","","","","","594","8","","[""star"",""triangle_1"",""rect"",""hexagram""]","","","","","","","","","","","","[{""x"":1291,""y"":513,""t"":5},{""x"":1212,""y"":512,""t"":45},{""x"":1192,""y"":521,""t"":79},{""x"":1164,""y"":534,""t"":109},{""x"":1124,""y"":545,""t"":140},{""x"":1085,""y"":547,""t"":175},{""x"":1080,""y"":555,""t"":208},{""x"":1041,""y"":571,""t"":243},{""x"":1045,""y"":585,""t"":276},{""x"":1069,""y"":583,""t"":310},{""x"":1100,""y"":585,""t"":344},{""x"":1125,""y"":594,""t"":378},{""x"":1149,""y"":594,""t"":411},{""x"":1124,""y"":570,""t"":446},{""x"":1110,""y"":534,""t"":480},{""x"":1122,""y"":482,""t"":514},{""x"":1132,""y"":434,""t"":547}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","8","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]"
"","canvas-keyboard-response","73","143629","0.0-6.0-2.0-0.20","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","74","143736","0.0-6.0-2.0-1.20","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","75","145434","0.0-6.0-2.0-2.20","","","","","690","2","","[""circle"",""star"",""triangle"",""rect_1""]","","","","","","","","","","","","[{""x"":1099,""y"":413,""t"":4},{""x"":1048,""y"":434,""t"":43},{""x"":1008,""y"":443,""t"":73},{""x"":972,""y"":442,""t"":106},{""x"":948,""y"":459,""t"":140},{""x"":970,""y"":468,""t"":174},{""x"":969,""y"":481,""t"":208},{""x"":987,""y"":491,""t"":243},{""x"":985,""y"":477,""t"":275},{""x"":1000,""y"":492,""t"":310},{""x"":987,""y"":516,""t"":344},{""x"":1015,""y"":525,""t"":378},{""x"":1015,""y"":559,""t"":412},{""x"":1044,""y"":613,""t"":446},{""x"":1035,""y"":658,""t"":479},{""x"":1038,""y"":687,""t"":514},{""x"":1056,""y"":703,""t"":548},{""x"":1028,""y"":751,""t"":582},{""x"":1027,""y"":784,""t"":616},{""x"":1026,""y"":806,""t"":651}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect_1","2","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","76","146441","0.0-6.0-2.0-0.21","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","77","146548","0.0-6.0-2.0-1.21","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","78","148162","0.0-6.0-2.0-2.21","","","","","608","6","","[""ring_1"",""rect"",""star"",""triangle""]","","","","","","","","","","","","[{""x"":1014,""y"":762,""t"":3},{""x"":1012,""y"":703,""t"":37},{""x"":998,""y"":643,""t"":71},{""x"":1010,""y"":589,""t"":106},{""x"":989,""y"":566,""t"":141},{""x"":973,""y"":525,""t"":175},{""x"":983,""y"":506,""t"":208},{""x"":973,""y"":479,""t"":241},{""x"":970,""y"":454,""t"":276},{""x"":960,""y"":436,""t"":310},{""x"":1044,""y"":457,""t"":345},{""x"":1115,""y"":452,""t"":378},{""x"":1174,""y"":450,""t"":409},{""x"":1241,""y"":454,""t"":446},{""x"":1270,""y"":448,""t"":479},{""x"":1334,""y"":445,""t"":514},{""x"":1352,""y"":467,""t"":548},{""x"":1378,""y"":485,""t"":583}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]"
"","canvas-keyboard-response","79","149170","0.0-6.0-2.0-0.22","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","80","149277","0.0-6.0-2.0-1.22","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
