success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,load_time,stimulus,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,phase,ans,ISI,webgazer_data,webgazer_targets,size,target,response_answer,correct,webgazer_targets_data
,canvas-keyboard-response,212,343874,0.0-5.0-6.0-0.26,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,213,343987,0.0-5.0-6.0-1.26,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,214,344949,0.0-5.0-6.0-2.26,,,,,428,6,,,"[""circle"",""circle"",""circle"",""circle"",""circle"",""circle""]",,,,,,,,,,"[{""x"":1052,""y"":733,""t"":4},{""x"":1055,""y"":689,""t"":41},{""x"":995,""y"":672,""t"":73},{""x"":1011,""y"":690,""t"":117},{""x"":1007,""y"":635,""t"":144},{""x"":962,""y"":624,""t"":174},{""x"":939,""y"":665,""t"":218},{""x"":970,""y"":578,""t"":245},{""x"":1003,""y"":546,""t"":276},{""x"":1065,""y"":476,""t"":316},{""x"":1117,""y"":462,""t"":346},{""x"":1178,""y"":414,""t"":378}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",6,purple,6,TRUE,"[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
,canvas-keyboard-response,215,345970,0.0-5.0-6.0-0.27,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,216,346083,0.0-5.0-6.0-1.27,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,217,347085,0.0-5.0-6.0-2.27,,,,,491,4,,,"[""circle"",""circle"",""circle"",""circle"",""circle"",""circle""]",,,,,,,,,,"[{""x"":1185,""y"":403,""t"":5},{""x"":1140,""y"":395,""t"":46},{""x"":1068,""y"":381,""t"":70},{""x"":1028,""y"":397,""t"":106},{""x"":1038,""y"":417,""t"":155},{""x"":1036,""y"":393,""t"":174},{""x"":1042,""y"":422,""t"":219},{""x"":1070,""y"":386,""t"":250},{""x"":1055,""y"":351,""t"":277},{""x"":1097,""y"":370,""t"":309},{""x"":1124,""y"":422,""t"":345},{""x"":1079,""y"":449,""t"":377},{""x"":1018,""y"":497,""t"":435},{""x"":952,""y"":539,""t"":450}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",6,cyan,4,TRUE,"[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
,canvas-keyboard-response,218,348104,0.0-5.0-6.0-0.28,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,219,348217,0.0-5.0-6.0-1.28,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
,canvas-keyboard-response,220,349182,0.0-5.0-6.0-2.28,,,,,446,6,,,"[""circle"",""circle"",""circle"",""circle"",""circle"",""circle""]",,,,,,,,,,"[{""x"":949,""y"":549,""t"":4},{""x"":1033,""y"":535,""t"":43},{""x"":1056,""y"":578,""t"":72},{""x"":1062,""y"":567,""t"":117},{""x"":1068,""y"":538,""t"":142},{""x"":1106,""y"":536,""t"":174},{""x"":1117,""y"":524,""t"":221},{""x"":1118,""y"":526,""t"":248},{""x"":1106,""y"":505,""t"":276},{""x"":1103,""y"":495,""t"":320},{""x"":1118,""y"":465,""t"":347},{""x"":1163,""y"":418,""t"":378},{""x"":1173,""y"":390,""t"":419}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}",6,yellow,6,TRUE,"[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
,canvas-keyboard-response,221,350200,0.0-5.0-6.0-0.29,,,,,null,null,,,,,,,,,recognition,,"[""4"",""9"",""1"",""6"",""1"",""9"",""3"",""3"",""4"",""4"",""9"",""3"",""3"",""4"",""9"",""6"",""7"",""1"",""3"",""6"",""7"",""3"",""4"",""6"",""7"",""7"",""9"",""1"",""6"",""1"",""6"",""4"",""1"",""7"",""9"",""7"",""1"",""1"",""9"",""4"",""6"",""1"",""4"",""3"",""9"",""1"",""4"",""9"",""7"",""4"",""9"",""9"",""6"",""3"",""3"",""9"",""7"",""3"",""3"",""1"",""6"",""1"",""6"",""4"",""6"",""6"",""3"",""4"",""7"",""7"",""7"",""7""]",500,,,,,,,
