"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","105","199744","0.0-6.0-2.0-0.29","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","106","199853","0.0-6.0-2.0-1.29","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","107","201990","0.0-6.0-2.0-2.29","","","","","608","6","","[""diamond"",""circle"",""rect"",""triangle_1"",""star"",""hexagram""]","","","","","","","","","","","","","[{""x"":1118,""y"":782,""t"":5},{""x"":1054,""y"":763,""t"":39},{""x"":1025,""y"":726,""t"":83},{""x"":990,""y"":684,""t"":112},{""x"":961,""y"":677,""t"":141},{""x"":939,""y"":652,""t"":177},{""x"":925,""y"":638,""t"":209},{""x"":911,""y"":631,""t"":254},{""x"":897,""y"":603,""t"":285},{""x"":875,""y"":580,""t"":312},{""x"":896,""y"":561,""t"":344},{""x"":915,""y"":522,""t"":378},{""x"":974,""y"":502,""t"":416},{""x"":1025,""y"":488,""t"":443},{""x"":1099,""y"":537,""t"":487},{""x"":1129,""y"":548,""t"":515},{""x"":1169,""y"":541,""t"":549},{""x"":1178,""y"":516,""t"":582}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","6","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]"
"","canvas-keyboard-response","108","203016","0.0-6.0-2.0-0.30","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","109","203127","0.0-6.0-2.0-1.30","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","110","205213","0.0-6.0-2.0-2.30","","","","","575","1","","[""rect"",""circle"",""hexagram"",""diamond"",""triangle"",""star_1""]","","","","","","","","","","","","","[{""x"":1145,""y"":469,""t"":4},{""x"":1112,""y"":535,""t"":41},{""x"":1102,""y"":513,""t"":73},{""x"":1063,""y"":477,""t"":119},{""x"":1033,""y"":543,""t"":150},{""x"":1030,""y"":580,""t"":176},{""x"":1012,""y"":565,""t"":209},{""x"":989,""y"":518,""t"":244},{""x"":992,""y"":487,""t"":276},{""x"":1022,""y"":541,""t"":321},{""x"":1012,""y"":551,""t"":348},{""x"":1001,""y"":569,""t"":378},{""x"":983,""y"":589,""t"":415},{""x"":953,""y"":589,""t"":446},{""x"":950,""y"":612,""t"":493},{""x"":959,""y"":575,""t"":521},{""x"":942,""y"":578,""t"":548}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star_1","1","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]"
"","canvas-keyboard-response","111","206230","0.0-6.0-2.0-0.31","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","112","206340","0.0-6.0-2.0-1.31","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","113","208853","0.0-6.0-2.0-2.31","","","","","1004","3","","[""diamond_1"",""rect"",""star"",""triangle"",""hexagram"",""circle""]","","","","","","","","","","","","","[{""x"":991,""y"":600,""t"":5},{""x"":986,""y"":582,""t"":56},{""x"":1002,""y"":552,""t"":76},{""x"":998,""y"":540,""t"":107},{""x"":1001,""y"":536,""t"":153},{""x"":980,""y"":527,""t"":178},{""x"":1005,""y"":512,""t"":207},{""x"":981,""y"":500,""t"":246},{""x"":993,""y"":549,""t"":276},{""x"":1022,""y"":509,""t"":317},{""x"":1049,""y"":465,""t"":341},{""x"":1060,""y"":512,""t"":387},{""x"":1047,""y"":580,""t"":415},{""x"":1052,""y"":550,""t"":446},{""x"":1062,""y"":545,""t"":481},{""x"":1066,""y"":561,""t"":514},{""x"":1064,""y"":627,""t"":557},{""x"":1060,""y"":644,""t"":584},{""x"":1051,""y"":657,""t"":616},{""x"":1084,""y"":664,""t"":652},{""x"":1048,""y"":741,""t"":684},{""x"":1039,""y"":742,""t"":729},{""x"":1002,""y"":769,""t"":757},{""x"":1015,""y"":737,""t"":785},{""x"":1024,""y"":779,""t"":823},{""x"":1048,""y"":759,""t"":854},{""x"":1067,""y"":767,""t"":893},{""x"":1082,""y"":771,""t"":920},{""x"":1077,""y"":777,""t"":957}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram","3","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":746.18802153517,""bottom"":799.8076211353316,""left"":653.81197846483},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","114","209876","0.0-6.0-2.0-0.32","","","","","null","null","","","","","","","","","recognition","","[""7"",""3"",""4"",""6"",""1"",""6"",""6"",""7"",""7"",""3"",""1"",""9"",""9"",""9"",""9"",""6"",""1"",""9"",""4"",""1"",""3"",""3"",""4"",""9"",""7"",""7"",""6"",""1"",""3"",""6"",""1"",""3"",""3"",""6"",""1"",""7"",""6"",""9"",""1"",""4"",""3"",""1"",""3"",""3"",""6"",""6"",""9"",""4"",""4"",""3"",""9"",""7"",""1"",""6"",""4"",""3"",""1"",""9"",""6"",""9"",""7"",""1"",""9"",""7"",""4"",""4"",""7"",""4"",""7"",""4"",""7"",""4""]","1500","6","shape","","","","","",""
