"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","2196","0.0-0.0","","","","","","","",""
"","survey-text","1","5848","0.0-1.0-0.0","3650","{""name"":""hly""}","","","","","",""
"true","preload","2","5848","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","7024","0.0-3.0","1176","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","16848","0.0-4.0-0.0","9316","0","","","","","./img/Booking.png",""
"","survey-likert","5","78433","0.0-4.0-1.0","61076","{""1"":3,""2"":1,""3"":2,""4"":3,""5"":2,""6"":2}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","84616","0.0-4.0-2.0","6181","0","","","","","./img/tuniu.png",""
"","survey-likert","7","138833","0.0-4.0-3.0","53715","{""1"":3,""2"":4,""3"":4,""4"":3,""5"":3,""6"":2}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","138835","0.0-5.0","","","","","","","",""
"","html-button-response","9","140848","0.0-6.0","2012","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
