"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","1986801","0.0-0.0","","","","","","","",""
"","survey-text","1","1988969","0.0-1.0-0.0","2166","{""name"":""张昊""}","","","","","",""
"true","preload","2","1988970","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","1989626","0.0-3.0","655","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","2006946","0.0-4.0-0.0","16816","0","","","","","./img/Booking.png",""
"","survey-likert","5","2025330","0.0-4.0-1.0","17877","{""1"":4,""2"":4,""3"":4,""4"":3,""5"":4,""6"":3}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","2029105","0.0-4.0-2.0","3773","0","","","","","./img/tuniu.png",""
"","survey-likert","7","2038458","0.0-4.0-3.0","8848","{""1"":2,""2"":3,""3"":3,""4"":3,""5"":3,""6"":2}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","2038460","0.0-5.0","","","","","","","",""
"","html-button-response","9","2039657","0.0-6.0","1197","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
