"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","2228","0.0-0.0","","","","","","","",""
"","survey-text","1","5519","0.0-1.0-0.0","3287","{""name"":""黎钰""}","","","","","",""
"true","preload","2","5520","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","6711","0.0-3.0","1191","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","17303","0.0-4.0-0.0","10089","0","","","","","./img/Booking.png",""
"","survey-likert","5","50304","0.0-4.0-1.0","32496","{""1"":3,""2"":2,""3"":3,""4"":3,""5"":3,""6"":2}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","66007","0.0-4.0-2.0","15701","0","","","","","./img/tuniu.png",""
"","survey-likert","7","83504","0.0-4.0-3.0","16994","{""1"":4,""2"":3,""3"":3,""4"":3,""5"":4,""6"":3}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","83506","0.0-5.0","","","","","","","",""
"","html-button-response","9","84503","0.0-6.0","997","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
