"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","3623778","0.0-0.0","","","","","","","",""
"","survey-text","1","3625145","0.0-1.0-0.0","1364","{""name"":""scc""}","","","","","",""
"true","preload","2","3625146","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","3625785","0.0-3.0","638","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","3674913","0.0-4.0-0.0","48622","0","","","","","./img/Booking.png",""
"","survey-likert","5","3686874","0.0-4.0-1.0","11444","{""1"":4,""2"":4,""3"":4,""4"":4,""5"":4,""6"":4}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","3696121","0.0-4.0-2.0","9245","0","","","","","./img/tuniu.png",""
"","survey-likert","7","3702330","0.0-4.0-3.0","5706","{""1"":2,""2"":3,""3"":4,""4"":4,""5"":1,""6"":3}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","3702332","0.0-5.0","","","","","","","",""
"","html-button-response","9","3703353","0.0-6.0","1020","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
