"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","2408","0.0-0.0","","","","","","","",""
"","survey-text","1","5149","0.0-1.0-0.0","2736","{""name"":""syx""}","","","","","",""
"true","preload","2","5150","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","9363","0.0-3.0","4212","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","19915","0.0-4.0-0.0","10044","0","","","","","./img/Booking.png",""
"","survey-likert","5","53179","0.0-4.0-1.0","32760","{""1"":4,""2"":4,""3"":3,""4"":2,""5"":3,""6"":4}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","63426","0.0-4.0-2.0","10245","0","","","","","./img/tuniu.png",""
"","survey-likert","7","76850","0.0-4.0-3.0","12913","{""1"":3,""2"":3,""3"":2,""4"":2,""5"":3,""6"":3}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","76852","0.0-5.0","","","","","","","",""
"","html-button-response","9","78490","0.0-6.0","1638","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
