success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,phase,ans,ISI,size,shapeORcolor,webgazer_data,webgazer_targets,webgazer_targets_data,correct,response_target,response_answer
,canvas-keyboard-response,190,369164,0.0-6.0-4.0-0.20,,,,,null,null,,,,,,,,,recall,,"[""6"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""4"",""6"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""4"",""6"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""5"",""5"",""4"",""4"",""5"",""6""]",500,2,color,,,,,,
,canvas-keyboard-response,191,371180,0.0-6.0-4.0-1.20,,,,,null,null,,"[""green"",""red""]",,,,,,,,,,,2,,"[{""x"":792,""y"":530,""t"":4},{""x"":801,""y"":485,""t"":38},{""x"":834,""y"":461,""t"":75},{""x"":834,""y"":483,""t"":106},{""x"":902,""y"":456,""t"":154},{""x"":895,""y"":431,""t"":181},{""x"":923,""y"":430,""t"":210},{""x"":883,""y"":424,""t"":243},{""x"":906,""y"":429,""t"":279},{""x"":864,""y"":430,""t"":311},{""x"":812,""y"":433,""t"":353},{""x"":768,""y"":435,""t"":378},{""x"":755,""y"":450,""t"":412},{""x"":749,""y"":483,""t"":452},{""x"":733,""y"":461,""t"":481},{""x"":732,""y"":468,""t"":527},{""x"":712,""y"":480,""t"":555},{""x"":702,""y"":513,""t"":584},{""x"":674,""y"":543,""t"":616},{""x"":671,""y"":535,""t"":652},{""x"":702,""y"":524,""t"":684},{""x"":858,""y"":521,""t"":721},{""x"":991,""y"":518,""t"":749},{""x"":1084,""y"":509,""t"":792},{""x"":1166,""y"":467,""t"":819},{""x"":1388,""y"":473,""t"":855},{""x"":1567,""y"":507,""t"":895},{""x"":1713,""y"":479,""t"":923},{""x"":1839,""y"":466,""t"":956},{""x"":1913,""y"":433,""t"":993},{""x"":2004,""y"":467,""t"":1022},{""x"":2083,""y"":513,""t"":1072},{""x"":2091,""y"":532,""t"":1097},{""x"":2053,""y"":476,""t"":1125},{""x"":1924,""y"":577,""t"":1166},{""x"":1800,""y"":645,""t"":1193},{""x"":1665,""y"":954,""t"":1229},{""x"":1553,""y"":1183,""t"":1265},{""x"":1460,""y"":1361,""t"":1294},{""x"":1294,""y"":1396,""t"":1338},{""x"":1155,""y"":1312,""t"":1364},{""x"":1062,""y"":1218,""t"":1399},{""x"":1011,""y"":1072,""t"":1446},{""x"":932,""y"":929,""t"":1474},{""x"":915,""y"":869,""t"":1503},{""x"":811,""y"":759,""t"":1535},{""x"":735,""y"":653,""t"":1570},{""x"":752,""y"":622,""t"":1603},{""x"":691,""y"":570,""t"":1648},{""x"":711,""y"":522,""t"":1676},{""x"":764,""y"":499,""t"":1705},{""x"":782,""y"":475,""t"":1741},{""x"":819,""y"":505,""t"":1773},{""x"":866,""y"":492,""t"":1818},{""x"":925,""y"":497,""t"":1846},{""x"":1007,""y"":506,""t"":1874},{""x"":996,""y"":458,""t"":1912},{""x"":1072,""y"":451,""t"":1942},{""x"":1152,""y"":459,""t"":1985}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]",,,
,canvas-keyboard-response,192,372177,0.0-6.0-4.0-2.20,,,,,486,6,,,,,,,,,,,,,,,,,,TRUE,red,6
,canvas-keyboard-response,193,373186,0.0-6.0-4.0-0.21,,,,,null,null,,,,,,,,,recall,,"[""6"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""4"",""6"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""4"",""6"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""5"",""5"",""4"",""4"",""5"",""6""]",500,2,color,,,,,,
,canvas-keyboard-response,194,375199,0.0-6.0-4.0-1.21,,,,,null,null,,"[""green"",""red""]",,,,,,,,,,,2,,"[{""x"":1084,""y"":462,""t"":4},{""x"":1023,""y"":466,""t"":37},{""x"":975,""y"":468,""t"":76},{""x"":933,""y"":470,""t"":103},{""x"":920,""y"":471,""t"":140},{""x"":872,""y"":479,""t"":186},{""x"":864,""y"":457,""t"":216},{""x"":827,""y"":485,""t"":243},{""x"":886,""y"":538,""t"":276},{""x"":898,""y"":531,""t"":312},{""x"":862,""y"":514,""t"":343},{""x"":824,""y"":504,""t"":389},{""x"":802,""y"":511,""t"":415},{""x"":740,""y"":580,""t"":446},{""x"":737,""y"":587,""t"":483},{""x"":730,""y"":613,""t"":513},{""x"":719,""y"":597,""t"":561},{""x"":726,""y"":562,""t"":591},{""x"":759,""y"":570,""t"":618},{""x"":756,""y"":569,""t"":650},{""x"":726,""y"":589,""t"":686},{""x"":714,""y"":588,""t"":718},{""x"":779,""y"":593,""t"":763},{""x"":848,""y"":615,""t"":791},{""x"":957,""y"":579,""t"":820},{""x"":982,""y"":553,""t"":858},{""x"":1055,""y"":520,""t"":888},{""x"":1070,""y"":497,""t"":935},{""x"":1109,""y"":527,""t"":963},{""x"":1209,""y"":530,""t"":991},{""x"":1250,""y"":479,""t"":1024},{""x"":1219,""y"":461,""t"":1060},{""x"":1236,""y"":427,""t"":1092},{""x"":1282,""y"":419,""t"":1131},{""x"":1307,""y"":489,""t"":1160},{""x"":1330,""y"":460,""t"":1201},{""x"":1335,""y"":430,""t"":1230},{""x"":1327,""y"":396,""t"":1262},{""x"":1174,""y"":427,""t"":1306},{""x"":1018,""y"":464,""t"":1332},{""x"":958,""y"":432,""t"":1364},{""x"":874,""y"":491,""t"":1401},{""x"":807,""y"":497,""t"":1432},{""x"":773,""y"":533,""t"":1467},{""x"":763,""y"":549,""t"":1510},{""x"":733,""y"":572,""t"":1539},{""x"":708,""y"":575,""t"":1568},{""x"":690,""y"":576,""t"":1602},{""x"":623,""y"":574,""t"":1636},{""x"":690,""y"":552,""t"":1674},{""x"":740,""y"":552,""t"":1704},{""x"":877,""y"":549,""t"":1738},{""x"":956,""y"":503,""t"":1777},{""x"":1019,""y"":543,""t"":1805},{""x"":1064,""y"":516,""t"":1840},{""x"":1173,""y"":517,""t"":1886},{""x"":1236,""y"":476,""t"":1916},{""x"":1335,""y"":427,""t"":1942},{""x"":1353,""y"":374,""t"":1980}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]",,,
,canvas-keyboard-response,195,376297,0.0-6.0-4.0-2.21,,,,,591,5,,,,,,,,,,,,,,,,,,TRUE,blue,5
,canvas-keyboard-response,196,377314,0.0-6.0-4.0-0.22,,,,,null,null,,,,,,,,,recall,,"[""6"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""4"",""6"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""4"",""6"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""5"",""5"",""4"",""4"",""5"",""6""]",500,2,color,,,,,,
,canvas-keyboard-response,197,379325,0.0-6.0-4.0-1.22,,,,,null,null,,"[""blue"",""green""]",,,,,,,,,,,2,,"[{""x"":1296,""y"":416,""t"":4},{""x"":1208,""y"":417,""t"":39},{""x"":1136,""y"":384,""t"":74},{""x"":1116,""y"":437,""t"":106},{""x"":1056,""y"":402,""t"":150},{""x"":991,""y"":462,""t"":178},{""x"":1018,""y"":479,""t"":208},{""x"":1022,""y"":490,""t"":242},{""x"":1048,""y"":532,""t"":275},{""x"":1004,""y"":548,""t"":314},{""x"":984,""y"":589,""t"":344},{""x"":899,""y"":567,""t"":379},{""x"":805,""y"":579,""t"":416},{""x"":782,""y"":551,""t"":447},{""x"":776,""y"":532,""t"":494},{""x"":731,""y"":561,""t"":523},{""x"":710,""y"":580,""t"":551},{""x"":716,""y"":596,""t"":582},{""x"":731,""y"":591,""t"":619},{""x"":732,""y"":622,""t"":647},{""x"":832,""y"":571,""t"":696},{""x"":935,""y"":547,""t"":724},{""x"":1043,""y"":517,""t"":754},{""x"":1122,""y"":514,""t"":786},{""x"":1143,""y"":530,""t"":822},{""x"":1232,""y"":560,""t"":853},{""x"":1266,""y"":549,""t"":900},{""x"":1310,""y"":545,""t"":927},{""x"":1317,""y"":551,""t"":956},{""x"":1371,""y"":525,""t"":994},{""x"":1345,""y"":532,""t"":1023},{""x"":1330,""y"":573,""t"":1073},{""x"":1313,""y"":609,""t"":1091},{""x"":1296,""y"":652,""t"":1135},{""x"":1303,""y"":560,""t"":1165},{""x"":1273,""y"":505,""t"":1193},{""x"":1266,""y"":550,""t"":1231},{""x"":1218,""y"":521,""t"":1262},{""x"":1213,""y"":694,""t"":1306},{""x"":1210,""y"":842,""t"":1331},{""x"":1208,""y"":1020,""t"":1364},{""x"":1173,""y"":1132,""t"":1400},{""x"":1120,""y"":1094,""t"":1432},{""x"":1062,""y"":1026,""t"":1478},{""x"":996,""y"":934,""t"":1507},{""x"":915,""y"":842,""t"":1534},{""x"":861,""y"":778,""t"":1570},{""x"":817,""y"":719,""t"":1601},{""x"":804,""y"":656,""t"":1642},{""x"":779,""y"":605,""t"":1668},{""x"":756,""y"":596,""t"":1706},{""x"":773,""y"":571,""t"":1738},{""x"":738,""y"":555,""t"":1772},{""x"":712,""y"":545,""t"":1816},{""x"":738,""y"":529,""t"":1844},{""x"":704,""y"":536,""t"":1874},{""x"":719,""y"":500,""t"":1914},{""x"":767,""y"":470,""t"":1941},{""x"":772,""y"":465,""t"":1977}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]",,,
,canvas-keyboard-response,198,380417,0.0-6.0-4.0-2.22,,,,,585,6,,,,,,,,,,,,,,,,,,TRUE,green,6
,canvas-keyboard-response,199,381437,0.0-6.0-4.0-0.23,,,,,null,null,,,,,,,,,recall,,"[""6"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""5"",""4"",""4"",""6"",""5"",""4"",""6"",""5"",""5"",""6"",""4"",""4"",""5"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""4"",""4"",""4"",""6"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""4"",""5"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""4"",""6"",""5"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""5"",""5"",""4"",""4"",""5"",""6""]",500,2,color,,,,,,
