"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","79","128465","0.0-5.0-3.0-1.22","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","80","130445","0.0-5.0-3.0-2.22","","","","","959","7","","","[""triangle"",""hexagram"",""diamond"",""star"",""circle"",""rect""]","","","","","","","","","","","[{""x"":615,""y"":702,""t"":4},{""x"":654,""y"":681,""t"":40},{""x"":685,""y"":655,""t"":74},{""x"":708,""y"":630,""t"":106},{""x"":752,""y"":609,""t"":152},{""x"":800,""y"":590,""t"":179},{""x"":816,""y"":577,""t"":208},{""x"":852,""y"":562,""t"":246},{""x"":852,""y"":555,""t"":276},{""x"":826,""y"":556,""t"":324},{""x"":748,""y"":555,""t"":352},{""x"":693,""y"":560,""t"":381},{""x"":691,""y"":543,""t"":413},{""x"":654,""y"":543,""t"":450},{""x"":715,""y"":481,""t"":480},{""x"":762,""y"":401,""t"":526},{""x"":818,""y"":316,""t"":554},{""x"":857,""y"":290,""t"":583},{""x"":846,""y"":306,""t"":616},{""x"":824,""y"":291,""t"":653},{""x"":828,""y"":258,""t"":684},{""x"":803,""y"":247,""t"":731},{""x"":772,""y"":297,""t"":760},{""x"":787,""y"":269,""t"":794},{""x"":780,""y"":257,""t"":822},{""x"":786,""y"":256,""t"":854},{""x"":787,""y"":262,""t"":888},{""x"":778,""y"":263,""t"":925}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram","7","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","81","131469","0.0-5.0-3.0-0.23","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","82","131576","0.0-5.0-3.0-1.23","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","83","133015","0.0-5.0-3.0-2.23","","","","","423","6","","","[""diamond"",""hexagram"",""rect"",""star"",""triangle"",""circle""]","","","","","","","","","","","[{""x"":791,""y"":328,""t"":4},{""x"":837,""y"":359,""t"":45},{""x"":818,""y"":407,""t"":77},{""x"":886,""y"":463,""t"":108},{""x"":955,""y"":506,""t"":140},{""x"":984,""y"":538,""t"":174},{""x"":1058,""y"":593,""t"":213},{""x"":1114,""y"":625,""t"":244},{""x"":1155,""y"":619,""t"":276},{""x"":1184,""y"":634,""t"":315},{""x"":1224,""y"":633,""t"":344},{""x"":1251,""y"":628,""t"":385}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","6","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":740,""bottom"":280.1923788646684,""left"":660},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","84","134029","0.0-5.0-3.0-0.24","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","85","134138","0.0-5.0-3.0-1.24","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","86","136383","0.0-5.0-3.0-2.24","","","","","1230","1","","","[""circle"",""rect"",""hexagram"",""star"",""triangle"",""diamond""]","","","","","","","","","","","[{""x"":1133,""y"":622,""t"":4},{""x"":1027,""y"":610,""t"":46},{""x"":885,""y"":599,""t"":76},{""x"":784,""y"":595,""t"":106},{""x"":714,""y"":596,""t"":142},{""x"":605,""y"":587,""t"":174},{""x"":522,""y"":587,""t"":219},{""x"":499,""y"":592,""t"":248},{""x"":486,""y"":600,""t"":277},{""x"":460,""y"":586,""t"":313},{""x"":477,""y"":581,""t"":344},{""x"":539,""y"":583,""t"":378},{""x"":574,""y"":610,""t"":424},{""x"":593,""y"":608,""t"":451},{""x"":634,""y"":613,""t"":480},{""x"":667,""y"":605,""t"":517},{""x"":771,""y"":573,""t"":549},{""x"":907,""y"":525,""t"":595},{""x"":1019,""y"":461,""t"":624},{""x"":1080,""y"":415,""t"":653},{""x"":1155,""y"":355,""t"":684},{""x"":1208,""y"":317,""t"":722},{""x"":1251,""y"":281,""t"":751},{""x"":1275,""y"":245,""t"":794},{""x"":1285,""y"":208,""t"":822},{""x"":1238,""y"":200,""t"":855},{""x"":1234,""y"":172,""t"":890},{""x"":1196,""y"":183,""t"":921},{""x"":1089,""y"":297,""t"":969},{""x"":997,""y"":396,""t"":994},{""x"":923,""y"":480,""t"":1024},{""x"":841,""y"":553,""t"":1064},{""x"":768,""y"":611,""t"":1095},{""x"":734,""y"":654,""t"":1126},{""x"":682,""y"":672,""t"":1162},{""x"":650,""y"":694,""t"":1194}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","diamond","1","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]"
"","canvas-keyboard-response","87","137407","0.0-5.0-3.0-0.25","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","88","137529","0.0-5.0-3.0-1.25","","","","","null","null","","","","","","","","","recognition","[""6"",""3"",""4"",""3"",""1"",""3"",""7"",""3"",""9"",""3"",""6"",""7"",""9"",""9"",""4"",""6"",""1"",""1"",""4"",""4"",""1"",""1"",""7"",""6"",""1"",""4"",""7"",""9"",""6"",""4"",""6"",""9"",""3"",""9"",""7"",""7""]","1000","6","shape","","","","","",""
