recall_color_4_1000_mean,recall_color_4_1000_std,recall_color_4_1500_mean,recall_color_4_1500_std,recall_color_4_500_mean,recall_color_4_500_std,recall_shape_4_1000_mean,recall_shape_4_1000_std,recall_shape_4_1500_mean,recall_shape_4_1500_std,recall_shape_4_500_mean,recall_shape_4_500_std
725.5416666666666,318.3761760759646,886.24,370.3831664641362,672.6,155.88831472136283,974.32,371.8279978699828,1071.44,441.998782049604,933.2,296.99929854013686
868.375,303.8868228254666,607.7083333333334,162.82385231917948,729.48,305.8442032582385,886.8,325.5328964431501,725.0833333333334,271.8923886659808,888.64,369.1458474189662
756.68,141.85547809889707,818.92,235.07586009626763,732.64,161.62556522200728,777.08,304.3727046456915,809.64,166.51973856973632,691.96,120.76198353234625
742.2,159.7826648920339,803.92,256.46132262000054,774.24,120.13509062717685,844.96,173.57478695555602,976.08,315.5418514238642,908.6,155.0338672677683
715.625,141.93164689844315,831.44,345.4652756308029,654.04,163.63335030895547,844.64,199.6984977409695,868.72,373.2988659684534,751.6086956521739,127.57555306221656
759.24,358.9437374668441,734.2,300.8295475292722,809.56,287.33402165424127,908.6666666666666,248.12438442226417,1024.6,307.2466435943605,1025.16,268.4467172457134
751.92,248.7639309331908,702.5833333333334,157.4530755955334,665.28,163.12610663737019,868.92,415.67083531724154,897.2,393.9894245619629,892.6,271.7184510972096
821.5,193.29050000272736,866.0,267.85210471452336,804.4,246.27322225528297,777.24,255.2100899259275,865.8,220.1876094001053,908.52,292.93018508397756
627.52,133.65506599701587,726.5416666666666,272.18200099688204,660.32,230.41027176177136,694.32,210.13977887745733,687.52,190.67973148711954,767.08,290.52107209862305
717.36,146.8309345244841,759.84,238.8007677262924,711.92,169.5668304828512,751.72,175.49371308777228,811.2,214.5095180483452,803.8,288.75624091379683
702.52,214.33115343629663,702.04,155.5020042743287,669.72,150.14202165505387,717.7083333333334,152.30161127546043,697.125,154.07206458977734,740.2,232.64744428713016
,,873.25,342.2464469279157,,,,,816.2,294.8505271037061,,
744.4074242424242,62.51103277006227,776.0569444444445,84.7683010746797,716.7454545454545,58.280601981042764,822.3977272727273,86.19192977907154,854.2173611111112,123.46622063589001,846.4880632411067,101.66496528966282
