recognition_color_4_1000_mean,recognition_color_4_1000_std,recognition_color_4_1500_mean,recognition_color_4_1500_std,recognition_color_4_500_mean,recognition_color_4_500_std,recognition_shape_4_1000_mean,recognition_shape_4_1000_std,recognition_shape_4_1500_mean,recognition_shape_4_1500_std,recognition_shape_4_500_mean,recognition_shape_4_500_std
585.6,215.4874319614333,,,552.4,110.38342266844238,748.68,470.26319935400716,,,705.96,186.01108389914114
554.68,138.39909681786222,643.08,214.92128791722797,578.8,162.42562400475282,733.36,365.92461427640166,678.08,114.39985431226154,692.96,197.82472882158422
612.68,82.0719806023956,591.48,86.62135995238127,651.12,81.39324296279145,840.4,318.34101212379153,729.28,200.51943380463982,853.64,195.34006245519635
663.16,128.0386269842035,669.48,114.50695757609374,604.9583333333334,114.09091689893889,731.6,189.028437014117,740.6,301.4867327097496,741.64,235.12884411176213
636.96,131.7258769819608,731.16,199.7360091053522,740.24,222.35468663076716,853.72,281.5434424738037,854.6,193.03043801431937,892.76,203.1820366075702
550.12,84.44047212879221,602.52,134.58241588954579,554.36,99.22780188367909,651.5416666666666,133.0625806240013,661.28,248.4715812053094,672.92,139.38493462350942
526.4166666666666,70.20709531011846,596.28,142.8348463552691,,,689.08,156.1652223341249,704.32,186.50775676451994,,
506.0833333333333,149.87238532851197,550.08,219.02757056285554,475.72,109.92365532495724,648.04,141.58403864842958,660.28,161.5865402810519,635.92,144.456717854634
555.04,89.13495386210731,537.875,100.67179238798073,569.4,133.0269396275306,727.64,322.4706549956652,661.875,150.4460939137771,944.6,347.03205903777825
655.04,95.79643347571279,628.28,117.2268171821903,601.92,130.12875675012552,795.0,181.97962340144937,895.88,261.31276279584966,806.0,213.3416665039126
518.36,79.03315759856746,660.48,401.0184035677166,559.2,115.24683654371314,670.0,146.40440567141414,706.44,195.17472513963824,829.16,283.6915402334021
526.8,115.53570876573181,526.16,95.07395367116415,526.28,80.87053439500282,622.6,147.47542168103809,569.52,119.36747183941416,632.12,186.96954297425023
460.72,68.28892052644167,503.28,92.80558532042491,560.84,114.95277291131345,616.88,134.52518971057677,577.04,119.69839876400464,620.2083333333334,115.77113072845461
736.52,286.38888479362,671.12,107.29877290382527,709.4,240.93446550185936,775.6,179.39017067089637,797.92,175.68008803883646,813.1739130434783,289.15687031812666
525.68,113.9593202272928,,,555.56,120.72043461375266,738.36,238.33028203174965,,,747.44,148.00537152414435
501.4166666666667,96.96566701523867,560.44,116.12424380808686,541.56,165.0136560005464,589.96,105.00058729994483,633.24,101.7477600081037,668.84,145.68764532382286
569.7047916666666,73.10642327728904,605.1225000000001,65.54562963633103,585.4505555555555,68.81905242051944,714.5288541666667,78.5270238050164,705.0253571428572,94.33276803350276,750.4894830917874,101.39530072228582
