0,1
1007,544
1001,540
1035,532
1043,542
1043,557
1019,548
989,548
1007,566
1000,555
1017,531
1078,525
1051,520
1087,507
1110,497
1123,482
1088,461
1151,473
1144,478
1172,642
1195,783
1214,835
1190,853
1157,842
1107,820
1119,771
1112,723
1129,704
1095,648
1077,587
1076,526
1055,447
1019,386
971,355
911,306
845,231
816,219
800,196
701,215
657,215
642,191
615,189
586,191
567,181
587,176
618,174
578,190
545,205
555,233
570,276
603,244
689,379
723,665
812,763
807,761
780,711
771,620
774,518
667,521
631,462
575,453
594,358
600,368
681,276
808,199
905,130
997,120
1041,123
1033,149
1009,151
968,200
963,163
956,132
946,110
964,113
968,115
942,106
903,112
803,156
748,172
715,175
701,169
633,222
640,220
637,208
619,199
661,223
670,240
663,243
645,229
629,290
665,279
835,280
947,272
1041,265
1101,249
1135,265
1077,305
1068,333
1086,343
1110,378
1076,403
1025,385
1051,375
1074,364
1072,340
1070,318
1044,370
1053,338
1067,323
1052,304
1064,310
1059,277
1058,269
1021,271
1044,282
1145,296
1225,296
1313,312
1379,324
1420,346
1466,340
1470,367
1423,332
1421,388
1414,365
1394,341
1369,308
1317,363
1334,331
1307,308
1334,299
1300,297
1220,287
1184,275
1173,220
1116,215
1101,214
1049,217
1030,226
1034,229
1020,194
989,156
974,130
964,119
946,140
944,160
925,132
935,147
896,170
817,182
760,195
722,196
721,234
688,241
709,272
698,252
684,222
822,207
934,226
1035,213
1149,263
1272,274
1355,294
1425,303
1478,309
1473,316
1506,326
1521,273
1508,303
1487,348
1442,351
1428,360
1425,369
1435,394
1453,370
1466,399
1466,354
1453,368
1475,354
1437,359
1450,325
1414,334
1444,315
1442,336
1431,364
1443,395
1470,451
1476,411
1474,467
1486,479
1475,513
1491,534
1488,569
1484,520
1489,573
1501,568
1493,515
1449,514
1488,487
1465,510
1433,554
1434,576
1432,583
1431,601
1416,635
1407,620
1382,658
1382,636
1357,657
1344,686
1326,715
1358,657
1334,666
1327,722
1322,769
1209,756
1125,845
1063,861
1051,848
995,966
981,934
994,920
1009,902
1005,869
924,901
849,914
789,914
749,909
759,875
703,864
726,811
674,781
653,761
599,724
563,717
527,727
485,678
427,682
435,658
497,655
504,697
512,714
564,733
594,759
572,785
570,818
582,843
608,855
614,879
603,900
579,920
571,941
518,954
534,959
497,963
465,943
442,929
436,901
494,873
483,870
473,869
556,846
661,848
695,861
781,845
833,846
893,845
897,849
940,842
995,829
969,840
996,844
934,836
891,843
831,817
824,824
816,805
751,807
719,805
738,783
820,793
888,815
1015,808
1092,800
1127,793
1160,808
1175,817
1193,836
1177,873
1209,886
1208,906
1237,924
1204,922
1171,941
1158,943
1109,940
1086,929
1087,926
1057,938
968,940
803,975
674,994
569,1010
494,1034
447,1076
401,1095
392,1098
387,1095
381,1110
426,1070
503,1028
571,992
577,980
634,918
625,878
666,839
713,824
711,821
696,860
672,872
661,870
628,910
611,935
617,965
654,1009
675,1028
747,1070
835,1090
875,1098
898,1138
925,1108
951,1096
941,1102
940,1090
986,1058
969,1068
975,1039
1014,1003
1005,1025
1041,999
1014,1006
943,1019
928,1013
906,1026
880,1023
876,1032
906,1055
926,1078
933,1088
959,1101
1058,1027
1049,980
1031,1017
1026,1063
1072,984
1091,1007
1081,1026
1084,1052
1068,1068
1055,1077
1058,1088
1049,1062
1020,1090
1017,1099
1104,1049
1114,1058
1157,1014
1199,982
1240,951
1300,925
1356,914
1425,903
1465,857
1475,808
1480,768
1453,747
1432,758
1451,728
1415,681
1436,648
1417,633
1430,660
