"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","282","257281","0.0-4.0-2.0-3.20","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","[{""x"":630,""y"":648,""t"":-14},{""x"":641,""y"":649,""t"":3},{""x"":643,""y"":654,""t"":38},{""x"":654,""y"":623,""t"":83},{""x"":638,""y"":622,""t"":111},{""x"":648,""y"":598,""t"":140},{""x"":657,""y"":589,""t"":183},{""x"":805,""y"":608,""t"":210},{""x"":918,""y"":588,""t"":242},{""x"":1004,""y"":576,""t"":285},{""x"":1106,""y"":571,""t"":313},{""x"":1160,""y"":586,""t"":343},{""x"":1188,""y"":577,""t"":388},{""x"":1228,""y"":562,""t"":416},{""x"":1223,""y"":593,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","283","257794","0.0-4.0-2.0-4.20","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","[{""x"":1166,""y"":738,""t"":-20},{""x"":1111,""y"":839,""t"":3},{""x"":1098,""y"":866,""t"":37},{""x"":1073,""y"":854,""t"":77},{""x"":1032,""y"":813,""t"":106},{""x"":1015,""y"":757,""t"":147},{""x"":982,""y"":721,""t"":174},{""x"":946,""y"":659,""t"":212},{""x"":919,""y"":621,""t"":242},{""x"":899,""y"":551,""t"":285},{""x"":878,""y"":541,""t"":313},{""x"":853,""y"":537,""t"":344},{""x"":815,""y"":521,""t"":388},{""x"":808,""y"":538,""t"":416},{""x"":767,""y"":568,""t"":446},{""x"":741,""y"":604,""t"":484}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","284","259829","0.0-4.0-2.0-5.20","1015","5","","","","","","","","","","","","","","","","","false","purple","2","0","0","trans","double"
"","html-keyboard-response","285","260865","0.0-4.0-2.0-6.20-0.20-0.20","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","286","261881","0.0-4.0-2.0-0.21","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","287","262403","0.0-4.0-2.0-1.21","null","null","","","[""cyan"",""yellow"",""green"",""blue""]","","","","","","","","","","","[{""x"":732,""y"":623,""t"":4},{""x"":732,""y"":615,""t"":39},{""x"":768,""y"":635,""t"":75},{""x"":746,""y"":645,""t"":106},{""x"":775,""y"":641,""t"":151},{""x"":778,""y"":671,""t"":179},{""x"":817,""y"":669,""t"":209},{""x"":831,""y"":687,""t"":242},{""x"":854,""y"":660,""t"":284},{""x"":874,""y"":639,""t"":312},{""x"":867,""y"":627,""t"":344},{""x"":846,""y"":742,""t"":384},{""x"":824,""y"":882,""t"":413},{""x"":806,""y"":999,""t"":467},{""x"":800,""y"":1088,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","","","","","","",""
"","canvas-keyboard-response","288","262912","0.0-4.0-2.0-2.21","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","[{""x"":796,""y"":1072,""t"":3},{""x"":817,""y"":1045,""t"":38},{""x"":844,""y"":964,""t"":84},{""x"":839,""y"":868,""t"":110},{""x"":855,""y"":732,""t"":140},{""x"":856,""y"":656,""t"":182},{""x"":837,""y"":608,""t"":210},{""x"":839,""y"":529,""t"":242},{""x"":845,""y"":425,""t"":282},{""x"":866,""y"":332,""t"":309},{""x"":873,""y"":260,""t"":363},{""x"":877,""y"":246,""t"":382},{""x"":892,""y"":228,""t"":412},{""x"":918,""y"":251,""t"":447},{""x"":957,""y"":266,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","289","263418","0.0-4.0-2.0-3.21","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","[{""x"":1011,""y"":294,""t"":3},{""x"":1061,""y"":315,""t"":39},{""x"":1104,""y"":341,""t"":82},{""x"":1110,""y"":361,""t"":105},{""x"":1126,""y"":392,""t"":149},{""x"":1140,""y"":401,""t"":175},{""x"":1132,""y"":392,""t"":208},{""x"":1122,""y"":381,""t"":256},{""x"":1103,""y"":420,""t"":283},{""x"":1042,""y"":486,""t"":310},{""x"":1019,""y"":534,""t"":357},{""x"":988,""y"":534,""t"":384},{""x"":972,""y"":550,""t"":411},{""x"":963,""y"":579,""t"":453},{""x"":956,""y"":602,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","290","263926","0.0-4.0-2.0-4.21","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","color","4","[{""x"":960,""y"":650,""t"":3},{""x"":981,""y"":639,""t"":38},{""x"":995,""y"":680,""t"":81},{""x"":1019,""y"":636,""t"":105},{""x"":1035,""y"":659,""t"":151},{""x"":1038,""y"":635,""t"":178},{""x"":1017,""y"":668,""t"":208},{""x"":996,""y"":679,""t"":251},{""x"":966,""y"":703,""t"":278},{""x"":952,""y"":713,""t"":310},{""x"":933,""y"":702,""t"":347},{""x"":924,""y"":732,""t"":378},{""x"":949,""y"":710,""t"":411},{""x"":971,""y"":689,""t"":451},{""x"":995,""y"":693,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","291","265932","0.0-4.0-2.0-5.21","991","6","","","","","","","","","","","","","","","","","false","cyan","4","0","0","zoom","single"
