"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","67","139792","0.0-5.0-3.0-0.18","","","","","null","null","","","","","","","","","recall","[""4"",""6"",""7"",""9"",""7"",""7"",""9"",""6"",""1"",""4"",""3"",""4"",""4"",""6"",""3"",""4"",""7"",""3"",""7"",""9"",""3"",""6"",""1"",""7"",""1"",""1"",""6"",""9"",""1"",""4"",""1"",""6"",""9"",""3"",""3"",""9""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","68","141799","0.0-5.0-3.0-1.18","","","","","null","null","","","[""rect"",""hexagram"",""triangle"",""star"",""diamond"",""circle""]","","","","","","","","","6","","[{""x"":1092,""y"":582,""t"":3},{""x"":1070,""y"":583,""t"":38},{""x"":1049,""y"":568,""t"":72},{""x"":1038,""y"":556,""t"":106},{""x"":1014,""y"":537,""t"":139},{""x"":987,""y"":521,""t"":174},{""x"":972,""y"":516,""t"":209},{""x"":974,""y"":516,""t"":241},{""x"":958,""y"":506,""t"":277},{""x"":955,""y"":511,""t"":310},{""x"":933,""y"":501,""t"":343},{""x"":923,""y"":506,""t"":378},{""x"":916,""y"":510,""t"":409},{""x"":913,""y"":515,""t"":446},{""x"":924,""y"":517,""t"":480},{""x"":936,""y"":506,""t"":514},{""x"":915,""y"":488,""t"":548},{""x"":923,""y"":508,""t"":581},{""x"":909,""y"":480,""t"":616},{""x"":938,""y"":485,""t"":651},{""x"":938,""y"":487,""t"":684},{""x"":949,""y"":506,""t"":717},{""x"":926,""y"":488,""t"":752},{""x"":892,""y"":477,""t"":785},{""x"":879,""y"":452,""t"":820},{""x"":888,""y"":452,""t"":855},{""x"":865,""y"":424,""t"":888},{""x"":861,""y"":407,""t"":922},{""x"":846,""y"":391,""t"":955},{""x"":866,""y"":382,""t"":990},{""x"":872,""y"":389,""t"":1024},{""x"":871,""y"":402,""t"":1058},{""x"":852,""y"":425,""t"":1092},{""x"":794,""y"":425,""t"":1126},{""x"":756,""y"":434,""t"":1160},{""x"":736,""y"":441,""t"":1194},{""x"":732,""y"":459,""t"":1240},{""x"":758,""y"":467,""t"":1267},{""x"":779,""y"":500,""t"":1297},{""x"":794,""y"":514,""t"":1331},{""x"":797,""y"":509,""t"":1364},{""x"":808,""y"":478,""t"":1398},{""x"":793,""y"":441,""t"":1432},{""x"":815,""y"":420,""t"":1466},{""x"":836,""y"":408,""t"":1499},{""x"":823,""y"":389,""t"":1534},{""x"":811,""y"":373,""t"":1566},{""x"":864,""y"":412,""t"":1601},{""x"":903,""y"":450,""t"":1635},{""x"":935,""y"":500,""t"":1670},{""x"":966,""y"":520,""t"":1703},{""x"":995,""y"":548,""t"":1738},{""x"":994,""y"":556,""t"":1771},{""x"":998,""y"":561,""t"":1805},{""x"":1010,""y"":577,""t"":1840},{""x"":1013,""y"":579,""t"":1873},{""x"":1018,""y"":580,""t"":1908},{""x"":1003,""y"":571,""t"":1942},{""x"":988,""y"":562,""t"":1974}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]","","",""
"","canvas-keyboard-response","69","143856","0.0-5.0-3.0-2.18","","","","","1048","7","","","","","","","","","","","","","","","","","true","hexagram","7"
"","canvas-keyboard-response","70","144865","0.0-5.0-3.0-0.19","","","","","null","null","","","","","","","","","recall","[""4"",""6"",""7"",""9"",""7"",""7"",""9"",""6"",""1"",""4"",""3"",""4"",""4"",""6"",""3"",""4"",""7"",""3"",""7"",""9"",""3"",""6"",""1"",""7"",""1"",""1"",""6"",""9"",""1"",""4"",""1"",""6"",""9"",""3"",""3"",""9""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","71","146874","0.0-5.0-3.0-1.19","","","","","null","null","","","[""circle"",""star"",""hexagram"",""diamond"",""rect"",""triangle""]","","","","","","","","","6","","[{""x"":979,""y"":550,""t"":4},{""x"":987,""y"":542,""t"":40},{""x"":994,""y"":535,""t"":70},{""x"":976,""y"":526,""t"":107},{""x"":963,""y"":511,""t"":141},{""x"":968,""y"":522,""t"":173},{""x"":960,""y"":511,""t"":209},{""x"":967,""y"":522,""t"":242},{""x"":966,""y"":529,""t"":276},{""x"":983,""y"":532,""t"":310},{""x"":985,""y"":537,""t"":344},{""x"":973,""y"":557,""t"":378},{""x"":970,""y"":620,""t"":412},{""x"":918,""y"":676,""t"":445},{""x"":885,""y"":713,""t"":479},{""x"":869,""y"":736,""t"":514},{""x"":860,""y"":729,""t"":548},{""x"":857,""y"":686,""t"":582},{""x"":878,""y"":701,""t"":616},{""x"":871,""y"":645,""t"":650},{""x"":888,""y"":648,""t"":684},{""x"":900,""y"":661,""t"":718},{""x"":896,""y"":622,""t"":751},{""x"":870,""y"":596,""t"":786},{""x"":854,""y"":596,""t"":821},{""x"":832,""y"":581,""t"":853},{""x"":833,""y"":583,""t"":887},{""x"":826,""y"":620,""t"":922},{""x"":831,""y"":615,""t"":955},{""x"":826,""y"":598,""t"":990},{""x"":789,""y"":588,""t"":1024},{""x"":764,""y"":603,""t"":1058},{""x"":761,""y"":603,""t"":1091},{""x"":773,""y"":587,""t"":1125},{""x"":767,""y"":561,""t"":1159},{""x"":776,""y"":560,""t"":1193},{""x"":834,""y"":573,""t"":1228},{""x"":895,""y"":585,""t"":1263},{""x"":963,""y"":613,""t"":1295},{""x"":995,""y"":616,""t"":1330},{""x"":1020,""y"":617,""t"":1364},{""x"":1056,""y"":626,""t"":1398},{""x"":1075,""y"":649,""t"":1432},{""x"":1096,""y"":644,""t"":1466},{""x"":1148,""y"":618,""t"":1499},{""x"":1184,""y"":584,""t"":1534},{""x"":1204,""y"":571,""t"":1568},{""x"":1224,""y"":552,""t"":1602},{""x"":1237,""y"":536,""t"":1634},{""x"":1201,""y"":525,""t"":1671},{""x"":1181,""y"":476,""t"":1704},{""x"":1140,""y"":445,""t"":1737},{""x"":1105,""y"":432,""t"":1773},{""x"":1110,""y"":403,""t"":1806},{""x"":1074,""y"":377,""t"":1841},{""x"":1001,""y"":400,""t"":1873},{""x"":924,""y"":417,""t"":1908},{""x"":891,""y"":455,""t"":1942},{""x"":820,""y"":421,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]","","",""
"","canvas-keyboard-response","72","148967","0.0-5.0-3.0-2.19","","","","","1086","9","","","","","","","","","","","","","","","","","true","hexagram","9"
"","canvas-keyboard-response","73","149977","0.0-5.0-3.0-0.20","","","","","null","null","","","","","","","","","recall","[""4"",""6"",""7"",""9"",""7"",""7"",""9"",""6"",""1"",""4"",""3"",""4"",""4"",""6"",""3"",""4"",""7"",""3"",""7"",""9"",""3"",""6"",""1"",""7"",""1"",""1"",""6"",""9"",""1"",""4"",""1"",""6"",""9"",""3"",""3"",""9""]","1000","6","shape","","","","","",""
"","canvas-keyboard-response","74","151985","0.0-5.0-3.0-1.20","","","","","null","null","","","[""hexagram"",""star"",""diamond"",""circle"",""rect"",""triangle""]","","","","","","","","","6","","[{""x"":864,""y"":471,""t"":5},{""x"":890,""y"":507,""t"":41},{""x"":909,""y"":545,""t"":72},{""x"":922,""y"":573,""t"":106},{""x"":917,""y"":564,""t"":141},{""x"":930,""y"":575,""t"":174},{""x"":936,""y"":570,""t"":208},{""x"":926,""y"":571,""t"":242},{""x"":937,""y"":579,""t"":276},{""x"":937,""y"":592,""t"":310},{""x"":949,""y"":603,""t"":344},{""x"":970,""y"":619,""t"":378},{""x"":992,""y"":620,""t"":412},{""x"":1010,""y"":637,""t"":447},{""x"":994,""y"":599,""t"":480},{""x"":994,""y"":618,""t"":514},{""x"":986,""y"":624,""t"":548},{""x"":973,""y"":631,""t"":582},{""x"":984,""y"":620,""t"":616},{""x"":976,""y"":659,""t"":651},{""x"":927,""y"":619,""t"":684},{""x"":879,""y"":593,""t"":718},{""x"":873,""y"":597,""t"":752},{""x"":868,""y"":576,""t"":786},{""x"":855,""y"":572,""t"":819},{""x"":857,""y"":585,""t"":855},{""x"":845,""y"":572,""t"":888},{""x"":832,""y"":606,""t"":920},{""x"":839,""y"":604,""t"":956},{""x"":888,""y"":610,""t"":990},{""x"":926,""y"":606,""t"":1024},{""x"":973,""y"":635,""t"":1057},{""x"":1009,""y"":626,""t"":1092},{""x"":1024,""y"":598,""t"":1126},{""x"":1042,""y"":578,""t"":1161},{""x"":1057,""y"":596,""t"":1195},{""x"":1073,""y"":560,""t"":1228},{""x"":1097,""y"":563,""t"":1262},{""x"":1123,""y"":531,""t"":1294},{""x"":1107,""y"":550,""t"":1330},{""x"":1133,""y"":526,""t"":1364},{""x"":1150,""y"":539,""t"":1398},{""x"":1159,""y"":514,""t"":1432},{""x"":1149,""y"":545,""t"":1466},{""x"":1118,""y"":543,""t"":1501},{""x"":1099,""y"":488,""t"":1533},{""x"":1117,""y"":452,""t"":1568},{""x"":1108,""y"":442,""t"":1603},{""x"":1112,""y"":439,""t"":1636},{""x"":1099,""y"":380,""t"":1669},{""x"":1111,""y"":380,""t"":1704},{""x"":1064,""y"":377,""t"":1738},{""x"":935,""y"":376,""t"":1772},{""x"":879,""y"":405,""t"":1806},{""x"":824,""y"":438,""t"":1840},{""x"":767,""y"":443,""t"":1874},{""x"":743,""y"":467,""t"":1908},{""x"":725,""y"":502,""t"":1942},{""x"":707,""y"":534,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]","","",""
"","canvas-keyboard-response","75","154200","0.0-5.0-3.0-2.20","","","","","1206","9","","","","","","","","","","","","","","","","","false","rect","3"
"","html-keyboard-response","76","155202","0.0-5.0-3.0-3.20-0.20-0.20","","","","","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","[""4"",""6"",""7"",""9"",""7"",""7"",""9"",""6"",""1"",""4"",""3"",""4"",""4"",""6"",""3"",""4"",""7"",""3"",""7"",""9"",""3"",""6"",""1"",""7"",""1"",""1"",""6"",""9"",""1"",""4"",""1"",""6"",""9"",""3"",""3"",""9""]","1000","6","shape","","","","","",""
