recall_color_4_1000_mean,recall_color_4_1000_std,recall_color_4_1500_mean,recall_color_4_1500_std,recall_color_4_500_mean,recall_color_4_500_std,recall_shape_4_1000_mean,recall_shape_4_1000_std,recall_shape_4_1500_mean,recall_shape_4_1500_std,recall_shape_4_500_mean,recall_shape_4_500_std
676.468085106383,244.99457412481874,681.6530612244898,198.86684731041439,651.18,138.28242174356546,1035.18,304.3456473505486,1059.74,425.91514005798416,1015.26,331.16484642879
727.0217391304348,263.5945109132109,754.9583333333334,246.61253599077523,757.0408163265306,223.38708549508047,869.7142857142857,246.23946677979953,850.88,219.35719077079997,914.58,310.31492167191203
723.6382978723404,127.05329685025117,760.6739130434783,190.26625255126925,688.34,162.3629858793976,835.8,222.43715003183644,844.08,174.74796311329322,787.98,281.3403407741925
806.4468085106383,241.8203437076734,814.6170212765958,212.6496969596272,770.531914893617,171.66585984859603,864.5,282.71823789917823,845.34,307.21823726159624,789.94,205.7184930125314
752.8936170212766,288.1689747385206,790.1836734693877,281.93244414438095,714.0,243.39100603387507,827.92,204.10469902298993,992.72,292.7230382850949,950.42,288.01750867980655
883.5744680851063,235.37054456111008,911.0,320.230385816212,908.8222222222222,281.05760400259015,,,,,,
753.8936170212766,275.1458296377896,715.1836734693877,223.82207158341458,717.1333333333333,344.2531837840495,631.8,177.34159358798638,651.04,157.87685203399283,673.88,196.32414263047693
796.804347826087,223.9839894640505,828.6739130434783,229.21402461918774,832.5531914893617,336.1874999946257,811.52,244.34880054244306,809.18,255.091795402425,801.78,257.35358746205935
586.1914893617021,138.46921464446646,683.2727272727273,187.8156398911918,567.0816326530612,159.4435423505101,665.28,186.42523697072733,777.04,298.54237452622215,682.7755102040817,211.91736452625844
751.0212765957447,260.8345710417022,765.2083333333334,304.7497025522318,713.1,236.19321474986862,,,,,,
586.7826086956521,109.60026622909234,585.1224489795918,134.4976196587789,638.44,180.91932580291027,717.3877551020408,212.06689356648477,703.12,229.1177969908911,650.6326530612245,143.51577931211824
,,,,,,833.98,267.25211593060914,874.64,273.3978755721173,853.3469387755102,246.38634558862432
,,,,,,947.38,336.43411521061745,899.2,283.2970605032744,,
,,,,,,,,,,893.1458333333334,212.8043742134949
731.3396686569674,89.1719370916121,753.6860998587093,86.9722014628431,723.4748282652843,93.79827648734086,821.8601855287568,117.22128740756308,846.0890909090908,116.3723226076154,819.4309941249227,119.02426467910249
