"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","134","200669","0.0-6.0-2.0-0.40","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","135","200782","0.0-6.0-2.0-1.40","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","136","203483","0.0-6.0-2.0-2.40","","","","","1188","5","","[""rect_1"",""hexagram"",""star"",""circle""]","","","","","","","","","","","","[{""x"":916,""y"":865,""t"":5},{""x"":927,""y"":865,""t"":41},{""x"":937,""y"":865,""t"":70},{""x"":948,""y"":862,""t"":127},{""x"":957,""y"":859,""t"":143},{""x"":965,""y"":857,""t"":172},{""x"":972,""y"":857,""t"":216},{""x"":975,""y"":857,""t"":245},{""x"":991,""y"":858,""t"":276},{""x"":993,""y"":863,""t"":313},{""x"":995,""y"":867,""t"":341},{""x"":1003,""y"":870,""t"":394},{""x"":1010,""y"":873,""t"":413},{""x"":1010,""y"":868,""t"":446},{""x"":1006,""y"":865,""t"":489},{""x"":998,""y"":862,""t"":516},{""x"":994,""y"":872,""t"":547},{""x"":991,""y"":880,""t"":582},{""x"":990,""y"":872,""t"":616},{""x"":991,""y"":873,""t"":665},{""x"":995,""y"":863,""t"":689},{""x"":993,""y"":853,""t"":718},{""x"":992,""y"":860,""t"":762},{""x"":990,""y"":883,""t"":790},{""x"":993,""y"":897,""t"":820},{""x"":998,""y"":890,""t"":859},{""x"":1001,""y"":893,""t"":888},{""x"":1012,""y"":879,""t"":928},{""x"":1004,""y"":866,""t"":955},{""x"":993,""y"":851,""t"":1001},{""x"":989,""y"":819,""t"":1025},{""x"":976,""y"":808,""t"":1067},{""x"":967,""y"":797,""t"":1094},{""x"":966,""y"":793,""t"":1126},{""x"":965,""y"":795,""t"":1169}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","137","204509","0.0-6.0-2.0-0.41","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","138","204622","0.0-6.0-2.0-1.41","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","139","206799","0.0-6.0-2.0-2.41","","","","","666","6","","[""circle"",""triangle"",""rect_1"",""star""]","","","","","","","","","","","","[{""x"":956,""y"":791,""t"":5},{""x"":947,""y"":776,""t"":38},{""x"":933,""y"":779,""t"":74},{""x"":922,""y"":778,""t"":106},{""x"":930,""y"":777,""t"":157},{""x"":937,""y"":776,""t"":175},{""x"":940,""y"":772,""t"":208},{""x"":941,""y"":768,""t"":252},{""x"":948,""y"":769,""t"":279},{""x"":955,""y"":769,""t"":307},{""x"":958,""y"":780,""t"":346},{""x"":963,""y"":779,""t"":377},{""x"":960,""y"":778,""t"":428},{""x"":949,""y"":783,""t"":451},{""x"":943,""y"":791,""t"":480},{""x"":950,""y"":794,""t"":524},{""x"":969,""y"":789,""t"":547},{""x"":990,""y"":791,""t"":596},{""x"":1015,""y"":789,""t"":623}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect_1","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":92,""height"":92,""top"":154,""right"":596,""bottom"":246,""left"":504},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]"
"","canvas-keyboard-response","140","207828","0.0-6.0-2.0-0.42","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","141","207950","0.0-6.0-2.0-1.42","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
"","canvas-keyboard-response","142","210095","0.0-6.0-2.0-2.42","","","","","622","4","","[""triangle_1"",""hexagram"",""rect"",""circle""]","","","","","","","","","","","","[{""x"":1008,""y"":810,""t"":5},{""x"":1006,""y"":800,""t"":40},{""x"":997,""y"":815,""t"":73},{""x"":991,""y"":819,""t"":124},{""x"":992,""y"":824,""t"":140},{""x"":981,""y"":831,""t"":174},{""x"":995,""y"":823,""t"":220},{""x"":986,""y"":821,""t"":249},{""x"":989,""y"":798,""t"":278},{""x"":986,""y"":808,""t"":310},{""x"":990,""y"":801,""t"":362},{""x"":976,""y"":805,""t"":385},{""x"":972,""y"":819,""t"":412},{""x"":967,""y"":832,""t"":456},{""x"":961,""y"":838,""t"":484},{""x"":953,""y"":844,""t"":514},{""x"":930,""y"":861,""t"":561},{""x"":918,""y"":864,""t"":589}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","4","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","143","211118","0.0-6.0-2.0-0.43","","","","","null","null","","","","","","","","","recognition","[""5"",""6"",""4"",""2"",""2"",""5"",""6"",""4"",""5"",""5"",""4"",""8"",""6"",""5"",""8"",""4"",""5"",""2"",""4"",""4"",""5"",""4"",""2"",""6"",""2"",""5"",""8"",""8"",""8"",""8"",""6"",""2"",""6"",""4"",""6"",""6"",""2"",""2"",""6"",""4"",""5"",""6"",""4"",""2"",""8"",""8"",""8"",""8"",""2"",""5""]","1500","4","shape","","","","","",""
