success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,ans,ISI,type,size,webgazer_data,webgazer_targets,response_target,response_answer,correct,webgazer_targets_data
,canvas-keyboard-response,91,121047,0.0-6.0-2.0-1.26,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,92,122507,0.0-6.0-2.0-2.26,,,,,453,4,,"[""blue"",""red"",""green"",""purple""]",,,,,,,,,,,,"[{""x"":1163,""y"":802,""t"":5},{""x"":1187,""y"":722,""t"":45},{""x"":1212,""y"":684,""t"":78},{""x"":1241,""y"":654,""t"":107},{""x"":1250,""y"":589,""t"":140},{""x"":1273,""y"":543,""t"":174},{""x"":1271,""y"":518,""t"":207},{""x"":1269,""y"":499,""t"":242},{""x"":1259,""y"":496,""t"":276},{""x"":1257,""y"":511,""t"":310},{""x"":1199,""y"":548,""t"":343},{""x"":1160,""y"":601,""t"":378},{""x"":1112,""y"":609,""t"":410}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",blue_1,4,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,93,123515,0.0-6.0-2.0-0.27,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,94,123623,0.0-6.0-2.0-1.27,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,95,125205,0.0-6.0-2.0-2.27,,,,,576,5,,"[""green"",""purple"",""blue"",""red""]",,,,,,,,,,,,"[{""x"":1062,""y"":625,""t"":5},{""x"":1088,""y"":599,""t"":42},{""x"":1118,""y"":612,""t"":69},{""x"":1129,""y"":633,""t"":105},{""x"":1122,""y"":587,""t"":141},{""x"":1129,""y"":614,""t"":175},{""x"":1135,""y"":638,""t"":207},{""x"":1185,""y"":607,""t"":242},{""x"":1203,""y"":588,""t"":276},{""x"":1205,""y"":582,""t"":310},{""x"":1176,""y"":543,""t"":344},{""x"":1172,""y"":520,""t"":379},{""x"":1182,""y"":511,""t"":411},{""x"":1178,""y"":500,""t"":445},{""x"":1220,""y"":522,""t"":480},{""x"":1283,""y"":560,""t"":514},{""x"":1328,""y"":570,""t"":548}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",yellow,5,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,96,126212,0.0-6.0-2.0-0.28,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,97,126320,0.0-6.0-2.0-1.28,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,98,128005,0.0-6.0-2.0-2.28,,,,,678,6,,"[""yellow"",""green"",""purple"",""red""]",,,,,,,,,,,,"[{""x"":1314,""y"":541,""t"":5},{""x"":1314,""y"":531,""t"":39},{""x"":1296,""y"":514,""t"":73},{""x"":1275,""y"":499,""t"":106},{""x"":1251,""y"":459,""t"":141},{""x"":1250,""y"":473,""t"":175},{""x"":1207,""y"":477,""t"":207},{""x"":1177,""y"":470,""t"":242},{""x"":1153,""y"":466,""t"":273},{""x"":1116,""y"":482,""t"":310},{""x"":1094,""y"":468,""t"":343},{""x"":1176,""y"":481,""t"":379},{""x"":1222,""y"":505,""t"":412},{""x"":1296,""y"":504,""t"":446},{""x"":1314,""y"":540,""t"":480},{""x"":1348,""y"":525,""t"":514},{""x"":1364,""y"":529,""t"":548},{""x"":1376,""y"":514,""t"":582},{""x"":1386,""y"":491,""t"":616},{""x"":1407,""y"":482,""t"":649}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",purple,6,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,99,129013,0.0-6.0-2.0-0.29,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,100,129120,0.0-6.0-2.0-1.29,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
