"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","90","238879","0.0-4.0-1.0-3.12","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","[{""x"":1000,""y"":584,""t"":3},{""x"":1039,""y"":649,""t"":38},{""x"":1059,""y"":656,""t"":80},{""x"":1078,""y"":710,""t"":107},{""x"":1091,""y"":697,""t"":142},{""x"":1098,""y"":702,""t"":174},{""x"":1075,""y"":720,""t"":220},{""x"":1096,""y"":732,""t"":250},{""x"":1110,""y"":759,""t"":276},{""x"":1114,""y"":737,""t"":316},{""x"":1091,""y"":684,""t"":343},{""x"":1098,""y"":703,""t"":379},{""x"":1092,""y"":739,""t"":417},{""x"":1095,""y"":738,""t"":447},{""x"":1078,""y"":726,""t"":482}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","91","239389","0.0-4.0-1.0-4.12","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","[{""x"":1062,""y"":714,""t"":1},{""x"":1057,""y"":708,""t"":38},{""x"":969,""y"":675,""t"":73},{""x"":894,""y"":647,""t"":106},{""x"":824,""y"":608,""t"":140},{""x"":730,""y"":540,""t"":184},{""x"":654,""y"":484,""t"":210},{""x"":584,""y"":472,""t"":242},{""x"":596,""y"":440,""t"":280},{""x"":581,""y"":397,""t"":309},{""x"":575,""y"":384,""t"":344},{""x"":570,""y"":368,""t"":390},{""x"":618,""y"":363,""t"":417},{""x"":697,""y"":320,""t"":446},{""x"":765,""y"":281,""t"":484}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","92","241875","0.0-4.0-1.0-5.12","1478","2","","","","","","","","","","","","","","","","","","true","rect","2","1","0","zoom",""
"","canvas-keyboard-response","93","242902","0.0-4.0-1.0-0.13","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
"","canvas-keyboard-response","94","243413","0.0-4.0-1.0-1.13","null","null","","","[""rect"",""hexagram_2"",""triangle"",""star""]","","","","","","","","","","","","[{""x"":831,""y"":268,""t"":4},{""x"":880,""y"":304,""t"":43},{""x"":914,""y"":286,""t"":72},{""x"":917,""y"":333,""t"":108},{""x"":933,""y"":298,""t"":140},{""x"":932,""y"":315,""t"":185},{""x"":944,""y"":261,""t"":212},{""x"":932,""y"":310,""t"":243},{""x"":937,""y"":313,""t"":278},{""x"":954,""y"":326,""t"":309},{""x"":965,""y"":334,""t"":350},{""x"":973,""y"":341,""t"":376},{""x"":932,""y"":335,""t"":420},{""x"":900,""y"":328,""t"":447},{""x"":888,""y"":334,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92.37604307034013,""height"":80,""top"":85,""right"":596.18802153517,""bottom"":165,""left"":503.81197846482996},{""x"":850,""y"":425,""width"":124,""height"":124,""top"":363,""right"":912,""bottom"":487,""left"":788},{""x"":550,""y"":725,""width"":100,""height"":100,""top"":675,""right"":600,""bottom"":775,""left"":500}]","","","","","","",""
"","canvas-keyboard-response","95","243921","0.0-4.0-1.0-2.13","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","[{""x"":882,""y"":377,""t"":3},{""x"":863,""y"":379,""t"":38},{""x"":837,""y"":310,""t"":79},{""x"":787,""y"":316,""t"":105},{""x"":778,""y"":265,""t"":140},{""x"":784,""y"":285,""t"":175},{""x"":790,""y"":303,""t"":205},{""x"":754,""y"":353,""t"":255},{""x"":762,""y"":389,""t"":279},{""x"":770,""y"":418,""t"":307},{""x"":763,""y"":418,""t"":350},{""x"":731,""y"":436,""t"":380},{""x"":701,""y"":431,""t"":412},{""x"":673,""y"":433,""t"":447},{""x"":651,""y"":434,""t"":477}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","96","244426","0.0-4.0-1.0-3.13","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","[{""x"":636,""y"":451,""t"":3},{""x"":610,""y"":466,""t"":37},{""x"":610,""y"":479,""t"":80},{""x"":622,""y"":600,""t"":108},{""x"":644,""y"":760,""t"":139},{""x"":668,""y"":959,""t"":175},{""x"":733,""y"":998,""t"":221},{""x"":754,""y"":1005,""t"":251},{""x"":789,""y"":1059,""t"":278},{""x"":826,""y"":1007,""t"":311},{""x"":857,""y"":972,""t"":345},{""x"":878,""y"":1015,""t"":392},{""x"":912,""y"":1037,""t"":419},{""x"":930,""y"":1035,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","97","244938","0.0-4.0-1.0-4.13","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","[{""x"":944,""y"":1013,""t"":-20},{""x"":959,""y"":996,""t"":3},{""x"":987,""y"":925,""t"":44},{""x"":1013,""y"":907,""t"":73},{""x"":1040,""y"":901,""t"":107},{""x"":1049,""y"":887,""t"":139},{""x"":1063,""y"":876,""t"":185},{""x"":1064,""y"":875,""t"":212},{""x"":1060,""y"":858,""t"":242},{""x"":1036,""y"":925,""t"":281},{""x"":984,""y"":1030,""t"":310},{""x"":945,""y"":1102,""t"":358},{""x"":918,""y"":1124,""t"":385},{""x"":913,""y"":1127,""t"":412},{""x"":884,""y"":1108,""t"":453},{""x"":877,""y"":1082,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","98","246755","0.0-4.0-1.0-5.13","805","8","","","","","","","","","","","","","","","","","","true","hexagram_2","8","0","1","zoom",""
"","canvas-keyboard-response","99","247768","0.0-4.0-1.0-0.14","null","null","","","","","","","","","recall","","[""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""8"",""8"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
