"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","73","107025","0.0-4.0-1.0-2.10","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":984,""y"":463,""t"":3},{""x"":1020,""y"":482,""t"":37},{""x"":1030,""y"":508,""t"":72},{""x"":1042,""y"":504,""t"":117},{""x"":1001,""y"":469,""t"":147},{""x"":986,""y"":431,""t"":174},{""x"":995,""y"":403,""t"":212},{""x"":987,""y"":402,""t"":242},{""x"":972,""y"":356,""t"":285},{""x"":993,""y"":343,""t"":308},{""x"":988,""y"":309,""t"":349},{""x"":983,""y"":281,""t"":375},{""x"":957,""y"":331,""t"":414},{""x"":894,""y"":300,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","74","107535","0.0-4.0-1.0-3.10","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":804,""y"":338,""t"":-16},{""x"":730,""y"":371,""t"":1},{""x"":722,""y"":423,""t"":48},{""x"":741,""y"":463,""t"":72},{""x"":700,""y"":486,""t"":111},{""x"":734,""y"":542,""t"":141},{""x"":727,""y"":565,""t"":173},{""x"":711,""y"":595,""t"":208},{""x"":678,""y"":588,""t"":251},{""x"":687,""y"":595,""t"":275},{""x"":697,""y"":598,""t"":313},{""x"":725,""y"":618,""t"":344},{""x"":802,""y"":634,""t"":378},{""x"":812,""y"":658,""t"":416},{""x"":849,""y"":676,""t"":443},{""x"":904,""y"":697,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","75","108052","0.0-4.0-1.0-4.10","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":958,""y"":724,""t"":1},{""x"":967,""y"":746,""t"":37},{""x"":985,""y"":760,""t"":76},{""x"":946,""y"":768,""t"":107},{""x"":979,""y"":777,""t"":140},{""x"":961,""y"":767,""t"":188},{""x"":970,""y"":754,""t"":209},{""x"":957,""y"":747,""t"":241},{""x"":964,""y"":742,""t"":277},{""x"":942,""y"":739,""t"":309},{""x"":940,""y"":716,""t"":347},{""x"":927,""y"":708,""t"":377},{""x"":936,""y"":693,""t"":425},{""x"":923,""y"":714,""t"":453},{""x"":977,""y"":849,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","76","109690","0.0-4.0-1.0-5.10","624","8","","","","","","","","","","","","","","","","","true","rect","8","1","0","trans",""
"","canvas-keyboard-response","77","110707","0.0-4.0-1.0-0.11","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
"","canvas-keyboard-response","78","111219","0.0-4.0-1.0-1.11","null","null","","","[""diamond"",""hexagram"",""rect"",""star""]","","","","","","","","","","","[{""x"":965,""y"":770,""t"":3},{""x"":971,""y"":723,""t"":38},{""x"":944,""y"":662,""t"":86},{""x"":931,""y"":615,""t"":105},{""x"":953,""y"":576,""t"":149},{""x"":952,""y"":537,""t"":173},{""x"":953,""y"":524,""t"":212},{""x"":957,""y"":517,""t"":243},{""x"":970,""y"":506,""t"":290},{""x"":956,""y"":493,""t"":313},{""x"":972,""y"":481,""t"":344},{""x"":1007,""y"":474,""t"":384},{""x"":996,""y"":473,""t"":412},{""x"":1010,""y"":454,""t"":448},{""x"":984,""y"":401,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":92.37604307034013,""height"":80,""top"":85,""right"":596.18802153517,""bottom"":165,""left"":503.81197846482996},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":100,""height"":100,""top"":675,""right"":600,""bottom"":775,""left"":500}]","","","","","","",""
"","canvas-keyboard-response","79","111727","0.0-4.0-1.0-2.11","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":1000,""y"":394,""t"":3},{""x"":1012,""y"":432,""t"":38},{""x"":992,""y"":449,""t"":86},{""x"":929,""y"":458,""t"":115},{""x"":873,""y"":498,""t"":140},{""x"":828,""y"":533,""t"":179},{""x"":795,""y"":545,""t"":208},{""x"":781,""y"":563,""t"":242},{""x"":721,""y"":575,""t"":287},{""x"":713,""y"":587,""t"":309},{""x"":697,""y"":602,""t"":350},{""x"":693,""y"":600,""t"":378},{""x"":681,""y"":596,""t"":414},{""x"":693,""y"":604,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","80","112233","0.0-4.0-1.0-3.11","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":718,""y"":593,""t"":-15},{""x"":725,""y"":588,""t"":3},{""x"":740,""y"":603,""t"":38},{""x"":740,""y"":602,""t"":78},{""x"":749,""y"":584,""t"":106},{""x"":731,""y"":571,""t"":142},{""x"":744,""y"":565,""t"":174},{""x"":769,""y"":572,""t"":211},{""x"":781,""y"":576,""t"":240},{""x"":805,""y"":594,""t"":275},{""x"":846,""y"":629,""t"":315},{""x"":881,""y"":658,""t"":343},{""x"":896,""y"":665,""t"":380},{""x"":893,""y"":689,""t"":413},{""x"":923,""y"":705,""t"":451},{""x"":946,""y"":717,""t"":478}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","81","112738","0.0-4.0-1.0-4.11","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":980,""y"":732,""t"":3},{""x"":976,""y"":739,""t"":39},{""x"":988,""y"":752,""t"":75},{""x"":997,""y"":762,""t"":103},{""x"":1009,""y"":773,""t"":143},{""x"":1044,""y"":770,""t"":174},{""x"":1048,""y"":786,""t"":221},{""x"":1063,""y"":772,""t"":244},{""x"":1039,""y"":768,""t"":274},{""x"":997,""y"":751,""t"":315},{""x"":965,""y"":727,""t"":344},{""x"":955,""y"":718,""t"":378},{""x"":974,""y"":687,""t"":426},{""x"":1013,""y"":645,""t"":455},{""x"":1039,""y"":583,""t"":482}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","82","114154","0.0-4.0-1.0-5.11","407","4","","","","","","","","","","","","","","","","","true","diamond","4","1","0","trans",""
