"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","160","226788","0.0-4.0-1.0-5.23","845","4","","","","","","","","","","","","","","","","","true","rect","4","1","0","zoom",""
"","canvas-keyboard-response","161","227803","0.0-4.0-1.0-0.24","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
"","canvas-keyboard-response","162","228319","0.0-4.0-1.0-1.24","null","null","","","[""diamond"",""rect"",""triangle"",""circle""]","","","","","","","","","","","[{""x"":1190,""y"":730,""t"":4},{""x"":1172,""y"":690,""t"":39},{""x"":1154,""y"":667,""t"":75},{""x"":1121,""y"":647,""t"":107},{""x"":1094,""y"":620,""t"":154},{""x"":1085,""y"":612,""t"":182},{""x"":1078,""y"":607,""t"":206},{""x"":1046,""y"":577,""t"":242},{""x"":983,""y"":565,""t"":281},{""x"":945,""y"":552,""t"":309},{""x"":926,""y"":549,""t"":343},{""x"":893,""y"":602,""t"":390},{""x"":874,""y"":597,""t"":418},{""x"":849,""y"":592,""t"":446},{""x"":835,""y"":634,""t"":484}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":100,""height"":100,""top"":375,""right"":300,""bottom"":475,""left"":200},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":124,""height"":124,""top"":363,""right"":912,""bottom"":487,""left"":788},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","","","","","","",""
"","canvas-keyboard-response","163","228828","0.0-4.0-1.0-2.24","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":850,""y"":626,""t"":3},{""x"":842,""y"":686,""t"":38},{""x"":826,""y"":737,""t"":83},{""x"":827,""y"":778,""t"":106},{""x"":846,""y"":819,""t"":144},{""x"":842,""y"":809,""t"":174},{""x"":827,""y"":849,""t"":222},{""x"":823,""y"":862,""t"":246},{""x"":805,""y"":851,""t"":276},{""x"":792,""y"":841,""t"":316},{""x"":793,""y"":831,""t"":344},{""x"":839,""y"":783,""t"":385},{""x"":880,""y"":741,""t"":410},{""x"":912,""y"":750,""t"":457},{""x"":955,""y"":710,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","164","229333","0.0-4.0-1.0-3.24","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":989,""y"":676,""t"":3},{""x"":1009,""y"":683,""t"":39},{""x"":1043,""y"":637,""t"":75},{""x"":1052,""y"":634,""t"":105},{""x"":1063,""y"":640,""t"":148},{""x"":1071,""y"":647,""t"":173},{""x"":1067,""y"":643,""t"":212},{""x"":1061,""y"":641,""t"":241},{""x"":1082,""y"":642,""t"":276},{""x"":1081,""y"":589,""t"":324},{""x"":1103,""y"":579,""t"":346},{""x"":1090,""y"":604,""t"":378},{""x"":1111,""y"":626,""t"":419},{""x"":1140,""y"":651,""t"":446},{""x"":1141,""y"":649,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","165","229840","0.0-4.0-1.0-4.24","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":1153,""y"":652,""t"":3},{""x"":1158,""y"":647,""t"":40},{""x"":1160,""y"":655,""t"":73},{""x"":1172,""y"":656,""t"":109},{""x"":1182,""y"":657,""t"":138},{""x"":1179,""y"":667,""t"":173},{""x"":1180,""y"":677,""t"":210},{""x"":1181,""y"":682,""t"":241},{""x"":1187,""y"":693,""t"":285},{""x"":1189,""y"":688,""t"":309},{""x"":1161,""y"":701,""t"":349},{""x"":1155,""y"":702,""t"":376},{""x"":1153,""y"":709,""t"":413},{""x"":1149,""y"":698,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","166","232765","0.0-4.0-1.0-5.24","1910","8","","","","","","","","","","","","","","","","","true","rect","8","1","0","trans",""
"","canvas-keyboard-response","167","233787","0.0-4.0-1.0-0.25","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
"","canvas-keyboard-response","168","234297","0.0-4.0-1.0-1.25","null","null","","","[""circle"",""hexagram"",""rect"",""star_1""]","","","","","","","","","","","[{""x"":1127,""y"":627,""t"":4},{""x"":1115,""y"":633,""t"":42},{""x"":1084,""y"":637,""t"":72},{""x"":1065,""y"":652,""t"":107},{""x"":1055,""y"":655,""t"":140},{""x"":1056,""y"":675,""t"":186},{""x"":1044,""y"":676,""t"":209},{""x"":1040,""y"":691,""t"":241},{""x"":1035,""y"":679,""t"":279},{""x"":1039,""y"":697,""t"":311},{""x"":983,""y"":704,""t"":355},{""x"":937,""y"":709,""t"":377},{""x"":902,""y"":746,""t"":419},{""x"":875,""y"":777,""t"":445},{""x"":847,""y"":762,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92.37604307034013,""height"":80,""top"":85,""right"":596.18802153517,""bottom"":165,""left"":503.81197846482996},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":100,""height"":100,""top"":675,""right"":600,""bottom"":775,""left"":500}]","","","","","","",""
"","canvas-keyboard-response","169","234806","0.0-4.0-1.0-2.25","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":807,""y"":756,""t"":3},{""x"":792,""y"":758,""t"":38},{""x"":789,""y"":805,""t"":85},{""x"":774,""y"":835,""t"":113},{""x"":761,""y"":821,""t"":140},{""x"":784,""y"":840,""t"":181},{""x"":797,""y"":777,""t"":208},{""x"":809,""y"":802,""t"":243},{""x"":811,""y"":834,""t"":279},{""x"":802,""y"":814,""t"":311},{""x"":809,""y"":783,""t"":350},{""x"":817,""y"":757,""t"":376},{""x"":849,""y"":715,""t"":412},{""x"":908,""y"":663,""t"":454},{""x"":955,""y"":646,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","170","235315","0.0-4.0-1.0-3.25","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":1016,""y"":591,""t"":3},{""x"":1033,""y"":588,""t"":39},{""x"":1028,""y"":566,""t"":75},{""x"":1047,""y"":549,""t"":103},{""x"":1030,""y"":524,""t"":155},{""x"":1066,""y"":453,""t"":177},{""x"":1073,""y"":468,""t"":208},{""x"":1088,""y"":444,""t"":249},{""x"":1077,""y"":472,""t"":275},{""x"":1091,""y"":440,""t"":311},{""x"":1114,""y"":424,""t"":346},{""x"":1125,""y"":493,""t"":378},{""x"":1128,""y"":553,""t"":421},{""x"":1128,""y"":581,""t"":448},{""x"":1131,""y"":644,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","171","235827","0.0-4.0-1.0-4.25","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":1137,""y"":670,""t"":3},{""x"":1160,""y"":691,""t"":38},{""x"":1169,""y"":685,""t"":84},{""x"":1169,""y"":690,""t"":106},{""x"":1176,""y"":685,""t"":145},{""x"":1177,""y"":698,""t"":173},{""x"":1182,""y"":697,""t"":220},{""x"":1195,""y"":698,""t"":248},{""x"":1202,""y"":720,""t"":276},{""x"":1191,""y"":725,""t"":314},{""x"":1189,""y"":738,""t"":344},{""x"":1178,""y"":726,""t"":392},{""x"":1170,""y"":722,""t"":420},{""x"":1157,""y"":714,""t"":446},{""x"":1158,""y"":703,""t"":487}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","172","237484","0.0-4.0-1.0-5.25","652","6","","","","","","","","","","","","","","","","","true","rect","6","0","1","trans",""
"","canvas-keyboard-response","173","238496","0.0-4.0-1.0-0.26","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
"","canvas-keyboard-response","174","239009","0.0-4.0-1.0-1.26","null","null","","","[""rect"",""diamond"",""triangle"",""hexagram_2""]","","","","","","","","","","","[{""x"":1128,""y"":705,""t"":4},{""x"":1087,""y"":748,""t"":38},{""x"":1035,""y"":740,""t"":75},{""x"":1002,""y"":718,""t"":106},{""x"":974,""y"":709,""t"":153},{""x"":970,""y"":663,""t"":177},{""x"":956,""y"":665,""t"":208},{""x"":974,""y"":610,""t"":248},{""x"":936,""y"":610,""t"":275},{""x"":877,""y"":636,""t"":310},{""x"":839,""y"":655,""t"":349},{""x"":808,""y"":709,""t"":375},{""x"":782,""y"":688,""t"":413},{""x"":763,""y"":670,""t"":443},{""x"":750,""y"":654,""t"":484}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":100,""height"":100,""top"":75,""right"":600,""bottom"":175,""left"":500},{""x"":850,""y"":425,""width"":124,""height"":124,""top"":363,""right"":912,""bottom"":487,""left"":788},{""x"":550,""y"":725,""width"":92.37604307034013,""height"":80,""top"":685,""right"":596.18802153517,""bottom"":765,""left"":503.81197846482996}]","","","","","","",""
"","canvas-keyboard-response","175","239518","0.0-4.0-1.0-2.26","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","[{""x"":735,""y"":640,""t"":3},{""x"":760,""y"":666,""t"":36},{""x"":817,""y"":624,""t"":79},{""x"":856,""y"":658,""t"":104},{""x"":896,""y"":672,""t"":143},{""x"":931,""y"":684,""t"":171},{""x"":975,""y"":707,""t"":207},{""x"":1017,""y"":728,""t"":256},{""x"":1008,""y"":727,""t"":280},{""x"":1014,""y"":727,""t"":310},{""x"":1021,""y"":716,""t"":351},{""x"":1000,""y"":707,""t"":377},{""x"":992,""y"":695,""t"":414},{""x"":1011,""y"":662,""t"":444},{""x"":983,""y"":630,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
