"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","75","127559","0.0-4.0-1.0-5.10","847","2","","","","","","","","","","","","","","","","","true","cyan_2","2","0","1","trans",""
"","canvas-keyboard-response","76","128574","0.0-4.0-1.0-0.11","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","77","129079","0.0-4.0-1.0-1.11","null","null","","","[""blue"",""purple"",""cyan"",""red""]","","","","","","","","","","","[{""x"":807,""y"":-36,""t"":3},{""x"":814,""y"":-336,""t"":37},{""x"":723,""y"":-435,""t"":73},{""x"":625,""y"":-532,""t"":106},{""x"":612,""y"":-706,""t"":141},{""x"":566,""y"":-825,""t"":175},{""x"":542,""y"":-903,""t"":208},{""x"":496,""y"":-842,""t"":252},{""x"":458,""y"":-774,""t"":276},{""x"":421,""y"":-721,""t"":319},{""x"":422,""y"":-691,""t"":348},{""x"":456,""y"":-631,""t"":378},{""x"":487,""y"":-572,""t"":415},{""x"":530,""y"":-561,""t"":446},{""x"":653,""y"":-462,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","","","","","","",""
"","canvas-keyboard-response","78","129589","0.0-4.0-1.0-2.11","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":607,""y"":-386,""t"":1},{""x"":566,""y"":-314,""t"":38},{""x"":532,""y"":-166,""t"":83},{""x"":528,""y"":-36,""t"":110},{""x"":537,""y"":105,""t"":140},{""x"":549,""y"":241,""t"":181},{""x"":586,""y"":345,""t"":208},{""x"":625,""y"":584,""t"":247},{""x"":632,""y"":776,""t"":274},{""x"":648,""y"":807,""t"":311},{""x"":791,""y"":853,""t"":343},{""x"":779,""y"":682,""t"":391},{""x"":840,""y"":649,""t"":416},{""x"":880,""y"":569,""t"":443},{""x"":952,""y"":534,""t"":486}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","79","130102","0.0-4.0-1.0-3.11","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":1006,""y"":461,""t"":3},{""x"":1067,""y"":399,""t"":38},{""x"":1148,""y"":448,""t"":73},{""x"":1165,""y"":449,""t"":122},{""x"":1120,""y"":398,""t"":146},{""x"":1166,""y"":468,""t"":173},{""x"":1184,""y"":547,""t"":218},{""x"":1197,""y"":630,""t"":246},{""x"":1201,""y"":716,""t"":275},{""x"":1192,""y"":767,""t"":320},{""x"":1151,""y"":830,""t"":347},{""x"":1122,""y"":809,""t"":377},{""x"":1098,""y"":890,""t"":414},{""x"":1042,""y"":897,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","80","130607","0.0-4.0-1.0-4.11","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":1004,""y"":899,""t"":-14},{""x"":983,""y"":989,""t"":3},{""x"":973,""y"":999,""t"":38},{""x"":950,""y"":1070,""t"":86},{""x"":943,""y"":1056,""t"":110},{""x"":928,""y"":1070,""t"":141},{""x"":915,""y"":1039,""t"":185},{""x"":961,""y"":1027,""t"":209},{""x"":980,""y"":987,""t"":242},{""x"":966,""y"":1006,""t"":286},{""x"":960,""y"":1035,""t"":310},{""x"":1008,""y"":980,""t"":353},{""x"":1065,""y"":924,""t"":378},{""x"":1160,""y"":865,""t"":423},{""x"":1166,""y"":882,""t"":450},{""x"":1171,""y"":821,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","81","131966","0.0-4.0-1.0-5.11","342","8","","","","","","","","","","","","","","","","","true","purple","8","1","0","zoom",""
"","canvas-keyboard-response","82","133010","0.0-4.0-1.0-0.12","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","83","133525","0.0-4.0-1.0-1.12","null","null","","","[""red"",""green"",""blue"",""cyan""]","","","","","","","","","","","[{""x"":1091,""y"":752,""t"":4},{""x"":1027,""y"":722,""t"":39},{""x"":1008,""y"":653,""t"":82},{""x"":983,""y"":585,""t"":106},{""x"":921,""y"":528,""t"":147},{""x"":883,""y"":555,""t"":174},{""x"":882,""y"":624,""t"":216},{""x"":832,""y"":576,""t"":242},{""x"":836,""y"":633,""t"":280},{""x"":789,""y"":645,""t"":309},{""x"":840,""y"":657,""t"":344},{""x"":827,""y"":633,""t"":394},{""x"":815,""y"":649,""t"":417},{""x"":794,""y"":567,""t"":446},{""x"":781,""y"":528,""t"":486}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","","","","","","",""
"","canvas-keyboard-response","84","134031","0.0-4.0-1.0-2.12","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":793,""y"":476,""t"":3},{""x"":783,""y"":497,""t"":37},{""x"":828,""y"":578,""t"":72},{""x"":881,""y"":616,""t"":123},{""x"":898,""y"":682,""t"":146},{""x"":878,""y"":675,""t"":174},{""x"":878,""y"":630,""t"":218},{""x"":880,""y"":606,""t"":246},{""x"":879,""y"":672,""t"":276},{""x"":833,""y"":664,""t"":315},{""x"":793,""y"":687,""t"":343},{""x"":756,""y"":682,""t"":395},{""x"":724,""y"":720,""t"":419},{""x"":667,""y"":769,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","85","134547","0.0-4.0-1.0-3.12","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":647,""y"":755,""t"":-15},{""x"":614,""y"":743,""t"":3},{""x"":587,""y"":712,""t"":37},{""x"":591,""y"":691,""t"":82},{""x"":590,""y"":655,""t"":109},{""x"":593,""y"":638,""t"":139},{""x"":606,""y"":659,""t"":180},{""x"":627,""y"":660,""t"":207},{""x"":721,""y"":688,""t"":262},{""x"":809,""y"":748,""t"":276},{""x"":858,""y"":743,""t"":321},{""x"":883,""y"":693,""t"":345},{""x"":931,""y"":721,""t"":377},{""x"":933,""y"":681,""t"":420},{""x"":967,""y"":647,""t"":448},{""x"":950,""y"":579,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","86","135058","0.0-4.0-1.0-4.12","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","[{""x"":979,""y"":575,""t"":3},{""x"":966,""y"":542,""t"":38},{""x"":955,""y"":557,""t"":72},{""x"":974,""y"":656,""t"":114},{""x"":995,""y"":635,""t"":143},{""x"":1036,""y"":711,""t"":174},{""x"":1054,""y"":630,""t"":212},{""x"":1093,""y"":645,""t"":242},{""x"":1069,""y"":602,""t"":280},{""x"":1097,""y"":671,""t"":311},{""x"":1079,""y"":684,""t"":344},{""x"":1132,""y"":699,""t"":394},{""x"":1144,""y"":694,""t"":412},{""x"":1136,""y"":723,""t"":458},{""x"":1138,""y"":692,""t"":485}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","87","137027","0.0-4.0-1.0-5.12","960","5","","","","","","","","","","","","","","","","","false","green_2","8","0","1","zoom",""
"","html-keyboard-response","88","138047","0.0-4.0-1.0-6.12-0.12-0.12","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","","","","","","","","","",""
"","canvas-keyboard-response","89","139069","0.0-4.0-1.0-0.13","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","","","","","","","","","",""
