"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","29","70144","0.0-5.0-3.0-2.5","","","","","969","3","","","[""circle"",""diamond"",""triangle"",""star"",""hexagram"",""rect""]","","","","","","","","","","","[{""x"":960,""y"":572,""t"":4},{""x"":930,""y"":554,""t"":39},{""x"":904,""y"":537,""t"":73},{""x"":908,""y"":557,""t"":106},{""x"":926,""y"":575,""t"":140},{""x"":918,""y"":568,""t"":175},{""x"":930,""y"":539,""t"":222},{""x"":916,""y"":532,""t"":250},{""x"":926,""y"":522,""t"":278},{""x"":932,""y"":505,""t"":309},{""x"":928,""y"":498,""t"":347},{""x"":946,""y"":505,""t"":377},{""x"":954,""y"":537,""t"":424},{""x"":939,""y"":525,""t"":451},{""x"":948,""y"":510,""t"":481},{""x"":940,""y"":520,""t"":516},{""x"":919,""y"":481,""t"":548},{""x"":918,""y"":464,""t"":593},{""x"":894,""y"":435,""t"":621},{""x"":876,""y"":409,""t"":650},{""x"":882,""y"":429,""t"":687},{""x"":880,""y"":447,""t"":719},{""x"":914,""y"":490,""t"":763},{""x"":915,""y"":566,""t"":788},{""x"":927,""y"":606,""t"":820},{""x"":912,""y"":599,""t"":856},{""x"":924,""y"":598,""t"":888},{""x"":914,""y"":582,""t"":935}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram","3","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":450,""bottom"":290.1923788646684,""left"":350},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":746.18802153517,""bottom"":799.8076211353316,""left"":653.81197846483},{""x"":400,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":440,""bottom"":799.8076211353316,""left"":360}]"
"","canvas-keyboard-response","30","71164","0.0-5.0-3.0-0.6","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","31","71287","0.0-5.0-3.0-1.6","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","32","74110","0.0-5.0-3.0-2.6","","","","","1301","7","","","[""circle"",""rect"",""diamond"",""hexagram"",""star"",""triangle""]","","","","","","","","","","","[{""x"":889,""y"":571,""t"":5},{""x"":862,""y"":567,""t"":40},{""x"":826,""y"":528,""t"":72},{""x"":818,""y"":513,""t"":107},{""x"":800,""y"":486,""t"":150},{""x"":793,""y"":451,""t"":179},{""x"":810,""y"":412,""t"":209},{""x"":829,""y"":371,""t"":245},{""x"":848,""y"":376,""t"":276},{""x"":855,""y"":378,""t"":323},{""x"":888,""y"":377,""t"":347},{""x"":881,""y"":391,""t"":377},{""x"":879,""y"":395,""t"":415},{""x"":879,""y"":404,""t"":446},{""x"":863,""y"":389,""t"":493},{""x"":832,""y"":383,""t"":516},{""x"":821,""y"":351,""t"":548},{""x"":819,""y"":347,""t"":587},{""x"":844,""y"":344,""t"":616},{""x"":836,""y"":331,""t"":650},{""x"":828,""y"":343,""t"":696},{""x"":810,""y"":352,""t"":720},{""x"":796,""y"":397,""t"":753},{""x"":764,""y"":403,""t"":791},{""x"":741,""y"":430,""t"":820},{""x"":818,""y"":448,""t"":854},{""x"":880,""y"":446,""t"":900},{""x"":925,""y"":418,""t"":927},{""x"":977,""y"":388,""t"":956},{""x"":1031,""y"":394,""t"":993},{""x"":1067,""y"":415,""t"":1025},{""x"":1100,""y"":436,""t"":1066},{""x"":1040,""y"":426,""t"":1092},{""x"":991,""y"":453,""t"":1130},{""x"":963,""y"":445,""t"":1160},{""x"":931,""y"":434,""t"":1195},{""x"":899,""y"":422,""t"":1241},{""x"":824,""y"":377,""t"":1268}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","7","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]"
"","canvas-keyboard-response","33","75131","0.0-5.0-3.0-0.7","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","34","75240","0.0-5.0-3.0-1.7","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","35","77292","0.0-5.0-3.0-2.7","","","","","539","6","","","[""rect"",""circle"",""hexagram"",""star"",""triangle"",""diamond""]","","","","","","","","","","","[{""x"":815,""y"":341,""t"":5},{""x"":801,""y"":334,""t"":39},{""x"":854,""y"":346,""t"":75},{""x"":925,""y"":385,""t"":107},{""x"":979,""y"":350,""t"":154},{""x"":1005,""y"":365,""t"":182},{""x"":1023,""y"":370,""t"":210},{""x"":1013,""y"":390,""t"":242},{""x"":1034,""y"":387,""t"":278},{""x"":1034,""y"":412,""t"":310},{""x"":1035,""y"":459,""t"":354},{""x"":1034,""y"":498,""t"":379},{""x"":1070,""y"":527,""t"":411},{""x"":1111,""y"":533,""t"":450},{""x"":1140,""y"":564,""t"":481}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":746,""bottom"":805.8076211353316,""left"":654},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]"
"","canvas-keyboard-response","36","78303","0.0-5.0-3.0-0.8","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","37","78413","0.0-5.0-3.0-1.8","","","","","null","null","","","","","","","","","recognition","[""1"",""4"",""1"",""7"",""3"",""3"",""7"",""6"",""4"",""3"",""1"",""4"",""3"",""7"",""3"",""4"",""1"",""4"",""7"",""6"",""7"",""1"",""9"",""9"",""6"",""3"",""6"",""1"",""9"",""7"",""4"",""9"",""9"",""9"",""6"",""6""]","1500","6","shape","","","","","",""
"","canvas-keyboard-response","38","80524","0.0-5.0-3.0-2.8","","","","","602","4","","","[""circle"",""triangle"",""diamond"",""rect"",""hexagram"",""star""]","","","","","","","","","","","[{""x"":1064,""y"":555,""t"":4},{""x"":992,""y"":516,""t"":40},{""x"":979,""y"":503,""t"":74},{""x"":951,""y"":474,""t"":107},{""x"":889,""y"":463,""t"":152},{""x"":867,""y"":439,""t"":179},{""x"":871,""y"":444,""t"":209},{""x"":871,""y"":423,""t"":245},{""x"":873,""y"":428,""t"":276},{""x"":889,""y"":434,""t"":322},{""x"":904,""y"":440,""t"":344},{""x"":905,""y"":446,""t"":378},{""x"":888,""y"":472,""t"":417},{""x"":846,""y"":448,""t"":446},{""x"":784,""y"":458,""t"":495},{""x"":716,""y"":438,""t"":522},{""x"":670,""y"":419,""t"":549}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":446,""bottom"":286.1923788646684,""left"":354},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":746.18802153517,""bottom"":799.8076211353316,""left"":653.81197846483},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]"
