"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","12612","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","12617","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","17051","0.0-2.0-0.0","","","","","4433","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","18366","0.0-2.0-1.0","","","","","1314","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","19099","0.0-3.0","","","","","731"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","23922","0.0-4.0","","","","","","","","","1455","","","","","","","","","","","","","","","",""
"","html-button-response","6","25836","0.0-5.0-0.0","","","","","1911","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","38758","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","40435","0.0-5.0-2.0","","","","","1676","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","58619","0.0-5.0-3.0","","","","","","","","","","[[{""x"":426,""y"":355,""dx"":-65,""dy"":74,""t"":990},{""x"":388,""y"":341,""dx"":-103,""dy"":60,""t"":1025},{""x"":375,""y"":342,""dx"":-116,""dy"":61,""t"":1056},{""x"":367,""y"":341,""dx"":-124,""dy"":60,""t"":1092},{""x"":323,""y"":309,""dx"":-168,""dy"":28,""t"":1127},{""x"":326,""y"":329,""dx"":-165,""dy"":48,""t"":1160},{""x"":361,""y"":349,""dx"":-130,""dy"":68,""t"":1193},{""x"":329,""y"":349,""dx"":-162,""dy"":68,""t"":1228},{""x"":342,""y"":380,""dx"":-149,""dy"":99,""t"":1263},{""x"":330,""y"":370,""dx"":-161,""dy"":89,""t"":1295},{""x"":347,""y"":380,""dx"":-144,""dy"":99,""t"":1330},{""x"":331,""y"":361,""dx"":-160,""dy"":80,""t"":1365},{""x"":357,""y"":377,""dx"":-134,""dy"":96,""t"":1398},{""x"":379,""y"":391,""dx"":-112,""dy"":110,""t"":1430},{""x"":388,""y"":404,""dx"":-103,""dy"":123,""t"":1466},{""x"":426,""y"":410,""dx"":-65,""dy"":129,""t"":1500},{""x"":434,""y"":460,""dx"":-57,""dy"":179,""t"":1534},{""x"":422,""y"":438,""dx"":-69,""dy"":157,""t"":1568},{""x"":432,""y"":410,""dx"":-59,""dy"":129,""t"":1602},{""x"":440,""y"":419,""dx"":-51,""dy"":138,""t"":1635},{""x"":423,""y"":403,""dx"":-68,""dy"":122,""t"":1669},{""x"":408,""y"":419,""dx"":-83,""dy"":138,""t"":1704},{""x"":389,""y"":402,""dx"":-102,""dy"":121,""t"":1738},{""x"":430,""y"":383,""dx"":-61,""dy"":102,""t"":1772},{""x"":405,""y"":357,""dx"":-86,""dy"":76,""t"":1806},{""x"":437,""y"":397,""dx"":-54,""dy"":116,""t"":1839},{""x"":441,""y"":394,""dx"":-50,""dy"":113,""t"":1874},{""x"":417,""y"":397,""dx"":-74,""dy"":116,""t"":1908},{""x"":436,""y"":426,""dx"":-55,""dy"":145,""t"":1943},{""x"":463,""y"":382,""dx"":-28,""dy"":101,""t"":1975},{""x"":493,""y"":350,""dx"":2,""dy"":69,""t"":2010},{""x"":524,""y"":328,""dx"":33,""dy"":47,""t"":2044},{""x"":520,""y"":344,""dx"":29,""dy"":63,""t"":2078},{""x"":471,""y"":349,""dx"":-20,""dy"":68,""t"":2112},{""x"":467,""y"":367,""dx"":-24,""dy"":86,""t"":2146},{""x"":445,""y"":377,""dx"":-46,""dy"":96,""t"":2181},{""x"":436,""y"":375,""dx"":-55,""dy"":94,""t"":2214},{""x"":431,""y"":400,""dx"":-60,""dy"":119,""t"":2247},{""x"":418,""y"":427,""dx"":-73,""dy"":146,""t"":2282},{""x"":382,""y"":457,""dx"":-109,""dy"":176,""t"":2316},{""x"":378,""y"":500,""dx"":-113,""dy"":219,""t"":2351},{""x"":342,""y"":473,""dx"":-149,""dy"":192,""t"":2384},{""x"":369,""y"":516,""dx"":-122,""dy"":235,""t"":2419},{""x"":390,""y"":553,""dx"":-101,""dy"":272,""t"":2453},{""x"":410,""y"":524,""dx"":-81,""dy"":243,""t"":2486},{""x"":393,""y"":504,""dx"":-98,""dy"":223,""t"":2519},{""x"":387,""y"":468,""dx"":-104,""dy"":187,""t"":2554},{""x"":445,""y"":408,""dx"":-46,""dy"":127,""t"":2588},{""x"":494,""y"":358,""dx"":3,""dy"":77,""t"":2621},{""x"":483,""y"":377,""dx"":-8,""dy"":96,""t"":2656},{""x"":500,""y"":405,""dx"":9,""dy"":124,""t"":2690},{""x"":495,""y"":412,""dx"":4,""dy"":131,""t"":2725},{""x"":478,""y"":395,""dx"":-13,""dy"":114,""t"":2758},{""x"":474,""y"":391,""dx"":-17,""dy"":110,""t"":2792},{""x"":445,""y"":385,""dx"":-46,""dy"":104,""t"":2827},{""x"":408,""y"":385,""dx"":-83,""dy"":104,""t"":2860},{""x"":417,""y"":417,""dx"":-74,""dy"":136,""t"":2894},{""x"":393,""y"":388,""dx"":-98,""dy"":107,""t"":2929},{""x"":413,""y"":418,""dx"":-78,""dy"":137,""t"":2962},{""x"":403,""y"":419,""dx"":-88,""dy"":138,""t"":2996}],[{""x"":1607,""y"":293,""dx"":156,""dy"":12,""t"":4016},{""x"":1592,""y"":297,""dx"":141,""dy"":16,""t"":4050},{""x"":1590,""y"":296,""dx"":139,""dy"":15,""t"":4084},{""x"":1575,""y"":293,""dx"":124,""dy"":12,""t"":4117},{""x"":1571,""y"":280,""dx"":120,""dy"":-1,""t"":4152},{""x"":1568,""y"":290,""dx"":117,""dy"":9,""t"":4187},{""x"":1566,""y"":299,""dx"":115,""dy"":18,""t"":4218},{""x"":1543,""y"":315,""dx"":92,""dy"":34,""t"":4254},{""x"":1537,""y"":336,""dx"":86,""dy"":55,""t"":4288},{""x"":1521,""y"":342,""dx"":70,""dy"":61,""t"":4322},{""x"":1531,""y"":348,""dx"":80,""dy"":67,""t"":4356},{""x"":1530,""y"":323,""dx"":79,""dy"":42,""t"":4390},{""x"":1558,""y"":311,""dx"":107,""dy"":30,""t"":4424},{""x"":1540,""y"":307,""dx"":89,""dy"":26,""t"":4458},{""x"":1530,""y"":294,""dx"":79,""dy"":13,""t"":4492},{""x"":1495,""y"":299,""dx"":44,""dy"":18,""t"":4526},{""x"":1508,""y"":304,""dx"":57,""dy"":23,""t"":4561},{""x"":1520,""y"":300,""dx"":69,""dy"":19,""t"":4594},{""x"":1530,""y"":297,""dx"":79,""dy"":16,""t"":4626},{""x"":1487,""y"":346,""dx"":36,""dy"":65,""t"":4662},{""x"":1279,""y"":455,""dx"":-172,""dy"":174,""t"":4697},{""x"":1135,""y"":496,""dx"":-316,""dy"":215,""t"":4731},{""x"":1091,""y"":480,""dx"":-360,""dy"":199,""t"":4764},{""x"":1098,""y"":416,""dx"":-353,""dy"":135,""t"":4798},{""x"":1149,""y"":409,""dx"":-302,""dy"":128,""t"":4833},{""x"":1200,""y"":351,""dx"":-251,""dy"":70,""t"":4865},{""x"":1279,""y"":348,""dx"":-172,""dy"":67,""t"":4900},{""x"":1318,""y"":302,""dx"":-133,""dy"":21,""t"":4934},{""x"":1354,""y"":299,""dx"":-97,""dy"":18,""t"":4968},{""x"":1374,""y"":327,""dx"":-77,""dy"":46,""t"":5003},{""x"":1384,""y"":292,""dx"":-67,""dy"":11,""t"":5036},{""x"":1423,""y"":314,""dx"":-28,""dy"":33,""t"":5070},{""x"":1459,""y"":316,""dx"":8,""dy"":35,""t"":5105},{""x"":1477,""y"":313,""dx"":26,""dy"":32,""t"":5138},{""x"":1485,""y"":300,""dx"":34,""dy"":19,""t"":5172},{""x"":1513,""y"":306,""dx"":62,""dy"":25,""t"":5206},{""x"":1538,""y"":302,""dx"":87,""dy"":21,""t"":5240},{""x"":1545,""y"":299,""dx"":94,""dy"":18,""t"":5274},{""x"":1530,""y"":314,""dx"":79,""dy"":33,""t"":5307},{""x"":1533,""y"":334,""dx"":82,""dy"":53,""t"":5342},{""x"":1539,""y"":332,""dx"":88,""dy"":51,""t"":5376},{""x"":1539,""y"":319,""dx"":88,""dy"":38,""t"":5410},{""x"":1534,""y"":294,""dx"":83,""dy"":13,""t"":5444},{""x"":1521,""y"":277,""dx"":70,""dy"":-4,""t"":5478},{""x"":1520,""y"":291,""dx"":69,""dy"":10,""t"":5512},{""x"":1499,""y"":317,""dx"":48,""dy"":36,""t"":5546},{""x"":1508,""y"":312,""dx"":57,""dy"":31,""t"":5580},{""x"":1509,""y"":295,""dx"":58,""dy"":14,""t"":5614},{""x"":1521,""y"":288,""dx"":70,""dy"":7,""t"":5648},{""x"":1513,""y"":292,""dx"":62,""dy"":11,""t"":5682},{""x"":1489,""y"":330,""dx"":38,""dy"":49,""t"":5716},{""x"":1492,""y"":336,""dx"":41,""dy"":55,""t"":5750},{""x"":1502,""y"":347,""dx"":51,""dy"":66,""t"":5784},{""x"":1501,""y"":343,""dx"":50,""dy"":62,""t"":5819},{""x"":1500,""y"":352,""dx"":49,""dy"":71,""t"":5852},{""x"":1505,""y"":345,""dx"":54,""dy"":64,""t"":5886},{""x"":1490,""y"":351,""dx"":39,""dy"":70,""t"":5920},{""x"":1495,""y"":337,""dx"":44,""dy"":56,""t"":5955},{""x"":1476,""y"":334,""dx"":25,""dy"":53,""t"":5987}],[{""x"":1129,""y"":692,""dx"":158,""dy"":141,""t"":7008},{""x"":1116,""y"":674,""dx"":145,""dy"":123,""t"":7041},{""x"":1125,""y"":660,""dx"":154,""dy"":109,""t"":7076},{""x"":1133,""y"":655,""dx"":162,""dy"":104,""t"":7110},{""x"":1121,""y"":653,""dx"":150,""dy"":102,""t"":7144},{""x"":1094,""y"":649,""dx"":123,""dy"":98,""t"":7178},{""x"":1078,""y"":655,""dx"":107,""dy"":104,""t"":7211},{""x"":1034,""y"":640,""dx"":63,""dy"":89,""t"":7246},{""x"":992,""y"":653,""dx"":21,""dy"":102,""t"":7280},{""x"":994,""y"":635,""dx"":23,""dy"":84,""t"":7314},{""x"":1020,""y"":639,""dx"":49,""dy"":88,""t"":7348},{""x"":1036,""y"":608,""dx"":65,""dy"":57,""t"":7382},{""x"":1040,""y"":593,""dx"":69,""dy"":42,""t"":7416},{""x"":1072,""y"":597,""dx"":101,""dy"":46,""t"":7449},{""x"":1085,""y"":592,""dx"":114,""dy"":41,""t"":7484},{""x"":1095,""y"":598,""dx"":124,""dy"":47,""t"":7519},{""x"":1087,""y"":624,""dx"":116,""dy"":73,""t"":7553},{""x"":1113,""y"":643,""dx"":142,""dy"":92,""t"":7586},{""x"":1028,""y"":677,""dx"":57,""dy"":126,""t"":7620},{""x"":908,""y"":763,""dx"":-63,""dy"":212,""t"":7654},{""x"":814,""y"":817,""dx"":-157,""dy"":266,""t"":7687},{""x"":782,""y"":781,""dx"":-189,""dy"":230,""t"":7722},{""x"":777,""y"":804,""dx"":-194,""dy"":253,""t"":7755},{""x"":777,""y"":823,""dx"":-194,""dy"":272,""t"":7788},{""x"":809,""y"":802,""dx"":-162,""dy"":251,""t"":7825},{""x"":868,""y"":778,""dx"":-103,""dy"":227,""t"":7858},{""x"":906,""y"":763,""dx"":-65,""dy"":212,""t"":7892},{""x"":958,""y"":746,""dx"":-13,""dy"":195,""t"":7926},{""x"":1011,""y"":720,""dx"":40,""dy"":169,""t"":7960},{""x"":1043,""y"":685,""dx"":72,""dy"":134,""t"":7993},{""x"":1087,""y"":664,""dx"":116,""dy"":113,""t"":8028},{""x"":1107,""y"":631,""dx"":136,""dy"":80,""t"":8063},{""x"":1127,""y"":609,""dx"":156,""dy"":58,""t"":8096},{""x"":1107,""y"":574,""dx"":136,""dy"":23,""t"":8130},{""x"":1086,""y"":546,""dx"":115,""dy"":-5,""t"":8162},{""x"":1101,""y"":574,""dx"":130,""dy"":23,""t"":8197},{""x"":1080,""y"":534,""dx"":109,""dy"":-17,""t"":8232},{""x"":1104,""y"":527,""dx"":133,""dy"":-24,""t"":8265},{""x"":1104,""y"":528,""dx"":133,""dy"":-23,""t"":8300},{""x"":1085,""y"":525,""dx"":114,""dy"":-26,""t"":8334},{""x"":1103,""y"":516,""dx"":132,""dy"":-35,""t"":8368},{""x"":1101,""y"":528,""dx"":130,""dy"":-23,""t"":8402},{""x"":1138,""y"":566,""dx"":167,""dy"":15,""t"":8436},{""x"":1153,""y"":564,""dx"":182,""dy"":13,""t"":8469},{""x"":1162,""y"":573,""dx"":191,""dy"":22,""t"":8504},{""x"":1154,""y"":569,""dx"":183,""dy"":18,""t"":8538},{""x"":1153,""y"":573,""dx"":182,""dy"":22,""t"":8573},{""x"":1152,""y"":567,""dx"":181,""dy"":16,""t"":8606},{""x"":1160,""y"":555,""dx"":189,""dy"":4,""t"":8640},{""x"":1154,""y"":557,""dx"":183,""dy"":6,""t"":8674},{""x"":1104,""y"":544,""dx"":133,""dy"":-7,""t"":8708},{""x"":1104,""y"":529,""dx"":133,""dy"":-22,""t"":8742},{""x"":1116,""y"":553,""dx"":145,""dy"":2,""t"":8776},{""x"":1121,""y"":579,""dx"":150,""dy"":28,""t"":8809},{""x"":1122,""y"":587,""dx"":151,""dy"":36,""t"":8844},{""x"":1099,""y"":585,""dx"":128,""dy"":34,""t"":8878},{""x"":1118,""y"":589,""dx"":147,""dy"":38,""t"":8913},{""x"":1089,""y"":571,""dx"":118,""dy"":20,""t"":8946},{""x"":1084,""y"":565,""dx"":113,""dy"":14,""t"":8979},{""x"":1096,""y"":602,""dx"":125,""dy"":51,""t"":9014}],[{""x"":499,""y"":813,""dx"":8,""dy"":-8,""t"":10034},{""x"":480,""y"":821,""dx"":-11,""dy"":0,""t"":10068},{""x"":490,""y"":815,""dx"":-1,""dy"":-6,""t"":10102},{""x"":465,""y"":807,""dx"":-26,""dy"":-14,""t"":10136},{""x"":451,""y"":804,""dx"":-40,""dy"":-17,""t"":10171},{""x"":458,""y"":815,""dx"":-33,""dy"":-6,""t"":10204},{""x"":396,""y"":773,""dx"":-95,""dy"":-48,""t"":10237},{""x"":412,""y"":746,""dx"":-79,""dy"":-75,""t"":10272},{""x"":381,""y"":722,""dx"":-110,""dy"":-99,""t"":10306},{""x"":395,""y"":725,""dx"":-96,""dy"":-96,""t"":10340},{""x"":442,""y"":739,""dx"":-49,""dy"":-82,""t"":10374},{""x"":445,""y"":740,""dx"":-46,""dy"":-81,""t"":10408},{""x"":464,""y"":750,""dx"":-27,""dy"":-71,""t"":10442},{""x"":462,""y"":754,""dx"":-29,""dy"":-67,""t"":10476},{""x"":459,""y"":757,""dx"":-32,""dy"":-64,""t"":10510},{""x"":451,""y"":753,""dx"":-40,""dy"":-68,""t"":10545},{""x"":455,""y"":741,""dx"":-36,""dy"":-80,""t"":10578},{""x"":485,""y"":757,""dx"":-6,""dy"":-64,""t"":10611},{""x"":486,""y"":774,""dx"":-5,""dy"":-47,""t"":10645},{""x"":484,""y"":774,""dx"":-7,""dy"":-47,""t"":10680},{""x"":482,""y"":759,""dx"":-9,""dy"":-62,""t"":10714},{""x"":473,""y"":779,""dx"":-18,""dy"":-42,""t"":10747},{""x"":465,""y"":774,""dx"":-26,""dy"":-47,""t"":10781},{""x"":458,""y"":802,""dx"":-33,""dy"":-19,""t"":10816},{""x"":459,""y"":803,""dx"":-32,""dy"":-18,""t"":10850},{""x"":451,""y"":811,""dx"":-40,""dy"":-10,""t"":10883},{""x"":407,""y"":801,""dx"":-84,""dy"":-20,""t"":10918},{""x"":425,""y"":774,""dx"":-66,""dy"":-47,""t"":10952},{""x"":458,""y"":781,""dx"":-33,""dy"":-40,""t"":10986},{""x"":449,""y"":742,""dx"":-42,""dy"":-79,""t"":11020},{""x"":433,""y"":728,""dx"":-58,""dy"":-93,""t"":11053},{""x"":456,""y"":749,""dx"":-35,""dy"":-72,""t"":11088},{""x"":442,""y"":729,""dx"":-49,""dy"":-92,""t"":11123},{""x"":480,""y"":746,""dx"":-11,""dy"":-75,""t"":11155},{""x"":483,""y"":744,""dx"":-8,""dy"":-77,""t"":11191},{""x"":460,""y"":739,""dx"":-31,""dy"":-82,""t"":11224},{""x"":521,""y"":757,""dx"":30,""dy"":-64,""t"":11258},{""x"":553,""y"":782,""dx"":62,""dy"":-39,""t"":11292},{""x"":579,""y"":807,""dx"":88,""dy"":-14,""t"":11326},{""x"":601,""y"":829,""dx"":110,""dy"":8,""t"":11358},{""x"":587,""y"":813,""dx"":96,""dy"":-8,""t"":11394},{""x"":579,""y"":833,""dx"":88,""dy"":12,""t"":11428},{""x"":563,""y"":838,""dx"":72,""dy"":17,""t"":11462},{""x"":566,""y"":834,""dx"":75,""dy"":13,""t"":11496},{""x"":538,""y"":826,""dx"":47,""dy"":5,""t"":11529},{""x"":541,""y"":836,""dx"":50,""dy"":15,""t"":11565},{""x"":496,""y"":807,""dx"":5,""dy"":-14,""t"":11598},{""x"":485,""y"":816,""dx"":-6,""dy"":-5,""t"":11632},{""x"":530,""y"":819,""dx"":39,""dy"":-2,""t"":11666},{""x"":529,""y"":830,""dx"":38,""dy"":9,""t"":11701},{""x"":529,""y"":839,""dx"":38,""dy"":18,""t"":11731},{""x"":526,""y"":803,""dx"":35,""dy"":-18,""t"":11768},{""x"":548,""y"":789,""dx"":57,""dy"":-32,""t"":11802},{""x"":518,""y"":752,""dx"":27,""dy"":-69,""t"":11836},{""x"":515,""y"":696,""dx"":24,""dy"":-125,""t"":11870},{""x"":525,""y"":721,""dx"":34,""dy"":-100,""t"":11905},{""x"":509,""y"":724,""dx"":18,""dy"":-97,""t"":11939},{""x"":534,""y"":743,""dx"":43,""dy"":-78,""t"":11973},{""x"":539,""y"":724,""dx"":48,""dy"":-97,""t"":12006},{""x"":545,""y"":747,""dx"":54,""dy"":-74,""t"":12040}],[{""x"":1313,""y"":707,""dx"":-138,""dy"":-114,""t"":13060},{""x"":1296,""y"":720,""dx"":-155,""dy"":-101,""t"":13094},{""x"":1298,""y"":703,""dx"":-153,""dy"":-118,""t"":13127},{""x"":1301,""y"":719,""dx"":-150,""dy"":-102,""t"":13163},{""x"":1284,""y"":729,""dx"":-167,""dy"":-92,""t"":13196},{""x"":1275,""y"":742,""dx"":-176,""dy"":-79,""t"":13230},{""x"":1271,""y"":734,""dx"":-180,""dy"":-87,""t"":13264},{""x"":1270,""y"":732,""dx"":-181,""dy"":-89,""t"":13298},{""x"":1269,""y"":729,""dx"":-182,""dy"":-92,""t"":13330},{""x"":1300,""y"":735,""dx"":-151,""dy"":-86,""t"":13367},{""x"":1301,""y"":737,""dx"":-150,""dy"":-84,""t"":13399},{""x"":1293,""y"":745,""dx"":-158,""dy"":-76,""t"":13435},{""x"":1318,""y"":740,""dx"":-133,""dy"":-81,""t"":13468},{""x"":1322,""y"":766,""dx"":-129,""dy"":-55,""t"":13502},{""x"":1329,""y"":787,""dx"":-122,""dy"":-34,""t"":13537},{""x"":1327,""y"":764,""dx"":-124,""dy"":-57,""t"":13569},{""x"":1319,""y"":773,""dx"":-132,""dy"":-48,""t"":13604},{""x"":1285,""y"":759,""dx"":-166,""dy"":-62,""t"":13637},{""x"":1284,""y"":761,""dx"":-167,""dy"":-60,""t"":13672},{""x"":1302,""y"":757,""dx"":-149,""dy"":-64,""t"":13706},{""x"":1325,""y"":755,""dx"":-126,""dy"":-66,""t"":13739},{""x"":1331,""y"":761,""dx"":-120,""dy"":-60,""t"":13774},{""x"":1319,""y"":767,""dx"":-132,""dy"":-54,""t"":13808},{""x"":1327,""y"":768,""dx"":-124,""dy"":-53,""t"":13842},{""x"":1358,""y"":795,""dx"":-93,""dy"":-26,""t"":13877},{""x"":1365,""y"":783,""dx"":-86,""dy"":-38,""t"":13910},{""x"":1357,""y"":778,""dx"":-94,""dy"":-43,""t"":13944},{""x"":1336,""y"":791,""dx"":-115,""dy"":-30,""t"":13978},{""x"":1339,""y"":800,""dx"":-112,""dy"":-21,""t"":14012},{""x"":1340,""y"":795,""dx"":-111,""dy"":-26,""t"":14046},{""x"":1361,""y"":779,""dx"":-90,""dy"":-42,""t"":14081},{""x"":1359,""y"":777,""dx"":-92,""dy"":-44,""t"":14114},{""x"":1362,""y"":774,""dx"":-89,""dy"":-47,""t"":14148},{""x"":1362,""y"":792,""dx"":-89,""dy"":-29,""t"":14181},{""x"":1352,""y"":777,""dx"":-99,""dy"":-44,""t"":14215},{""x"":1256,""y"":763,""dx"":-195,""dy"":-58,""t"":14250},{""x"":1125,""y"":805,""dx"":-326,""dy"":-16,""t"":14285},{""x"":1003,""y"":868,""dx"":-448,""dy"":47,""t"":14318},{""x"":930,""y"":870,""dx"":-521,""dy"":49,""t"":14352},{""x"":925,""y"":864,""dx"":-526,""dy"":43,""t"":14386},{""x"":917,""y"":818,""dx"":-534,""dy"":-3,""t"":14421},{""x"":967,""y"":825,""dx"":-484,""dy"":4,""t"":14454},{""x"":1001,""y"":819,""dx"":-450,""dy"":-2,""t"":14488},{""x"":1041,""y"":818,""dx"":-410,""dy"":-3,""t"":14523},{""x"":1070,""y"":818,""dx"":-381,""dy"":-3,""t"":14557},{""x"":1099,""y"":811,""dx"":-352,""dy"":-10,""t"":14590},{""x"":1114,""y"":785,""dx"":-337,""dy"":-36,""t"":14624},{""x"":1150,""y"":758,""dx"":-301,""dy"":-63,""t"":14658},{""x"":1188,""y"":745,""dx"":-263,""dy"":-76,""t"":14693},{""x"":1249,""y"":737,""dx"":-202,""dy"":-84,""t"":14727},{""x"":1325,""y"":725,""dx"":-126,""dy"":-96,""t"":14760},{""x"":1346,""y"":697,""dx"":-105,""dy"":-124,""t"":14794},{""x"":1331,""y"":703,""dx"":-120,""dy"":-118,""t"":14828},{""x"":1328,""y"":715,""dx"":-123,""dy"":-106,""t"":14862},{""x"":1307,""y"":747,""dx"":-144,""dy"":-74,""t"":14896},{""x"":1291,""y"":730,""dx"":-160,""dy"":-91,""t"":14928},{""x"":1290,""y"":725,""dx"":-161,""dy"":-96,""t"":14964},{""x"":1288,""y"":714,""dx"":-163,""dy"":-107,""t"":14998},{""x"":1306,""y"":704,""dx"":-145,""dy"":-117,""t"":15032}]]","[86.66666666666667,89.83050847457628,85,100,71.1864406779661]","[{""x"":-76.4,""y"":118.08333333333333,""r"":92.2859430267865},{""x"":18.76271186440678,""y"":45.016949152542374,""r"":66.86190410130203},{""x"":87.6,""y"":75.71666666666667,""r"":118.350743796457},{""x"":-2.716666666666667,""y"":-44.233333333333334,""r"":76.84517153669917},{""x"":-196.8135593220339,""y"":-56.67796610169491,""r"":78.17518023606412}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
