"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","39","91520","0.0-6.0-2.0-2.8","","","","","628","2","","","","","","","","","","","","","","","","","true","circle","2"
"","canvas-keyboard-response","40","92527","0.0-6.0-2.0-0.9","","","","","null","null","","","","","","","","","recall","[""6"",""8"",""6"",""4"",""8"",""5"",""5"",""4"",""2"",""2"",""6"",""6"",""2"",""4"",""4"",""6"",""6"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""6"",""4"",""2"",""5"",""2"",""8"",""5"",""6"",""4"",""5"",""8"",""5"",""8"",""6"",""2"",""5"",""5"",""5"",""8"",""8"",""8"",""8"",""2"",""4"",""2"",""4""]","1000","4","shape","","","","","",""
"","canvas-keyboard-response","41","94534","0.0-6.0-2.0-1.9","","","","","null","null","","[""hexagram"",""circle"",""rect"",""triangle_1""]","","","","","","","","","","4","","[{""x"":1061,""y"":726,""t"":4},{""x"":995,""y"":754,""t"":39},{""x"":942,""y"":758,""t"":72},{""x"":916,""y"":774,""t"":103},{""x"":889,""y"":765,""t"":140},{""x"":846,""y"":782,""t"":175},{""x"":820,""y"":837,""t"":208},{""x"":796,""y"":822,""t"":243},{""x"":799,""y"":820,""t"":275},{""x"":799,""y"":809,""t"":310},{""x"":774,""y"":801,""t"":344},{""x"":730,""y"":796,""t"":379},{""x"":681,""y"":750,""t"":413},{""x"":660,""y"":729,""t"":446},{""x"":618,""y"":707,""t"":480},{""x"":606,""y"":701,""t"":512},{""x"":580,""y"":674,""t"":548},{""x"":571,""y"":674,""t"":583},{""x"":572,""y"":663,""t"":616},{""x"":557,""y"":666,""t"":650},{""x"":563,""y"":677,""t"":685},{""x"":549,""y"":659,""t"":718},{""x"":546,""y"":650,""t"":752},{""x"":547,""y"":660,""t"":786},{""x"":559,""y"":648,""t"":822},{""x"":561,""y"":637,""t"":855},{""x"":570,""y"":630,""t"":889},{""x"":586,""y"":629,""t"":922},{""x"":632,""y"":629,""t"":956},{""x"":703,""y"":632,""t"":990},{""x"":735,""y"":658,""t"":1024},{""x"":760,""y"":636,""t"":1059},{""x"":774,""y"":650,""t"":1092},{""x"":820,""y"":660,""t"":1126},{""x"":829,""y"":671,""t"":1161},{""x"":806,""y"":642,""t"":1193},{""x"":759,""y"":613,""t"":1229},{""x"":711,""y"":591,""t"":1262},{""x"":682,""y"":574,""t"":1296},{""x"":678,""y"":568,""t"":1330},{""x"":694,""y"":569,""t"":1364},{""x"":699,""y"":540,""t"":1398},{""x"":665,""y"":543,""t"":1432},{""x"":654,""y"":529,""t"":1467},{""x"":688,""y"":519,""t"":1499},{""x"":733,""y"":526,""t"":1534},{""x"":803,""y"":504,""t"":1569},{""x"":847,""y"":476,""t"":1602},{""x"":886,""y"":455,""t"":1636},{""x"":902,""y"":464,""t"":1671},{""x"":924,""y"":419,""t"":1704},{""x"":942,""y"":431,""t"":1738},{""x"":956,""y"":437,""t"":1772},{""x"":928,""y"":480,""t"":1806},{""x"":891,""y"":501,""t"":1841},{""x"":903,""y"":496,""t"":1874},{""x"":1006,""y"":528,""t"":1908},{""x"":1120,""y"":541,""t"":1942},{""x"":1222,""y"":542,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92,""height"":92,""top"":754,""right"":596,""bottom"":846,""left"":504}]","","",""
"","canvas-keyboard-response","42","96472","0.0-6.0-2.0-2.9","","","","","931","2","","","","","","","","","","","","","","","","","true","triangle_1","2"
"","canvas-keyboard-response","43","97484","0.0-6.0-2.0-0.10","","","","","null","null","","","","","","","","","recall","[""6"",""8"",""6"",""4"",""8"",""5"",""5"",""4"",""2"",""2"",""6"",""6"",""2"",""4"",""4"",""6"",""6"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""6"",""4"",""2"",""5"",""2"",""8"",""5"",""6"",""4"",""5"",""8"",""5"",""8"",""6"",""2"",""5"",""5"",""5"",""8"",""8"",""8"",""8"",""2"",""4"",""2"",""4""]","1000","4","shape","","","","","",""
"","canvas-keyboard-response","44","99492","0.0-6.0-2.0-1.10","","","","","null","null","","[""triangle"",""star"",""hexagram"",""ring_1""]","","","","","","","","","","4","","[{""x"":1152,""y"":594,""t"":4},{""x"":1108,""y"":626,""t"":39},{""x"":1051,""y"":703,""t"":73},{""x"":1005,""y"":712,""t"":106},{""x"":977,""y"":716,""t"":141},{""x"":936,""y"":733,""t"":173},{""x"":897,""y"":731,""t"":208},{""x"":884,""y"":732,""t"":243},{""x"":858,""y"":738,""t"":276},{""x"":818,""y"":751,""t"":310},{""x"":760,""y"":741,""t"":345},{""x"":673,""y"":730,""t"":378},{""x"":633,""y"":707,""t"":412},{""x"":585,""y"":676,""t"":446},{""x"":551,""y"":666,""t"":481},{""x"":524,""y"":652,""t"":513},{""x"":511,""y"":650,""t"":549},{""x"":502,""y"":646,""t"":582},{""x"":493,""y"":653,""t"":616},{""x"":486,""y"":657,""t"":650},{""x"":484,""y"":661,""t"":681},{""x"":539,""y"":671,""t"":717},{""x"":566,""y"":658,""t"":752},{""x"":599,""y"":648,""t"":786},{""x"":642,""y"":662,""t"":820},{""x"":669,""y"":635,""t"":854},{""x"":691,""y"":635,""t"":887},{""x"":717,""y"":608,""t"":922},{""x"":741,""y"":595,""t"":957},{""x"":783,""y"":583,""t"":989},{""x"":802,""y"":556,""t"":1024},{""x"":809,""y"":564,""t"":1058},{""x"":814,""y"":573,""t"":1090},{""x"":816,""y"":572,""t"":1126},{""x"":824,""y"":572,""t"":1159},{""x"":840,""y"":563,""t"":1193},{""x"":844,""y"":557,""t"":1228},{""x"":844,""y"":547,""t"":1262},{""x"":833,""y"":544,""t"":1296},{""x"":878,""y"":569,""t"":1330},{""x"":967,""y"":578,""t"":1363},{""x"":1032,""y"":602,""t"":1398},{""x"":1083,""y"":613,""t"":1432},{""x"":1111,""y"":635,""t"":1465},{""x"":1173,""y"":657,""t"":1500},{""x"":1209,""y"":651,""t"":1535},{""x"":1242,""y"":659,""t"":1568},{""x"":1273,""y"":670,""t"":1602},{""x"":1260,""y"":684,""t"":1636},{""x"":1252,""y"":700,""t"":1670},{""x"":1240,""y"":717,""t"":1704},{""x"":1171,""y"":879,""t"":1738},{""x"":1091,""y"":1051,""t"":1772},{""x"":982,""y"":1204,""t"":1806},{""x"":897,""y"":1334,""t"":1840},{""x"":823,""y"":1435,""t"":1875},{""x"":794,""y"":1527,""t"":1908},{""x"":773,""y"":1575,""t"":1942},{""x"":764,""y"":1533,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]","","",""
"","canvas-keyboard-response","45","101128","0.0-6.0-2.0-2.10","","","","","627","6","","","","","","","","","","","","","","","","","true","hexagram","6"
"","canvas-keyboard-response","46","102137","0.0-6.0-2.0-0.11","","","","","null","null","","","","","","","","","recall","[""6"",""8"",""6"",""4"",""8"",""5"",""5"",""4"",""2"",""2"",""6"",""6"",""2"",""4"",""4"",""6"",""6"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""6"",""4"",""2"",""5"",""2"",""8"",""5"",""6"",""4"",""5"",""8"",""5"",""8"",""6"",""2"",""5"",""5"",""5"",""8"",""8"",""8"",""8"",""2"",""4"",""2"",""4""]","1000","4","shape","","","","","",""
"","canvas-keyboard-response","47","104145","0.0-6.0-2.0-1.11","","","","","null","null","","[""triangle"",""rect"",""ring_1"",""star""]","","","","","","","","","","4","","[{""x"":791,""y"":1358,""t"":5},{""x"":786,""y"":1207,""t"":39},{""x"":778,""y"":1089,""t"":72},{""x"":771,""y"":984,""t"":106},{""x"":755,""y"":903,""t"":141},{""x"":770,""y"":840,""t"":174},{""x"":792,""y"":773,""t"":209},{""x"":803,""y"":741,""t"":242},{""x"":811,""y"":697,""t"":277},{""x"":743,""y"":651,""t"":310},{""x"":711,""y"":627,""t"":345},{""x"":686,""y"":612,""t"":375},{""x"":645,""y"":613,""t"":411},{""x"":632,""y"":604,""t"":447},{""x"":615,""y"":595,""t"":481},{""x"":581,""y"":574,""t"":514},{""x"":569,""y"":576,""t"":549},{""x"":558,""y"":580,""t"":582},{""x"":561,""y"":586,""t"":616},{""x"":565,""y"":604,""t"":650},{""x"":566,""y"":603,""t"":685},{""x"":570,""y"":597,""t"":718},{""x"":563,""y"":612,""t"":753},{""x"":573,""y"":628,""t"":786},{""x"":560,""y"":620,""t"":820},{""x"":572,""y"":623,""t"":854},{""x"":576,""y"":624,""t"":889},{""x"":572,""y"":622,""t"":922},{""x"":567,""y"":626,""t"":956},{""x"":562,""y"":625,""t"":991},{""x"":559,""y"":640,""t"":1025},{""x"":578,""y"":630,""t"":1058},{""x"":588,""y"":620,""t"":1092},{""x"":617,""y"":629,""t"":1126},{""x"":621,""y"":646,""t"":1160},{""x"":664,""y"":663,""t"":1195},{""x"":716,""y"":645,""t"":1228},{""x"":744,""y"":649,""t"":1262},{""x"":764,""y"":638,""t"":1296},{""x"":803,""y"":625,""t"":1330},{""x"":807,""y"":622,""t"":1365},{""x"":826,""y"":591,""t"":1398},{""x"":849,""y"":608,""t"":1433},{""x"":882,""y"":623,""t"":1466},{""x"":899,""y"":673,""t"":1500},{""x"":914,""y"":715,""t"":1535},{""x"":922,""y"":747,""t"":1568},{""x"":926,""y"":774,""t"":1599},{""x"":902,""y"":812,""t"":1637},{""x"":867,""y"":837,""t"":1670},{""x"":852,""y"":854,""t"":1705},{""x"":832,""y"":876,""t"":1737},{""x"":828,""y"":894,""t"":1772},{""x"":820,""y"":912,""t"":1806},{""x"":888,""y"":894,""t"":1839},{""x"":961,""y"":875,""t"":1874},{""x"":1025,""y"":839,""t"":1908},{""x"":1064,""y"":797,""t"":1942},{""x"":1109,""y"":782,""t"":1974}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]","","",""
"","canvas-keyboard-response","48","105568","0.0-6.0-2.0-2.11","","","","","415","6","","","","","","","","","","","","","","","","","true","ring_1","6"
