"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","35","92474","0.0-5.0-3.0-2.7","","","","","715","6","","","[""rect"",""circle""]","","","","","","","","","","","[{""x"":1018,""y"":653,""t"":4},{""x"":977,""y"":661,""t"":38},{""x"":938,""y"":668,""t"":82},{""x"":905,""y"":673,""t"":104},{""x"":878,""y"":662,""t"":146},{""x"":851,""y"":662,""t"":174},{""x"":816,""y"":659,""t"":210},{""x"":796,""y"":650,""t"":242},{""x"":795,""y"":652,""t"":288},{""x"":788,""y"":629,""t"":312},{""x"":807,""y"":625,""t"":343},{""x"":855,""y"":628,""t"":382},{""x"":904,""y"":631,""t"":412},{""x"":964,""y"":644,""t"":449},{""x"":1008,""y"":645,""t"":480},{""x"":1038,""y"":638,""t"":513},{""x"":1057,""y"":645,""t"":552},{""x"":1069,""y"":643,""t"":582},{""x"":1095,""y"":649,""t"":630},{""x"":1115,""y"":655,""t"":651},{""x"":1128,""y"":648,""t"":683}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","36","93488","0.0-5.0-3.0-0.8","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","37","93596","0.0-5.0-3.0-1.8","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","38","94794","0.0-5.0-3.0-2.8","","","","","681","5","","","[""rect"",""triangle""]","","","","","","","","","","","[{""x"":1066,""y"":651,""t"":5},{""x"":1004,""y"":637,""t"":38},{""x"":924,""y"":617,""t"":75},{""x"":870,""y"":618,""t"":107},{""x"":837,""y"":605,""t"":152},{""x"":829,""y"":624,""t"":181},{""x"":839,""y"":639,""t"":210},{""x"":814,""y"":623,""t"":242},{""x"":811,""y"":637,""t"":279},{""x"":797,""y"":618,""t"":309},{""x"":803,""y"":633,""t"":357},{""x"":776,""y"":619,""t"":380},{""x"":772,""y"":627,""t"":412},{""x"":777,""y"":629,""t"":451},{""x"":817,""y"":633,""t"":479},{""x"":875,""y"":632,""t"":528},{""x"":958,""y"":645,""t"":553},{""x"":997,""y"":648,""t"":582},{""x"":1017,""y"":647,""t"":621},{""x"":1060,""y"":666,""t"":650}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","39","95813","0.0-5.0-3.0-0.9","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","40","95922","0.0-5.0-3.0-1.9","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","41","97068","0.0-5.0-3.0-2.9","","","","","628","6","","","[""rect"",""circle""]","","","","","","","","","","","[{""x"":1043,""y"":670,""t"":5},{""x"":1013,""y"":662,""t"":46},{""x"":985,""y"":659,""t"":77},{""x"":953,""y"":649,""t"":106},{""x"":930,""y"":632,""t"":155},{""x"":915,""y"":627,""t"":182},{""x"":891,""y"":607,""t"":207},{""x"":860,""y"":591,""t"":248},{""x"":837,""y"":590,""t"":276},{""x"":861,""y"":602,""t"":311},{""x"":884,""y"":613,""t"":342},{""x"":931,""y"":624,""t"":388},{""x"":977,""y"":628,""t"":412},{""x"":1010,""y"":628,""t"":449},{""x"":1044,""y"":643,""t"":480},{""x"":1076,""y"":648,""t"":528},{""x"":1098,""y"":641,""t"":555},{""x"":1078,""y"":635,""t"":582}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","42","98092","0.0-5.0-3.0-0.10","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","43","98207","0.0-5.0-3.0-1.10","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","44","99273","0.0-5.0-3.0-2.10","","","","","554","5","","","[""rect"",""triangle""]","","","","","","","","","","","[{""x"":1064,""y"":697,""t"":5},{""x"":1073,""y"":720,""t"":39},{""x"":1072,""y"":744,""t"":77},{""x"":1088,""y"":719,""t"":106},{""x"":1100,""y"":682,""t"":153},{""x"":1102,""y"":645,""t"":182},{""x"":1092,""y"":604,""t"":209},{""x"":1085,""y"":607,""t"":242},{""x"":1050,""y"":578,""t"":277},{""x"":993,""y"":575,""t"":321},{""x"":945,""y"":574,""t"":346},{""x"":851,""y"":557,""t"":378},{""x"":778,""y"":539,""t"":417},{""x"":689,""y"":551,""t"":446},{""x"":728,""y"":559,""t"":494},{""x"":810,""y"":556,""t"":520}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
