"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","208","254880","0.0-4.0-1.0-0.32","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","","","","","","","","","",""
"","canvas-keyboard-response","209","255389","0.0-4.0-1.0-1.32","null","null","","","[""cyan"",""red"",""green"",""purple"",""blue"",""yellow""]","","","","","","","","","","","","[{""x"":775,""y"":769,""t"":4},{""x"":758,""y"":756,""t"":44},{""x"":756,""y"":752,""t"":74},{""x"":764,""y"":740,""t"":106},{""x"":753,""y"":728,""t"":156},{""x"":746,""y"":715,""t"":174},{""x"":754,""y"":696,""t"":220},{""x"":768,""y"":669,""t"":247},{""x"":757,""y"":628,""t"":277},{""x"":758,""y"":576,""t"":322},{""x"":763,""y"":528,""t"":350},{""x"":789,""y"":508,""t"":378},{""x"":767,""y"":495,""t"":428},{""x"":763,""y"":482,""t"":447}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","","","","","",""
"","canvas-keyboard-response","210","255894","0.0-4.0-1.0-2.32","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","[{""x"":726,""y"":485,""t"":-15},{""x"":720,""y"":477,""t"":3},{""x"":710,""y"":472,""t"":39},{""x"":697,""y"":454,""t"":82},{""x"":700,""y"":436,""t"":108},{""x"":702,""y"":443,""t"":140},{""x"":729,""y"":451,""t"":183},{""x"":718,""y"":454,""t"":210},{""x"":733,""y"":457,""t"":242},{""x"":827,""y"":427,""t"":287},{""x"":917,""y"":402,""t"":315},{""x"":989,""y"":371,""t"":345},{""x"":1019,""y"":358,""t"":389},{""x"":1067,""y"":343,""t"":416},{""x"":1097,""y"":336,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","211","256402","0.0-4.0-1.0-3.32","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","[{""x"":1132,""y"":314,""t"":-20},{""x"":1161,""y"":307,""t"":3},{""x"":1093,""y"":345,""t"":38},{""x"":965,""y"":411,""t"":83},{""x"":877,""y"":454,""t"":111},{""x"":785,""y"":502,""t"":140},{""x"":740,""y"":541,""t"":180},{""x"":680,""y"":553,""t"":207},{""x"":628,""y"":565,""t"":250},{""x"":595,""y"":560,""t"":275},{""x"":557,""y"":556,""t"":318},{""x"":546,""y"":558,""t"":346},{""x"":543,""y"":584,""t"":378},{""x"":592,""y"":595,""t"":422},{""x"":710,""y"":583,""t"":449},{""x"":854,""y"":582,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","212","256911","0.0-4.0-1.0-4.32","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","[{""x"":981,""y"":549,""t"":3},{""x"":1088,""y"":508,""t"":39},{""x"":1171,""y"":502,""t"":72},{""x"":1223,""y"":476,""t"":112},{""x"":1289,""y"":447,""t"":140},{""x"":1367,""y"":457,""t"":183},{""x"":1405,""y"":459,""t"":210},{""x"":1435,""y"":478,""t"":241},{""x"":1437,""y"":540,""t"":282},{""x"":1406,""y"":550,""t"":310},{""x"":1368,""y"":546,""t"":347},{""x"":1310,""y"":594,""t"":377},{""x"":1322,""y"":619,""t"":411},{""x"":1304,""y"":650,""t"":451},{""x"":1292,""y"":659,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","213","259098","0.0-4.0-1.0-5.32","1175","7","","","","","","","","","","","","","","","","","","true","red","7","1","0","zoom","single"
"","canvas-keyboard-response","214","260127","0.0-4.0-1.0-0.33","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","","","","","","","","","",""
"","canvas-keyboard-response","215","260639","0.0-4.0-1.0-1.33","null","null","","","[""red"",""purple"",""blue"",""yellow"",""green"",""cyan""]","","","","","","","","","","","","[{""x"":1191,""y"":663,""t"":4},{""x"":1108,""y"":664,""t"":40},{""x"":1044,""y"":696,""t"":73},{""x"":949,""y"":677,""t"":118},{""x"":908,""y"":703,""t"":146},{""x"":858,""y"":674,""t"":173},{""x"":817,""y"":647,""t"":219},{""x"":794,""y"":629,""t"":247},{""x"":771,""y"":565,""t"":276},{""x"":722,""y"":569,""t"":316},{""x"":657,""y"":566,""t"":345},{""x"":627,""y"":557,""t"":378},{""x"":589,""y"":570,""t"":422},{""x"":581,""y"":560,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","","","","","",""
"","canvas-keyboard-response","216","261149","0.0-4.0-1.0-2.33","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","[{""x"":599,""y"":537,""t"":-19},{""x"":595,""y"":536,""t"":3},{""x"":616,""y"":501,""t"":38},{""x"":617,""y"":513,""t"":78},{""x"":627,""y"":502,""t"":105},{""x"":615,""y"":508,""t"":142},{""x"":640,""y"":507,""t"":172},{""x"":643,""y"":538,""t"":217},{""x"":624,""y"":521,""t"":242},{""x"":608,""y"":547,""t"":285},{""x"":612,""y"":570,""t"":313},{""x"":612,""y"":570,""t"":343},{""x"":632,""y"":568,""t"":382},{""x"":650,""y"":566,""t"":410},{""x"":728,""y"":558,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","217","261658","0.0-4.0-1.0-3.33","null","null","","","","","","","","","recall","","[""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""6"",""6"",""1"",""1"",""3"",""3"",""3"",""3"",""9"",""9"",""4"",""4"",""1"",""1"",""9"",""9"",""4"",""4"",""9"",""9"",""7"",""7"",""6"",""6"",""1"",""1"",""7"",""7"",""3"",""3"",""4"",""4"",""1"",""1"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""3"",""3"",""6"",""6"",""3"",""3"",""7"",""7"",""6"",""6"",""4"",""4"",""9"",""9"",""7"",""7"",""1"",""1"",""4"",""4"",""7"",""7""]","1000","color","6","[{""x"":789,""y"":557,""t"":-15},{""x"":831,""y"":539,""t"":3},{""x"":878,""y"":504,""t"":38},{""x"":937,""y"":479,""t"":83},{""x"":984,""y"":459,""t"":107},{""x"":1010,""y"":448,""t"":139},{""x"":999,""y"":425,""t"":175},{""x"":975,""y"":398,""t"":207},{""x"":984,""y"":374,""t"":249},{""x"":964,""y"":380,""t"":276},{""x"":904,""y"":422,""t"":322},{""x"":799,""y"":493,""t"":348},{""x"":710,""y"":552,""t"":379},{""x"":643,""y"":610,""t"":419},{""x"":573,""y"":659,""t"":445},{""x"":533,""y"":701,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
