"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","93","149109","0.0-4.0-1.0-2.13","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":990,""y"":682,""t"":3},{""x"":934,""y"":690,""t"":39},{""x"":931,""y"":688,""t"":72},{""x"":908,""y"":711,""t"":106},{""x"":846,""y"":707,""t"":140},{""x"":751,""y"":693,""t"":173},{""x"":712,""y"":680,""t"":207},{""x"":651,""y"":670,""t"":241},{""x"":644,""y"":628,""t"":275},{""x"":723,""y"":580,""t"":309},{""x"":809,""y"":513,""t"":343},{""x"":908,""y"":457,""t"":377},{""x"":934,""y"":414,""t"":412},{""x"":973,""y"":382,""t"":445},{""x"":973,""y"":374,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","94","149616","0.0-4.0-1.0-3.13","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":987,""y"":343,""t"":3},{""x"":975,""y"":355,""t"":38},{""x"":925,""y"":364,""t"":73},{""x"":895,""y"":323,""t"":106},{""x"":869,""y"":325,""t"":140},{""x"":847,""y"":329,""t"":172},{""x"":848,""y"":324,""t"":209},{""x"":859,""y"":294,""t"":243},{""x"":880,""y"":304,""t"":277},{""x"":878,""y"":300,""t"":309},{""x"":928,""y"":347,""t"":345},{""x"":1031,""y"":386,""t"":379},{""x"":1068,""y"":423,""t"":412},{""x"":1150,""y"":433,""t"":446},{""x"":1225,""y"":486,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","95","150125","0.0-4.0-1.0-4.13","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":1238,""y"":566,""t"":3},{""x"":1243,""y"":655,""t"":38},{""x"":1233,""y"":738,""t"":73},{""x"":1186,""y"":779,""t"":105},{""x"":1184,""y"":787,""t"":139},{""x"":1121,""y"":812,""t"":175},{""x"":1063,""y"":845,""t"":209},{""x"":1065,""y"":838,""t"":241},{""x"":1070,""y"":842,""t"":276},{""x"":1187,""y"":833,""t"":310},{""x"":1214,""y"":804,""t"":345},{""x"":1244,""y"":742,""t"":378},{""x"":1278,""y"":662,""t"":413},{""x"":1314,""y"":597,""t"":445},{""x"":1337,""y"":535,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","96","152103","0.0-4.0-1.0-5.13","973","3","","","","","","","","","","","","","","","","","","true","star","3","0","0","trans","single"
"","canvas-keyboard-response","97","153108","0.0-4.0-1.0-0.14","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","","","","","","","","","",""
"","canvas-keyboard-response","98","153615","0.0-4.0-1.0-1.14","null","null","","","[""triangle"",""hexagram"",""diamond"",""rect_2"",""star"",""circle""]","","","","","","","","","","","","[{""x"":1301,""y"":511,""t"":3},{""x"":1243,""y"":506,""t"":38},{""x"":1146,""y"":493,""t"":71},{""x"":1123,""y"":452,""t"":105},{""x"":1117,""y"":441,""t"":140},{""x"":1126,""y"":452,""t"":172},{""x"":1149,""y"":467,""t"":208},{""x"":1128,""y"":442,""t"":241},{""x"":1097,""y"":417,""t"":277},{""x"":1072,""y"":412,""t"":310},{""x"":1090,""y"":439,""t"":343},{""x"":1047,""y"":469,""t"":378},{""x"":962,""y"":488,""t"":412},{""x"":872,""y"":506,""t"":446},{""x"":845,""y"":501,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":124,""height"":124,""top"":363,""right"":312,""bottom"":487,""left"":188},{""x"":400,""y"":165.1923788646684,""width"":92.37604307034013,""height"":80,""top"":125.1923788646684,""right"":446.18802153517004,""bottom"":205.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":165.1923788646684,""width"":100,""height"":100,""top"":115.1923788646684,""right"":750,""bottom"":215.1923788646684,""left"":650},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":100,""height"":100,""top"":634.8076211353316,""right"":750,""bottom"":734.8076211353316,""left"":650},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","","","","","","",""
"","canvas-keyboard-response","99","154126","0.0-4.0-1.0-2.14","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":842,""y"":517,""t"":3},{""x"":796,""y"":513,""t"":38},{""x"":817,""y"":502,""t"":70},{""x"":809,""y"":489,""t"":107},{""x"":751,""y"":430,""t"":140},{""x"":796,""y"":393,""t"":174},{""x"":851,""y"":335,""t"":209},{""x"":951,""y"":284,""t"":243},{""x"":1021,""y"":272,""t"":276},{""x"":1056,""y"":202,""t"":310},{""x"":1082,""y"":141,""t"":344},{""x"":1052,""y"":102,""t"":379},{""x"":1058,""y"":85,""t"":412},{""x"":1071,""y"":97,""t"":446},{""x"":1109,""y"":116,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","100","154632","0.0-4.0-1.0-3.14","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":1181,""y"":177,""t"":3},{""x"":1180,""y"":241,""t"":38},{""x"":1216,""y"":289,""t"":71},{""x"":1229,""y"":322,""t"":106},{""x"":1261,""y"":379,""t"":140},{""x"":1321,""y"":428,""t"":174},{""x"":1361,""y"":488,""t"":208},{""x"":1397,""y"":475,""t"":242},{""x"":1442,""y"":529,""t"":275},{""x"":1443,""y"":523,""t"":310},{""x"":1429,""y"":497,""t"":343},{""x"":1388,""y"":468,""t"":378},{""x"":1349,""y"":441,""t"":411},{""x"":1343,""y"":416,""t"":446},{""x"":1300,""y"":376,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","101","155141","0.0-4.0-1.0-4.14","null","null","","","","","","","","","recall","","[""4"",""4"",""3"",""3"",""7"",""7"",""6"",""6"",""9"",""9"",""9"",""9"",""7"",""7"",""4"",""4"",""1"",""1"",""4"",""4"",""1"",""1"",""6"",""6"",""9"",""9"",""3"",""3"",""7"",""7"",""1"",""1"",""1"",""1"",""3"",""3"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""3"",""3"",""6"",""6"",""7"",""7"",""4"",""4"",""7"",""7"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1""]","1000","shape","6","[{""x"":1253,""y"":354,""t"":3},{""x"":1185,""y"":321,""t"":39},{""x"":1178,""y"":327,""t"":72},{""x"":1161,""y"":330,""t"":106},{""x"":1197,""y"":324,""t"":141},{""x"":1180,""y"":317,""t"":174},{""x"":1145,""y"":296,""t"":208},{""x"":1045,""y"":254,""t"":243},{""x"":971,""y"":245,""t"":276},{""x"":908,""y"":209,""t"":309},{""x"":891,""y"":216,""t"":343},{""x"":907,""y"":253,""t"":378},{""x"":894,""y"":293,""t"":412},{""x"":880,""y"":307,""t"":445},{""x"":922,""y"":327,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","102","157302","0.0-4.0-1.0-5.14","1155","7","","","","","","","","","","","","","","","","","","true","hexagram","7","1","0","zoom","single"
