index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,lisuya,23.0,男,,,,,,,,,,,,
1,,,,675.0,5.0,5.0,"[""green"",""blue""]",red,True,"[{""x"":776,""y"":489,""t"":2},{""x"":745,""y"":445,""t"":37},{""x"":726,""y"":399,""t"":72},{""x"":706,""y"":385,""t"":103},{""x"":660,""y"":368,""t"":139},{""x"":617,""y"":374,""t"":171},{""x"":550,""y"":394,""t"":206},{""x"":547,""y"":429,""t"":240},{""x"":582,""y"":465,""t"":274},{""x"":597,""y"":462,""t"":324},{""x"":627,""y"":458,""t"":341},{""x"":662,""y"":470,""t"":386},{""x"":705,""y"":471,""t"":418},{""x"":615,""y"":469,""t"":448},{""x"":561,""y"":485,""t"":477},{""x"":573,""y"":493,""t"":528},{""x"":493,""y"":473,""t"":546},{""x"":429,""y"":475,""t"":588},{""x"":394,""y"":487,""t"":620},{""x"":364,""y"":489,""t"":647},{""x"":448,""y"":544,""t"":685},{""x"":522,""y"":584,""t"":716},{""x"":640,""y"":537,""t"":763},{""x"":699,""y"":578,""t"":793},{""x"":745,""y"":614,""t"":823},{""x"":799,""y"":644,""t"":855},{""x"":845,""y"":683,""t"":885},{""x"":816,""y"":709,""t"":921},{""x"":809,""y"":670,""t"":967},{""x"":785,""y"":624,""t"":988},{""x"":823,""y"":589,""t"":1033},{""x"":850,""y"":548,""t"":1064},{""x"":878,""y"":529,""t"":1095},{""x"":906,""y"":493,""t"":1124},{""x"":957,""y"":454,""t"":1172},{""x"":975,""y"":428,""t"":1191},{""x"":1015,""y"":425,""t"":1236},{""x"":1067,""y"":408,""t"":1263},{""x"":1117,""y"":395,""t"":1293},{""x"":1200,""y"":404,""t"":1330},{""x"":1267,""y"":413,""t"":1361},{""x"":1227,""y"":424,""t"":1407},{""x"":1193,""y"":446,""t"":1435},{""x"":1190,""y"":439,""t"":1465},{""x"":1206,""y"":468,""t"":1498},{""x"":1161,""y"":458,""t"":1545},{""x"":1173,""y"":487,""t"":1576},{""x"":1150,""y"":491,""t"":1606},{""x"":1133,""y"":506,""t"":1638},{""x"":1130,""y"":499,""t"":1667},{""x"":1123,""y"":473,""t"":1704},{""x"":1108,""y"":472,""t"":1735},{""x"":1090,""y"":464,""t"":1782},{""x"":1102,""y"":461,""t"":1813},{""x"":1088,""y"":453,""t"":1839},{""x"":935,""y"":428,""t"":1872},{""x"":837,""y"":453,""t"":1905},{""x"":767,""y"":456,""t"":1953},{""x"":700,""y"":468,""t"":1974}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
2,,,,676.0,6.0,6.0,"[""red"",""blue""]",blue_1,True,"[{""x"":612,""y"":432,""t"":1},{""x"":573,""y"":392,""t"":38},{""x"":588,""y"":376,""t"":71},{""x"":591,""y"":354,""t"":105},{""x"":598,""y"":338,""t"":137},{""x"":597,""y"":339,""t"":173},{""x"":625,""y"":340,""t"":206},{""x"":615,""y"":326,""t"":240},{""x"":590,""y"":314,""t"":273},{""x"":633,""y"":317,""t"":309},{""x"":623,""y"":336,""t"":347},{""x"":620,""y"":330,""t"":376},{""x"":561,""y"":325,""t"":410},{""x"":513,""y"":332,""t"":456},{""x"":480,""y"":322,""t"":480},{""x"":473,""y"":332,""t"":519},{""x"":417,""y"":293,""t"":552},{""x"":377,""y"":271,""t"":582},{""x"":359,""y"":241,""t"":613},{""x"":370,""y"":264,""t"":663},{""x"":383,""y"":284,""t"":682},{""x"":380,""y"":261,""t"":724},{""x"":392,""y"":270,""t"":755},{""x"":429,""y"":280,""t"":787},{""x"":465,""y"":290,""t"":817},{""x"":459,""y"":291,""t"":867},{""x"":474,""y"":295,""t"":895},{""x"":487,""y"":299,""t"":925},{""x"":506,""y"":323,""t"":956},{""x"":550,""y"":351,""t"":987},{""x"":671,""y"":458,""t"":1024},{""x"":760,""y"":535,""t"":1055},{""x"":841,""y"":583,""t"":1102},{""x"":879,""y"":627,""t"":1124},{""x"":936,""y"":663,""t"":1164},{""x"":949,""y"":644,""t"":1198},{""x"":966,""y"":613,""t"":1229},{""x"":987,""y"":591,""t"":1260},{""x"":986,""y"":560,""t"":1306},{""x"":993,""y"":605,""t"":1332},{""x"":1002,""y"":597,""t"":1363},{""x"":1015,""y"":567,""t"":1398},{""x"":1005,""y"":611,""t"":1430},{""x"":997,""y"":660,""t"":1477},{""x"":1007,""y"":693,""t"":1509},{""x"":1009,""y"":715,""t"":1537},{""x"":997,""y"":699,""t"":1574},{""x"":975,""y"":678,""t"":1602},{""x"":951,""y"":627,""t"":1634},{""x"":932,""y"":604,""t"":1680},{""x"":915,""y"":590,""t"":1710},{""x"":917,""y"":558,""t"":1743},{""x"":915,""y"":522,""t"":1773},{""x"":915,""y"":506,""t"":1805},{""x"":909,""y"":490,""t"":1836},{""x"":912,""y"":481,""t"":1871},{""x"":918,""y"":467,""t"":1917},{""x"":937,""y"":458,""t"":1948},{""x"":938,""y"":432,""t"":1978}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'red': 23}, {'blue': 9}]",{'blue_1': 9},red
3,,,,635.0,5.0,5.0,"[""red"",""green""]",blue_1,True,"[{""x"":905,""y"":425,""t"":1},{""x"":869,""y"":418,""t"":42},{""x"":851,""y"":415,""t"":75},{""x"":837,""y"":413,""t"":103},{""x"":819,""y"":409,""t"":138},{""x"":814,""y"":407,""t"":172},{""x"":765,""y"":434,""t"":205},{""x"":759,""y"":434,""t"":243},{""x"":761,""y"":434,""t"":274},{""x"":752,""y"":454,""t"":313},{""x"":753,""y"":445,""t"":342},{""x"":734,""y"":455,""t"":376},{""x"":700,""y"":472,""t"":424},{""x"":672,""y"":485,""t"":450},{""x"":655,""y"":465,""t"":478},{""x"":641,""y"":448,""t"":516},{""x"":637,""y"":438,""t"":551},{""x"":624,""y"":426,""t"":579},{""x"":633,""y"":435,""t"":629},{""x"":626,""y"":463,""t"":656},{""x"":615,""y"":469,""t"":688},{""x"":610,""y"":439,""t"":717},{""x"":602,""y"":411,""t"":753},{""x"":616,""y"":418,""t"":786},{""x"":621,""y"":423,""t"":816},{""x"":627,""y"":448,""t"":863},{""x"":629,""y"":463,""t"":889},{""x"":634,""y"":460,""t"":920},{""x"":615,""y"":488,""t"":957},{""x"":600,""y"":502,""t"":1001},{""x"":585,""y"":517,""t"":1022},{""x"":572,""y"":503,""t"":1064},{""x"":643,""y"":496,""t"":1091},{""x"":701,""y"":489,""t"":1123},{""x"":749,""y"":480,""t"":1161},{""x"":807,""y"":472,""t"":1208},{""x"":851,""y"":465,""t"":1235},{""x"":876,""y"":469,""t"":1262},{""x"":894,""y"":463,""t"":1293},{""x"":917,""y"":461,""t"":1335},{""x"":930,""y"":466,""t"":1366},{""x"":930,""y"":471,""t"":1399},{""x"":922,""y"":484,""t"":1428},{""x"":854,""y"":474,""t"":1474},{""x"":791,""y"":467,""t"":1505},{""x"":750,""y"":469,""t"":1535},{""x"":731,""y"":470,""t"":1566},{""x"":705,""y"":494,""t"":1600},{""x"":677,""y"":516,""t"":1649},{""x"":642,""y"":535,""t"":1670},{""x"":582,""y"":532,""t"":1703},{""x"":551,""y"":516,""t"":1743},{""x"":531,""y"":496,""t"":1773},{""x"":520,""y"":488,""t"":1804},{""x"":488,""y"":531,""t"":1855},{""x"":441,""y"":512,""t"":1875},{""x"":451,""y"":518,""t"":1905},{""x"":461,""y"":556,""t"":1948},{""x"":494,""y"":563,""t"":1979}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
4,,,,521.0,4.0,4.0,"[""green"",""red""]",green,True,"[{""x"":547,""y"":557,""t"":2},{""x"":597,""y"":562,""t"":40},{""x"":635,""y"":554,""t"":70},{""x"":666,""y"":560,""t"":103},{""x"":690,""y"":565,""t"":137},{""x"":713,""y"":588,""t"":173},{""x"":735,""y"":600,""t"":206},{""x"":757,""y"":585,""t"":240},{""x"":768,""y"":567,""t"":273},{""x"":757,""y"":548,""t"":308},{""x"":721,""y"":567,""t"":344},{""x"":706,""y"":576,""t"":389},{""x"":701,""y"":569,""t"":417},{""x"":687,""y"":570,""t"":443},{""x"":654,""y"":584,""t"":485},{""x"":645,""y"":599,""t"":511},{""x"":644,""y"":581,""t"":549},{""x"":644,""y"":566,""t"":580},{""x"":629,""y"":583,""t"":625},{""x"":628,""y"":583,""t"":647},{""x"":631,""y"":581,""t"":689},{""x"":634,""y"":581,""t"":722},{""x"":627,""y"":569,""t"":748},{""x"":610,""y"":561,""t"":784},{""x"":590,""y"":565,""t"":832},{""x"":600,""y"":569,""t"":851},{""x"":583,""y"":591,""t"":896},{""x"":570,""y"":610,""t"":927},{""x"":594,""y"":599,""t"":955},{""x"":608,""y"":615,""t"":988},{""x"":616,""y"":635,""t"":1036},{""x"":579,""y"":622,""t"":1055},{""x"":598,""y"":592,""t"":1101},{""x"":597,""y"":581,""t"":1129},{""x"":607,""y"":562,""t"":1158},{""x"":653,""y"":561,""t"":1192},{""x"":761,""y"":569,""t"":1240},{""x"":871,""y"":598,""t"":1261},{""x"":920,""y"":588,""t"":1304},{""x"":921,""y"":588,""t"":1338},{""x"":973,""y"":632,""t"":1367},{""x"":993,""y"":651,""t"":1395},{""x"":1001,""y"":627,""t"":1434},{""x"":1026,""y"":645,""t"":1465},{""x"":1047,""y"":660,""t"":1499},{""x"":1054,""y"":667,""t"":1531},{""x"":1044,""y"":662,""t"":1572},{""x"":1043,""y"":669,""t"":1604},{""x"":1032,""y"":664,""t"":1637},{""x"":1030,""y"":660,""t"":1668},{""x"":1006,""y"":612,""t"":1702},{""x"":923,""y"":619,""t"":1747},{""x"":856,""y"":614,""t"":1777},{""x"":808,""y"":602,""t"":1807},{""x"":747,""y"":611,""t"":1838},{""x"":703,""y"":618,""t"":1887},{""x"":667,""y"":619,""t"":1908},{""x"":635,""y"":602,""t"":1940}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'green': 29}, {'red': 4}]",{'green': 29},green
5,,,,644.0,6.0,6.0,"[""blue"",""red""]",red_1,True,"[{""x"":642,""y"":616,""t"":1},{""x"":671,""y"":629,""t"":42},{""x"":671,""y"":613,""t"":77},{""x"":710,""y"":580,""t"":108},{""x"":719,""y"":529,""t"":139},{""x"":719,""y"":527,""t"":171},{""x"":759,""y"":503,""t"":206},{""x"":751,""y"":490,""t"":240},{""x"":741,""y"":480,""t"":274},{""x"":725,""y"":481,""t"":311},{""x"":736,""y"":483,""t"":342},{""x"":724,""y"":470,""t"":386},{""x"":698,""y"":508,""t"":418},{""x"":676,""y"":542,""t"":446},{""x"":657,""y"":571,""t"":477},{""x"":642,""y"":600,""t"":527},{""x"":631,""y"":594,""t"":547},{""x"":646,""y"":593,""t"":587},{""x"":652,""y"":588,""t"":621},{""x"":666,""y"":579,""t"":651},{""x"":712,""y"":611,""t"":688},{""x"":742,""y"":658,""t"":719},{""x"":825,""y"":616,""t"":751},{""x"":886,""y"":588,""t"":794},{""x"":902,""y"":583,""t"":826},{""x"":917,""y"":611,""t"":858},{""x"":938,""y"":621,""t"":888},{""x"":919,""y"":665,""t"":921},{""x"":847,""y"":662,""t"":966},{""x"":782,""y"":689,""t"":993},{""x"":722,""y"":684,""t"":1026},{""x"":686,""y"":686,""t"":1058},{""x"":602,""y"":654,""t"":1090},{""x"":530,""y"":625,""t"":1124},{""x"":518,""y"":606,""t"":1170},{""x"":545,""y"":576,""t"":1205},{""x"":579,""y"":552,""t"":1234},{""x"":668,""y"":528,""t"":1266},{""x"":726,""y"":510,""t"":1296},{""x"":790,""y"":476,""t"":1332},{""x"":845,""y"":451,""t"":1361},{""x"":903,""y"":434,""t"":1397},{""x"":965,""y"":408,""t"":1440},{""x"":989,""y"":414,""t"":1475},{""x"":992,""y"":457,""t"":1508},{""x"":989,""y"":496,""t"":1538},{""x"":971,""y"":512,""t"":1572},{""x"":968,""y"":541,""t"":1599},{""x"":986,""y"":577,""t"":1646},{""x"":983,""y"":606,""t"":1675},{""x"":965,""y"":629,""t"":1703},{""x"":941,""y"":649,""t"":1735},{""x"":934,""y"":649,""t"":1772},{""x"":914,""y"":671,""t"":1817},{""x"":914,""y"":687,""t"":1838},{""x"":942,""y"":719,""t"":1880},{""x"":965,""y"":745,""t"":1909},{""x"":944,""y"":723,""t"":1941},{""x"":925,""y"":702,""t"":1974}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'blue': 15}, {'red': 8}]",{'red_1': 8},blue
6,,,,763.0,6.0,6.0,"[""blue"",""green""]",green,True,"[{""x"":892,""y"":670,""t"":2},{""x"":853,""y"":645,""t"":42},{""x"":778,""y"":670,""t"":72},{""x"":742,""y"":664,""t"":104},{""x"":722,""y"":638,""t"":140},{""x"":708,""y"":615,""t"":172},{""x"":709,""y"":607,""t"":206},{""x"":671,""y"":616,""t"":241},{""x"":662,""y"":614,""t"":273},{""x"":673,""y"":617,""t"":309},{""x"":678,""y"":612,""t"":355},{""x"":683,""y"":608,""t"":376},{""x"":704,""y"":597,""t"":409},{""x"":691,""y"":603,""t"":447},{""x"":663,""y"":604,""t"":482},{""x"":645,""y"":597,""t"":514},{""x"":640,""y"":626,""t"":546},{""x"":636,""y"":652,""t"":586},{""x"":618,""y"":615,""t"":618},{""x"":574,""y"":585,""t"":647},{""x"":579,""y"":556,""t"":699},{""x"":533,""y"":539,""t"":716},{""x"":505,""y"":527,""t"":760},{""x"":514,""y"":513,""t"":788},{""x"":532,""y"":506,""t"":819},{""x"":559,""y"":489,""t"":853},{""x"":589,""y"":478,""t"":900},{""x"":589,""y"":473,""t"":921},{""x"":653,""y"":526,""t"":954},{""x"":711,""y"":572,""t"":994},{""x"":780,""y"":539,""t"":1027},{""x"":845,""y"":503,""t"":1058},{""x"":910,""y"":573,""t"":1090},{""x"":943,""y"":635,""t"":1134},{""x"":930,""y"":690,""t"":1167},{""x"":913,""y"":704,""t"":1199},{""x"":897,""y"":743,""t"":1232},{""x"":835,""y"":746,""t"":1263},{""x"":780,""y"":746,""t"":1296},{""x"":741,""y"":704,""t"":1328},{""x"":708,""y"":666,""t"":1368},{""x"":685,""y"":641,""t"":1400},{""x"":653,""y"":594,""t"":1429},{""x"":630,""y"":574,""t"":1477},{""x"":630,""y"":563,""t"":1506},{""x"":636,""y"":563,""t"":1532},{""x"":635,""y"":553,""t"":1574},{""x"":633,""y"":549,""t"":1606},{""x"":689,""y"":513,""t"":1634},{""x"":750,""y"":492,""t"":1682},{""x"":804,""y"":492,""t"":1701},{""x"":841,""y"":474,""t"":1746},{""x"":857,""y"":464,""t"":1777},{""x"":878,""y"":453,""t"":1804},{""x"":903,""y"":448,""t"":1839},{""x"":928,""y"":442,""t"":1871},{""x"":926,""y"":449,""t"":1917},{""x"":942,""y"":458,""t"":1950},{""x"":954,""y"":467,""t"":1979}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'blue': 21}, {'green': 4}]",{'green': 4},blue
7,,,,713.0,6.0,6.0,"[""red"",""green""]",green_1,True,"[{""x"":909,""y"":525,""t"":1},{""x"":882,""y"":551,""t"":45},{""x"":839,""y"":588,""t"":72},{""x"":810,""y"":601,""t"":113},{""x"":786,""y"":610,""t"":147},{""x"":768,""y"":619,""t"":182},{""x"":763,""y"":618,""t"":218},{""x"":774,""y"":619,""t"":239},{""x"":796,""y"":613,""t"":273},{""x"":801,""y"":583,""t"":314},{""x"":762,""y"":583,""t"":342},{""x"":754,""y"":596,""t"":377},{""x"":701,""y"":606,""t"":411},{""x"":692,""y"":632,""t"":457},{""x"":684,""y"":645,""t"":476},{""x"":651,""y"":623,""t"":519},{""x"":648,""y"":624,""t"":545},{""x"":617,""y"":640,""t"":585},{""x"":592,""y"":654,""t"":623},{""x"":597,""y"":607,""t"":657},{""x"":602,""y"":567,""t"":690},{""x"":616,""y"":566,""t"":726},{""x"":615,""y"":557,""t"":759},{""x"":615,""y"":550,""t"":791},{""x"":615,""y"":534,""t"":819},{""x"":610,""y"":516,""t"":852},{""x"":610,""y"":511,""t"":897},{""x"":614,""y"":516,""t"":924},{""x"":579,""y"":520,""t"":956},{""x"":561,""y"":529,""t"":992},{""x"":574,""y"":524,""t"":1024},{""x"":587,""y"":521,""t"":1055},{""x"":589,""y"":513,""t"":1101},{""x"":643,""y"":592,""t"":1134},{""x"":697,""y"":662,""t"":1166},{""x"":784,""y"":673,""t"":1201},{""x"":817,""y"":613,""t"":1235},{""x"":871,""y"":658,""t"":1269},{""x"":902,""y"":678,""t"":1306},{""x"":942,""y"":704,""t"":1337},{""x"":956,""y"":730,""t"":1370},{""x"":964,""y"":756,""t"":1396},{""x"":964,""y"":721,""t"":1432},{""x"":971,""y"":700,""t"":1463},{""x"":965,""y"":696,""t"":1510},{""x"":942,""y"":679,""t"":1537},{""x"":938,""y"":639,""t"":1570},{""x"":939,""y"":607,""t"":1600},{""x"":949,""y"":586,""t"":1650},{""x"":936,""y"":565,""t"":1672},{""x"":928,""y"":550,""t"":1701},{""x"":933,""y"":519,""t"":1744},{""x"":926,""y"":514,""t"":1778},{""x"":947,""y"":510,""t"":1805},{""x"":964,""y"":508,""t"":1842},{""x"":956,""y"":502,""t"":1882},{""x"":949,""y"":507,""t"":1913},{""x"":935,""y"":519,""t"":1944},{""x"":955,""y"":512,""t"":1973}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'red': 18}, {'green': 8}]",{'green_1': 8},red
8,,,,680.0,5.0,5.0,"[""red"",""blue""]",green_1,True,"[{""x"":874,""y"":530,""t"":3},{""x"":829,""y"":526,""t"":37},{""x"":788,""y"":527,""t"":69},{""x"":774,""y"":526,""t"":104},{""x"":772,""y"":518,""t"":137},{""x"":760,""y"":522,""t"":173},{""x"":741,""y"":518,""t"":206},{""x"":728,""y"":515,""t"":240},{""x"":742,""y"":518,""t"":273},{""x"":751,""y"":519,""t"":307},{""x"":701,""y"":526,""t"":348},{""x"":672,""y"":546,""t"":375},{""x"":642,""y"":541,""t"":423},{""x"":617,""y"":538,""t"":449},{""x"":609,""y"":559,""t"":477},{""x"":566,""y"":543,""t"":519},{""x"":535,""y"":531,""t"":547},{""x"":534,""y"":570,""t"":579},{""x"":501,""y"":588,""t"":629},{""x"":476,""y"":604,""t"":655},{""x"":475,""y"":626,""t"":684},{""x"":516,""y"":613,""t"":717},{""x"":542,""y"":613,""t"":754},{""x"":560,""y"":601,""t"":785},{""x"":582,""y"":606,""t"":818},{""x"":601,""y"":609,""t"":863},{""x"":609,""y"":611,""t"":893},{""x"":616,""y"":612,""t"":922},{""x"":610,""y"":593,""t"":953},{""x"":572,""y"":568,""t"":988},{""x"":599,""y"":590,""t"":1021},{""x"":594,""y"":582,""t"":1070},{""x"":582,""y"":578,""t"":1097},{""x"":577,""y"":561,""t"":1130},{""x"":573,""y"":546,""t"":1158},{""x"":578,""y"":544,""t"":1196},{""x"":590,""y"":548,""t"":1227},{""x"":617,""y"":526,""t"":1261},{""x"":714,""y"":529,""t"":1306},{""x"":800,""y"":517,""t"":1337},{""x"":857,""y"":501,""t"":1370},{""x"":905,""y"":489,""t"":1399},{""x"":932,""y"":481,""t"":1431},{""x"":952,""y"":476,""t"":1463},{""x"":984,""y"":471,""t"":1511},{""x"":973,""y"":482,""t"":1533},{""x"":973,""y"":492,""t"":1572},{""x"":980,""y"":490,""t"":1604},{""x"":986,""y"":479,""t"":1633},{""x"":979,""y"":490,""t"":1669},{""x"":985,""y"":511,""t"":1717},{""x"":981,""y"":547,""t"":1737},{""x"":965,""y"":541,""t"":1770},{""x"":978,""y"":530,""t"":1811},{""x"":963,""y"":515,""t"":1843},{""x"":959,""y"":516,""t"":1874},{""x"":972,""y"":524,""t"":1906},{""x"":960,""y"":523,""t"":1952},{""x"":950,""y"":536,""t"":1983}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
9,,,,830.0,5.0,5.0,"[""green"",""blue""]",red_1,True,"[{""x"":917,""y"":556,""t"":1},{""x"":888,""y"":554,""t"":42},{""x"":837,""y"":553,""t"":75},{""x"":794,""y"":596,""t"":110},{""x"":758,""y"":612,""t"":142},{""x"":745,""y"":628,""t"":173},{""x"":733,""y"":641,""t"":206},{""x"":752,""y"":616,""t"":240},{""x"":736,""y"":614,""t"":273},{""x"":736,""y"":633,""t"":309},{""x"":722,""y"":641,""t"":357},{""x"":709,""y"":681,""t"":376},{""x"":678,""y"":695,""t"":421},{""x"":658,""y"":701,""t"":447},{""x"":654,""y"":728,""t"":479},{""x"":653,""y"":750,""t"":514},{""x"":651,""y"":747,""t"":546},{""x"":645,""y"":700,""t"":594},{""x"":640,""y"":660,""t"":613},{""x"":634,""y"":636,""t"":658},{""x"":626,""y"":626,""t"":688},{""x"":608,""y"":586,""t"":717},{""x"":585,""y"":552,""t"":749},{""x"":611,""y"":527,""t"":799},{""x"":629,""y"":502,""t"":825},{""x"":681,""y"":484,""t"":853},{""x"":743,""y"":475,""t"":895},{""x"":787,""y"":451,""t"":925},{""x"":851,""y"":460,""t"":954},{""x"":885,""y"":474,""t"":988},{""x"":894,""y"":477,""t"":1037},{""x"":896,""y"":482,""t"":1056},{""x"":918,""y"":476,""t"":1090},{""x"":892,""y"":520,""t"":1130},{""x"":899,""y"":548,""t"":1158},{""x"":921,""y"":589,""t"":1193},{""x"":942,""y"":619,""t"":1238},{""x"":959,""y"":670,""t"":1268},{""x"":963,""y"":696,""t"":1298},{""x"":956,""y"":671,""t"":1329},{""x"":938,""y"":638,""t"":1361},{""x"":936,""y"":662,""t"":1413},{""x"":934,""y"":682,""t"":1429},{""x"":946,""y"":686,""t"":1474},{""x"":950,""y"":687,""t"":1505},{""x"":952,""y"":684,""t"":1535},{""x"":935,""y"":659,""t"":1566},{""x"":920,""y"":636,""t"":1600},{""x"":920,""y"":606,""t"":1647},{""x"":920,""y"":581,""t"":1667},{""x"":907,""y"":544,""t"":1711},{""x"":953,""y"":537,""t"":1743},{""x"":956,""y"":543,""t"":1773},{""x"":939,""y"":530,""t"":1804},{""x"":928,""y"":511,""t"":1849},{""x"":918,""y"":496,""t"":1877},{""x"":909,""y"":485,""t"":1905},{""x"":905,""y"":504,""t"":1944},{""x"":916,""y"":515,""t"":1974}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
