"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2103","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2109","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8624","0.0-2.0-0.0","","","","","6513","{""name"":""张梦洋"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10496","0.0-2.0-1.0","","","","","1870","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11968","0.0-3.0","","","","","1470"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20322","0.0-4.0","","","","","","","","","1491","","","","","","","","","","","","","","","","",""
"","html-button-response","6","21120","0.0-5.0-0.0","","","","","795","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","33557","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","34959","0.0-5.0-2.0","","","","","1402","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","53577","0.0-5.0-3.0","","","","","","","","","","[[{""x"":543,""y"":302,""dx"":56.5,""dy"":24.5,""t"":990},{""x"":545,""y"":291,""dx"":58.5,""dy"":13.5,""t"":1024},{""x"":551,""y"":285,""dx"":64.5,""dy"":7.5,""t"":1058},{""x"":558,""y"":283,""dx"":71.5,""dy"":5.5,""t"":1093},{""x"":545,""y"":274,""dx"":58.5,""dy"":-3.5,""t"":1126},{""x"":548,""y"":281,""dx"":61.5,""dy"":3.5,""t"":1160},{""x"":538,""y"":282,""dx"":51.5,""dy"":4.5,""t"":1193},{""x"":540,""y"":285,""dx"":53.5,""dy"":7.5,""t"":1227},{""x"":531,""y"":287,""dx"":44.5,""dy"":9.5,""t"":1262},{""x"":534,""y"":269,""dx"":47.5,""dy"":-8.5,""t"":1296},{""x"":517,""y"":252,""dx"":30.5,""dy"":-25.5,""t"":1330},{""x"":510,""y"":272,""dx"":23.5,""dy"":-5.5,""t"":1364},{""x"":514,""y"":263,""dx"":27.5,""dy"":-14.5,""t"":1398},{""x"":493,""y"":257,""dx"":6.5,""dy"":-20.5,""t"":1433},{""x"":479,""y"":254,""dx"":-7.5,""dy"":-23.5,""t"":1466},{""x"":469,""y"":242,""dx"":-17.5,""dy"":-35.5,""t"":1499},{""x"":468,""y"":237,""dx"":-18.5,""dy"":-40.5,""t"":1534},{""x"":466,""y"":233,""dx"":-20.5,""dy"":-44.5,""t"":1567},{""x"":482,""y"":229,""dx"":-4.5,""dy"":-48.5,""t"":1602},{""x"":484,""y"":249,""dx"":-2.5,""dy"":-28.5,""t"":1636},{""x"":479,""y"":239,""dx"":-7.5,""dy"":-38.5,""t"":1669},{""x"":500,""y"":274,""dx"":13.5,""dy"":-3.5,""t"":1704},{""x"":519,""y"":277,""dx"":32.5,""dy"":-0.5,""t"":1738},{""x"":528,""y"":274,""dx"":41.5,""dy"":-3.5,""t"":1771},{""x"":516,""y"":277,""dx"":29.5,""dy"":-0.5,""t"":1806},{""x"":532,""y"":281,""dx"":45.5,""dy"":3.5,""t"":1839},{""x"":532,""y"":291,""dx"":45.5,""dy"":13.5,""t"":1875},{""x"":525,""y"":300,""dx"":38.5,""dy"":22.5,""t"":1909},{""x"":521,""y"":293,""dx"":34.5,""dy"":15.5,""t"":1941},{""x"":520,""y"":286,""dx"":33.5,""dy"":8.5,""t"":1976},{""x"":514,""y"":291,""dx"":27.5,""dy"":13.5,""t"":2010},{""x"":515,""y"":294,""dx"":28.5,""dy"":16.5,""t"":2044},{""x"":516,""y"":300,""dx"":29.5,""dy"":22.5,""t"":2078},{""x"":518,""y"":304,""dx"":31.5,""dy"":26.5,""t"":2112},{""x"":513,""y"":304,""dx"":26.5,""dy"":26.5,""t"":2146},{""x"":509,""y"":285,""dx"":22.5,""dy"":7.5,""t"":2180},{""x"":505,""y"":296,""dx"":18.5,""dy"":18.5,""t"":2213},{""x"":501,""y"":306,""dx"":14.5,""dy"":28.5,""t"":2246},{""x"":503,""y"":299,""dx"":16.5,""dy"":21.5,""t"":2283},{""x"":503,""y"":289,""dx"":16.5,""dy"":11.5,""t"":2316},{""x"":511,""y"":308,""dx"":24.5,""dy"":30.5,""t"":2349},{""x"":516,""y"":306,""dx"":29.5,""dy"":28.5,""t"":2384},{""x"":515,""y"":309,""dx"":28.5,""dy"":31.5,""t"":2418},{""x"":514,""y"":322,""dx"":27.5,""dy"":44.5,""t"":2452},{""x"":514,""y"":338,""dx"":27.5,""dy"":60.5,""t"":2485},{""x"":517,""y"":327,""dx"":30.5,""dy"":49.5,""t"":2520},{""x"":523,""y"":315,""dx"":36.5,""dy"":37.5,""t"":2554},{""x"":517,""y"":318,""dx"":30.5,""dy"":40.5,""t"":2588},{""x"":515,""y"":321,""dx"":28.5,""dy"":43.5,""t"":2622},{""x"":513,""y"":324,""dx"":26.5,""dy"":46.5,""t"":2654},{""x"":506,""y"":321,""dx"":19.5,""dy"":43.5,""t"":2689},{""x"":503,""y"":311,""dx"":16.5,""dy"":33.5,""t"":2725},{""x"":508,""y"":321,""dx"":21.5,""dy"":43.5,""t"":2758},{""x"":510,""y"":312,""dx"":23.5,""dy"":34.5,""t"":2792},{""x"":503,""y"":321,""dx"":16.5,""dy"":43.5,""t"":2825},{""x"":511,""y"":329,""dx"":24.5,""dy"":51.5,""t"":2860},{""x"":503,""y"":330,""dx"":16.5,""dy"":52.5,""t"":2894},{""x"":509,""y"":330,""dx"":22.5,""dy"":52.5,""t"":2929},{""x"":510,""y"":349,""dx"":23.5,""dy"":71.5,""t"":2962}],[{""x"":1637,""y"":341,""dx"":199.5,""dy"":63.5,""t"":4017},{""x"":1633,""y"":349,""dx"":195.5,""dy"":71.5,""t"":4050},{""x"":1631,""y"":355,""dx"":193.5,""dy"":77.5,""t"":4085},{""x"":1635,""y"":341,""dx"":197.5,""dy"":63.5,""t"":4118},{""x"":1628,""y"":339,""dx"":190.5,""dy"":61.5,""t"":4151},{""x"":1622,""y"":322,""dx"":184.5,""dy"":44.5,""t"":4187},{""x"":1609,""y"":324,""dx"":171.5,""dy"":46.5,""t"":4220},{""x"":1597,""y"":326,""dx"":159.5,""dy"":48.5,""t"":4252},{""x"":1595,""y"":315,""dx"":157.5,""dy"":37.5,""t"":4287},{""x"":1571,""y"":352,""dx"":133.5,""dy"":74.5,""t"":4322},{""x"":1563,""y"":383,""dx"":125.5,""dy"":105.5,""t"":4355},{""x"":1572,""y"":367,""dx"":134.5,""dy"":89.5,""t"":4390},{""x"":1568,""y"":360,""dx"":130.5,""dy"":82.5,""t"":4424},{""x"":1561,""y"":387,""dx"":123.5,""dy"":109.5,""t"":4458},{""x"":1562,""y"":386,""dx"":124.5,""dy"":108.5,""t"":4492},{""x"":1560,""y"":373,""dx"":122.5,""dy"":95.5,""t"":4526},{""x"":1558,""y"":355,""dx"":120.5,""dy"":77.5,""t"":4559},{""x"":1553,""y"":358,""dx"":115.5,""dy"":80.5,""t"":4593},{""x"":1513,""y"":355,""dx"":75.5,""dy"":77.5,""t"":4629},{""x"":1488,""y"":337,""dx"":50.5,""dy"":59.5,""t"":4662},{""x"":1494,""y"":330,""dx"":56.5,""dy"":52.5,""t"":4697},{""x"":1495,""y"":326,""dx"":57.5,""dy"":48.5,""t"":4730},{""x"":1486,""y"":325,""dx"":48.5,""dy"":47.5,""t"":4764},{""x"":1490,""y"":323,""dx"":52.5,""dy"":45.5,""t"":4797},{""x"":1486,""y"":328,""dx"":48.5,""dy"":50.5,""t"":4832},{""x"":1493,""y"":326,""dx"":55.5,""dy"":48.5,""t"":4865},{""x"":1486,""y"":334,""dx"":48.5,""dy"":56.5,""t"":4901},{""x"":1496,""y"":333,""dx"":58.5,""dy"":55.5,""t"":4934},{""x"":1493,""y"":319,""dx"":55.5,""dy"":41.5,""t"":4968},{""x"":1496,""y"":288,""dx"":58.5,""dy"":10.5,""t"":5002},{""x"":1504,""y"":264,""dx"":66.5,""dy"":-13.5,""t"":5036},{""x"":1473,""y"":264,""dx"":35.5,""dy"":-13.5,""t"":5070},{""x"":1469,""y"":242,""dx"":31.5,""dy"":-35.5,""t"":5104},{""x"":1462,""y"":245,""dx"":24.5,""dy"":-32.5,""t"":5138},{""x"":1446,""y"":238,""dx"":8.5,""dy"":-39.5,""t"":5172},{""x"":1431,""y"":238,""dx"":-6.5,""dy"":-39.5,""t"":5206},{""x"":1441,""y"":208,""dx"":3.5,""dy"":-69.5,""t"":5240},{""x"":1438,""y"":210,""dx"":0.5,""dy"":-67.5,""t"":5274},{""x"":1451,""y"":187,""dx"":13.5,""dy"":-90.5,""t"":5307},{""x"":1451,""y"":190,""dx"":13.5,""dy"":-87.5,""t"":5342},{""x"":1471,""y"":166,""dx"":33.5,""dy"":-111.5,""t"":5376},{""x"":1472,""y"":184,""dx"":34.5,""dy"":-93.5,""t"":5410},{""x"":1505,""y"":170,""dx"":67.5,""dy"":-107.5,""t"":5444},{""x"":1518,""y"":160,""dx"":80.5,""dy"":-117.5,""t"":5477},{""x"":1521,""y"":140,""dx"":83.5,""dy"":-137.5,""t"":5512},{""x"":1523,""y"":124,""dx"":85.5,""dy"":-153.5,""t"":5546},{""x"":1534,""y"":119,""dx"":96.5,""dy"":-158.5,""t"":5579},{""x"":1541,""y"":118,""dx"":103.5,""dy"":-159.5,""t"":5615},{""x"":1531,""y"":126,""dx"":93.5,""dy"":-151.5,""t"":5648},{""x"":1532,""y"":122,""dx"":94.5,""dy"":-155.5,""t"":5681},{""x"":1521,""y"":142,""dx"":83.5,""dy"":-135.5,""t"":5717},{""x"":1533,""y"":137,""dx"":95.5,""dy"":-140.5,""t"":5750},{""x"":1518,""y"":151,""dx"":80.5,""dy"":-126.5,""t"":5783},{""x"":1526,""y"":146,""dx"":88.5,""dy"":-131.5,""t"":5816},{""x"":1531,""y"":134,""dx"":93.5,""dy"":-143.5,""t"":5851},{""x"":1521,""y"":123,""dx"":83.5,""dy"":-154.5,""t"":5886},{""x"":1521,""y"":117,""dx"":83.5,""dy"":-160.5,""t"":5921},{""x"":1520,""y"":110,""dx"":82.5,""dy"":-167.5,""t"":5953},{""x"":1507,""y"":122,""dx"":69.5,""dy"":-155.5,""t"":5987}],[{""x"":999,""y"":399,""dx"":37,""dy"":-145,""t"":7008},{""x"":1008,""y"":380,""dx"":46,""dy"":-164,""t"":7042},{""x"":1000,""y"":373,""dx"":38,""dy"":-171,""t"":7075},{""x"":1010,""y"":355,""dx"":48,""dy"":-189,""t"":7110},{""x"":1011,""y"":347,""dx"":49,""dy"":-197,""t"":7144},{""x"":998,""y"":349,""dx"":36,""dy"":-195,""t"":7178},{""x"":1006,""y"":354,""dx"":44,""dy"":-190,""t"":7212},{""x"":1022,""y"":350,""dx"":60,""dy"":-194,""t"":7246},{""x"":1026,""y"":366,""dx"":64,""dy"":-178,""t"":7279},{""x"":1027,""y"":370,""dx"":65,""dy"":-174,""t"":7314},{""x"":1027,""y"":357,""dx"":65,""dy"":-187,""t"":7349},{""x"":1027,""y"":345,""dx"":65,""dy"":-199,""t"":7379},{""x"":1020,""y"":344,""dx"":58,""dy"":-200,""t"":7417},{""x"":1016,""y"":345,""dx"":54,""dy"":-199,""t"":7450},{""x"":1032,""y"":340,""dx"":70,""dy"":-204,""t"":7484},{""x"":1019,""y"":331,""dx"":57,""dy"":-213,""t"":7519},{""x"":1021,""y"":312,""dx"":59,""dy"":-232,""t"":7552},{""x"":1019,""y"":291,""dx"":57,""dy"":-253,""t"":7586},{""x"":1009,""y"":278,""dx"":47,""dy"":-266,""t"":7619},{""x"":1010,""y"":273,""dx"":48,""dy"":-271,""t"":7654},{""x"":995,""y"":272,""dx"":33,""dy"":-272,""t"":7687},{""x"":1006,""y"":275,""dx"":44,""dy"":-269,""t"":7722},{""x"":1005,""y"":288,""dx"":43,""dy"":-256,""t"":7755},{""x"":1004,""y"":300,""dx"":42,""dy"":-244,""t"":7788},{""x"":1004,""y"":303,""dx"":42,""dy"":-241,""t"":7825},{""x"":1001,""y"":310,""dx"":39,""dy"":-234,""t"":7858},{""x"":1016,""y"":312,""dx"":54,""dy"":-232,""t"":7891},{""x"":1034,""y"":303,""dx"":72,""dy"":-241,""t"":7927},{""x"":1026,""y"":306,""dx"":64,""dy"":-238,""t"":7961},{""x"":1027,""y"":320,""dx"":65,""dy"":-224,""t"":7994},{""x"":1014,""y"":332,""dx"":52,""dy"":-212,""t"":8027},{""x"":1011,""y"":343,""dx"":49,""dy"":-201,""t"":8061},{""x"":1007,""y"":341,""dx"":45,""dy"":-203,""t"":8096},{""x"":991,""y"":360,""dx"":29,""dy"":-184,""t"":8130},{""x"":992,""y"":354,""dx"":30,""dy"":-190,""t"":8164},{""x"":1001,""y"":362,""dx"":39,""dy"":-182,""t"":8199},{""x"":976,""y"":371,""dx"":14,""dy"":-173,""t"":8232},{""x"":963,""y"":373,""dx"":1,""dy"":-171,""t"":8267},{""x"":954,""y"":388,""dx"":-8,""dy"":-156,""t"":8300},{""x"":963,""y"":374,""dx"":1,""dy"":-170,""t"":8333},{""x"":953,""y"":382,""dx"":-9,""dy"":-162,""t"":8368},{""x"":949,""y"":383,""dx"":-13,""dy"":-161,""t"":8402},{""x"":947,""y"":384,""dx"":-15,""dy"":-160,""t"":8437},{""x"":959,""y"":382,""dx"":-3,""dy"":-162,""t"":8470},{""x"":963,""y"":387,""dx"":1,""dy"":-157,""t"":8504},{""x"":967,""y"":392,""dx"":5,""dy"":-152,""t"":8539},{""x"":964,""y"":398,""dx"":2,""dy"":-146,""t"":8572},{""x"":966,""y"":396,""dx"":4,""dy"":-148,""t"":8606},{""x"":969,""y"":397,""dx"":7,""dy"":-147,""t"":8640},{""x"":970,""y"":399,""dx"":8,""dy"":-145,""t"":8674},{""x"":978,""y"":399,""dx"":16,""dy"":-145,""t"":8708},{""x"":971,""y"":392,""dx"":9,""dy"":-152,""t"":8741},{""x"":975,""y"":401,""dx"":13,""dy"":-143,""t"":8776},{""x"":975,""y"":406,""dx"":13,""dy"":-138,""t"":8810},{""x"":968,""y"":415,""dx"":6,""dy"":-129,""t"":8843},{""x"":967,""y"":420,""dx"":5,""dy"":-124,""t"":8878},{""x"":979,""y"":421,""dx"":17,""dy"":-123,""t"":8911},{""x"":976,""y"":428,""dx"":14,""dy"":-116,""t"":8946},{""x"":978,""y"":439,""dx"":16,""dy"":-105,""t"":8981}],[{""x"":496,""y"":637,""dx"":9.5,""dy"":-173.5,""t"":10000},{""x"":513,""y"":627,""dx"":26.5,""dy"":-183.5,""t"":10034},{""x"":542,""y"":623,""dx"":55.5,""dy"":-187.5,""t"":10068},{""x"":564,""y"":614,""dx"":77.5,""dy"":-196.5,""t"":10102},{""x"":582,""y"":617,""dx"":95.5,""dy"":-193.5,""t"":10136},{""x"":588,""y"":610,""dx"":101.5,""dy"":-200.5,""t"":10170},{""x"":592,""y"":629,""dx"":105.5,""dy"":-181.5,""t"":10203},{""x"":600,""y"":631,""dx"":113.5,""dy"":-179.5,""t"":10238},{""x"":594,""y"":649,""dx"":107.5,""dy"":-161.5,""t"":10272},{""x"":590,""y"":655,""dx"":103.5,""dy"":-155.5,""t"":10306},{""x"":586,""y"":670,""dx"":99.5,""dy"":-140.5,""t"":10341},{""x"":586,""y"":673,""dx"":99.5,""dy"":-137.5,""t"":10374},{""x"":607,""y"":674,""dx"":120.5,""dy"":-136.5,""t"":10407},{""x"":608,""y"":676,""dx"":121.5,""dy"":-134.5,""t"":10441},{""x"":604,""y"":685,""dx"":117.5,""dy"":-125.5,""t"":10476},{""x"":586,""y"":685,""dx"":99.5,""dy"":-125.5,""t"":10510},{""x"":591,""y"":669,""dx"":104.5,""dy"":-141.5,""t"":10544},{""x"":594,""y"":652,""dx"":107.5,""dy"":-158.5,""t"":10578},{""x"":580,""y"":658,""dx"":93.5,""dy"":-152.5,""t"":10612},{""x"":572,""y"":659,""dx"":85.5,""dy"":-151.5,""t"":10646},{""x"":579,""y"":668,""dx"":92.5,""dy"":-142.5,""t"":10680},{""x"":577,""y"":674,""dx"":90.5,""dy"":-136.5,""t"":10714},{""x"":605,""y"":686,""dx"":118.5,""dy"":-124.5,""t"":10748},{""x"":570,""y"":668,""dx"":83.5,""dy"":-142.5,""t"":10781},{""x"":537,""y"":660,""dx"":50.5,""dy"":-150.5,""t"":10816},{""x"":517,""y"":646,""dx"":30.5,""dy"":-164.5,""t"":10850},{""x"":501,""y"":630,""dx"":14.5,""dy"":-180.5,""t"":10884},{""x"":478,""y"":616,""dx"":-8.5,""dy"":-194.5,""t"":10918},{""x"":450,""y"":615,""dx"":-36.5,""dy"":-195.5,""t"":10952},{""x"":428,""y"":614,""dx"":-58.5,""dy"":-196.5,""t"":10983},{""x"":421,""y"":617,""dx"":-65.5,""dy"":-193.5,""t"":11020},{""x"":412,""y"":601,""dx"":-74.5,""dy"":-209.5,""t"":11055},{""x"":421,""y"":610,""dx"":-65.5,""dy"":-200.5,""t"":11088},{""x"":423,""y"":615,""dx"":-63.5,""dy"":-195.5,""t"":11121},{""x"":430,""y"":628,""dx"":-56.5,""dy"":-182.5,""t"":11157},{""x"":434,""y"":631,""dx"":-52.5,""dy"":-179.5,""t"":11191},{""x"":440,""y"":637,""dx"":-46.5,""dy"":-173.5,""t"":11224},{""x"":446,""y"":645,""dx"":-40.5,""dy"":-165.5,""t"":11257},{""x"":444,""y"":657,""dx"":-42.5,""dy"":-153.5,""t"":11292},{""x"":494,""y"":671,""dx"":7.5,""dy"":-139.5,""t"":11326},{""x"":531,""y"":678,""dx"":44.5,""dy"":-132.5,""t"":11361},{""x"":561,""y"":683,""dx"":74.5,""dy"":-127.5,""t"":11391},{""x"":593,""y"":687,""dx"":106.5,""dy"":-123.5,""t"":11428},{""x"":587,""y"":698,""dx"":100.5,""dy"":-112.5,""t"":11462},{""x"":592,""y"":708,""dx"":105.5,""dy"":-102.5,""t"":11497},{""x"":604,""y"":712,""dx"":117.5,""dy"":-98.5,""t"":11529},{""x"":583,""y"":702,""dx"":96.5,""dy"":-108.5,""t"":11563},{""x"":562,""y"":696,""dx"":75.5,""dy"":-114.5,""t"":11598},{""x"":577,""y"":700,""dx"":90.5,""dy"":-110.5,""t"":11632},{""x"":555,""y"":698,""dx"":68.5,""dy"":-112.5,""t"":11665},{""x"":536,""y"":699,""dx"":49.5,""dy"":-111.5,""t"":11700},{""x"":518,""y"":696,""dx"":31.5,""dy"":-114.5,""t"":11734},{""x"":501,""y"":696,""dx"":14.5,""dy"":-114.5,""t"":11767},{""x"":486,""y"":688,""dx"":-0.5,""dy"":-122.5,""t"":11802},{""x"":473,""y"":689,""dx"":-13.5,""dy"":-121.5,""t"":11835},{""x"":475,""y"":690,""dx"":-11.5,""dy"":-120.5,""t"":11870},{""x"":461,""y"":689,""dx"":-25.5,""dy"":-121.5,""t"":11904},{""x"":461,""y"":686,""dx"":-25.5,""dy"":-124.5,""t"":11937},{""x"":473,""y"":676,""dx"":-13.5,""dy"":-134.5,""t"":11973},{""x"":472,""y"":677,""dx"":-14.5,""dy"":-133.5,""t"":12006}],[{""x"":1355,""y"":700,""dx"":-82.5,""dy"":-110.5,""t"":13026},{""x"":1342,""y"":663,""dx"":-95.5,""dy"":-147.5,""t"":13060},{""x"":1329,""y"":622,""dx"":-108.5,""dy"":-188.5,""t"":13095},{""x"":1322,""y"":597,""dx"":-115.5,""dy"":-213.5,""t"":13128},{""x"":1322,""y"":575,""dx"":-115.5,""dy"":-235.5,""t"":13203},{""x"":1323,""y"":545,""dx"":-114.5,""dy"":-265.5,""t"":13233},{""x"":1319,""y"":531,""dx"":-118.5,""dy"":-279.5,""t"":13264},{""x"":1308,""y"":524,""dx"":-129.5,""dy"":-286.5,""t"":13299},{""x"":1309,""y"":493,""dx"":-128.5,""dy"":-317.5,""t"":13332},{""x"":1319,""y"":468,""dx"":-118.5,""dy"":-342.5,""t"":13365},{""x"":1325,""y"":447,""dx"":-112.5,""dy"":-363.5,""t"":13400},{""x"":1339,""y"":429,""dx"":-98.5,""dy"":-381.5,""t"":13434},{""x"":1367,""y"":415,""dx"":-70.5,""dy"":-395.5,""t"":13468},{""x"":1375,""y"":401,""dx"":-62.5,""dy"":-409.5,""t"":13502},{""x"":1369,""y"":386,""dx"":-68.5,""dy"":-424.5,""t"":13536},{""x"":1374,""y"":374,""dx"":-63.5,""dy"":-436.5,""t"":13571},{""x"":1379,""y"":366,""dx"":-58.5,""dy"":-444.5,""t"":13603},{""x"":1362,""y"":370,""dx"":-75.5,""dy"":-440.5,""t"":13638},{""x"":1365,""y"":391,""dx"":-72.5,""dy"":-419.5,""t"":13672},{""x"":1348,""y"":386,""dx"":-89.5,""dy"":-424.5,""t"":13706},{""x"":1334,""y"":396,""dx"":-103.5,""dy"":-414.5,""t"":13740},{""x"":1340,""y"":414,""dx"":-97.5,""dy"":-396.5,""t"":13774},{""x"":1320,""y"":420,""dx"":-117.5,""dy"":-390.5,""t"":13808},{""x"":1317,""y"":429,""dx"":-120.5,""dy"":-381.5,""t"":13842},{""x"":1302,""y"":448,""dx"":-135.5,""dy"":-362.5,""t"":13876},{""x"":1300,""y"":460,""dx"":-137.5,""dy"":-350.5,""t"":13911},{""x"":1310,""y"":465,""dx"":-127.5,""dy"":-345.5,""t"":13944},{""x"":1305,""y"":471,""dx"":-132.5,""dy"":-339.5,""t"":13978},{""x"":1291,""y"":475,""dx"":-146.5,""dy"":-335.5,""t"":14013},{""x"":1291,""y"":488,""dx"":-146.5,""dy"":-322.5,""t"":14046},{""x"":1291,""y"":493,""dx"":-146.5,""dy"":-317.5,""t"":14079},{""x"":1292,""y"":494,""dx"":-145.5,""dy"":-316.5,""t"":14114},{""x"":1292,""y"":498,""dx"":-145.5,""dy"":-312.5,""t"":14148},{""x"":1298,""y"":505,""dx"":-139.5,""dy"":-305.5,""t"":14182},{""x"":1311,""y"":499,""dx"":-126.5,""dy"":-311.5,""t"":14216},{""x"":1308,""y"":504,""dx"":-129.5,""dy"":-306.5,""t"":14250},{""x"":1327,""y"":492,""dx"":-110.5,""dy"":-318.5,""t"":14285},{""x"":1316,""y"":496,""dx"":-121.5,""dy"":-314.5,""t"":14318},{""x"":1313,""y"":511,""dx"":-124.5,""dy"":-299.5,""t"":14351},{""x"":1319,""y"":533,""dx"":-118.5,""dy"":-277.5,""t"":14386},{""x"":1330,""y"":549,""dx"":-107.5,""dy"":-261.5,""t"":14421},{""x"":1334,""y"":560,""dx"":-103.5,""dy"":-250.5,""t"":14454},{""x"":1337,""y"":569,""dx"":-100.5,""dy"":-241.5,""t"":14487},{""x"":1331,""y"":570,""dx"":-106.5,""dy"":-240.5,""t"":14521},{""x"":1328,""y"":579,""dx"":-109.5,""dy"":-231.5,""t"":14554},{""x"":1312,""y"":579,""dx"":-125.5,""dy"":-231.5,""t"":14590},{""x"":1318,""y"":590,""dx"":-119.5,""dy"":-220.5,""t"":14624},{""x"":1313,""y"":596,""dx"":-124.5,""dy"":-214.5,""t"":14658},{""x"":1307,""y"":608,""dx"":-130.5,""dy"":-202.5,""t"":14693},{""x"":1305,""y"":617,""dx"":-132.5,""dy"":-193.5,""t"":14726},{""x"":1319,""y"":615,""dx"":-118.5,""dy"":-195.5,""t"":14760},{""x"":1327,""y"":610,""dx"":-110.5,""dy"":-200.5,""t"":14794},{""x"":1341,""y"":597,""dx"":-96.5,""dy"":-213.5,""t"":14828},{""x"":1336,""y"":598,""dx"":-101.5,""dy"":-212.5,""t"":14862},{""x"":1326,""y"":596,""dx"":-111.5,""dy"":-214.5,""t"":14896},{""x"":1344,""y"":592,""dx"":-93.5,""dy"":-218.5,""t"":14929},{""x"":1355,""y"":589,""dx"":-82.5,""dy"":-221.5,""t"":14964},{""x"":1360,""y"":588,""dx"":-77.5,""dy"":-222.5,""t"":14998}]]","[100,91.52542372881356,59.32203389830508,83.33333333333334,3.4482758620689653]","[{""x"":27.093220338983052,""y"":14.008474576271187,""r"":27.19702655393539},{""x"":87.63559322033899,""y"":-20.652542372881356,""r"":105.62930525793114},{""x"":32.42372881355932,""y"":-186.9322033898305,""r"":45.033860030730786},{""x"":43.21666666666667,""y"":-150,""r"":93.89971847986313},{""x"":-110.75862068965517,""y"":-297.12068965517244,""r"":108.46300611571047}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
