"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","103","172222","0.0-4.0-1.0-2.14","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":621,""y"":715,""t"":3},{""x"":605,""y"":723,""t"":36},{""x"":637,""y"":693,""t"":78},{""x"":632,""y"":686,""t"":104},{""x"":650,""y"":701,""t"":142},{""x"":659,""y"":691,""t"":171},{""x"":692,""y"":673,""t"":223},{""x"":690,""y"":675,""t"":241},{""x"":727,""y"":658,""t"":285},{""x"":749,""y"":643,""t"":314},{""x"":747,""y"":659,""t"":344},{""x"":728,""y"":675,""t"":379},{""x"":838,""y"":732,""t"":425},{""x"":940,""y"":783,""t"":449},{""x"":1055,""y"":822,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","104","172727","0.0-4.0-1.0-3.14","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":1162,""y"":834,""t"":3},{""x"":1203,""y"":858,""t"":38},{""x"":1276,""y"":860,""t"":73},{""x"":1333,""y"":850,""t"":106},{""x"":1406,""y"":815,""t"":153},{""x"":1448,""y"":829,""t"":181},{""x"":1453,""y"":830,""t"":208},{""x"":1463,""y"":815,""t"":247},{""x"":1454,""y"":833,""t"":276},{""x"":1466,""y"":837,""t"":311},{""x"":1444,""y"":841,""t"":358},{""x"":1400,""y"":855,""t"":385},{""x"":1433,""y"":872,""t"":414},{""x"":1382,""y"":847,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","105","173232","0.0-4.0-1.0-4.14","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":1223,""y"":829,""t"":-20},{""x"":1087,""y"":814,""t"":3},{""x"":960,""y"":815,""t"":37},{""x"":831,""y"":795,""t"":75},{""x"":763,""y"":792,""t"":106},{""x"":712,""y"":747,""t"":150},{""x"":686,""y"":688,""t"":172},{""x"":653,""y"":668,""t"":217},{""x"":643,""y"":656,""t"":241},{""x"":649,""y"":606,""t"":281},{""x"":789,""y"":669,""t"":309},{""x"":897,""y"":730,""t"":343},{""x"":996,""y"":757,""t"":390},{""x"":1080,""y"":780,""t"":416},{""x"":1171,""y"":774,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","106","174786","0.0-4.0-1.0-5.14","541","6","","","","","","","","","","","","","","","","","","true","ring_1","6","0","1","trans",""
"","canvas-keyboard-response","107","175801","0.0-4.0-1.0-0.15","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","","","","","","","","","",""
"","canvas-keyboard-response","108","176311","0.0-4.0-1.0-1.15","null","null","","","[""ring_1"",""rect""]","","","","","","","","","","","","[{""x"":1154,""y"":787,""t"":3},{""x"":1126,""y"":808,""t"":38},{""x"":1123,""y"":799,""t"":79},{""x"":1112,""y"":778,""t"":106},{""x"":1099,""y"":758,""t"":142},{""x"":1067,""y"":719,""t"":174},{""x"":1040,""y"":700,""t"":212},{""x"":1010,""y"":665,""t"":242},{""x"":957,""y"":661,""t"":276},{""x"":891,""y"":636,""t"":314},{""x"":838,""y"":641,""t"":344},{""x"":799,""y"":656,""t"":379},{""x"":767,""y"":682,""t"":420},{""x"":736,""y"":694,""t"":448},{""x"":715,""y"":706,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","","","","","",""
"","canvas-keyboard-response","109","176819","0.0-4.0-1.0-2.15","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":681,""y"":699,""t"":3},{""x"":664,""y"":690,""t"":38},{""x"":660,""y"":684,""t"":75},{""x"":655,""y"":689,""t"":106},{""x"":645,""y"":685,""t"":153},{""x"":665,""y"":656,""t"":182},{""x"":684,""y"":632,""t"":207},{""x"":706,""y"":686,""t"":242},{""x"":704,""y"":665,""t"":278},{""x"":702,""y"":646,""t"":307},{""x"":712,""y"":625,""t"":358},{""x"":707,""y"":634,""t"":386},{""x"":706,""y"":655,""t"":413},{""x"":709,""y"":660,""t"":453},{""x"":694,""y"":702,""t"":481}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","110","177328","0.0-4.0-1.0-3.15","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":677,""y"":726,""t"":3},{""x"":690,""y"":739,""t"":38},{""x"":701,""y"":749,""t"":70},{""x"":714,""y"":754,""t"":106},{""x"":730,""y"":768,""t"":149},{""x"":733,""y"":771,""t"":178},{""x"":803,""y"":811,""t"":208},{""x"":925,""y"":851,""t"":245},{""x"":1042,""y"":849,""t"":275},{""x"":1121,""y"":834,""t"":309},{""x"":1148,""y"":830,""t"":357},{""x"":1192,""y"":836,""t"":384},{""x"":1218,""y"":846,""t"":411},{""x"":1235,""y"":850,""t"":451},{""x"":1250,""y"":839,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","111","177835","0.0-4.0-1.0-4.15","null","null","","","","","","","","","recall","","[""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":1299,""y"":845,""t"":3},{""x"":1336,""y"":836,""t"":37},{""x"":1362,""y"":827,""t"":84},{""x"":1400,""y"":775,""t"":113},{""x"":1391,""y"":777,""t"":142},{""x"":1389,""y"":792,""t"":173},{""x"":1374,""y"":804,""t"":211},{""x"":1359,""y"":809,""t"":241},{""x"":1354,""y"":830,""t"":284},{""x"":1372,""y"":803,""t"":309},{""x"":1367,""y"":755,""t"":349},{""x"":1382,""y"":759,""t"":377},{""x"":1338,""y"":750,""t"":415},{""x"":1213,""y"":750,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","112","179266","0.0-4.0-1.0-5.15","417","4","","","","","","","","","","","","","","","","","","true","ring_1","4","0","1","trans",""
