"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","159","256289","0.0-4.0-2.0-5.6","548","4","","","","","","","","","","","","","","","","","","true","green_2","4","0","1","trans",""
"","canvas-keyboard-response","160","257306","0.0-4.0-2.0-0.7","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","","","","","","","","","",""
"","canvas-keyboard-response","161","257814","0.0-4.0-2.0-1.7","null","null","","","[""red"",""green""]","","","","","","","","","","","","[{""x"":1232,""y"":512,""t"":3},{""x"":1133,""y"":500,""t"":38},{""x"":1085,""y"":493,""t"":78},{""x"":1130,""y"":475,""t"":105},{""x"":1053,""y"":461,""t"":140},{""x"":1012,""y"":474,""t"":174},{""x"":997,""y"":484,""t"":218},{""x"":983,""y"":464,""t"":247},{""x"":930,""y"":462,""t"":276},{""x"":878,""y"":475,""t"":313},{""x"":826,""y"":469,""t"":344},{""x"":856,""y"":476,""t"":377},{""x"":801,""y"":495,""t"":425},{""x"":776,""y"":487,""t"":453},{""x"":728,""y"":477,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","","","","","",""
"","canvas-keyboard-response","162","258321","0.0-4.0-2.0-2.7","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","[{""x"":735,""y"":475,""t"":3},{""x"":686,""y"":445,""t"":38},{""x"":701,""y"":428,""t"":73},{""x"":688,""y"":404,""t"":121},{""x"":680,""y"":380,""t"":140},{""x"":611,""y"":389,""t"":184},{""x"":631,""y"":387,""t"":212},{""x"":640,""y"":425,""t"":242},{""x"":641,""y"":427,""t"":279},{""x"":658,""y"":448,""t"":310},{""x"":639,""y"":478,""t"":353},{""x"":661,""y"":499,""t"":379},{""x"":681,""y"":504,""t"":412},{""x"":698,""y"":514,""t"":453},{""x"":755,""y"":530,""t"":482}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","163","258830","0.0-4.0-2.0-3.7","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","[{""x"":841,""y"":528,""t"":3},{""x"":922,""y"":534,""t"":39},{""x"":988,""y"":539,""t"":72},{""x"":1066,""y"":530,""t"":118},{""x"":1115,""y"":547,""t"":148},{""x"":1138,""y"":539,""t"":173},{""x"":1148,""y"":529,""t"":213},{""x"":1203,""y"":516,""t"":243},{""x"":1243,""y"":524,""t"":277},{""x"":1304,""y"":545,""t"":310},{""x"":1309,""y"":546,""t"":355},{""x"":1309,""y"":547,""t"":382},{""x"":1266,""y"":519,""t"":412},{""x"":1303,""y"":508,""t"":449},{""x"":1274,""y"":522,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","164","259340","0.0-4.0-2.0-4.7","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","[{""x"":1255,""y"":531,""t"":3},{""x"":1265,""y"":511,""t"":37},{""x"":1288,""y"":552,""t"":74},{""x"":1267,""y"":536,""t"":104},{""x"":1247,""y"":510,""t"":145},{""x"":1203,""y"":493,""t"":174},{""x"":1230,""y"":469,""t"":209},{""x"":1236,""y"":473,""t"":250},{""x"":1241,""y"":478,""t"":277},{""x"":1226,""y"":456,""t"":309},{""x"":1238,""y"":479,""t"":346},{""x"":1234,""y"":494,""t"":378},{""x"":1179,""y"":465,""t"":415},{""x"":1170,""y"":463,""t"":446}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","165","260842","0.0-4.0-2.0-5.7","493","6","","","","","","","","","","","","","","","","","","true","green_1","6","0","1","trans",""
"","canvas-keyboard-response","166","261849","0.0-4.0-2.0-0.8","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","","","","","","","","","",""
"","canvas-keyboard-response","167","262357","0.0-4.0-2.0-1.8","null","null","","","[""green"",""blue""]","","","","","","","","","","","","[{""x"":1122,""y"":470,""t"":3},{""x"":1137,""y"":447,""t"":38},{""x"":1059,""y"":434,""t"":79},{""x"":1021,""y"":460,""t"":108},{""x"":999,""y"":469,""t"":140},{""x"":916,""y"":420,""t"":189},{""x"":905,""y"":443,""t"":219},{""x"":899,""y"":460,""t"":247},{""x"":879,""y"":442,""t"":277},{""x"":874,""y"":457,""t"":314},{""x"":833,""y"":493,""t"":344},{""x"":820,""y"":469,""t"":378},{""x"":836,""y"":472,""t"":425},{""x"":788,""y"":449,""t"":454},{""x"":718,""y"":455,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","","","","","",""
"","canvas-keyboard-response","168","262864","0.0-4.0-2.0-2.8","null","null","","","","","","","","","recall","","[""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6""]","1000","color","2","[{""x"":710,""y"":467,""t"":3},{""x"":705,""y"":464,""t"":38},{""x"":739,""y"":481,""t"":75},{""x"":703,""y"":455,""t"":107},{""x"":645,""y"":441,""t"":147},{""x"":632,""y"":438,""t"":172},{""x"":700,""y"":450,""t"":211},{""x"":795,""y"":467,""t"":240},{""x"":887,""y"":446,""t"":280},{""x"":966,""y"":472,""t"":310},{""x"":1011,""y"":452,""t"":344},{""x"":1051,""y"":453,""t"":387},{""x"":1099,""y"":478,""t"":414},{""x"":1138,""y"":470,""t"":446},{""x"":1192,""y"":502,""t"":483}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
