"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"","canvas-keyboard-response","55","115561","0.0-4.0-1.0-5.6","908","6","","","","","","","","","","","","","","","","","","true","ring_1","6","0","1","zoom",""
"","canvas-keyboard-response","56","116566","0.0-4.0-1.0-0.7","null","null","","","","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","","","","","","","","","",""
"","canvas-keyboard-response","57","117073","0.0-4.0-1.0-1.7","null","null","","","[""ring_2"",""triangle""]","","","","","","","","","","","","[{""x"":808,""y"":477,""t"":3},{""x"":742,""y"":527,""t"":38},{""x"":750,""y"":630,""t"":72},{""x"":724,""y"":705,""t"":106},{""x"":707,""y"":781,""t"":140},{""x"":692,""y"":831,""t"":174},{""x"":687,""y"":840,""t"":208},{""x"":690,""y"":853,""t"":242},{""x"":693,""y"":879,""t"":276},{""x"":694,""y"":926,""t"":309},{""x"":704,""y"":947,""t"":345},{""x"":690,""y"":919,""t"":377},{""x"":718,""y"":933,""t"":411},{""x"":736,""y"":924,""t"":445},{""x"":769,""y"":939,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":124,""height"":124,""top"":363,""right"":912,""bottom"":487,""left"":788}]","","","","","","",""
"","canvas-keyboard-response","58","117579","0.0-4.0-1.0-2.7","null","null","","","","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":780,""y"":942,""t"":3},{""x"":792,""y"":934,""t"":38},{""x"":800,""y"":915,""t"":73},{""x"":790,""y"":902,""t"":106},{""x"":803,""y"":873,""t"":140},{""x"":800,""y"":832,""t"":173},{""x"":824,""y"":836,""t"":208},{""x"":807,""y"":829,""t"":243},{""x"":806,""y"":810,""t"":276},{""x"":788,""y"":794,""t"":311},{""x"":795,""y"":776,""t"":344},{""x"":799,""y"":735,""t"":378},{""x"":801,""y"":720,""t"":412},{""x"":793,""y"":730,""t"":447},{""x"":781,""y"":747,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","59","118086","0.0-4.0-1.0-3.7","null","null","","","","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":769,""y"":763,""t"":3},{""x"":779,""y"":791,""t"":37},{""x"":765,""y"":799,""t"":72},{""x"":750,""y"":804,""t"":106},{""x"":743,""y"":811,""t"":139},{""x"":754,""y"":809,""t"":174},{""x"":740,""y"":773,""t"":208},{""x"":729,""y"":753,""t"":243},{""x"":709,""y"":746,""t"":276},{""x"":698,""y"":764,""t"":310},{""x"":702,""y"":770,""t"":344},{""x"":692,""y"":744,""t"":378},{""x"":693,""y"":758,""t"":412},{""x"":684,""y"":748,""t"":446},{""x"":669,""y"":749,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","60","118591","0.0-4.0-1.0-4.7","null","null","","","","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","[{""x"":655,""y"":743,""t"":1},{""x"":653,""y"":748,""t"":37},{""x"":663,""y"":752,""t"":73},{""x"":660,""y"":728,""t"":107},{""x"":663,""y"":712,""t"":140},{""x"":650,""y"":698,""t"":173},{""x"":641,""y"":684,""t"":208},{""x"":639,""y"":674,""t"":242},{""x"":624,""y"":678,""t"":275},{""x"":634,""y"":705,""t"":311},{""x"":638,""y"":688,""t"":344},{""x"":640,""y"":678,""t"":375},{""x"":654,""y"":668,""t"":412},{""x"":652,""y"":634,""t"":446},{""x"":646,""y"":618,""t"":479}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","","","","","","","",""
"","canvas-keyboard-response","61","121770","0.0-4.0-1.0-5.7","2173","5","","","","","","","","","","","","","","","","","","false","triangle","6","1","0","trans",""
"","html-keyboard-response","62","122771","0.0-4.0-1.0-6.7-0.7-0.7","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","","","","","","","","","",""
"","canvas-keyboard-response","63","123778","0.0-4.0-1.0-0.8","null","null","","","","","","","","","recall","","[""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4""]","1000","shape","2","","","","","","","","","",""
"","canvas-keyboard-response","64","124283","0.0-4.0-1.0-1.8","null","null","","","[""triangle"",""rect_1""]","","","","","","","","","","","","[{""x"":617,""y"":669,""t"":3},{""x"":632,""y"":670,""t"":38},{""x"":622,""y"":668,""t"":73},{""x"":638,""y"":690,""t"":105},{""x"":645,""y"":691,""t"":141},{""x"":646,""y"":644,""t"":174},{""x"":643,""y"":596,""t"":208},{""x"":668,""y"":607,""t"":242},{""x"":676,""y"":608,""t"":277},{""x"":693,""y"":602,""t"":310},{""x"":715,""y"":608,""t"":343},{""x"":707,""y"":588,""t"":378},{""x"":717,""y"":600,""t"":412},{""x"":727,""y"":613,""t"":447},{""x"":738,""y"":611,""t"":480}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{""x"":250,""y"":425,""width"":124,""height"":124,""top"":363,""right"":312,""bottom"":487,""left"":188},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","","","","","",""
