"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","60","130213","0.0-5.0-1.0-2.16","","","","","490","4","","","","","","","","","","","","","","","","","true","triangle","4"
"","canvas-keyboard-response","61","131232","0.0-5.0-1.0-0.17","","","","","null","null","","","","","","","","","recall","[""6"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6"",""6"",""4"",""5"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""6"",""5""]","1000","shape","2","","","","","",""
"","canvas-keyboard-response","62","133250","0.0-5.0-1.0-1.17","","","","","null","null","","","[""rect"",""circle""]","","","","","","","","","","","[{""x"":691,""y"":688,""t"":1},{""x"":781,""y"":687,""t"":39},{""x"":799,""y"":727,""t"":74},{""x"":811,""y"":747,""t"":107},{""x"":869,""y"":773,""t"":139},{""x"":879,""y"":758,""t"":179},{""x"":881,""y"":768,""t"":211},{""x"":884,""y"":782,""t"":243},{""x"":874,""y"":776,""t"":274},{""x"":848,""y"":773,""t"":322},{""x"":824,""y"":767,""t"":343},{""x"":819,""y"":761,""t"":380},{""x"":797,""y"":737,""t"":409},{""x"":766,""y"":737,""t"":458},{""x"":721,""y"":723,""t"":485},{""x"":699,""y"":704,""t"":514},{""x"":679,""y"":688,""t"":547},{""x"":666,""y"":678,""t"":594},{""x"":657,""y"":670,""t"":614},{""x"":645,""y"":680,""t"":649},{""x"":621,""y"":681,""t"":687},{""x"":638,""y"":674,""t"":722},{""x"":624,""y"":681,""t"":756},{""x"":599,""y"":682,""t"":785},{""x"":630,""y"":705,""t"":818},{""x"":624,""y"":699,""t"":865},{""x"":641,""y"":706,""t"":893},{""x"":657,""y"":710,""t"":922},{""x"":670,""y"":717,""t"":954},{""x"":669,""y"":700,""t"":1005},{""x"":673,""y"":692,""t"":1029},{""x"":677,""y"":685,""t"":1055},{""x"":663,""y"":669,""t"":1103},{""x"":657,""y"":670,""t"":1128},{""x"":669,""y"":687,""t"":1162},{""x"":679,""y"":701,""t"":1193},{""x"":698,""y"":711,""t"":1226},{""x"":691,""y"":730,""t"":1271},{""x"":684,""y"":746,""t"":1296},{""x"":685,""y"":748,""t"":1330},{""x"":688,""y"":736,""t"":1362},{""x"":666,""y"":744,""t"":1405},{""x"":680,""y"":751,""t"":1432},{""x"":703,""y"":746,""t"":1466},{""x"":693,""y"":740,""t"":1498},{""x"":686,""y"":726,""t"":1544},{""x"":725,""y"":752,""t"":1570},{""x"":718,""y"":732,""t"":1600},{""x"":704,""y"":718,""t"":1644},{""x"":683,""y"":705,""t"":1670},{""x"":681,""y"":693,""t"":1709},{""x"":666,""y"":698,""t"":1737},{""x"":711,""y"":685,""t"":1770},{""x"":797,""y"":686,""t"":1819},{""x"":871,""y"":688,""t"":1839},{""x"":933,""y"":696,""t"":1875},{""x"":977,""y"":711,""t"":1906},{""x"":1002,""y"":725,""t"":1953},{""x"":1023,""y"":734,""t"":1980}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","63","134744","0.0-5.0-1.0-2.17","","","","","477","6","","","","","","","","","","","","","","","","","true","circle","6"
"","canvas-keyboard-response","64","135775","0.0-5.0-2.0-0.0","","","","","null","null","","","","","","","","","recall","[""6"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6"",""6"",""4"",""5"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""6"",""5""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","65","137780","0.0-5.0-2.0-1.0","","","","","null","null","","","[""green"",""red""]","","","","","","","","","","","[{""x"":1020,""y"":766,""t"":2},{""x"":989,""y"":781,""t"":39},{""x"":1009,""y"":779,""t"":73},{""x"":947,""y"":781,""t"":107},{""x"":927,""y"":777,""t"":137},{""x"":898,""y"":793,""t"":181},{""x"":846,""y"":784,""t"":207},{""x"":826,""y"":785,""t"":243},{""x"":841,""y"":772,""t"":274},{""x"":822,""y"":764,""t"":327},{""x"":823,""y"":746,""t"":341},{""x"":819,""y"":739,""t"":380},{""x"":798,""y"":734,""t"":409},{""x"":787,""y"":720,""t"":451},{""x"":758,""y"":715,""t"":478},{""x"":720,""y"":694,""t"":519},{""x"":692,""y"":717,""t"":546},{""x"":669,""y"":721,""t"":594},{""x"":649,""y"":711,""t"":613},{""x"":621,""y"":680,""t"":658},{""x"":632,""y"":684,""t"":682},{""x"":639,""y"":676,""t"":731},{""x"":639,""y"":682,""t"":756},{""x"":660,""y"":680,""t"":786},{""x"":672,""y"":680,""t"":818},{""x"":689,""y"":695,""t"":863},{""x"":678,""y"":706,""t"":892},{""x"":675,""y"":695,""t"":921},{""x"":661,""y"":688,""t"":954},{""x"":659,""y"":691,""t"":999},{""x"":659,""y"":691,""t"":1024},{""x"":638,""y"":696,""t"":1057},{""x"":658,""y"":715,""t"":1090},{""x"":700,""y"":720,""t"":1137},{""x"":805,""y"":716,""t"":1160},{""x"":871,""y"":721,""t"":1196},{""x"":951,""y"":730,""t"":1227},{""x"":973,""y"":696,""t"":1274},{""x"":1002,""y"":667,""t"":1299},{""x"":1043,""y"":688,""t"":1330},{""x"":1031,""y"":680,""t"":1361},{""x"":1072,""y"":709,""t"":1409},{""x"":1062,""y"":691,""t"":1433},{""x"":1017,""y"":705,""t"":1466},{""x"":1017,""y"":721,""t"":1498},{""x"":999,""y"":706,""t"":1541},{""x"":1003,""y"":703,""t"":1570},{""x"":1006,""y"":723,""t"":1600},{""x"":1017,""y"":715,""t"":1640},{""x"":1011,""y"":711,""t"":1668},{""x"":1029,""y"":708,""t"":1709},{""x"":1030,""y"":707,""t"":1737},{""x"":1048,""y"":714,""t"":1770},{""x"":1002,""y"":721,""t"":1820},{""x"":996,""y"":725,""t"":1845},{""x"":976,""y"":708,""t"":1875},{""x"":976,""y"":717,""t"":1906},{""x"":979,""y"":706,""t"":1961},{""x"":982,""y"":693,""t"":1977}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","66","139230","0.0-5.0-2.0-2.0","","","","","434","4","","","","","","","","","","","","","","","","","true","green","4"
"","canvas-keyboard-response","67","140252","0.0-5.0-2.0-0.1","","","","","null","null","","","","","","","","","recall","[""6"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6"",""6"",""4"",""5"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""6"",""6"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""6"",""5""]","1000","color","2","","","","","",""
"","canvas-keyboard-response","68","142265","0.0-5.0-2.0-1.1","","","","","null","null","","","[""red"",""blue""]","","","","","","","","","","","[{""x"":945,""y"":768,""t"":2},{""x"":878,""y"":818,""t"":43},{""x"":822,""y"":871,""t"":70},{""x"":809,""y"":931,""t"":109},{""x"":752,""y"":979,""t"":140},{""x"":731,""y"":1004,""t"":172},{""x"":761,""y"":1065,""t"":221},{""x"":742,""y"":1063,""t"":246},{""x"":735,""y"":1056,""t"":276},{""x"":732,""y"":1021,""t"":310},{""x"":708,""y"":967,""t"":349},{""x"":705,""y"":916,""t"":376},{""x"":731,""y"":867,""t"":417},{""x"":747,""y"":839,""t"":443},{""x"":736,""y"":814,""t"":490},{""x"":725,""y"":770,""t"":518},{""x"":725,""y"":750,""t"":549},{""x"":705,""y"":742,""t"":581},{""x"":689,""y"":743,""t"":621},{""x"":670,""y"":733,""t"":653},{""x"":670,""y"":728,""t"":681},{""x"":685,""y"":722,""t"":727},{""x"":655,""y"":715,""t"":753},{""x"":671,""y"":709,""t"":789},{""x"":635,""y"":692,""t"":821},{""x"":618,""y"":694,""t"":853},{""x"":664,""y"":708,""t"":892},{""x"":655,""y"":693,""t"":926},{""x"":655,""y"":677,""t"":955},{""x"":703,""y"":685,""t"":988},{""x"":714,""y"":676,""t"":1033},{""x"":716,""y"":686,""t"":1063},{""x"":717,""y"":695,""t"":1093},{""x"":720,""y"":695,""t"":1124},{""x"":697,""y"":710,""t"":1170},{""x"":673,""y"":715,""t"":1195},{""x"":658,""y"":687,""t"":1229},{""x"":681,""y"":694,""t"":1260},{""x"":688,""y"":678,""t"":1310},{""x"":692,""y"":663,""t"":1330},{""x"":729,""y"":678,""t"":1373},{""x"":732,""y"":680,""t"":1399},{""x"":723,""y"":656,""t"":1438},{""x"":721,""y"":651,""t"":1467},{""x"":727,""y"":652,""t"":1501},{""x"":731,""y"":654,""t"":1532},{""x"":721,""y"":646,""t"":1577},{""x"":716,""y"":644,""t"":1602},{""x"":731,""y"":690,""t"":1636},{""x"":720,""y"":695,""t"":1669},{""x"":728,""y"":693,""t"":1715},{""x"":732,""y"":695,""t"":1740},{""x"":800,""y"":694,""t"":1773},{""x"":860,""y"":676,""t"":1805},{""x"":878,""y"":685,""t"":1845},{""x"":926,""y"":666,""t"":1878},{""x"":975,""y"":679,""t"":1906},{""x"":986,""y"":687,""t"":1941},{""x"":996,""y"":698,""t"":1982}]","{""#container"":{""x"":303.66668701171875,""y"":69.39583587646484,""width"":1100,""height"":850,""top"":69.39583587646484,""right"":1403.6666870117188,""bottom"":919.3958358764648,""left"":303.66668701171875}}","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","","",""
"","canvas-keyboard-response","69","143746","0.0-5.0-2.0-2.1","","","","","471","4","","","","","","","","","","","","","","","","","true","red","4"
