"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","webgazer_data","webgazer_targets","size","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","75","190151","0.0-5.0-5.0-1.1","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","76","191638","0.0-5.0-5.0-2.1","","","","","463","5","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":997,""y"":603,""t"":5},{""x"":944,""y"":595,""t"":38},{""x"":924,""y"":611,""t"":72},{""x"":910,""y"":581,""t"":107},{""x"":920,""y"":578,""t"":139},{""x"":918,""y"":544,""t"":182},{""x"":939,""y"":567,""t"":212},{""x"":929,""y"":564,""t"":241},{""x"":856,""y"":594,""t"":278},{""x"":798,""y"":579,""t"":310},{""x"":742,""y"":583,""t"":357},{""x"":672,""y"":590,""t"":383},{""x"":682,""y"":609,""t"":412}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","red","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","77","192658","0.0-5.0-5.0-0.2","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","78","192768","0.0-5.0-5.0-1.2","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","79","194174","0.0-5.0-5.0-2.2","","","","","398","4","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":810,""y"":572,""t"":4},{""x"":797,""y"":601,""t"":46},{""x"":803,""y"":594,""t"":74},{""x"":801,""y"":631,""t"":106},{""x"":858,""y"":650,""t"":146},{""x"":907,""y"":665,""t"":171},{""x"":921,""y"":654,""t"":210},{""x"":905,""y"":687,""t"":240},{""x"":889,""y"":664,""t"":278},{""x"":816,""y"":667,""t"":310},{""x"":773,""y"":636,""t"":355}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","red","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","80","195196","0.0-5.0-5.0-0.3","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","81","195304","0.0-5.0-5.0-1.3","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","82","196766","0.0-5.0-5.0-2.3","","","","","452","4","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":735,""y"":651,""t"":3},{""x"":772,""y"":676,""t"":38},{""x"":839,""y"":685,""t"":72},{""x"":855,""y"":690,""t"":118},{""x"":932,""y"":655,""t"":147},{""x"":941,""y"":650,""t"":176},{""x"":961,""y"":660,""t"":208},{""x"":932,""y"":640,""t"":244},{""x"":921,""y"":658,""t"":277},{""x"":846,""y"":635,""t"":322},{""x"":744,""y"":669,""t"":350},{""x"":716,""y"":652,""t"":378},{""x"":655,""y"":652,""t"":417}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","blue","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","83","197780","0.0-5.0-5.0-0.4","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","84","197887","0.0-5.0-5.0-1.4","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
