"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1585","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1590","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3345","0.0-2.0-0.0","","","","","1754","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","4641","0.0-2.0-1.0","","","","","1295","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","5449","0.0-3.0","","","","","806"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","10031","0.0-4.0","","","","","","","","","2122","","","","","","","","","","","","","","","",""
"","html-button-response","6","10921","0.0-5.0-0.0","","","","","888","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","21748","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","22521","0.0-5.0-2.0","","","","","773","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","40209","0.0-5.0-3.0","","","","","","","","","","[[{""x"":435,""y"":339,""dx"":-56,""dy"":58,""t"":990},{""x"":459,""y"":337,""dx"":-32,""dy"":56,""t"":1024},{""x"":487,""y"":331,""dx"":-4,""dy"":50,""t"":1059},{""x"":473,""y"":324,""dx"":-18,""dy"":43,""t"":1091},{""x"":464,""y"":332,""dx"":-27,""dy"":51,""t"":1126},{""x"":472,""y"":350,""dx"":-19,""dy"":69,""t"":1159},{""x"":488,""y"":369,""dx"":-3,""dy"":88,""t"":1193},{""x"":506,""y"":377,""dx"":15,""dy"":96,""t"":1227},{""x"":536,""y"":422,""dx"":45,""dy"":141,""t"":1261},{""x"":562,""y"":461,""dx"":71,""dy"":180,""t"":1293},{""x"":582,""y"":442,""dx"":91,""dy"":161,""t"":1330},{""x"":557,""y"":457,""dx"":66,""dy"":176,""t"":1363},{""x"":545,""y"":444,""dx"":54,""dy"":163,""t"":1398},{""x"":571,""y"":438,""dx"":80,""dy"":157,""t"":1432},{""x"":568,""y"":430,""dx"":77,""dy"":149,""t"":1465},{""x"":570,""y"":415,""dx"":79,""dy"":134,""t"":1500},{""x"":523,""y"":396,""dx"":32,""dy"":115,""t"":1534},{""x"":508,""y"":399,""dx"":17,""dy"":118,""t"":1568},{""x"":514,""y"":434,""dx"":23,""dy"":153,""t"":1602},{""x"":493,""y"":442,""dx"":2,""dy"":161,""t"":1635},{""x"":490,""y"":450,""dx"":-1,""dy"":169,""t"":1670},{""x"":506,""y"":475,""dx"":15,""dy"":194,""t"":1704},{""x"":493,""y"":394,""dx"":2,""dy"":113,""t"":1737},{""x"":466,""y"":396,""dx"":-25,""dy"":115,""t"":1771},{""x"":469,""y"":410,""dx"":-22,""dy"":129,""t"":1806},{""x"":472,""y"":420,""dx"":-19,""dy"":139,""t"":1840},{""x"":468,""y"":404,""dx"":-23,""dy"":123,""t"":1874},{""x"":471,""y"":379,""dx"":-20,""dy"":98,""t"":1908},{""x"":468,""y"":389,""dx"":-23,""dy"":108,""t"":1942},{""x"":482,""y"":397,""dx"":-9,""dy"":116,""t"":1975},{""x"":482,""y"":384,""dx"":-9,""dy"":103,""t"":2010},{""x"":486,""y"":318,""dx"":-5,""dy"":37,""t"":2044},{""x"":490,""y"":352,""dx"":-1,""dy"":71,""t"":2078},{""x"":499,""y"":322,""dx"":8,""dy"":41,""t"":2112},{""x"":495,""y"":335,""dx"":4,""dy"":54,""t"":2146},{""x"":490,""y"":340,""dx"":-1,""dy"":59,""t"":2180},{""x"":499,""y"":395,""dx"":8,""dy"":114,""t"":2213},{""x"":496,""y"":368,""dx"":5,""dy"":87,""t"":2248},{""x"":494,""y"":399,""dx"":3,""dy"":118,""t"":2282},{""x"":478,""y"":357,""dx"":-13,""dy"":76,""t"":2316},{""x"":493,""y"":374,""dx"":2,""dy"":93,""t"":2350},{""x"":488,""y"":393,""dx"":-3,""dy"":112,""t"":2384},{""x"":485,""y"":423,""dx"":-6,""dy"":142,""t"":2419},{""x"":492,""y"":410,""dx"":1,""dy"":129,""t"":2452},{""x"":497,""y"":399,""dx"":6,""dy"":118,""t"":2484},{""x"":509,""y"":407,""dx"":18,""dy"":126,""t"":2519},{""x"":495,""y"":449,""dx"":4,""dy"":168,""t"":2554},{""x"":501,""y"":447,""dx"":10,""dy"":166,""t"":2588},{""x"":500,""y"":474,""dx"":9,""dy"":193,""t"":2622},{""x"":482,""y"":473,""dx"":-9,""dy"":192,""t"":2656},{""x"":515,""y"":446,""dx"":24,""dy"":165,""t"":2691},{""x"":493,""y"":436,""dx"":2,""dy"":155,""t"":2723},{""x"":481,""y"":435,""dx"":-10,""dy"":154,""t"":2759},{""x"":462,""y"":425,""dx"":-29,""dy"":144,""t"":2792},{""x"":458,""y"":444,""dx"":-33,""dy"":163,""t"":2826},{""x"":430,""y"":415,""dx"":-61,""dy"":134,""t"":2859},{""x"":413,""y"":393,""dx"":-78,""dy"":112,""t"":2891},{""x"":406,""y"":393,""dx"":-85,""dy"":112,""t"":2927},{""x"":390,""y"":399,""dx"":-101,""dy"":118,""t"":2963}],[{""x"":1465,""y"":308,""dx"":14,""dy"":27,""t"":4015},{""x"":1447,""y"":327,""dx"":-4,""dy"":46,""t"":4050},{""x"":1432,""y"":344,""dx"":-19,""dy"":63,""t"":4082},{""x"":1429,""y"":356,""dx"":-22,""dy"":75,""t"":4118},{""x"":1443,""y"":333,""dx"":-8,""dy"":52,""t"":4152},{""x"":1440,""y"":330,""dx"":-11,""dy"":49,""t"":4186},{""x"":1441,""y"":369,""dx"":-10,""dy"":88,""t"":4219},{""x"":1445,""y"":364,""dx"":-6,""dy"":83,""t"":4254},{""x"":1432,""y"":375,""dx"":-19,""dy"":94,""t"":4287},{""x"":1425,""y"":402,""dx"":-26,""dy"":121,""t"":4322},{""x"":1446,""y"":405,""dx"":-5,""dy"":124,""t"":4356},{""x"":1450,""y"":390,""dx"":-1,""dy"":109,""t"":4390},{""x"":1490,""y"":381,""dx"":39,""dy"":100,""t"":4423},{""x"":1506,""y"":379,""dx"":55,""dy"":98,""t"":4455},{""x"":1476,""y"":391,""dx"":25,""dy"":110,""t"":4492},{""x"":1491,""y"":391,""dx"":40,""dy"":110,""t"":4526},{""x"":1483,""y"":397,""dx"":32,""dy"":116,""t"":4560},{""x"":1473,""y"":389,""dx"":22,""dy"":108,""t"":4595},{""x"":1475,""y"":397,""dx"":24,""dy"":116,""t"":4628},{""x"":1473,""y"":389,""dx"":22,""dy"":108,""t"":4661},{""x"":1486,""y"":371,""dx"":35,""dy"":90,""t"":4695},{""x"":1462,""y"":387,""dx"":11,""dy"":106,""t"":4730},{""x"":1440,""y"":294,""dx"":-11,""dy"":13,""t"":4765},{""x"":1436,""y"":284,""dx"":-15,""dy"":3,""t"":4798},{""x"":1429,""y"":303,""dx"":-22,""dy"":22,""t"":4832},{""x"":1437,""y"":302,""dx"":-14,""dy"":21,""t"":4866},{""x"":1417,""y"":335,""dx"":-34,""dy"":54,""t"":4900},{""x"":1457,""y"":348,""dx"":6,""dy"":67,""t"":4934},{""x"":1462,""y"":364,""dx"":11,""dy"":83,""t"":4967},{""x"":1460,""y"":360,""dx"":9,""dy"":79,""t"":5001},{""x"":1467,""y"":385,""dx"":16,""dy"":104,""t"":5036},{""x"":1495,""y"":402,""dx"":44,""dy"":121,""t"":5070},{""x"":1502,""y"":376,""dx"":51,""dy"":95,""t"":5103},{""x"":1501,""y"":292,""dx"":50,""dy"":11,""t"":5138},{""x"":1497,""y"":312,""dx"":46,""dy"":31,""t"":5172},{""x"":1509,""y"":322,""dx"":58,""dy"":41,""t"":5205},{""x"":1519,""y"":335,""dx"":68,""dy"":54,""t"":5240},{""x"":1505,""y"":304,""dx"":54,""dy"":23,""t"":5273},{""x"":1524,""y"":345,""dx"":73,""dy"":64,""t"":5308},{""x"":1505,""y"":366,""dx"":54,""dy"":85,""t"":5342},{""x"":1495,""y"":361,""dx"":44,""dy"":80,""t"":5377},{""x"":1481,""y"":386,""dx"":30,""dy"":105,""t"":5409},{""x"":1488,""y"":403,""dx"":37,""dy"":122,""t"":5444},{""x"":1482,""y"":406,""dx"":31,""dy"":125,""t"":5478},{""x"":1481,""y"":401,""dx"":30,""dy"":120,""t"":5513},{""x"":1490,""y"":397,""dx"":39,""dy"":116,""t"":5545},{""x"":1471,""y"":393,""dx"":20,""dy"":112,""t"":5580},{""x"":1479,""y"":407,""dx"":28,""dy"":126,""t"":5614},{""x"":1490,""y"":329,""dx"":39,""dy"":48,""t"":5649},{""x"":1495,""y"":340,""dx"":44,""dy"":59,""t"":5682},{""x"":1488,""y"":362,""dx"":37,""dy"":81,""t"":5716},{""x"":1491,""y"":369,""dx"":40,""dy"":88,""t"":5750},{""x"":1499,""y"":426,""dx"":48,""dy"":145,""t"":5784},{""x"":1488,""y"":356,""dx"":37,""dy"":75,""t"":5818},{""x"":1489,""y"":354,""dx"":38,""dy"":73,""t"":5851},{""x"":1461,""y"":283,""dx"":10,""dy"":2,""t"":5886},{""x"":1469,""y"":239,""dx"":18,""dy"":-42,""t"":5921},{""x"":1466,""y"":212,""dx"":15,""dy"":-69,""t"":5954},{""x"":1499,""y"":236,""dx"":48,""dy"":-45,""t"":5988}],[{""x"":974,""y"":544,""dx"":3,""dy"":-7,""t"":7008},{""x"":958,""y"":538,""dx"":-13,""dy"":-13,""t"":7042},{""x"":943,""y"":558,""dx"":-28,""dy"":7,""t"":7076},{""x"":919,""y"":554,""dx"":-52,""dy"":3,""t"":7110},{""x"":942,""y"":548,""dx"":-29,""dy"":-3,""t"":7145},{""x"":930,""y"":554,""dx"":-41,""dy"":3,""t"":7178},{""x"":914,""y"":554,""dx"":-57,""dy"":3,""t"":7212},{""x"":918,""y"":559,""dx"":-53,""dy"":8,""t"":7245},{""x"":919,""y"":566,""dx"":-52,""dy"":15,""t"":7280},{""x"":925,""y"":566,""dx"":-46,""dy"":15,""t"":7313},{""x"":907,""y"":576,""dx"":-64,""dy"":25,""t"":7347},{""x"":898,""y"":587,""dx"":-73,""dy"":36,""t"":7382},{""x"":922,""y"":590,""dx"":-49,""dy"":39,""t"":7416},{""x"":926,""y"":597,""dx"":-45,""dy"":46,""t"":7449},{""x"":921,""y"":602,""dx"":-50,""dy"":51,""t"":7484},{""x"":943,""y"":592,""dx"":-28,""dy"":41,""t"":7519},{""x"":944,""y"":601,""dx"":-27,""dy"":50,""t"":7551},{""x"":975,""y"":594,""dx"":4,""dy"":43,""t"":7586},{""x"":994,""y"":603,""dx"":23,""dy"":52,""t"":7619},{""x"":1005,""y"":604,""dx"":34,""dy"":53,""t"":7652},{""x"":983,""y"":569,""dx"":12,""dy"":18,""t"":7688},{""x"":986,""y"":524,""dx"":15,""dy"":-27,""t"":7722},{""x"":976,""y"":522,""dx"":5,""dy"":-29,""t"":7757},{""x"":988,""y"":545,""dx"":17,""dy"":-6,""t"":7790},{""x"":979,""y"":540,""dx"":8,""dy"":-11,""t"":7823},{""x"":995,""y"":530,""dx"":24,""dy"":-21,""t"":7858},{""x"":999,""y"":543,""dx"":28,""dy"":-8,""t"":7892},{""x"":1051,""y"":551,""dx"":80,""dy"":0,""t"":7926},{""x"":1038,""y"":545,""dx"":67,""dy"":-6,""t"":7959},{""x"":1011,""y"":543,""dx"":40,""dy"":-8,""t"":7994},{""x"":987,""y"":542,""dx"":16,""dy"":-9,""t"":8025},{""x"":1056,""y"":549,""dx"":85,""dy"":-2,""t"":8062},{""x"":1035,""y"":557,""dx"":64,""dy"":6,""t"":8096},{""x"":990,""y"":563,""dx"":19,""dy"":12,""t"":8129},{""x"":983,""y"":545,""dx"":12,""dy"":-6,""t"":8164},{""x"":962,""y"":557,""dx"":-9,""dy"":6,""t"":8198},{""x"":962,""y"":559,""dx"":-9,""dy"":8,""t"":8232},{""x"":940,""y"":569,""dx"":-31,""dy"":18,""t"":8265},{""x"":942,""y"":565,""dx"":-29,""dy"":14,""t"":8300},{""x"":995,""y"":588,""dx"":24,""dy"":37,""t"":8335},{""x"":1052,""y"":598,""dx"":81,""dy"":47,""t"":8368},{""x"":1025,""y"":590,""dx"":54,""dy"":39,""t"":8402},{""x"":1072,""y"":574,""dx"":101,""dy"":23,""t"":8436},{""x"":1114,""y"":571,""dx"":143,""dy"":20,""t"":8470},{""x"":1118,""y"":560,""dx"":147,""dy"":9,""t"":8504},{""x"":1113,""y"":563,""dx"":142,""dy"":12,""t"":8538},{""x"":1090,""y"":561,""dx"":119,""dy"":10,""t"":8571},{""x"":1116,""y"":543,""dx"":145,""dy"":-8,""t"":8606},{""x"":1074,""y"":542,""dx"":103,""dy"":-9,""t"":8640},{""x"":1014,""y"":541,""dx"":43,""dy"":-10,""t"":8674},{""x"":999,""y"":539,""dx"":28,""dy"":-12,""t"":8708},{""x"":1034,""y"":545,""dx"":63,""dy"":-6,""t"":8742},{""x"":1021,""y"":557,""dx"":50,""dy"":6,""t"":8776},{""x"":1011,""y"":569,""dx"":40,""dy"":18,""t"":8810},{""x"":989,""y"":572,""dx"":18,""dy"":21,""t"":8845},{""x"":964,""y"":564,""dx"":-7,""dy"":13,""t"":8878},{""x"":954,""y"":580,""dx"":-17,""dy"":29,""t"":8912},{""x"":944,""y"":589,""dx"":-27,""dy"":38,""t"":8945},{""x"":953,""y"":611,""dx"":-18,""dy"":60,""t"":8980}],[{""x"":584,""y"":889,""dx"":93,""dy"":68,""t"":10033},{""x"":605,""y"":876,""dx"":114,""dy"":55,""t"":10068},{""x"":641,""y"":878,""dx"":150,""dy"":57,""t"":10103},{""x"":624,""y"":898,""dx"":133,""dy"":77,""t"":10136},{""x"":626,""y"":876,""dx"":135,""dy"":55,""t"":10171},{""x"":627,""y"":863,""dx"":136,""dy"":42,""t"":10203},{""x"":631,""y"":877,""dx"":140,""dy"":56,""t"":10238},{""x"":633,""y"":860,""dx"":142,""dy"":39,""t"":10271},{""x"":642,""y"":879,""dx"":151,""dy"":58,""t"":10306},{""x"":647,""y"":860,""dx"":156,""dy"":39,""t"":10340},{""x"":651,""y"":879,""dx"":160,""dy"":58,""t"":10373},{""x"":640,""y"":876,""dx"":149,""dy"":55,""t"":10408},{""x"":636,""y"":867,""dx"":145,""dy"":46,""t"":10442},{""x"":632,""y"":843,""dx"":141,""dy"":22,""t"":10477},{""x"":631,""y"":844,""dx"":140,""dy"":23,""t"":10510},{""x"":607,""y"":897,""dx"":116,""dy"":76,""t"":10543},{""x"":586,""y"":923,""dx"":95,""dy"":102,""t"":10578},{""x"":588,""y"":921,""dx"":97,""dy"":100,""t"":10612},{""x"":556,""y"":911,""dx"":65,""dy"":90,""t"":10646},{""x"":568,""y"":898,""dx"":77,""dy"":77,""t"":10680},{""x"":550,""y"":901,""dx"":59,""dy"":80,""t"":10713},{""x"":533,""y"":912,""dx"":42,""dy"":91,""t"":10747},{""x"":538,""y"":923,""dx"":47,""dy"":102,""t"":10782},{""x"":538,""y"":945,""dx"":47,""dy"":124,""t"":10816},{""x"":513,""y"":918,""dx"":22,""dy"":97,""t"":10850},{""x"":503,""y"":923,""dx"":12,""dy"":102,""t"":10883},{""x"":512,""y"":941,""dx"":21,""dy"":120,""t"":10918},{""x"":512,""y"":944,""dx"":21,""dy"":123,""t"":10951},{""x"":514,""y"":937,""dx"":23,""dy"":116,""t"":10985},{""x"":512,""y"":930,""dx"":21,""dy"":109,""t"":11020},{""x"":495,""y"":917,""dx"":4,""dy"":96,""t"":11054},{""x"":500,""y"":907,""dx"":9,""dy"":86,""t"":11088},{""x"":513,""y"":926,""dx"":22,""dy"":105,""t"":11122},{""x"":522,""y"":939,""dx"":31,""dy"":118,""t"":11156},{""x"":513,""y"":927,""dx"":22,""dy"":106,""t"":11189},{""x"":505,""y"":916,""dx"":14,""dy"":95,""t"":11222},{""x"":518,""y"":912,""dx"":27,""dy"":91,""t"":11257},{""x"":555,""y"":895,""dx"":64,""dy"":74,""t"":11292},{""x"":570,""y"":922,""dx"":79,""dy"":101,""t"":11326},{""x"":578,""y"":923,""dx"":87,""dy"":102,""t"":11360},{""x"":567,""y"":959,""dx"":76,""dy"":138,""t"":11393},{""x"":547,""y"":953,""dx"":56,""dy"":132,""t"":11427},{""x"":543,""y"":941,""dx"":52,""dy"":120,""t"":11462},{""x"":580,""y"":925,""dx"":89,""dy"":104,""t"":11495},{""x"":543,""y"":913,""dx"":52,""dy"":92,""t"":11530},{""x"":559,""y"":903,""dx"":68,""dy"":82,""t"":11563},{""x"":573,""y"":894,""dx"":82,""dy"":73,""t"":11596},{""x"":553,""y"":881,""dx"":62,""dy"":60,""t"":11632},{""x"":522,""y"":856,""dx"":31,""dy"":35,""t"":11666},{""x"":514,""y"":868,""dx"":23,""dy"":47,""t"":11700},{""x"":555,""y"":853,""dx"":64,""dy"":32,""t"":11734},{""x"":555,""y"":840,""dx"":64,""dy"":19,""t"":11768},{""x"":536,""y"":827,""dx"":45,""dy"":6,""t"":11802},{""x"":520,""y"":848,""dx"":29,""dy"":27,""t"":11836},{""x"":539,""y"":884,""dx"":48,""dy"":63,""t"":11870},{""x"":580,""y"":892,""dx"":89,""dy"":71,""t"":11904},{""x"":603,""y"":899,""dx"":112,""dy"":78,""t"":11938},{""x"":614,""y"":902,""dx"":123,""dy"":81,""t"":11972},{""x"":618,""y"":912,""dx"":127,""dy"":91,""t"":12005}],[{""x"":1450,""y"":768,""dx"":-1,""dy"":-53,""t"":13027},{""x"":1457,""y"":773,""dx"":6,""dy"":-48,""t"":13060},{""x"":1431,""y"":797,""dx"":-20,""dy"":-24,""t"":13094},{""x"":1427,""y"":783,""dx"":-24,""dy"":-38,""t"":13127},{""x"":1454,""y"":759,""dx"":3,""dy"":-62,""t"":13161},{""x"":1476,""y"":738,""dx"":25,""dy"":-83,""t"":13194},{""x"":1452,""y"":744,""dx"":1,""dy"":-77,""t"":13230},{""x"":1421,""y"":761,""dx"":-30,""dy"":-60,""t"":13264},{""x"":1393,""y"":753,""dx"":-58,""dy"":-68,""t"":13297},{""x"":1381,""y"":749,""dx"":-70,""dy"":-72,""t"":13332},{""x"":1351,""y"":761,""dx"":-100,""dy"":-60,""t"":13366},{""x"":1322,""y"":756,""dx"":-129,""dy"":-65,""t"":13400},{""x"":1301,""y"":738,""dx"":-150,""dy"":-83,""t"":13434},{""x"":1323,""y"":745,""dx"":-128,""dy"":-76,""t"":13468},{""x"":1323,""y"":746,""dx"":-128,""dy"":-75,""t"":13502},{""x"":1303,""y"":765,""dx"":-148,""dy"":-56,""t"":13537},{""x"":1302,""y"":755,""dx"":-149,""dy"":-66,""t"":13570},{""x"":1288,""y"":793,""dx"":-163,""dy"":-28,""t"":13604},{""x"":1311,""y"":813,""dx"":-140,""dy"":-8,""t"":13638},{""x"":1344,""y"":825,""dx"":-107,""dy"":4,""t"":13672},{""x"":1350,""y"":841,""dx"":-101,""dy"":20,""t"":13706},{""x"":1342,""y"":820,""dx"":-109,""dy"":-1,""t"":13740},{""x"":1347,""y"":811,""dx"":-104,""dy"":-10,""t"":13773},{""x"":1358,""y"":786,""dx"":-93,""dy"":-35,""t"":13808},{""x"":1383,""y"":803,""dx"":-68,""dy"":-18,""t"":13842},{""x"":1379,""y"":784,""dx"":-72,""dy"":-37,""t"":13876},{""x"":1418,""y"":769,""dx"":-33,""dy"":-52,""t"":13910},{""x"":1390,""y"":744,""dx"":-61,""dy"":-77,""t"":13943},{""x"":1358,""y"":767,""dx"":-93,""dy"":-54,""t"":13978},{""x"":1349,""y"":740,""dx"":-102,""dy"":-81,""t"":14011},{""x"":1355,""y"":759,""dx"":-96,""dy"":-62,""t"":14046},{""x"":1366,""y"":743,""dx"":-85,""dy"":-78,""t"":14080},{""x"":1349,""y"":784,""dx"":-102,""dy"":-37,""t"":14115},{""x"":1349,""y"":773,""dx"":-102,""dy"":-48,""t"":14148},{""x"":1338,""y"":775,""dx"":-113,""dy"":-46,""t"":14181},{""x"":1350,""y"":784,""dx"":-101,""dy"":-37,""t"":14216},{""x"":1327,""y"":808,""dx"":-124,""dy"":-13,""t"":14250},{""x"":1318,""y"":794,""dx"":-133,""dy"":-27,""t"":14283},{""x"":1325,""y"":780,""dx"":-126,""dy"":-41,""t"":14318},{""x"":1338,""y"":761,""dx"":-113,""dy"":-60,""t"":14352},{""x"":1339,""y"":745,""dx"":-112,""dy"":-76,""t"":14386},{""x"":1371,""y"":759,""dx"":-80,""dy"":-62,""t"":14420},{""x"":1380,""y"":760,""dx"":-71,""dy"":-61,""t"":14453},{""x"":1402,""y"":746,""dx"":-49,""dy"":-75,""t"":14487},{""x"":1365,""y"":779,""dx"":-86,""dy"":-42,""t"":14522},{""x"":1363,""y"":764,""dx"":-88,""dy"":-57,""t"":14556},{""x"":1369,""y"":757,""dx"":-82,""dy"":-64,""t"":14590},{""x"":1365,""y"":767,""dx"":-86,""dy"":-54,""t"":14623},{""x"":1334,""y"":794,""dx"":-117,""dy"":-27,""t"":14658},{""x"":1353,""y"":761,""dx"":-98,""dy"":-60,""t"":14724},{""x"":1353,""y"":790,""dx"":-98,""dy"":-31,""t"":14760},{""x"":1353,""y"":816,""dx"":-98,""dy"":-5,""t"":14792},{""x"":1379,""y"":799,""dx"":-72,""dy"":-22,""t"":14829},{""x"":1376,""y"":784,""dx"":-75,""dy"":-37,""t"":14862},{""x"":1373,""y"":770,""dx"":-78,""dy"":-51,""t"":14895},{""x"":1341,""y"":762,""dx"":-110,""dy"":-59,""t"":14931},{""x"":1362,""y"":768,""dx"":-89,""dy"":-53,""t"":14964},{""x"":1358,""y"":755,""dx"":-93,""dy"":-66,""t"":14999},{""x"":1336,""y"":763,""dx"":-115,""dy"":-58,""t"":15032}]]","[100,100,100,100,100]","[{""x"":0.4745762711864407,""y"":119.98305084745763,""r"":48.1461942253541},{""x"":21.440677966101696,""y"":72.62711864406779,""r"":42.73839638675044},{""x"":17,""y"":12.76271186440678,""r"":47.484042285392974},{""x"":76.28813559322033,""y"":77.69491525423729,""r"":57.971119318962295},{""x"":-87.08474576271186,""y"":-48.33898305084746,""r"":35.90552655394113}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
