"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","54","96361","0.0-6.0-2.0-0.14","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","55","96467","0.0-6.0-2.0-1.14","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","56","98357","0.0-6.0-2.0-2.14","","","","","383","4","","[""blue"",""red""]","","","","","","","","","","","","[{""x"":1023,""y"":672,""t"":4},{""x"":1013,""y"":666,""t"":41},{""x"":1014,""y"":659,""t"":72},{""x"":1003,""y"":666,""t"":106},{""x"":990,""y"":659,""t"":140},{""x"":979,""y"":653,""t"":172},{""x"":973,""y"":659,""t"":208},{""x"":1001,""y"":681,""t"":242},{""x"":995,""y"":674,""t"":276},{""x"":1033,""y"":680,""t"":310},{""x"":1012,""y"":691,""t"":343}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","blue_1","4","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","57","99364","0.0-6.0-2.0-0.15","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","58","99471","0.0-6.0-2.0-1.15","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","59","101304","0.0-6.0-2.0-2.15","","","","","328","6","","[""blue"",""red""]","","","","","","","","","","","","[{""x"":1038,""y"":686,""t"":3},{""x"":1036,""y"":675,""t"":37},{""x"":1054,""y"":706,""t"":73},{""x"":1061,""y"":715,""t"":106},{""x"":1065,""y"":722,""t"":139},{""x"":1032,""y"":682,""t"":174},{""x"":1027,""y"":680,""t"":208},{""x"":1029,""y"":684,""t"":242},{""x"":1040,""y"":681,""t"":276},{""x"":1049,""y"":678,""t"":308}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","red","6","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","60","102312","0.0-6.0-2.0-0.16","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","61","102419","0.0-6.0-2.0-1.16","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
"","canvas-keyboard-response","62","104328","0.0-6.0-2.0-2.16","","","","","394","5","","[""blue"",""red""]","","","","","","","","","","","","[{""x"":1089,""y"":623,""t"":4},{""x"":1130,""y"":626,""t"":38},{""x"":1123,""y"":610,""t"":73},{""x"":1112,""y"":612,""t"":106},{""x"":1120,""y"":612,""t"":141},{""x"":1123,""y"":628,""t"":174},{""x"":1122,""y"":654,""t"":208},{""x"":1162,""y"":666,""t"":241},{""x"":1170,""y"":690,""t"":276},{""x"":1169,""y"":680,""t"":310},{""x"":1169,""y"":678,""t"":344}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","green_1","5","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]"
"","canvas-keyboard-response","63","105334","0.0-6.0-2.0-0.17","","","","","null","null","","","","","","","","","recognition","[""5"",""5"",""4"",""6"",""5"",""5"",""4"",""4"",""6"",""5"",""6"",""4"",""6"",""6"",""4"",""6"",""5"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""5"",""4"",""5"",""4"",""5"",""6""]","1500","color","2","","","","","",""
