"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","183","266486","0.0-6.0-4.0-2.18","","","","","400","5","","[""red"",""blue""]","","","","","","","","","","","","","[{""x"":1067,""y"":372,""t"":5},{""x"":1035,""y"":350,""t"":42},{""x"":1037,""y"":334,""t"":77},{""x"":1011,""y"":321,""t"":106},{""x"":971,""y"":327,""t"":140},{""x"":1005,""y"":349,""t"":178},{""x"":1034,""y"":368,""t"":205},{""x"":1086,""y"":395,""t"":242},{""x"":1087,""y"":398,""t"":280},{""x"":1084,""y"":387,""t"":310},{""x"":1079,""y"":388,""t"":356}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","green","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","184","267513","0.0-6.0-4.0-0.19","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","185","267622","0.0-6.0-4.0-1.19","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","186","269567","0.0-6.0-4.0-2.19","","","","","434","6","","[""blue"",""red""]","","","","","","","","","","","","","[{""x"":1011,""y"":372,""t"":4},{""x"":1002,""y"":386,""t"":47},{""x"":1013,""y"":383,""t"":80},{""x"":992,""y"":364,""t"":110},{""x"":1017,""y"":373,""t"":140},{""x"":997,""y"":385,""t"":186},{""x"":995,""y"":395,""t"":213},{""x"":977,""y"":399,""t"":243},{""x"":961,""y"":388,""t"":280},{""x"":1018,""y"":376,""t"":309},{""x"":1068,""y"":383,""t"":358},{""x"":1085,""y"":364,""t"":388}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","red","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","187","270595","0.0-6.0-4.0-0.20","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","188","270705","0.0-6.0-4.0-1.20","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","189","272763","0.0-6.0-4.0-2.20","","","","","522","4","","[""green"",""red""]","","","","","","","","","","","","","[{""x"":1014,""y"":345,""t"":5},{""x"":966,""y"":337,""t"":47},{""x"":954,""y"":338,""t"":79},{""x"":960,""y"":341,""t"":108},{""x"":966,""y"":352,""t"":140},{""x"":949,""y"":361,""t"":185},{""x"":934,""y"":369,""t"":211},{""x"":927,""y"":370,""t"":243},{""x"":934,""y"":368,""t"":282},{""x"":937,""y"":395,""t"":312},{""x"":936,""y"":386,""t"":344},{""x"":885,""y"":392,""t"":392},{""x"":852,""y"":367,""t"":420},{""x"":814,""y"":370,""t"":448},{""x"":842,""y"":360,""t"":480}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","green","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","190","273783","0.0-6.0-4.0-0.21","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","191","273893","0.0-6.0-4.0-1.21","","","","","null","null","","","","","","","","","recognition","","[""4"",""5"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""4"",""6"",""6"",""6"",""5"",""4"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""5"",""5"",""6"",""4"",""6"",""5"",""4"",""4"",""6"",""6"",""4"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""4"",""5"",""5"",""6"",""6"",""4"",""4"",""6"",""4"",""5"",""6"",""5"",""6"",""4"",""6"",""6"",""6"",""4"",""6"",""4"",""5"",""4"",""4"",""5"",""5"",""4"",""5"",""6"",""5""]","1500","2","color","","","","","",""
"","canvas-keyboard-response","192","275799","0.0-6.0-4.0-2.21","","","","","393","6","","[""red"",""green""]","","","","","","","","","","","","","[{""x"":901,""y"":460,""t"":5},{""x"":896,""y"":511,""t"":47},{""x"":881,""y"":570,""t"":81},{""x"":905,""y"":599,""t"":110},{""x"":920,""y"":642,""t"":141},{""x"":910,""y"":670,""t"":177},{""x"":916,""y"":687,""t"":208},{""x"":925,""y"":731,""t"":252},{""x"":933,""y"":766,""t"":278},{""x"":953,""y"":779,""t"":311},{""x"":942,""y"":787,""t"":349}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","green","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
