1128,630,1
1181,680,80
1221,720,106
1177,752,140
1139,770,174
1066,709,209
1004,649,242
991,585,283
1017,634,310
1020,579,346
1034,611,377
1032,650,416
1001,626,446
1033,658,482
1019,705,513
1019,718,549
998,719,582
1042,767,616
1136,758,658
1217,753,685
1271,755,720
1337,750,753
1366,669,786
1414,634,824
1422,642,854
1349,674,890
1286,679,922
1259,706,961
1222,726,992
1130,687,1026
1122,621,1057
1151,633,1092
1197,647,1127
1241,633,1169
1296,581,1193
1346,673,1233
1357,666,1265
1405,737,1297
1381,710,1330
1393,674,1365
1451,705,1399
1443,675,1432
1458,643,1469
1450,629,1500
1531,628,1540
1589,636,1572
1632,608,1601
1681,620,1635
1730,641,1673
1769,623,1705
1780,660,1745
1825,643,1777
1852,688,1810
1862,685,1841
1891,682,1882
1844,746,1910
1788,781,1943
1754,830,1984
1725,873,2012
1689,918,2060
1648,936,2103
1641,963,2147
1430,911,2508
1247,816,2563
964,757,2619
718,674,2670
523,556,2704
352,510,2734
234,488,2761
117,470,2790
55,465,2831
26,463,2860
-21,437,2898
-25,413,2928
-16,400,2961
-8,392,2996
46,362,3029
71,337,3064
96,341,3099
122,326,3132
176,298,3166
274,357,3201
462,271,3234
639,287,3268
788,340,3302
969,307,3337
1179,346,3369
1335,371,3404
1454,383,3441
1560,386,3474
1631,403,3505
1669,468,3546
1673,437,3578
1675,461,3608
1727,514,3642
1728,504,3676
1717,551,3710
1700,519,3744
1677,536,3778
1679,512,3812
1625,511,3846
1559,552,3882
1520,581,3922
1507,512,3947
1527,557,3985
1522,555,4016
1511,552,4058
1494,540,4088
1418,512,4130
1350,483,4157
1224,449,4186
1085,439,4226
982,451,4253
892,438,4289
840,414,4322
803,404,4372
779,397,4389
753,380,4432
654,445,4464
557,440,4493
490,418,4525
402,390,4562
340,411,4594
303,379,4633
285,357,4663
268,329,4697
291,342,4745
316,354,4764
314,309,4801
315,272,4830
354,265,4866
373,275,4914
371,294,4938
400,310,4987
465,342,5011
472,382,5036
534,416,5082
625,385,5108
697,362,5149
684,379,5172
668,371,5216
676,387,5243
656,417,5282
620,425,5314
611,456,5341
595,461,5382
525,481,5411
506,496,5444
482,539,5485
491,590,5514
500,551,5547
536,542,5583
565,536,5614
581,501,5652
662,538,5682
