"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"","canvas-keyboard-response","127","262105","0.0-5.0-3.0-1.32","","","","","null","null","","","[""circle"",""hexagram"",""diamond"",""rect"",""star"",""triangle""]","","","","","","","","","","6","","[{""x"":807,""y"":421,""t"":5},{""x"":808,""y"":386,""t"":41},{""x"":869,""y"":356,""t"":71},{""x"":880,""y"":349,""t"":107},{""x"":910,""y"":358,""t"":141},{""x"":940,""y"":315,""t"":173},{""x"":926,""y"":271,""t"":207},{""x"":934,""y"":226,""t"":242},{""x"":902,""y"":200,""t"":276},{""x"":900,""y"":230,""t"":310},{""x"":948,""y"":393,""t"":343},{""x"":967,""y"":515,""t"":376},{""x"":1047,""y"":677,""t"":412},{""x"":1094,""y"":872,""t"":446},{""x"":1110,""y"":983,""t"":480},{""x"":1100,""y"":938,""t"":514},{""x"":1013,""y"":884,""t"":548},{""x"":1000,""y"":799,""t"":582},{""x"":948,""y"":671,""t"":615},{""x"":936,""y"":707,""t"":651},{""x"":1002,""y"":818,""t"":684},{""x"":1050,""y"":927,""t"":718},{""x"":1086,""y"":924,""t"":752},{""x"":1054,""y"":875,""t"":784},{""x"":1034,""y"":794,""t"":821},{""x"":998,""y"":740,""t"":854},{""x"":968,""y"":656,""t"":888},{""x"":954,""y"":576,""t"":922},{""x"":904,""y"":445,""t"":956},{""x"":898,""y"":364,""t"":990},{""x"":888,""y"":264,""t"":1024},{""x"":858,""y"":222,""t"":1058},{""x"":876,""y"":156,""t"":1092},{""x"":893,""y"":161,""t"":1126},{""x"":904,""y"":172,""t"":1160},{""x"":919,""y"":327,""t"":1193},{""x"":1000,""y"":511,""t"":1227},{""x"":1061,""y"":651,""t"":1261},{""x"":1094,""y"":690,""t"":1297},{""x"":1152,""y"":734,""t"":1330},{""x"":1127,""y"":664,""t"":1364},{""x"":1087,""y"":648,""t"":1398},{""x"":1012,""y"":629,""t"":1432},{""x"":994,""y"":569,""t"":1466},{""x"":963,""y"":505,""t"":1500},{""x"":947,""y"":435,""t"":1533},{""x"":893,""y"":353,""t"":1568},{""x"":854,""y"":324,""t"":1602},{""x"":832,""y"":271,""t"":1635},{""x"":812,""y"":174,""t"":1670},{""x"":792,""y"":108,""t"":1704},{""x"":772,""y"":77,""t"":1738},{""x"":787,""y"":69,""t"":1772},{""x"":784,""y"":85,""t"":1805},{""x"":782,""y"":98,""t"":1840},{""x"":787,""y"":152,""t"":1874},{""x"":812,""y"":151,""t"":1908},{""x"":827,""y"":169,""t"":1942},{""x"":830,""y"":175,""t"":1976}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":400,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":446.18802153517004,""bottom"":280.1923788646684,""left"":353.81197846482996},{""x"":700,""y"":240.1923788646684,""width"":100,""height"":100,""top"":190.1923788646684,""right"":750,""bottom"":290.1923788646684,""left"":650},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":700,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":750,""bottom"":809.8076211353316,""left"":650},{""x"":400,""y"":759.8076211353316,""width"":92,""height"":92,""top"":713.8076211353316,""right"":446,""bottom"":805.8076211353316,""left"":354}]","","",""
"","canvas-keyboard-response","128","264043","0.0-5.0-3.0-2.32","","","","","1429","6","","","","","","","","","","","","","","","","","","true","rect","6"
"","canvas-keyboard-response","129","265050","0.0-5.0-3.0-0.33","","","","","null","null","","","","","","","","","recall","","[""4"",""9"",""6"",""9"",""7"",""3"",""1"",""4"",""1"",""4"",""7"",""6"",""3"",""1"",""9"",""9"",""9"",""7"",""4"",""1"",""4"",""6"",""1"",""3"",""7"",""6"",""7"",""7"",""6"",""1"",""9"",""3"",""6"",""3"",""4"",""3""]","500","6","shape","","","","","",""
"","canvas-keyboard-response","130","267065","0.0-5.0-3.0-1.33","","","","","null","null","","","[""diamond"",""circle"",""triangle"",""star"",""rect"",""hexagram""]","","","","","","","","","","6","","[{""x"":848,""y"":208,""t"":3},{""x"":866,""y"":233,""t"":38},{""x"":862,""y"":236,""t"":73},{""x"":889,""y"":232,""t"":107},{""x"":940,""y"":307,""t"":139},{""x"":932,""y"":290,""t"":174},{""x"":942,""y"":302,""t"":207},{""x"":929,""y"":308,""t"":241},{""x"":915,""y"":257,""t"":275},{""x"":920,""y"":201,""t"":310},{""x"":939,""y"":230,""t"":345},{""x"":958,""y"":399,""t"":377},{""x"":1021,""y"":601,""t"":412},{""x"":1076,""y"":821,""t"":446},{""x"":1070,""y"":961,""t"":481},{""x"":1086,""y"":936,""t"":513},{""x"":1094,""y"":883,""t"":547},{""x"":1051,""y"":747,""t"":582},{""x"":1017,""y"":674,""t"":616},{""x"":978,""y"":607,""t"":650},{""x"":946,""y"":546,""t"":684},{""x"":977,""y"":562,""t"":718},{""x"":1026,""y"":673,""t"":752},{""x"":1031,""y"":780,""t"":786},{""x"":1005,""y"":793,""t"":819},{""x"":986,""y"":776,""t"":854},{""x"":982,""y"":642,""t"":888},{""x"":948,""y"":520,""t"":921},{""x"":905,""y"":499,""t"":956},{""x"":866,""y"":435,""t"":991},{""x"":839,""y"":320,""t"":1023},{""x"":852,""y"":273,""t"":1059},{""x"":828,""y"":204,""t"":1092},{""x"":855,""y"":135,""t"":1126},{""x"":849,""y"":91,""t"":1160},{""x"":850,""y"":38,""t"":1194},{""x"":892,""y"":20,""t"":1229},{""x"":923,""y"":22,""t"":1262},{""x"":961,""y"":-12,""t"":1296},{""x"":982,""y"":-9,""t"":1327},{""x"":981,""y"":29,""t"":1364},{""x"":958,""y"":52,""t"":1398},{""x"":1038,""y"":322,""t"":1433},{""x"":1062,""y"":578,""t"":1466},{""x"":1064,""y"":657,""t"":1500},{""x"":1047,""y"":679,""t"":1534},{""x"":980,""y"":678,""t"":1568},{""x"":947,""y"":613,""t"":1602},{""x"":933,""y"":548,""t"":1636},{""x"":935,""y"":522,""t"":1672},{""x"":896,""y"":493,""t"":1704},{""x"":873,""y"":426,""t"":1738},{""x"":878,""y"":362,""t"":1772},{""x"":884,""y"":439,""t"":1806},{""x"":880,""y"":458,""t"":1840},{""x"":925,""y"":399,""t"":1873},{""x"":948,""y"":326,""t"":1908},{""x"":942,""y"":299,""t"":1942},{""x"":918,""y"":297,""t"":1977}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92,""height"":92,""top"":194.1923788646684,""right"":746,""bottom"":286.1923788646684,""left"":654},{""x"":850,""y"":500,""width"":100,""height"":100,""top"":450,""right"":900,""bottom"":550,""left"":800},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":92.37604307034013,""height"":80,""top"":719.8076211353316,""right"":446.18802153517004,""bottom"":799.8076211353316,""left"":353.81197846482996}]","","",""
"","canvas-keyboard-response","131","268803","0.0-5.0-3.0-2.33","","","","","1231","4","","","","","","","","","","","","","","","","","","false","rect","3"
"","html-keyboard-response","132","269804","0.0-5.0-3.0-3.33-0.33-0.33","","","","","null","null","","","<div id=""errorinfo"">error</div>","","","","","","recall","","[""4"",""9"",""6"",""9"",""7"",""3"",""1"",""4"",""1"",""4"",""7"",""6"",""3"",""1"",""9"",""9"",""9"",""7"",""4"",""1"",""4"",""6"",""1"",""3"",""7"",""6"",""7"",""7"",""6"",""1"",""9"",""3"",""6"",""3"",""4"",""3""]","500","6","shape","","","","","",""
"","canvas-keyboard-response","133","270815","0.0-5.0-3.0-0.34","","","","","null","null","","","","","","","","","recall","","[""4"",""9"",""6"",""9"",""7"",""3"",""1"",""4"",""1"",""4"",""7"",""6"",""3"",""1"",""9"",""9"",""9"",""7"",""4"",""1"",""4"",""6"",""1"",""3"",""7"",""6"",""7"",""7"",""6"",""1"",""9"",""3"",""6"",""3"",""4"",""3""]","500","6","shape","","","","","",""
"","canvas-keyboard-response","134","272825","0.0-5.0-3.0-1.34","","","","","null","null","","","[""star"",""circle"",""hexagram"",""triangle"",""rect"",""diamond""]","","","","","","","","","","6","","[{""x"":894,""y"":258,""t"":5},{""x"":883,""y"":275,""t"":46},{""x"":883,""y"":288,""t"":76},{""x"":870,""y"":291,""t"":106},{""x"":893,""y"":282,""t"":141},{""x"":887,""y"":298,""t"":173},{""x"":894,""y"":300,""t"":208},{""x"":899,""y"":291,""t"":242},{""x"":905,""y"":306,""t"":276},{""x"":911,""y"":321,""t"":310},{""x"":926,""y"":346,""t"":341},{""x"":997,""y"":577,""t"":378},{""x"":1086,""y"":796,""t"":413},{""x"":1115,""y"":897,""t"":446},{""x"":1099,""y"":850,""t"":480},{""x"":1021,""y"":793,""t"":513},{""x"":973,""y"":694,""t"":548},{""x"":926,""y"":584,""t"":582},{""x"":959,""y"":594,""t"":616},{""x"":974,""y"":727,""t"":650},{""x"":1029,""y"":864,""t"":684},{""x"":1082,""y"":981,""t"":717},{""x"":1091,""y"":996,""t"":752},{""x"":1072,""y"":929,""t"":786},{""x"":1067,""y"":836,""t"":820},{""x"":1037,""y"":747,""t"":854},{""x"":1010,""y"":634,""t"":888},{""x"":963,""y"":473,""t"":922},{""x"":963,""y"":345,""t"":956},{""x"":960,""y"":286,""t"":990},{""x"":942,""y"":181,""t"":1024},{""x"":942,""y"":114,""t"":1058},{""x"":928,""y"":186,""t"":1092},{""x"":977,""y"":413,""t"":1129},{""x"":1046,""y"":636,""t"":1160},{""x"":1116,""y"":760,""t"":1194},{""x"":1122,""y"":783,""t"":1227},{""x"":1054,""y"":663,""t"":1262},{""x"":1018,""y"":535,""t"":1295},{""x"":997,""y"":435,""t"":1330},{""x"":1023,""y"":328,""t"":1364},{""x"":1031,""y"":257,""t"":1398},{""x"":1045,""y"":160,""t"":1431},{""x"":1049,""y"":106,""t"":1466},{""x"":1014,""y"":93,""t"":1500},{""x"":979,""y"":159,""t"":1531},{""x"":952,""y"":153,""t"":1568},{""x"":900,""y"":158,""t"":1602},{""x"":868,""y"":186,""t"":1636},{""x"":844,""y"":208,""t"":1670},{""x"":926,""y"":420,""t"":1703},{""x"":954,""y"":661,""t"":1738},{""x"":1007,""y"":776,""t"":1773},{""x"":1040,""y"":796,""t"":1806},{""x"":1045,""y"":775,""t"":1839},{""x"":1001,""y"":710,""t"":1873},{""x"":983,""y"":677,""t"":1908},{""x"":968,""y"":644,""t"":1940},{""x"":931,""y"":549,""t"":1977}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":400,""y"":240.1923788646684,""width"":80,""height"":80,""top"":200.1923788646684,""right"":440,""bottom"":280.1923788646684,""left"":360},{""x"":700,""y"":240.1923788646684,""width"":92.37604307034013,""height"":80,""top"":200.1923788646684,""right"":746.18802153517,""bottom"":280.1923788646684,""left"":653.81197846483},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":700,""y"":759.8076211353316,""width"":80,""height"":80,""top"":719.8076211353316,""right"":740,""bottom"":799.8076211353316,""left"":660},{""x"":400,""y"":759.8076211353316,""width"":100,""height"":100,""top"":709.8076211353316,""right"":450,""bottom"":809.8076211353316,""left"":350}]","","",""
"","canvas-keyboard-response","135","274179","0.0-5.0-3.0-2.34","","","","","846","4","","","","","","","","","","","","","","","","","","true","star","4"
"","canvas-keyboard-response","136","275187","0.0-5.0-3.0-0.35","","","","","null","null","","","","","","","","","recall","","[""4"",""9"",""6"",""9"",""7"",""3"",""1"",""4"",""1"",""4"",""7"",""6"",""3"",""1"",""9"",""9"",""9"",""7"",""4"",""1"",""4"",""6"",""1"",""3"",""7"",""6"",""7"",""7"",""6"",""1"",""9"",""3"",""6"",""3"",""4"",""3""]","500","6","shape","","","","","",""
